date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,19179213.0,,-5223580,-10174979,-32979518,,,-366178,608544,,3662272.0,,-709374,-7913,,-1578308,1843629,4882031,-16038066,-249607,-132000,,-760665,,,-14486821,,-197689111,-5981971,3995294.0,,232951420,17590338,51271,-34328.0,-12502636,19796124,43453,,-956172,202382,-1589790,2422223,70930,,2013年01月01日至2013年03月31日,505526956,678906605,173379649,22597173,,23602476,27281807,,15602058,139335911.0,,157397778,22597173,,-70930,-217161359,202666780,-14494579,1233942,327148,74067,146,8093,,,60602,1891931.0,4684634,-1412552,678906605,-3679331,-126207,,381671,,-503363.0,,-1502240.0
2013-08-13,2,2013,35859549.0,,-5413350,-46749485,-10075705,,242032.0,711411,-870232,,2766933.0,,-189503,-60939,,-3755113,3851272,16473188,-34098343,-248958,-132000,,-1078665,,227523.0,24459584,,-151346353,-8904561,,-2397840.0,164976553,15085824,56476,-66477.0,-29100358,36841771,-209047,,-1447586,423404,-2933615,3844902,143927,,2013年01月01日至2013年06月30日,505526956,602490947,96963991,48140990,,51572293,69056942,,15292000,46706574.0,,58018868,48140990,,-143927,-208542684,193599087,-14943597,3110151,879116,39942,147,194316,,,-551075,2428216.0,20915952,-1433704,602490947,-17484649,183588,,888015,35376.0,-694598.0,,-753515.0
2013-11-13,3,2013,50696273.0,0.0,-20821740,-20662534,-4880682,,1154910.0,2220532,-1738987,,748314.0,,-128758,-71130,,-6423821,6746719,9060768,-39866543,-249461,-132000,,-1078665,,227523.0,-15410365,,-103417591,-8276053,,4985905.0,155801790,8489195,-27191,-64535.0,-22213418,53913951,-324769,,-3088117,636695,-5375377,6847191,379271,,2013年01月01日至2013年09月30日,505526956,633483056,127956100,83900661,,103870474,127368171,0.0,15292000,24193862.0,,37238276,83900661,,-379271,-151824021,144595258,-7228763,17259080,8811471,54749,1371924,252370,,,-1215702,2432610.0,43467510,-1403312,633483056,-23497697,-2949,,956232,28875.0,947280.0,,-20220528.0
2014-03-28,4,2013,66877501.0,-32477430.0,-26877214,14011616,-1707015,,1327042.0,-641479,-3394991,,834513.0,,830897,-563668,0.0,-10845494,9117464,17958880,-44395165,-2060666,-488977,,-1408714,-9180000.0,227523.0,37097551,,80186615,-5853108,11990920.0,,-129827318,15521393,-582757,-86428.0,-33906088,72686853,-1411995,,-4838075,926373,-8188197,10475314,1552262,,2013年01月01日至2013年12月31日,505526956,694027045,188500089,136295697,,172751571,199536121,-17753800.0,28242000,54232791.0,,31695726,136295697,,-419216,76019776,-79656853,-3637077,17761410,9106480,456764,1401164,559393,,,-1427121,2436170.0,63240424,-1057944,694027045,-26784550,311994,,3930733,577807.0,1253288.0,,-10539496.0
2014-05-14,1,2014,15864179.0,0.0,-2699233,-24898188,-6645635,-530000.0,-937131.0,-887138,-1740450,,881572.0,,-482760,-32941,0.0,-5330805,3154474,5517925,-2751904,-629841,-179327,,-134502,0.0,0.0,6303416,,-209682866,-9064446,,-7996237.0,314055320,10340075,169125,-21563.0,-1764270,18045556,-6884105,,-204313,218233,-3400411,5201227,221,,2014年01月01日至2014年03月31日,694027045,755095946,61068901,25540869,,109000862,115593285,0.0,6000000,-46493128.0,,-51685616,25540869,,-221,-242144126,316332363,74188237,140000,418843,0,34295,-47840,,,-62845,0.0,90052416,65476,755095946,-6592423,91940,,1881821,,-1005833.0,,2344599.0
2014-08-13,2,2014,28962398.0,0.0,-2699233,-19618510,-5349218,-330000.0,-1498060.0,-1486147,-2494242,,-593398.0,,-2699454,-32513,0.0,-12332773,6719364,-3948465,-6819840,-1413039,-179327,,-541163,-60380.0,0.0,-18474417,,-223345206,-2944947,,-16985883.0,284543973,8314567,348706,42973.0,-2721189,35847017,-54244877,,-1229850,402479,-6449631,12112696,77909,,2014年01月01日至2014年06月30日,694027045,567985516,-126041529,57958053,,35325029,59134806,0.0,22443461,-153312743.0,,-154696904,57958053,,-77909,-241029580,213243935,-27785645,552000,829653,33872,175833,-244530,,,-367490,116866.0,1176753,190105,567985516,-23809777,-852416,87730.0,2348523,1010776.0,-1894799.0,,6132152.0
2014-11-13,3,2014,40415413.0,0.0,-8110433,3220679,-6554975,-963869.0,513949.0,-805087,-78999136,,,-371041.0,-4956901,-30706,0.0,-19726086,10815489,962544,-19771328,-1555311,-12414019,,-13047225,-114989.0,751724.0,-135175588,,-76485189,6250199,,-19982517.0,219252669,1525112,629688,-37810.0,-109271887,52575409,-2488266,,-2664439,630922,-10360410,19525631,623777,,2014年01月01日至2014年09月30日,694027045,543460007,-150567038,99767176,,128432009,157571104,-23631672.0,44206748,,-157006089.0,-170689704,99767176,,-623777,-56679657,74068172,17388515,978490,877245,493755,428814,-160667,,,-313296,118426.0,57803928,258669,543460007,-29139095,-2502742,188616.0,3587220,1444260.0,-3120468.0,,10918882.0
2015-03-30,4,2014,51438701.0,-6410000.0,-8110433,42818053,-5024877,-475107.0,485217.0,23185244,-35926990,,0.0,-266032.0,-980840,-150405,0.0,-26053459,14861301,14803392,-27565013,-1173338,-15493910,,-14047766,-128600.0,298790.0,-56411721,-235378.0,11008696,11252862,0.0,-20000000.0,-20273246,-4145708,-118291,5720.0,-62250365,69402883,1364986,,-2980013,828967,-14026640,25844433,1615892,,2014年度,694027045,679037301,-14989744,174120372,,190675711,225469946,-23631672.0,53118404,0.0,-146255411.0,-158218482,174120372,,-676006,88539118,-88628245,-89127,1338490,1006829,475330,4318161,-565745,,,-3010171,181120.0,51349574,268543,679037301,-34794235,-2374063,332577.0,6024812,1373640.0,-4019388.0,,
2015-05-15,1,2015,,-3000000.0,-2882727,-40322441,6269395,-1151258.0,-1277509.0,-3539905,0,2504232.0,0.0,-50078.0,-1590068,-37152,,-5071763,4249079,-12431296,-18939052,-925151,-2473965,,-37500,-12331.0,,-10024887,,-190576617,-3533738,,0.0,298891428,4650800,3916,,-13008362,17395776,-2199598,,-850084,226272,-3279983,4630990,332687,21144784.0,2015年01月01日至2015年03月31日,679037301,719156613,40119312,40247534,9822.0,109231450,120024167,,15562658,,-51501531.0,-43672480,40247534,,-332687,-238099651,296731500,58631849,508833,1989904,2619,541817,-44932,3433375.0,-28375.0,-220657,,79776633,-136772,719156613,-10792717,3448834,,970348,2373321.0,-859554.0,,
2015-08-13,2,2015,,-3000000.0,-3375893,-37708426,5715223,-696029.0,-934421.0,-9223464,-177626328,,89282.0,0.0,-2945065,-92820,,-11060988,8080506,-19183985,-28827839,-3171807,-2447279,,-1325248,-68941.0,507524.0,-84513924,,-133796218,-8060756,,0.0,326479730,7135267,260482,,-197823499,36627427,-1652853,,-1688765,459158,-6064610,10386840,543967,37652693.0,2015年01月01日至2015年06月30日,679037301,614522028,-64515273,80785260,13349.0,152463295,183141448,,33012658,,-21940865.0,28916,80785260,549120.0,-543967,-188923395,253626890,64703495,805833,2592321,3668,3352107,-137138,3433375.0,-28375.0,-2287685,0.0,102356188,-147880,614522028,-30678153,3852204,0.0,502511,3323672.0,,202965.0,
