date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,1850567.0,6667.0,0,985196,163399,-6321,,-113311,152303,16622,161067,3910,-144186,130188,551663,-1421609,,0.0,,,-521001,-49058,,-36156,0.0,,961113,,,-5548742,-578019.0,4274801,1053645.0,-1335864,1363086,,,,421522,230091,-109183,124148,,,2013年01月01日至2013年03月31日,44154582,43498383,-656199,1768127,,4914986,4992544,,-5319773.0,,-4786984,1768127,47284,,-4982419,6356269,1373850,143274,216069,439389.0,-46627,141517.0,-118545,,,,3224417,,43498383,-92523,,,86931,,6843
2013-08-12,2,2013,3658059.0,25456.0,0,1611238,174857,33621,,-179356,-51955,58004,166416,8095,-277625,225169,639920,-2393359,,0.0,,,-1057825,-282675,,-25908,0.0,,6969675,-24102.0,-1126478.0,-11497161,0.0,1938773,0.0,-2725009,2478364,,,,928401,425506,-224965,239930,,,2013年01月01日至2013年06月30日,44154582,52433062,8278480,3834996,,5368642,6442524,,4886667.0,,4994927,3834996,76318,,-10012484,8961953,-1050531,783274,438776,535099.0,-72568,141517.0,-116105,,,,2607528,-162288.0,52433062,-1088847,8412.0,,143531,,87682
2013-11-13,3,2013,10232132.0,25456.0,0,3093230,422130,129768,-626746.0,-327392,-30441,74336,25541,9876,-436863,330647,188156,-3880382,,0.0,,,-1081464,-578785,,-17103,2954.0,,96393,-24102.0,-1126478.0,-8093087,,9361508,,-4192417,3662836,,,,1244004,634601,-321309,447532,,,2013年01月01日至2013年09月30日,44154582,59516776,15362194,959499,,13559039,14992585,-4334168.0,9498050.0,,5807416,959499,28922,25323.0,-5826021,9626975,3800954,2058938,906831,535099.0,-43778,141517.0,-116105,,,,14033086,-292055.0,59516776,-1559769,4909772.0,,-458938,-224838.0,123078
2014-03-27,4,2013,10454924.0,,0,3327186,-158572,89335,30547.0,-226654,61239,-2386,16341,16222,-628457,493642,553704,-5677308,,-22702.0,-13171986.0,-4052535.0,-1078927,-481451,,8825,16279.0,,506056,-24102.0,-1126478.0,6316271,,-22772559,,-9292912,4952145,,,80427.0,1107701,603567,-444699,616057,204926.0,,2013年01月01日至2013年12月31日,44154582,46965852,2811270,4360382,,549582,1824704,-4333823.0,15437974.0,,11000896,4360382,44561,-179601.0,9663513,-22654115,-12990602,13932534,942031,916950.0,-246995,141517.0,-626458,,,,-2535678,-263237.0,46965852,-1651406,4909772.0,,88538,15370.0,191507
2014-05-13,1,2014,5924288.0,,-11250,-838369,-399782,7735,509513.0,-553051,143195,-68162,32305,4172,-209946,238668,628064,-1335959,,,-2304824.0,,-1000,-21599,,-11210,3759.0,,-7455045,2257789.0,,-16284832,,26315238,,990557,1314261,,,8416.0,-270225,143360,-197892,168120,,,2014年01月01日至2014年03月31日,46965852,49841243,2875391,-1467947,,5803728,5978992,,-6068797.0,,-4546958,-1467947,13904,,-16316547,17839198,1522651,3805930,75175,,-30817,0.0,0,0.0,,,7446939,27003.0,49841243,-145492,4732121.0,,-4081,,126943
2014-08-13,2,2014,7118624.0,,-39746,-2471212,361765,20131,48979.0,-793744,119087,68381,27196,8302,-495101,492675,5674,-3287989,,,-2304824.0,,-2221234,-245244,,76768,15588.0,,-11918324,2159000.0,0.0,6591332,,17081230,,-1717802,2512489,,,20289.0,-332624,340629,-462402,444753,57447.0,,2014年01月01日至2014年06月30日,46965852,58502354,11536502,1226438,,17307319,18020881,,-11853607.0,,-4058689,1226438,27865,-191813.0,4876511,4799308,9675819,10100360,51506,,-38056,0.0,-14631,40739.0,1745000.0,,16794443,387470.0,58502354,-753360,4732121.0,,-3656,,200855
2014-11-13,3,2014,8372606.0,40369.0,-144215,1374708,-502186,21725,720215.0,-812978,68576,-160391,28292,12434,-788347,736863,158215,-5119097,,,-2304824.0,,-515692,-295682,,49293,149013.0,282125.0,-22503574,2159000.0,0.0,23922412,,10757963,,-3466823,3985853,,,0.0,-786505,513552,-715494,735773,284335.0,,2014年01月01日至2014年09月30日,46965852,56095730,9129878,4311496,,25564452,26133441,-4305345.0,-16713998.0,,-13125966,4311496,152745,-208983.0,26670505,-13221166,13449339,10015790,64833,183002.0,-19346,98938.0,-18348,0.0,0.0,,21821945,295533.0,56095730,-873603,4743395.0,,-231742,-5281.0,289061
2015-02-26,4,2014,9733162.0,40369.0,-663154,1172834,108584,17809,453269.0,-798821,-12179,-198363,58941,16690,-1023736,1019504,1545398,-6565882,,0.0,-2304824.0,0.0,-1285377,-396954,,-10582,195717.0,282125.0,-16026011,2159000.0,0.0,20156529,,9337791,,-5689203,5338054,,,28230.0,-977953,698810,-946545,975307,284335.0,,2014年度,46965852,74708130,27742278,9736972,,33798224,34460329,-4305345.0,0.0,-5315160.0,-1912141,9736972,168012,-208983.0,22567015,-7576820,14990195,10271167,145932,183002.0,-46226,98938.0,-18348,0.0,0.0,,24723357,390816.0,74708130,-975202,4777920.0,,-230546,-15332.0,405746
2015-05-11,1,2015,,,-1137190,-1888211,-241917,-21316,1638973.0,477553,157593,-128297,-43683,4321,-212542,248930,-536985,-1285384,,,0.0,,-27300,-302020,,-36065,0.0,,504084,273066.0,,-36310445,,32420244,,-283020,1337364,,,0.0,117990,154020,-247435,183253,,1782578.0,2015年01月01日至2015年03月31日,74708130,68027655,-6680475,2574637,,657798,845866,,-5912976.0,,-6518268,2574637,91279,,-36543016,33031667,-3511349,0,46994,1032940.0,-9348,,86629,,,,-1728771,-76784.0,68027655,-123886,0.0,,575581,,-64142
2015-08-11,2,2015,,,-1799381,-898469,217378,-19094,1437285.0,175284,100927,121793,-10148,8360,-379036,475098,-1039640,-2342176,,,-1576.0,,-27300,-334315,,-13851,0.0,,12682580,273066.0,,-46777709,,20086471,,-284518,2685960,,,41259.0,-9763,264449,-435991,341909,55480.0,3039080.0,2015年01月01日至2015年06月30日,74708130,48513452,-26194678,4950490,350000.0,-6317901,-5421032,,,-22026610.0,-18552619,4950490,207814,-202195.0,-46694108,33283506,-13410602,4700000,80389,1693653.0,-2212,,14456,0.0,,0.0,-10371522,-1401.0,48513452,-858267,0.0,-10000.0,585096,,-554741
