date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,停業單位稅前淨利（淨損）,償還金融債券,其他各項負債準備淨變動,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付款項增加（減少）,應付租賃款增加,應付租賃款減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非金融資產減損迴轉利益,預付投資款增加
2013-05-10,1,2013,-2343986.0,,1766,0.0,,,,21338.0,,0.0,,1682269.0,,-286347,-217302,-22900,-5625786,2377470,24637,-16780,,,-12141194.0,-8902,801849,-28626,,,12636827,66745.0,0.0,-192.0,,-4498780,-7662072,-7319968,,-155.0,6587548,-10287311,92034,17440,-2206358,5632742,,2013年01月01日至2013年03月31日,26149415,28386593,2237178,817678,,7411924,3997625,0.0,5000000.0,,,5087928,817678,,707637,4816296,5523933,68,197420.0,98,,,3179947,-608577,28386593,-12085,-11172,-3511609,14043,3378995,7065016,,
2013-08-23,2,2013,-4993363.0,,5894,0.0,,,,376872.0,,,-559368.0,0.0,,-349949,-213328,4158,-11348653,4773730,28785,-37448,,-655266.0,-16196221.0,-22563,1685312,-31930,,,5604815,21478.0,0.0,-26142.0,,-4311976,3024317,-5860853,96.0,,4518551,-17496873,180232,36062,-4733665,11196196,,2013年01月01日至2013年06月30日,26149415,26164131,14716,1694366,,12084358,5684831,0.0,5000000.0,,,5398446,1694366,-54715.0,6684124,2299704,8983828,135,0.0,293,,0.0,3990465,-6979088,26164131,-63004,-1175,681487,-275676,4298899,8604058,,
2013-10-31,3,2013,-7123574.0,311363.0,6414,0.0,-3450000.0,,,162176.0,,,,1423141.0,,2068767,-208762,-27433,-17228848,7217682,24168,-155459,,-1050843.0,-22423697.0,-41381,2634725,-1907,20000.0,,6125994,0.0,-39037.0,-56439.0,,4847774,28776718,-17307469,16782.0,0.0,6276704,-21993060,268187,55546,-6989331,16952903,,2013年01月01日至2013年09月30日,26149415,23448793,-2700622,2447749,,17558349,7681833,0.0,5000000.0,,,1709921,2447749,-500.0,21840515,-9482857,12357658,255,0.0,529,,,5234084,-35210561,23448793,-87056,-6713,1772718,-49876,2185125,13039270,,
2014-03-21,4,2013,-10177824.0,253070.0,5934,,-3450000.0,0.0,,153753.0,,0.0,0.0,1727013.0,,2720141,-236229,41994,-23293357,9698855,36300,-205273,,-485150.0,-26920003.0,-49434,2994205,157478,13000.0,,963493,,-28491.0,-30133.0,0.0,-878872,40179052,-18200309,32904.0,,6639456,-25709589,363327,75876,-9861150,23090841,,2013年01月01日至2013年12月31日,26149415,32244163,6094748,3856750,,24046871,10995117,0.0,11000000.0,,,7721166,3856750,,23773136,-6456945,17316191,321,0.0,754,,0.0,7138367,-7304050,32244163,-177937,-2921,2952825,-65412,-2043798,-7630075,,
2014-05-09,1,2014,-2549895.0,3122.0,3210,0.0,-1100000.0,,,0.0,,-163528.0,,,-644796.0,10561,11748,170273,-6069740,2566465,96411,-14816,,-725996.0,-2040001.0,-11470,678234,-4956,5000.0,,9737687,37434.0,0.0,-473.0,,4234148,-5903601,-1452726,9004.0,0.0,257004,-2789602,83248,20086,-2265425,5879151,,2014年01月01日至2014年03月31日,32244163,54807641,22563478,1218856,,26468759,22873268,0.0,0.0,,,-1212090,1218856,,3242285,20962022,24204307,32,0.0,20,178.0,,21654412,9650512,54807641,-18235,10893,-1226850,-1869,844427,8680256,,
2014-08-25,2,2014,-5677676.0,3300.0,40671,0.0,-3250000.0,-76428.0,,233837.0,,,-44508.0,0.0,,1016361,-24029,268499,-12346721,5200304,3869,-59434,,-1088730.0,-4252802.0,-20418,1320778,-13708,,-13000.0,6600398,0.0,-22335.0,-31153.0,,6191988,-7141342,673857,7225.0,,-1547680,-5493670,164389,40741,-5065095,12020032,,2014年01月01日至2014年06月30日,32244163,59680401,27436238,2565636,,35970312,29101566,0.0,0.0,,,-3044273,2565636,-54849.0,1232444,30981162,32213606,75,0.0,358,10040.0,0.0,26535930,13369381,59680401,-86191,-12068,-520224,-245458,108946,13511726,,
2014-10-31,3,2014,-8676327.0,3300.0,45778,0.0,-8250000.0,-76428.0,,0.0,,-157524.0,-431620.0,0.0,,1192597,28815,236604,-18744830,7822084,200,-108456,-6000.0,-1698972.0,-2893418.0,-23481,1909999,-15979,0.0,-13000.0,4462307,28036.0,0.0,-44461.0,,8449229,8502446,5028376,12105.0,,-4955818,-5203015,246823,62105,-7408821,18460418,,2014年01月01日至2014年09月30日,32244163,56707844,24463681,4031578,,38046879,27106069,,0.0,,,-8380383,4031578,0.0,18838360,12912458,31750818,93,0.0,428,10040.0,,23074491,5484619,56707844,-110787,-8559,-451002,-188930,-322828,4356615,,
2015-03-18,4,2014,-11727926.0,3122.0,45494,,-9650000.0,-76428.0,,0.0,,-120861.0,-2618677.0,0.0,,1580485,54785,328905,-25259678,10469421,14728,-149365,-6000.0,-3040859.0,-107400.0,-30487,2493093,-34290,0.0,-13000.0,1515319,51996.0,0.0,-71018.0,0.0,6451683,56736725,10922593,5193.0,,-7069389,-6020419,324023,84064,-10587414,24886771,,2014年度,32244163,64242245,31998082,5485716,,47730445,33720403,0.0,0.0,,,-9726672,5485716,,70397005,-30434392,39962613,265,0.0,386,10218.0,0.0,28234687,-45767194,64242245,-289315,-19893,553535,-147424,-303934,15342188,,
2015-05-12,1,2015,,0.0,-5045,0.0,0.0,,,0.0,,-120060.0,,,2577925.0,-482573,-716,40341,-6375930,2638830,-53035,-38091,,-188307.0,0.0,-7108,489243,9181,0.0,,10193554,5846.0,0.0,0.0,14312.0,1163106,3108411,-11087487,12380.0,0.0,5691307,-144809,76477,20853,-2403556,6243674,-3435715.0,2015年01月01日至2015年03月31日,64242245,55894507,-8347738,1535293,,-8048060,-11841997,0.0,0.0,,,-101834,1535293,,2325461,-12267036,-9941575,46,0.0,189,0.0,74339.0,-13377290,-26357995,55894507,-46181,18860,-698605,-320673,565515,5357942,,
2015-08-19,2,2015,,0.0,-6833,0.0,-5200000.0,0.0,,0.0,,-562013.0,,,2642839.0,-501327,9340,62905,-12909589,5254336,-55509,-101588,,-2028104.0,-33373.0,-14574,1265767,16604,,0.0,-2937068,96979.0,0.0,0.0,14864.0,-14006115,4914442,-3740055,9924.0,,-1718738,-2468793,151074,40728,-5275276,12995893,-6159683.0,2015年01月01日至2015年06月30日,64242245,52033756,-12208489,3064387,,-9029077,-16647876,0.0,5000000.0,,,-655110,3064387,-67801.0,-1349152,-12203428,-13552580,112,0.0,178,0.0,0.0,-19712263,-3963567,52033756,-101818,20701,-634969,49552,877551,5467782,,-306130.0
