date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-08,1,2013,76963.0,,0.0,-88920,,,40181.0,-45566,50848.0,,,623,-8192,5554,6723,-135995,,-86.0,,67913,,-177072,2238,212559,,169788,76638,3746.0,-198489,2822,-6057,,5569,,2013年01月01日至2013年03月31日,3025810,3245879,220069,186677,,215131,219998,,,0.0,-232778.0,-171573,186677,1549.0,,-130907,87265,-43642,,3761.0,300000.0,1485.0,-1408,,,,33321,,3245879,-4379,,,150125,
2013-08-08,2,2013,143483.0,,0.0,-127263,,,112692.0,-88625,72141.0,,1.0,-2192,-19605,10828,3344,-154434,0.0,-423.0,-12618.0,-534896,,520289,1052,31881,,150665,155975,201.0,-115131,7355,-9282,,11833,,2013年01月01日至2013年06月30日,3025810,3767476,741666,398528,,504617,541615,,,0.0,-33343.0,83040,398528,3097.0,,634234,-634630,-396,100000.0,3948.0,300000.0,3766.0,-1549,,0.0,,143087,,3767476,-39549,,,143645,
2013-11-08,3,2013,230990.0,,0.0,-129029,,,59796.0,-62304,31727.0,,-264.0,-2564,-31672,17290,3921,-202244,-38356.0,-943.0,-12625.0,-815065,,420500,2284,-604911,,66842,243460,404.0,-198096,11368,-14640,,24895,,2013年01月01日至2013年09月30日,3025810,2616767,-409043,648791,,-381280,-285884,,-638709.0,225831.0,,-98526,648791,4647.0,,482984,-1648649,-1165665,300000.0,4330.0,300000.0,6619.0,-1478,,0.0,,-934675,0.0,2616767,-105651,,,143645,
2014-03-18,4,2013,341829.0,,0.0,-130804,85330.0,70269.0,,-30905,,,-1261.0,-8585,-43983,24935,10601,-256782,-68356.0,-825.0,13295.0,-381460,2589.0,72147,7200,-451274,-987.0,108771,332796,-822.0,-241844,13054,-21171,,21923,,2013年01月01日至2013年12月31日,3025810,2553073,-472737,802285,,156641,271768,-960653.0,-638709.0,133889.0,,-748750,802285,5730.0,,162868,-1035214,-872346,400000.0,11568.0,300000.0,131751.0,6157,,0.0,-10155.0,-530517,0.0,2553073,-115879,,0.0,446199,
2014-05-06,1,2014,79867.0,,0.0,-21781,-37228.0,-20142.0,,-53418,,,,3760,-10826,7882,15386,-25088,-15000.0,0.0,-1321.0,261194,,-118343,12411,237726,,-33713,83034,-595.0,53577,1136,-4403,,10837,,2014年01月01日至2014年03月31日,2553073,3001594,448521,201277,,629929,616326,,,0.0,-141603.0,-163081,201277,0.0,,-143755,478937,335182,,363.0,0.0,2252.0,-38,,,,415049,,3001594,7169,,,303,
2014-08-08,2,2014,188162.0,,,-323156,,-47462.0,116096.0,70544,,,4557.0,-91645,-22741,15481,-13734,-103381,-15000.0,-89.0,9014.0,345904,,172849,15253,-78929,,-111717,166769,-595.0,79717,1995,-13136,,43921,,2014年01月01日至2014年06月30日,2553073,3076811,523738,587658,,1451439,1449197,,,,-409624.0,-802250,587658,0.0,,303603,369774,673377,0.0,360.0,0.0,2252.0,17644,,95786.0,,861539,,3076811,-28543,,,-74027,
2014-11-05,3,2014,247542.0,,,-524003,199403.0,39730.0,,91326,,,4390.0,-92659,-32572,20363,4376,-154878,-21375.0,-189.0,9014.0,171951,,135693,13306,-228108,,-151419,247961,1089.0,7027,3034,-17033,,35389,,2014年01月01日至2014年09月30日,2553073,2571008,17935,848703,,1425113,1527662,,-625934.0,-166722.0,,-1260135,848703,0.0,,349491,81926,431417,51000.0,16566.0,0.0,5330.0,-258,95786.0,,,678959,,2571008,-120905,,,1134,
2015-03-18,4,2014,411609.0,,,-616154,86276.0,43112.0,,99297,,,2215.0,-83858,-41675,20363,63167,-120322,-31875.0,-386.0,2834.0,240938,0.0,-129636,14936,89101,-1291.0,-118842,330238,-595.0,-186647,3616,-16297,,43578,,2014年度,2553073,2567832,14759,953010,,1553147,1620110,0.0,-635654.0,-295551.0,,-1482713,953010,0.0,,-30310,285801,255491,51000.0,16483.0,0.0,5330.0,-439,,95786.0,0.0,667100,,2567832,-94244,,96672.0,11431,0.0
2015-05-08,1,2015,,,,-516,-40676.0,-150277.0,,-5127,,2440.0,,-1492,-6872,4109,-4476,-57442,-7825.0,,1092.0,-68604,,-85477,-15120,335127,,-66759,75634,0.0,4966,937,-1012,,5817,75308.0,2015年01月01日至2015年03月31日,2567832,2550285,-17547,198633,,214338,248753,,,,-163038.0,-160650,198633,,,-141273,116085,-25188,,0.0,,0.0,408,,,,50120,,2550285,-39220,,,464,
2015-08-07,2,2015,,,,-1036,,-18540.0,48940.0,-10510,,,10440.0,25398,-13241,7823,-19540,-106379,-33461.0,-418.0,1216.0,-94102,,180255,-10628,281468,,-114435,152239,0.0,67617,1678,-4206,,16710,203971.0,2015年01月01日至2015年06月30日,2567832,3024870,457038,388285,,906623,1036756,,,,-311211.0,-315610,388285,,,218567,225933,444500,,425.0,,0.0,1841,,0.0,,648471,,3024870,-142637,,,-13803,52415.0
2015-11-06,3,2015,,,,-1557,-56880.0,-26374.0,,3855,,2539.0,,29027,-19195,11822,-12044,-117411,-53964.0,-577.0,1216.0,176082,,28724,-11367,-94673,,-140494,229521,0.0,99844,3613,-10717,,20454,281479.0,2015年01月01日至2015年09月30日,2567832,2242947,-324885,584338,,806542,985028,,-737709.0,,-228516.0,-978889,584338,,,-39523,158734,119211,0.0,2431.0,,0.0,1769,0.0,,,400690,,2242947,-188223,,,-13646,52733.0
