date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預收款項增加（減少）,預收款項增加－處分資產
2013-04-30,1,2013,350,-146981.0,,0.0,96020,6669,0.0,0.0,0.0,-1702,-91917,-3202,0.0,0.0,,,,474.0,14.0,,,-2291,-121664,-232,-1886,0.0,-1152.0,0.0,0.0,-111818,,,65649,0.0,331476,0.0,,0.0,-471088,32516,196922,0.0,1345.0,-120840,83720,-4476,42878,-2291,3467,,15493,,2013年01月01日至2013年03月31日,277521,295258,,17737,281273,,-131756,-120690,751500.0,,,,-477724.0,272624,281273,147525,-402507,-254982,582,0.0,-91,0.0,-401963,-5145,,295258,-387,-230264,0.0,-339109,
2013-08-09,2,2013,672,-201261.0,,0.0,219170,2723,0.0,0.0,0.0,5,-49337,-6531,0.0,0.0,,,,-17040.0,39.0,-41427.0,34386.0,-37587,-247055,-10544,2056,17391.0,0.0,0.0,0.0,575398,-10584.0,,360629,0.0,481974,0.0,,0.0,-1122807,21429,-75901,0.0,1932.0,-271977,171374,-59747,421986,-6056,7210,,41427,,2013年01月01日至2013年06月30日,277521,738786,7685.0,461265,589742,,694622,739130,717515.0,,,,-658699.0,76207,589742,579881,-229232,350649,2662,0.0,1300,0.0,149388,16402,,738786,-50737,-367916,0.0,-436676,
2013-11-09,3,2013,1161,-126781.0,,0.0,24537,8596,0.0,0.0,0.0,64,418,-10394,0.0,0.0,,,-798.0,0.0,39.0,-71077.0,39843.0,-7551,-373905,-18889,-4827,0.0,-2798.0,0.0,0.0,322698,-10696.0,,-62598,0.0,284930,0.0,,0.0,-362633,40775,-430810,0.0,1505.0,-390547,265840,-115158,558783,-7085,11775,,71077,,2013年01月01日至2013年09月30日,277521,321258,8584.0,43737,655154,,428802,463287,717515.0,-306236.0,,,-395448.0,13033,655154,-194317,129231,-65086,3045,0.0,1022,0.0,-191867,15372,,321258,-65921,-361360,0.0,-341171,
2014-03-28,4,2013,1056,-161174.0,,0.0,3157,3226,0.0,0.0,0.0,40,7626,-1064,0.0,0.0,,,6074.0,0.0,1201.0,-86653.0,45648.0,-7414,-520838,-29423,-5404,12688.0,,0.0,0.0,-144957,-10706.0,,2865,0.0,218679,0.0,,-11898.0,-391382,7042,-407333,0.0,2794.0,-540478,363615,-142970,676600,-8180,14971,,86653,,2013年01月01日至2013年12月31日,277521,343096,12208.0,65575,723382,,275019,297547,717515.0,-306236.0,,,-73621.0,338448,723382,-12257,-252404,-264661,3709,0.0,4926,0.0,-425835,31191,,343096,-63630,-493856,0.0,-130175,
2014-05-13,1,2014,188,300221.0,,,162344,-2725,,,,46,-63879,-249,0.0,,-139178.0,,-1901.0,,0.0,-17125.0,11506.0,4714,-143106,-4142,-3106,,-3884.0,,,-307032,-12405.0,,154891,,246415,,0.0,,-583612,-22751,256032,,954.0,-287733,101192,-17501,17455,-1472,4636,-25125.0,17125,,2014年01月01日至2014年03月31日,343096,367291,12454.0,24195,-259055,,-304761,-273324,0.0,,,615859.0,,611975,-259055,389297,-703787,-314490,594,,-327,,-14269,28372,,367291,-23437,204680,,-183250,
2014-08-14,2,2014,367,511592.0,,,175580,-2197,,,,155,-47837,47458,0.0,,0.0,,-71722.0,,0.0,-33150.0,29598.0,-5036,-262870,-11964,63017,,-9124.0,,,8492,-12416.0,,460426,,785163,,0.0,,-1207141,-1930,53319,,1135.0,-345958,206819,-80924,35853,-4129,9307,-43776.0,33150,,2014年01月01日至2014年06月30日,343096,618381,9974.0,275285,-205235,,201454,301373,0.0,,,433949.0,,424825,-205235,1154260,-1159244,-4984,598,,-315,,506608,11833,,618381,-89293,242520,,-244369,
2014-11-12,3,2014,523,523841.0,-10425.0,,103596,-3955,,,,249,-66054,48732,0.0,,0.0,,-247842.0,,0.0,-45850.0,43716.0,13535,-375124,-13099,61670,,5015.0,,,-117473,-12392.0,,-38012,,89453,,0.0,,-17995,37896,267064,,2542.0,-634436,310146,-70469,40847,-4363,13858,-57618.0,45850,,2014年01月01日至2014年09月30日,343096,411375,9725.0,68279,-233319,,246409,342227,0.0,-312360.0,1294191.0,0.0,-533650.0,442771,-233319,-92580,144285,51705,1629,,-39,,575546,18040,-542.0,411375,-84050,147389,,-242756,
2015-03-27,4,2014,716,656073.0,-47891.0,,75447,3264,,,,-12,-161200,49660,0.0,,0.0,,-51643.0,,0.0,-64292.0,71071.0,39407,-991154,-20393,66971,12407.0,0.0,,,-544162,-12475.0,,-147989,,303113,,0.0,0.0,-271590,44639,279895,,4801.0,-1059809,421144,-83776,33978,-4893,18726,-84870.0,64292,,2014年度,343096,523194,9278.0,180098,-328356,,-160977,-50962,0.0,-312360.0,1294191.0,0.0,415130.0,1361477,-328356,239761,-618440,-378679,3381,,3431,,277394,56624,-4656.0,523194,-89437,151052,,-21371,
2015-05-05,1,2015,128,,0.0,,75829,468,,,,-16,16885,-1207,0.0,,0.0,0.0,0.0,-18406.0,0.0,-11409.0,31758.0,-2209,-424095,-148,733,29197.0,0.0,,,244068,-9533.0,,-104741,,-32150,,0.0,0.0,-614718,-1674,347660,,,-441283,121493,-7205,4400,-222,5042,-31677.0,11409,158244.0,2015年01月01日至2015年03月31日,523194,587326,11300.0,64132,23165,419.0,-61164,-30785,0.0,0.0,0.0,0.0,539591.0,568788,23165,-208815,-3379,-212194,1366,,-457,,-53950,17984,0.0,587326,-10111,9411,,-158196,
2015-08-09,2,2015,250,,0.0,,188570,-718,,,,-29,-70,-2680,0.0,,0.0,0.0,0.0,-16351.0,0.0,-21780.0,58555.0,-8555,-440528,-1486,832,76276.0,0.0,,,800424,-9453.0,,199918,,-273446,,0.0,0.0,-1004098,-44633,489935,,,-451552,242217,-7895,12477,-3999,10004,-59571.0,21780,283872.0,2015年01月01日至2015年06月30日,523194,396086,11206.0,-127108,178634,265.0,555626,625289,0.0,0.0,0.0,0.0,-298903.0,-222627,178634,-91252,254035,162783,6813,,-714,,446655,6609,0.0,396086,-31872,-3246,,-201846,
