date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付設備款增加,預付設備款減少
2013-05-14,1,2013,,30854.0,-3625,-9291,,1377,-6124,,-41.0,-948,2778,2211,-40251,,,420.0,,-13.0,10,,-2.0,,-74502,,22797,,-49845.0,-915.0,7851,259.0,-14215,,-39833,45972,-2445,0,169,600,-2932,880,,,2013年01月01日至2013年03月31日,665364,524036,-17663,-141328,13746,,-32736,-30608,,0,-17510.0,-70970,13746,,11523,-86731,-75208,0,,,,,,,,-44354,524036,-76,,0,,,
2013-08-13,2,2013,,66760.0,-7250,-7034,,125,-6739,3052.0,-10375.0,-1910,5424,2668,-107032,-4000.0,-42.0,3000.0,,54.0,10,,-30.0,2400.0,-93151,,14710,,-49845.0,-2427.0,-25812,257.0,-17778,,-105694,92609,-2439,-128,205,1188,-5534,1943,,,2013年01月01日至2013年06月30日,665364,484451,-20435,-180913,39953,,-48522,-30651,,50496,-22776.0,-29365,39953,,5987,-143351,-137364,0,,10.0,,,,,,-70604,484451,-14280,,0,,,
2013-11-12,3,2013,,123026.0,-10875,3700,,312,-6422,-7609.0,-7765.0,-2699,8286,2031,-139268,-4000.0,-377.0,0.0,,-11.0,12,,-44.0,2400.0,-149051,,28465,0.0,-49845.0,-3291.0,-80060,276.0,-25846,,-138279,139409,-2450,-143,220,1789,-8355,2721,,,2013年01月01日至2013年09月30日,665364,380689,-16203,-284675,92165,,-63120,-26928,-117389.0,142849,-50059.0,-85307,92165,,19127,-261246,-242119,0,,10.0,,,,3000.0,,-119093,380689,-30558,,0,,,
2014-03-26,4,2013,0.0,174937.0,-14500,-2118,0.0,155,18250,-7918.0,-2372.0,-3510,11099,2608,-234277,-4000.0,-553.0,-3711.0,,,9,,-1023.0,2414.0,-103354,,-1720,0.0,-49845.0,-3315.0,-64532,243.0,-9712,-466.0,-238140,186515,-1275,0,482,2354,-11257,3455,0.0,,2013年01月01日至2013年12月31日,665364,393568,-19644,-271796,117810,,78555,116985,-117389.0,183213,-135989.0,-114819,117810,,-16657,-159105,-175762,19682,,10.0,13.0,,,3000.0,,-825,393568,-30628,,0,,,
2014-05-13,1,2014,,54937.0,-3625,-8282,,2201,-6200,,-484.0,-861,2985,658,-204493,,-4308.0,-580.0,,,0,,-56.0,,20746,,15301,39876.0,0.0,-280.0,33821,,-34572,,-209437,49439,-1175,-1919,44,548,-2833,760,,,2014年01月01日至2014年03月31日,393568,513163,2986,119595,7889,,79896,82467,,124801,0.0,248478,7889,280.0,7765,11876,19641,41626,,,,,,,,74578,513163,-498,,45800,,,
2014-08-05,2,2014,,105524.0,-167312,11123,,14814,-12389,5976.0,-4034.0,-1949,6307,-602,-319907,0.0,-4429.0,-580.0,,,0,-2.0,-51.0,0.0,34765,,10033,,0.0,540.0,-36598,,-34391,,-342759,99252,-1175,-326,-30,1295,-6144,1928,,,2014年01月01日至2014年06月30日,393568,404188,4403,10620,56650,,142502,154546,,362082,-229339.0,211479,56650,280.0,41311,-48939,-7628,200250,,0.0,,,,0.0,,97896,404188,-7828,,45800,,-17792.0,
2014-11-11,3,2014,,138775.0,-238260,27590,,7914,-15372,8025.0,-4982.0,-2684,9212,-1880,-454712,0.0,-4429.0,-6800.0,,,0,,-203.0,83.0,23758,,40330,,0.0,79.0,-65484,,-48999,,-475201,147951,2293,0,19,2041,-8500,2754,,,2014年01月01日至2014年09月30日,393568,453621,-13062,60053,165860,,260324,284769,-58694.0,388622,-297034.0,276810,165860,280.0,86231,-106097,-19866,436376,,0.0,,,,,,118909,453621,-18699,,45800,,-9140.0,
2015-03-24,4,2014,0.0,202367.0,-42000,26468,,8057,-10185,17542.0,-12591.0,3403,13313,-151,-774289,0.0,-4908.0,-1800.0,,,0,,-71.0,947.0,-15022,,36282,99714.0,-49866.0,312.0,-57995,30.0,-55231,-442.0,-789916,201500,1025,0,122,2760,-13089,-3285,0.0,,2014年度,393568,371620,-6420,-21948,277009,,393839,430217,-58694.0,510032,-455064.0,374280,277009,280.0,89244,-138403,-49159,324358,,0.0,0.0,,,0.0,,153208,371620,-20004,,45800,,-9795.0,
2015-05-11,1,2015,,,-1454,-4315,,-968,-2142,6760.0,219.0,-503,4329,13582,-60999,,-52.0,,20000.0,,0,,0.0,1.0,-112306,,41638,19980.0,-49848.0,-893.0,31204,-11.0,31811,,-48105,59610,-1714,0,91,722,-4243,507,,38322.0,2015年01月01日至2015年03月31日,371620,480611,-26146,108991,65853,,89306,93239,,129979,-57449.0,54208,65853,0.0,40508,-51444,-10936,13000,,,,,,,,27386,480611,-197,,0,,-7055.0,
2015-08-12,2,2015,,,-2916,4175,,-1546,-2477,10398.0,7371.0,-1165,8964,-1441,-133038,,-52.0,,20000.0,,0,0.0,-54.0,,-183257,-32149.0,3952,49889.0,-69828.0,-285.0,-2814,,40311,,-156978,120161,-1260,-144,1743,1446,-8811,1169,,141270.0,2015年01月01日至2015年06月30日,371620,396934,2649,25314,106779,,64983,115102,,279979,-253920.0,118750,106779,0.0,15434,-148381,-132947,115546,40.0,,101.0,1412.0,,,,8323,396934,-42477,,0,,-13137.0,
