date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券減少,應付租賃款減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,預付設備款增加
2013-05-03,1,2013,470941.0,,-1338077,-9683,-2455,,47720,22535,,,-4349,-76135,67668,405165,-19262,,-1297164,,,-21912,-19053,,-20042,-18806,-25145,169251,-1953.0,-1320092,382985,-206663,-356102,,-3718,-63660,76135,,,2013年01月01日至2013年03月31日,15373468,14930241,315677,-443227,199651,,314946,294147,-1,,,430000.0,156754,199651,-8324.0,-190621,-185824,-376445,1108783,231487,105437.0,644267,-48292,-154571,,94496,14930241,0,,,,,-972379
2013-08-12,2,2013,795276.0,,-1788088,-24167,-24233,-13350.0,152202,6040,,,-11907,-151524,141442,500760,-104629,0.0,-1596085,0.0,,-25588,-9789,,-17882,-6342,-49705,-14706,3752.0,-3307559,790058,-224437,-271495,,-4183,-125736,176200,,,2013年01月01日至2013年06月30日,15373468,14774247,396917,-599221,473016,,833147,843577,-1,,,-325000.0,1374431,473016,-8489.0,-110532,-314183,-424715,3543567,470471,105437.0,1389662,-199332,-157706,,370561,14774247,-69383,,,,,-3542970
2013-11-13,3,2013,532357.0,,-3134231,28466,-71463,-19924.0,74106,-20437,,,-18000,-223181,219239,303263,-180136,0.0,-1599690,0.0,0.0,95579,-10192,,11129,254241,-74842,11168,-16489.0,-3962836,1212355,-224437,-100297,,-4628,-231447,343251,,,2013年01月01日至2013年09月30日,15373468,14099359,184949,-1274109,918935,,1446066,1132846,-2145046,0.0,,1780000.0,939398,918935,-300516.0,-127225,-191221,-318446,4259276,706621,105437.0,1392677,-379989,-157872,,213911,14099359,-99100,,,,,-4573118
2014-03-05,4,2013,805666.0,,-4428917,121364,-4045,-28800.0,147744,-58056,,0.0,-24029,-278053,299810,411844,-288469,0.0,-2389052,0.0,-7719.0,94792,-36869,,-8472,374875,-101191,-94960,-14803.0,-6048590,1409383,-188815,-430123,9317.0,-11978,-281315,373414,,,2013年01月01日至2013年12月31日,15373468,13001660,272696,-2371808,1631795,,2168970,1870426,-2145046,0.0,,1190000.0,1095968,1631795,-300477.0,57018,-624053,-567035,6206247,717034,105437.0,2199914,-379487,-186311,10886.0,238631,13001660,-94032,,11831.0,,,-6579701
2014-05-02,1,2014,715666.0,,-1047390,-74179,-614439,-9080.0,38687,-21077,,,-6041,-62192,80432,252655,-26721,,-609048,,,-2295,-6780,,28777,-47785,-28056,-130386,-14688.0,-2359035,405570,-25658,-240350,,-9518,-71634,44018,,,2014年01月01日至2014年03月31日,13001660,13721150,392086,719490,367815,,-5586,23388,-16,,,-95000.0,2831456,367815,0.0,-47061,-1013032,-1060093,4049703,162621,0.0,611218,-34791,-52621,,-344427,13721150,-1358,,3649.0,-908.0,,-2485730
2014-08-11,2,2014,293280.0,,-1554557,-39073,-873914,-22638.0,-141716,-30258,,,-12116,-158376,179935,-10183,-172009,,-1207480,,,-751,44286,,6374,58123,-55796,160981,-37892.0,-3267738,876114,15090,302129,,-3728,-160912,132347,,,2014年01月01日至2014年06月30日,13001660,14250472,92645,1248812,1232035,,918854,931322,-16,,,-1225000.0,3607879,1232035,-44370.0,-197217,-396776,-593993,6385125,789090,0.0,1458553,-512901,-122293,,-300713,14250472,-28273,,0.0,-1630.0,,-4119144
2014-11-10,3,2014,522200.0,,-2452843,-5528,-845868,-36153.0,-15609,-58073,,,-18238,-244009,275864,287639,-232409,,-1205120,-553400.0,,-2170,-74624,,169189,-6968,-83617,86222,-36338.0,-2538067,1348968,-19710,-90702,1821651.0,-1619,-250360,225357,,,2014年01月01日至2014年09月30日,13001660,16644930,306092,3643270,2030255,,2111909,1661414,-1716049,,,410000.0,3781789,2030255,-509144.0,92004,-983045,-891041,7631266,787932,0.0,1455702,-512033,-122054,,-368841,16644930,-33646,,,-1627.0,,-4580728
2015-03-18,4,2014,1693834.0,,-3338091,8489,-2595,-53036.0,-144619,-82302,,,-24528,-334255,376477,976176,-390869,,-1212239,-553400.0,-1637.0,-5721,-41555,,26488,652,1515742,51951,-42640.0,-4589627,1838069,-11426,-552758,1814670.0,-31990,-363503,255609,,,2014年度,13001660,19054142,931543,6052482,2372271,,3639296,3275138,-1716049,,,460000.0,6026637,2372271,-509371.0,-163708,-627259,-790967,9104383,791587,0.0,1472113,-514813,-130586,0.0,902867,19054142,-37319,,0.0,,94925.0,-6459399
2015-05-05,1,2015,,,-425198,508645,-26062,0.0,-36802,38475,,,-44935,-92832,103339,-204241,-53876,,-1733765,,,897,50150,,29474,-9091,-8452,121788,,-2420475,555953,127179,236989,,1081,-93607,73474,,181123.0,2015年01月01日至2015年03月31日,19054142,18425349,-254347,-628793,69919,-5101.0,1273719,1295777,-2,,,-290000.0,722204,69919,,623395,421340,1044735,1454947,0,,402718,0,-87136,,1225858,18425349,-1925,,0.0,0.0,,-1036449
2015-08-10,2,2015,,,-2979744,21347,-21433,-18707.0,-21069,8327,,,-102736,-170815,222383,-454663,-1450279,,-2841343,,,11274,73334,,24725,71720,-740312,171545,,-3346736,1124349,90205,514057,,13416,-199573,184041,,249793.0,2015年01月01日至2015年06月30日,19054142,16934805,-463340,-2119337,283619,-23978.0,1155971,1370472,-2,,,70000.0,526091,283619,-9039.0,91230,745830,837060,4104429,152482,,3012967,-108893,-255532,,1086853,16934805,-208008,,,0.0,,-2213130
2015-11-06,3,2015,,,-3356414,78941,-12588,-50311.0,-98134,37569,,,-110024,-237909,340187,598232,-1583950,,-2897858,-760000.0,,16349,52365,-135004.0,94042,4908,-746605,123339,,-5483152,1693785,225829,-31586,0.0,-111930,-332512,316789,,1150652.0,2015年01月01日至2015年09月30日,19054142,17894718,428690,-1159424,724123,-20363.0,2525142,2324189,-1887638,,,-600000.0,1200354,724123,-484625.0,280315,169099,449414,7921107,153779,,3038575,-109818,-257704,,1600066,17894718,-267949,,,0.0,,-3399736
2016-03-11,4,2015,,,-4980736,-83807,-15198,-59352.0,154988,-6035,,,-122282,-294851,461525,495408,-1683251,,-2942876,-760000.0,9383.0,15696,51468,-477693.0,-41213,63020,-753610,157146,,-6760383,2278587,137469,695852,0.0,-102246,-440581,381218,,1462158.0,2015年度,19054142,16375872,509935,-2678270,725311,-33333.0,3365149,3204806,-1887638,,,-450000.0,221556,725311,-498757.0,134104,883233,1017337,8708213,314708,,3074266,-192882,-267305,,2479495,16375872,-279051,-381334.0,46042.0,,16343.0,-4719574
2016-04-27,1,2016,,,-1858361,-25060,-8420,-26846.0,-270662,44546,,,-6614,-56453,128322,-315376,-19070,,-18351,,,-8559,95227,,26208,1345750,0,59876,,-49816,596206,81890,133662,,12088,-120017,29858,6405.0,958246.0,2016年01月01日至2016年03月31日,16375872,16493069,-251783,117197,-643760,-63831.0,259681,387922,-8,,,-1630000.0,222708,-643760,-6405.0,-251455,324891,73436,2365327,312686,,0,184653,0,,1031682,16493069,-44487,358232.0,,,,-289676
2016-08-05,2,2016,,,-2512852,-52227,6978,-46225.0,-246842,61228,-1639200.0,,-13158,-113225,256917,-369775,-63530,,-18351,,,7387,106934,,-787,4411092,0,91192,,-1799007,1162831,147192,497390,,56429,-245325,87471,12443.0,1849309.0,2016年01月01日至2016年06月30日,16375872,22012230,-102493,5636358,-1113399,-87848.0,1018409,1259120,-8,,440000.0,,6786731,-1113399,-12443.0,-240512,763722,523210,4448499,497991,,0,259345,0,,2372519,22012230,-95300,355106.0,,,,-537079
2016-11-10,3,2016,,-1000000.0,-5844688,52013,11234,-65180.0,-205081,69931,-2961143.0,,-19631,-186663,399060,-898363,-158337,,-18351,-480000.0,-1197.0,8761,113710,0.0,-3202,5931401,0,62654,,-3938740,1721908,59097,335646,,55726,-409667,159648,301457.0,2085843.0,2016年01月01日至2016年09月30日,16375872,20479422,-307019,4103550,-1105468,-88415.0,1342213,1387962,-845065,,-109000.0,,7598440,-1105468,-301457.0,-185588,593175,407587,9465792,583599,,0,278394,0,,2493430,20479422,-97187,446722.0,,,,-848089
