date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付費用（增加）減少,預收款項增加（減少）
2013-04-19,1,2013,,60232.0,-41578,,-1977,114.0,-1613,46270,,,-4.0,,-5469,1692,47493,-29222,-4679,0,257.0,0.0,0.0,291.0,14005,,-205180,-50320,287737,105066,147393,-4.0,-33614,60313,3695,-1794,5477,,2013年01月01日至2013年03月31日,1074010,1307753,233743,88813,,367111,402123,,,-147504.0,-147247,88813,,-348929,602007,253078,,0.0,1,313310,-758,1307753,-38695,,,3399,-49476
2013-08-07,2,2013,,115196.0,38936,,-34,-2501.0,-1431,-2773,,,-9.0,,-12138,2872,80781,-71388,-7569,-19,0.0,-3304.0,-3191.0,0.0,174755,,-260209,50208,327932,-111481,-74620,-1099.0,-82021,117546,6857,-3183,11353,,2013年01月01日至2013年06月30日,1074010,1375059,301049,197898,,448097,485999,,,-142504.0,-145808,197898,,-154648,327553,172905,,136.0,-69,288101,-1387,1375059,-46072,147.0,,16275,20334
2013-10-29,3,2013,,168559.0,-1274,,1606,-1479.0,349,-15853,,,-9.0,,-19261,4611,63703,-119693,-17373,372,0.0,-2959.0,-6657.0,0.0,234121,,-179694,10502,199459,-7667,87397,-1638.0,-143596,174599,9791,-4783,18244,,2013年01月01日至2013年09月30日,1074010,1566087,492077,318111,,726959,783401,-239526.0,87496.0,,-154989,318111,,-215046,511777,296731,,136.0,-127,465290,1052,1566087,-69903,-1426.0,,14193,-44343
2014-02-25,4,2013,,222640.0,26053,,2944,114.0,1987,7496,,,-14.0,,-27278,6445,92800,-201246,-21752,-28,0.0,-3957.0,-5926.0,,172181,,-94722,-69579,401949,226679,10661,-2190.0,-228473,235085,13157,-6621,25337,,2013年01月01日至2013年12月31日,1074010,1792123,718113,350802,,1139773,1223673,-239526.0,0.0,-42504.0,-285987,350802,,-187586,837817,650231,,465.0,-334,872871,-14788,1792123,-102616,-4407.0,,15793,-34347
2014-04-16,1,2014,,71189.0,-71116,,60,0.0,-12766,-9774,,,-5.0,,-9563,1652,25137,-13158,-1619,165,11.0,,-4287.0,0.0,62832,,-115349,33092,-28831,-140592,153752,-519.0,-19069,62491,3164,-1638,4688,,2014年01月01日至2014年03月31日,1792123,1957786,165663,35221,,-37723,-23260,,197307.0,0.0,197318,35221,,-165082,35412,-129670,,,1687,-58481,1502,1957786,-17513,11593.0,,-2035,74
2014-07-30,2,2014,,125499.0,-36785,,-7054,0.0,-11104,-4399,,,-10.0,,-21876,5247,-14980,-31566,-3150,-28,32.0,0.0,-4279.0,,-6342,,-118977,88865,-31055,-264248,122588,-1063.0,-39005,125270,6142,-3263,16215,,2014年01月01日至2014年06月30日,1792123,1996384,204261,90361,,-69282,-53603,,327496.0,0.0,327528,90361,,-71181,-198282,-269463,,0.0,1647,-143964,-2678,1996384,-28631,9097.0,,-7772,10561
2014-10-29,3,2014,,178493.0,-116204,,-3021,0.0,-11397,11669,,,-10.0,,-32571,7519,22882,-84794,-5031,-44,49.0,0.0,-4580.0,,-47708,,-91329,8461,-34511,-109107,146455,-1614.0,-94415,187866,9979,-7311,27414,,2014年01月01日至2014年09月30日,1792123,1873504,81381,168914,,82751,108264,-214432.0,284546.0,,70163,168914,,-199617,-39526,-239143,,0.0,1654,-60650,-812,1873504,-45616,4090.0,,-3303,13278
2015-01-30,4,2014,1902.0,237176.0,-1787,-11321.0,61,0.0,-12085,10618,,,-14.0,,-42898,10524,121146,-118240,-10302,322,,-1294.0,-2894.0,,-4830,,-50679,42,-249198,-56700,81780,-19937.0,-130229,246013,13239,-9864,38764,,2014年度,1792123,1847927,55804,280026,,180613,243034,-214432.0,100000.0,0.0,-115726,280026,,-62401,-211767,-274168,,1221.0,585,-36992,-5072,1847927,-91321,7489.0,,6502,38438
2015-04-24,1,2015,592.0,,-85884,388.0,-5192,,-1076,4311,,-5.0,-217.0,,-9246,1393,-30639,-16012,-114,-347,0.0,-523.0,0.0,1907.0,-16338,,-63193,-4985,110769,19092,96354,,-14337,61105,3098,-1880,9999,51401.0,2015年01月01日至2015年03月31日,1847927,1882461,34534,18591,-718.0,80033,92583,,0.0,,-523,18591,,-189547,212138,22591,,104.0,1,73992,567,1882461,-20669,-5195.0,,3142,-34646
2015-07-29,2,2015,592.0,,-145974,82296.0,-107,,44,-6795,-10.0,,-2052.0,,-17590,3003,-50323,-28023,-3332,-274,0.0,-527.0,-686.0,,77968,,-126230,-31409,95657,70093,5868,,-33999,122176,5970,-3762,19811,105371.0,2015年01月01日至2015年06月30日,1847927,1603325,-244602,50384,-1448.0,115029,137929,,0.0,-275000.0,-275309,50384,,-259925,242099,-17826,,104.0,1,87545,2814,1603325,-38949,-8507.0,218.0,-585,-40018
