date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款減少,預收款項增加（減少）
2013-05-13,1,2013,-3359.0,,-12150,-9230,-27233,,173,225,-22460,0.0,,0,-39850.0,-1001,10623,40047,-5946,-119.0,-1386,6.0,0,,,15151,-1237,-5634,-1915.0,-47806,188,1143.0,54744,100647,-11471.0,-11542,961,,,2013年01月01日至2013年03月31日,626109,505263,-40047,-120846,-195600,,-159230,-160162,-27087,-56407,-195600,,-17952,56749,38797,,60809.0,,,,-20874.0,,,35438,-1695.0,505263,-29,,,,,0.0,138684,,-5191
2013-08-09,2,2013,338958.0,1680.0,-24299,121,-14627,,970,244,-27467,4465.0,,-76136,361647.0,-2158,21820,53613,-15339,-119.0,-13741,0.0,-10,0.0,,36305,-13883,-11328,-2650.0,4432,-1227,2287.0,242998,198622,-58636.0,-22770,2175,,,2013年01月01日至2013年06月30日,626109,591004,-53613,-35105,-720081,,-219601,-221880,-53708,-112115,-720081,,-28118,187361,159243,,252311.0,,0.0,,-114983.0,,,498201,-1841.0,591004,104,,,,,0.0,265837,,-13122
2013-11-12,3,2013,359205.0,1680.0,-36449,-2050,-38716,,499,-54,-22202,4465.0,,-81529,361647.0,-3239,34026,37511,-52238,-119.0,-15771,0.0,-24,0.0,,50988,32572,-17015,-2650.0,-63730,-82,1811.0,411284,297069,-44622.0,-34715,3202,3803.0,,2013年01月01日至2013年09月30日,626109,622111,-37511,-3998,-881022,,-286083,-293174,-78507,-166710,-881022,-3803.0,5083,223560,228643,0.0,448566.0,0.0,0.0,,-228591.0,,,587848,-1841.0,622111,86,,,,,0.0,378885,8930.0,-23258
2014-03-26,4,2013,507955.0,1680.0,-48598,18450,494,,1016,-96,-25079,,4465.0,-82346,361647.0,-3821,44416,50570,-91525,-119.0,-15365,0.0,-49,0.0,33.0,100875,26334,-22609,-2650.0,-18714,126,-1099.0,432134,389755,-55568.0,-45542,3813,12313.0,,2013年01月01日至2013年12月31日,626109,567953,-50570,-58156,-1177010,,-318331,-334549,-105731,-222529,-1177010,-7533.0,5144,329362,334506,0.0,508670.0,0.0,0.0,,-264481.0,,,842461,-1376.0,567953,92,109475.0,,,,0.0,354102,8930.0,-35531
2014-05-13,1,2014,-133699.0,2184.0,-2299,-24022,-15277,,123,-862,-5700,,,89415,0.0,-664,8927,20838,-10691,0.0,1972,0.0,-14,,,-35210,25575,-1051,0.0,-42547,-1516,-2761.0,279379,81948,-17962.0,-8785,610,,,2014年01月01日至2014年03月31日,567953,778639,-20838,210686,54241,,-76684,-77465,-698,-12847,54241,,-13685,15678,1993,,287886.0,,,,-186978.0,,,-131706,-1372.0,778639,171,,-104.0,,,,27375,,-11228
2014-08-12,2,2014,-120978.0,2184.0,-25151,-14346,-4883,,966,-581,-515,0.0,,71432,0.0,-1215,17498,-2273,-29017,0.0,-7098,,-28,,,-15653,32453,-2181,0.0,-47442,776,-5221.0,379600,163801,-30677.0,-17427,1213,,,2014年01月01日至2014年06月30日,567953,682043,2273,114090,-63801,,-161663,-163060,-56787,-101574,-63801,,-16060,37779,21719,,406433.0,,,,-265456.0,,,-99259,-6497.0,682043,184,,-104.0,,,,34645,,-23415
2014-11-11,3,2014,-47280.0,2184.0,-33925,-17066,-2688,,578,339,-5271,,0.0,69775,0.0,-1739,25826,20324,-30275,0.0,-5389,,-37,,43.0,31451,-6242,-6371,0.0,4435,483,-7682.0,385261,244889,-18553.0,-25752,1765,2344.0,,2014年01月01日至2014年09月30日,567953,549359,-20324,-18594,-281043,,-281599,-285868,-76495,-142580,-281043,-2344.0,-74510,116965,42455,,413309.0,,,,-269542.0,,,-4825,-10669.0,549359,160,,-104.0,,,,18441,0.0,-33429
2015-03-20,4,2014,-50236.0,2184.0,-36027,-3593,5719,,686,-677,-15812,,0.0,66085,8567.0,-2036,34270,60788,-31374,0.0,3513,,-52,,128.0,-7530,-9612,-7418,0.0,59186,-344,-10304.0,517695,324851,-4846.0,-34321,2083,3187.0,,2014年度,567953,606440,-60788,38487,-407369,,-380614,-386023,-81564,-159382,-407369,-3187.0,-77119,148701,71582,1000.0,545757.0,-1000.0,,,-363125.0,,,21346,-9620.0,606440,139,13545.0,,,,,42074,0.0,-44676
2015-04-30,1,2015,,0.0,-45121,-14158,7070,,-3260,-918,-2492,,,94950,,-478,8053,-4388,-1725,,-933,,-1,,45.0,15846,-27981,-20943,,-69372,-584,,-1460,59129,0.0,-7951,478,,366774.0,2015年01月01日至2015年03月31日,606440,349903,4388,-256537,-472757,-2596.0,-86956,-87634,-89717,-163733,-472757,,-47435,65784,18349,220.0,0.0,-220.0,,,0.0,,,385123,0.0,349903,200,139618.0,0.0,,157217.0,,21284,,560
2015-08-06,2,2015,,0.0,-49326,-3003,6976,103.0,-2970,910,-607,,,94924,-129869.0,-743,15168,-10068,-3104,,-2173,1.0,0,,45.0,52104,-620,-22940,,-78262,142,,-2736,107227,0.0,-15103,744,,596948.0,2015年01月01日至2015年06月30日,606440,300616,10068,-305824,-860286,-5192.0,-105862,-106885,-99790,-187158,-860286,,-25763,182216,156453,220.0,0.0,-220.0,,,0.0,,,753401,0.0,300616,279,139515.0,0.0,,457975.0,,106029,,-13978
