date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得待出售非流動資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-13,1,2013,-37703.0,,,,-32747,-3077.0,,,-55831.0,53768,,-214575,0.0,-7788,67307.0,,,,-614920.0,-6571,43211,72293,-685116,,-11413.0,21677,-985.0,,747643,,-95123,156401,-264000,78766,-1226514,286825,-20712.0,-33391,-7725,17124,-44383,6569,,,2013年01月01日至2013年03月31日,3879324,3426246,-453078,338083,1015120,1015120,394768,,,-1090179.0,-313977,338083,,-48239,762979,714740,829358.0,23909,,,,6626,,,,,677037,-227.0,3426246,-9773,-41072,,,43210,-401008.0,,,
2013-08-13,2,2013,-101966.0,,,-1914.0,22368,-3259.0,,,221625.0,-336637,,-359493,0.0,-7336,0.0,27716.0,0.0,-739617.0,,-11668,83053,354512,-1174360,,-11491.0,39387,,-1879.0,1113773,,-14149,130032,-416561,148906,-1722397,565832,356.0,-307528,-36229,24056,-86280,6867,,,2013年01月01日至2013年06月30日,3879324,4049047,169723,332069,1113344,1113344,680777,,0.0,-1509862.0,424264,332069,,360004,523237,883241,2114069.0,152177,0.0,,,-773,,0.0,112204.0,-4430.0,781275,-228.0,4049047,-92634,-72691,,-82534.0,116383,-804886.0,,,
2013-11-12,3,2013,-217077.0,,,-50806.0,80773,-7790.0,,,,27345,315345.0,-797613,35840.0,0,0.0,58913.0,0.0,,,-40316,149125,-317951,-1694579,,-11565.0,-47984,-3918.0,,1354685,,838648,175826,-417143,364200,-1067414,868750,75597.0,-2862,-34758,35841,-151084,20956,,,2013年01月01日至2013年09月30日,3879324,4101737,222413,833167,1830216,1830216,1074759,,0.0,-2041710.0,-222438,833167,,1486025,-271899,1214126,2123282.0,616867,,,,5802,,,112460.0,-4440.0,997049,-164.0,4101737,-162676,-75816,,-134042.0,74197,-1147478.0,,-1875270.0,
2014-03-28,4,2013,-232433.0,,,-1223766.0,-40502,-6763.0,,,500873.0,-5035,,-627556,715.0,0,-67229.0,,0.0,,,-30433,202858,443998,-2172824,,-1333415.0,-72328,-4291.0,,98070,,332364,187298,110640,319859,-3592297,1212858,-20988.0,-5172,-52462,49620,-205707,30433,,,2013年01月01日至2013年12月31日,3879324,4231886,352562,2593338,4496162,4496162,1496942,-630923.0,-1025728.0,,-995301,2593338,,914485,1220772,2135257,2229151.0,151470,,,,122054,,,,,1902824,-44560.0,4231886,-193969,-35095,,-134752.0,-12406,-1617099.0,,-166976.0,
2014-05-07,1,2014,-69560.0,,,-1192925.0,-159842,5691.0,,,-86604.0,-55853,,171787,,-13172,0.0,-27855.0,,,,-4231,61041,102298,-524132,,50888.0,14506,1885.0,0.0,685755,,-687973,156088,304607,61675,-463345,368409,160.0,34694,-1473,9975,-61449,4231,,,2014年01月01日至2014年03月31日,4231886,4026127,-205759,473345,80544,164056,470185,,37669.0,0.0,74744,473345,,-778171,538442,-239729,1313826.0,27832,,,,127,,,,,-309289,0.0,4026127,-83512,-28756,,-11090.0,-70609,-418549.0,,,-1134408.0
2014-08-12,2,2014,-515178.0,,,-1675388.0,-72643,6144.0,,,-153275.0,-143882,,242366,,-50589,,5633.0,-71318.0,,,-9358,126322,-32148,-941601,,-121853.0,15459,,-447.0,577069,196946.0,-289747,45719,-479562,13926,-811444,554099,22859.0,33105,2243,22999,-127237,9306,,,2014年01月01日至2014年06月30日,4231886,4013614,-218272,946175,-325870,-46503,889721,,469221.0,0.0,951190,946175,,-447087,-30413,-477500,2412398.0,61334,,,,-141,-34980.0,,7627.0,0.0,-992678,0.0,4013614,-279367,-11406,,-76768.0,-230827,-913250.0,,-1163156.0,
2014-11-12,3,2014,-610510.0,,,-3264950.0,-66946,0.0,28543.0,,19218.0,-233552,,-372399,0.0,-48150,-27061.0,0.0,-291274.0,,,-13187,180588,236344,-1744328,,-121611.0,26366,3110.0,0.0,744612,196946.0,180698,87298,-812402,102982,-1434717,864956,330.0,-20867,-1778,33132,-178582,13135,,,2014年01月01日至2014年09月30日,4231886,3449809,-782077,1556824,66290,472600,843788,-566547.0,2033495.0,0.0,350006,1556824,,219872,-693586,-473714,2552682.0,86231,,249519.0,,9880,-34980.0,,7887.0,-274.0,-1084224,-726.0,3449809,-406310,0,,-181052.0,-351127,-1067792.0,-88998.0,-945748.0,
2015-03-26,4,2014,-819796.0,,,-2803885.0,304815,0.0,28543.0,,283751.0,-543559,,91197,0.0,-44976,-142690.0,,-322944.0,,,-23448,232384,279496,-2496251,,-122330.0,51095,7638.0,0.0,595218,196947.0,423866,206088,-587314,49993,-2473530,1182383,0.0,-15309,-4096,45604,-232452,23448,,,2014年度,4231886,3825014,-406872,1491793,2455878,2455878,1237565,-566457.0,,-130827.0,-668716,1491793,,1206862,577019,1783881,3278181.0,333043,,285529.0,,-189783,-34980.0,,7933.0,-276.0,964085,-11658.0,3825014,-463724,-52795,-362579.0,-175938.0,-1375341,,-88998.0,-250772.0,
2015-05-08,1,2015,,,,-2045.0,-206352,,0.0,,-260077.0,77620,,-195308,,-572,-1185.0,,,,,-3726,58836,-118786,-640834,,0.0,-33260,24610.0,,256640,,-452836,-266068,621143,157799,-359872,344614,1337.0,-4447,27830,11576,-57773,3726,,-37010.0,2015年01月01日至2015年03月31日,3825014,3703528,-121486,183073,-706804,-649767,455311,,1098482.0,,1063976,183073,,-1183996,388166,-795830,0.0,278421,,,,5091,,,,,-832840,,3703528,-57037,101298,,1274.0,-439694,-109575.0,,-980592.0,
2015-08-12,2,2015,,,-3952.0,-171814.0,510265,,0.0,-11048.0,-251643.0,1005,,-26176,,-63862,-16302.0,0.0,0.0,,,-11270,112498,-278497,-1142769,,0.0,-10566,28004.0,0.0,1786862,0.0,-789919,-185652,257535,173821,-787469,693551,21660.0,-26236,66629,24711,-109464,11270,,-46698.0,2015年01月01日至2015年06月30日,3825014,4058556,233542,430542,1865357,2098222,903791,-736395.0,463056.0,,-565849,434494,,-695289,2409667,1714378,0.0,371380,,,,5767,0.0,,0.0,,1667680,,4058556,-232865,99657,,24626.0,-876830,-150845.0,,-660935.0,
