date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,,587590.0,-1665673,-18253,,-83,,-8024.0,27744.0,,,,,0.0,-6476.0,-283667.0,,,-5133.0,96906,60681,-764339,,-22830,45516,-43156.0,,-250167,116521,27058,59973.0,,-5531,-70059,101786,215379,-14793.0,-1113505,471205,16623,-100909,5133.0,,,2013年01月01日至2013年03月31日,2022444,2688058,-38716.0,665614,385409,,877504,979496,,,192215.0,,840934,385409,,96978,-90481,6497,2260895,487,,1189,,,,,,594087,2688058,-6216,,,-115081,,
2013-08-07,2,2013,,1050489.0,-3534005,90012,13321.0,-9367,,18252.0,-248713.0,,,-2017.0,,0.0,,-441320.0,,,-9493.0,185564,62689,-3407554,,-31173,12508,-48411.0,0.0,-435931,419215,269831,0.0,,-3203,-83653,-230453,165839,-27392.0,-3927842,959079,19658,-191802,9493.0,1479.0,,2013年01月01日至2013年06月30日,2022444,1872566,-116641.0,-149878,877604,,1414410,1682495,,,304131.0,,2300865,877604,-1479.0,780036,-1025634,-245598,5532756,616,,1293,,,,,,804891,1872566,-87255,,,-183356,,
2013-11-11,3,2013,1403.0,1845222.0,-3635944,391631,,-106755,,,,,6266.0,-1501.0,-76411.0,,,-98268.0,,12424.0,,293043,129162,-4626052,,-77647,40547,,,-354503,609229,348605,149958.0,,5534,-258434,-645198,161506,-40234.0,-6549791,1497434,30314,-314490,,1479.0,,2013年01月01日至2013年09月30日,2022444,2745987,,723543,1307412,,2302215,2748887,-236872.0,,1581995.0,,4841957,1307412,-1479.0,1321863,-1725610,-403747,6937404,30309,0.0,-28464,,,,,0.0,1441475,2745987,-133661,,40651.0,-522226,-1701722.0,7098.0
2014-03-24,4,2013,300.0,2548451.0,-6852273,572428,,-54325,,,,,4740.0,1723.0,-96893.0,,,-116088.0,,-45637.0,,415275,-362037,-5641385,,-85401,19760,,,-59016,436637,177678,0.0,,-4061,-363361,-298608,25862,-49850.0,-8009447,2075999,41393,-443337,,2811.0,,2013年01月01日至2013年12月31日,2022444,804825,-933.0,-1217619,1621113,,3042285,3676144,-236872.0,,1011616.0,,4111580,1621113,-2811.0,1238558,-1731978,-493420,10182646,44015,0.0,45148,,,,,0.0,2055031,804825,-193333,-43.0,0.0,-982530,-2113695.0,105726.0
2014-05-06,1,2014,0.0,720304.0,-3474850,-19501,,18507,2400.0,,,47009.0,7787.0,1410.0,45978.0,,,-73992.0,,-65.0,-6136.0,128667,-12328,-536899,-7130.0,-9131,-9258,,,262334,235696,-75977,0.0,,-1381,462868,-462370,74081,-15309.0,-650420,595099,11459,-127985,6136.0,0.0,,2014年01月01日至2014年03月31日,804825,2443594,,1638769,438011,,1440801,1630827,0.0,,946302.0,,860716,438011,0.0,104334,368178,472512,3380067,3689,0.0,1127,,,1094.0,-632.0,0.0,1192816,2443594,-68177,43.0,0.0,12758,-76429.0,-66203.0
2014-08-06,2,2014,0.0,1519996.0,-8883744,-1770,119456.0,22897,8357.0,,,46152.0,14965.0,-7508.0,31227.0,,,-96728.0,,61961.0,-12407.0,250820,-31001,-939172,-7000.0,-13265,-12908,,,-236554,-5768,-51530,449811.0,,-5928,250283,-611862,285691,-28097.0,-1208154,1210635,22712,-256200,12407.0,1287.0,,2014年01月01日至2014年06月30日,804825,2117657,,1312832,707677,,1447899,1991714,0.0,,1054516.0,,1104088,707677,-1287.0,-9542,-226417,-235959,8476048,6178,0.0,1059,,,1094.0,-632.0,0.0,1284037,2117657,-301309,43.0,0.0,63128,-198845.0,-82057.0
2014-11-10,3,2014,0.0,2255035.0,-12226261,63628,69351.0,7245,-3666.0,,,47332.0,27084.0,-7287.0,46742.0,,,-154136.0,,46794.0,-20058.0,377878,25899,-1376426,-7179.0,-14392,-27282,,,-424640,-56477,17781,1699220.0,,-2390,320023,-316477,138227,-40848.0,-1829452,1840954,34312,-382862,20058.0,1287.0,,2014年01月01日至2014年09月30日,804825,1823810,,1018985,922736,,2250049,3009277,-1026444.0,,1239627.0,,572489,922736,-1287.0,-8866,-159628,-168494,10866550,5890,0.0,4313,,,1094.0,-632.0,0.0,2086541,1823810,-397711,43.0,0.0,115994,-327379.0,-107243.0
2015-03-25,4,2014,0.0,3062443.0,-17666534,2166,51113.0,35103,0.0,,,48848.0,6068.0,,15665.0,,,-160267.0,,42475.0,-26625.0,516436,463249,-2870694,-7409.0,-14489,-17319,,,-161671,-685009,-36722,99942.0,,-3403,52429,192263,-185818,-58817.0,-3386353,2488351,46275,-515293,26625.0,2380.0,,2014年度,804825,1571903,0.0,767078,988361,,2204441,3137792,-1026444.0,,-97091.0,,1485741,988361,-2380.0,-683926,-229086,-913012,20173162,21093,0.0,15819,14424.0,,1094.0,-632.0,0.0,2149431,1571903,-447063,43.0,-3362.0,-161392,-385770.0,-2102.0
2015-05-06,1,2015,8261.0,,-8460699,-19180,170872.0,15514,0.0,,,-461.0,,-1014.0,51.0,9880.0,,3055.0,,71696.0,-5273.0,167833,-65345,-1411833,-431.0,-544,8777,,,252306,718798,149334,,-99942.0,-5597,447516,-1230273,-152989,,-1125717,713038,11461,-161143,5273.0,,523867.0,2015年01月01日至2015年03月31日,1571903,3690574,,2118671,648819,-15548.0,1621208,1805254,0.0,717242.0,260769.0,,1688525,648819,,1081883,-449315,632568,9272169,20068,,801,275402.0,-452780.0,0.0,0.0,,1156435,3690574,-28176,53.0,0.0,218611,-21365.0,83665.0
2015-08-05,2,2015,109.0,,-26310161,73294,103650.0,-13602,0.0,,,-1142.0,-222.0,,-14763.0,,,-6578.0,,26535.0,-13513.0,335081,-100148,-1567343,-425.0,-270,5025,,,256058,895437,29236,-99942.0,,3212,629464,-1271079,101513,,-1308300,1419331,22834,-327750,13513.0,65.0,1351629.0,2015年01月01日至2015年06月30日,1571903,2260199,,688296,997575,-28195.0,2940131,3545263,0.0,717242.0,-760242.0,,-843387,997575,-65.0,1056053,140006,1196059,25609938,21503,0.0,9214,387937.0,-452780.0,0.0,0.0,0.0,2547688,2260199,-290960,-142.0,0.0,437652,-128361.0,-19439.0
