date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付設備款增加,預付設備款減少
2013-05-09,1,2013,516096.0,,-3531948,-236088,,0.0,11805,164364,,-39989.0,,-12588,-13172,,-101163,-13762,69608,217496,-43399,,-6594112,-162068,,,-130.0,-44515,-903464.0,-1695,,,-4073.0,,,65964,0.0,,36240.0,-1169797,,,-94286,254.0,-1408776,237629,37787.0,-177659,,-1659,14796,-46743,13762,,,2013年01月01日至2013年03月31日,6253983,6372250,,118267,124429,,-948243,-769719,2200000.0,,,,-44343,2257790,124429,,,-1356039,-54205,-1410244,3752767,46,6533719,,,708,60000.0,,,,,-27428,,,,-894148,,6372250,-145543.0,159337,,-114613.0,141790.0,,-199997.0,
2013-08-12,2,2013,1006753.0,,-1397394,-63475,,0.0,-60968,68671,,45637.0,,-4379,-19194,,-92906,-69257,123728,288246,-575841,,-16789464,-207648,,,,-44621,-903464.0,-4394,,,-7400.0,,,92991,0.0,-87269.0,74563.0,-1506069,,,-116371,5029.0,-1757636,467829,,-243474,,-20774,27002,-107478,69257,6052.0,,2013年01月01日至2013年06月30日,6253983,6678811,,424828,165323,,-1069183,-655969,2200000.0,,0.0,,-315633,2963401,165323,,,-1625483,-202562,-1828045,3001473,3063,16829822,,44496.0,24464,60000.0,,,,,-43580,,,1391.0,-821292,,6678811,-374993.0,372503,0.0,-430376.0,141790.0,,-202080.0,
2013-11-12,3,2013,1181107.0,,-1840726,-203839,,-6867.0,96925,127038,-1690958.0,,37516.0,-9645,-26483,,-38155,-105004,176171,221096,-584712,,-24470312,-277259,,,,-44680,-1192436.0,-7398,,12102.0,,0.0,,56594,0.0,-138487.0,82100.0,-2424345,,,22571,5202.0,-2237972,701147,,-362318,,-41962,41788,-115706,105004,10251.0,,2013年01月01日至2013年09月30日,6253983,5153866,,-1100117,441268,,-1575106,-1069442,2200000.0,-387109.0,0.0,1853190.0,-661542,2491865,441268,,,-2526057,-165760,-2691817,3575771,3116,24405732,,74358.0,24660,60000.0,,,,,-61125,,,1401.0,-1510710,183314.0,5153866,-494962.0,-29451,0.0,-430376.0,246223.0,,-218798.0,
2014-03-27,4,2013,1602674.0,-1888579.0,-5388130,61801,-245453.0,-6919.0,54507,27311,,-230492.0,,119489,-43782,,59936,-145914,224329,370559,-1147013,0.0,-31790898,-306581,,,-418.0,-44821,-1192436.0,-12249,,18090.0,,0.0,53616.0,29324,-340954.0,-253101.0,41198.0,-190557,49992.0,,9268,668.0,-3184798,936532,40208.0,-435871,,-53701,50624,-173456,145914,13354.0,,2013年01月01日至2013年12月31日,6253983,7540858,,1286875,759387,,1404476,2078209,2200000.0,-399828.0,0.0,3056201.0,-2118061,2696638,759387,0.0,,-33373,-250479,-283852,7420054,3138,31868916,,178194.0,31783,60000.0,,,,,-81155,,,1405.0,1318822,184331.0,7540858,-646191.0,-122491,,,475797.0,,,
2014-05-08,1,2014,175865.0,,-811774,-110781,,,-24773,-24189,,-839694.0,,-60027,-11850,,48836,-20840,50552,76191,-57258,,-6366730,-168481,,-65378.0,0.0,-63501,0.0,0,,40224.0,,,,6407,,,1925.0,-1415860,,,-48403,168.0,-986685,235163,112.0,-10056,,-19779,14242,-49260,20840,3711.0,,2014年01月01日至2014年03月31日,7540858,5525869,,-2014989,591486,,-1102804,-920051,0.0,,,1507677.0,-1471218,-1691,591486,,,-1551134,-136268,-1687402,733400,112,6394720,,97075.0,524,0.0,,,,,-29916,90589.0,,,-1511537,,5525869,-154333.0,-104842,,0.0,0.0,,0.0,
2014-08-12,2,2014,371474.0,,-1912346,-373344,,,26616,44983,,-367664.0,0.0,-217401,-13032,,101980,-79036,108031,-51370,-104223,,-12287493,-225206,,,,-97018,0.0,-199,,45287.0,0.0,-706650.0,,22074,-1150.0,0.0,-210.0,-1697839,,,-166379,358.0,-1535867,465792,112.0,120392,,-38385,27789,-104775,79036,48768.0,,2014年01月01日至2014年06月30日,7540858,6077179,,-1463679,1015715,,-1180881,-853239,0.0,,,3447727.0,-2980899,1304439,1015715,,,-2044097,-196331,-2240428,2704670,982,12340135,,121493.0,523,51097.0,,,,,-56541,153789.0,,0.0,-1868954,,6077179,-301903.0,-207666,,,49197.0,,-449496.0,
2014-11-13,3,2014,1030184.0,,-3465185,-198869,,0.0,145790,169725,0.0,,-338405.0,-394003,-31712,,133411,-112747,166081,51507,-1885697,,-18987690,-325309,-49049.0,,-623.0,-96818,0.0,-1945,,67537.0,,-639357.0,,10550,,0.0,1750.0,-2319363,,,-381928,562.0,-2973710,710585,,254937,,-57244,45614,-155885,108064,52535.0,,2014年01月01日至2014年09月30日,7540858,5904587,25511.0,-1636271,861308,,-1254762,-821107,0.0,0.0,,5855228.0,-6121242,2540694,861308,,,-2371880,-340719,-2712599,6182677,1031,19064413,,306321.0,668,0.0,70728.0,,,,-80692,189434.0,,0.0,-1682415,0.0,5904587,-385834.0,148050,,0.0,49197.0,,-279888.0,
2015-03-26,4,2014,1721271.0,-106505.0,-2310230,76051,-49378.0,-148134.0,52096,28964,,-1274726.0,,0,-58289,,167479,-133531,236804,366300,-1910913,,-4399592,-976703,-72614.0,,-689.0,-97442,-98756.0,-13864,5212.0,58789.0,,-661768.0,0.0,-2077,0.0,0.0,1750.0,-628893,0.0,,-403101,-6657.0,-3844867,960303,0.0,-299897,,-82232,63500,-224440,129080,56433.0,,2014年度,7540858,7312574,,-228284,1045186,,973986,1582943,0.0,-282436.0,,1447990.0,-571342,2276297,1045186,,,-507403,-676111,-1183514,4041789,168734,4519168,,636931.0,12383,0.0,70856.0,,,0.0,-123614,645633.0,,0.0,537757,-3033.0,7312574,-513597.0,567053,,,49197.0,,-181512.0,
2015-05-14,1,2015,,,-1462261,-67045,,,-220653,-32693,,-162957.0,,-40532,-220,,16210,-35015,69175,-218378,-839414,-77521.0,-1982510,-209892,-2219.0,0.0,,0,,-185,,577.0,,,,1745,,,0.0,-726960,,,25380,,-1616890,250883,0.0,-852065,,-22036,10560,-66369,34281,3850.0,262203.0,2015年01月01日至2015年03月31日,7312574,5874634,,-1437940,511651,127.0,-1310176,-1138842,,,1000000.0,1762935.0,-1001436,1707504,511651,,,-1014531,-898165,-1912696,1409908,0,2017474,,153748.0,2500,,,,,,-35009,0.0,,,-1650493,,5874634,-139246.0,4935,,,,-385203.0,-134060.0,
2015-08-12,2,2015,,,-2764926,153445,,,-218615,27210,,-251572.0,,-115620,-394,,29763,-80431,139124,-164035,-960787,-77521.0,-2737635,-286155,-2219.0,,,0,-199097.0,-185,,45849.0,,-400984.0,,29032,0.0,,0.0,-1298771,,,-125019,,-1139871,499749,0.0,-1125944,532027.0,-51279,20835,-140938,81778,108255.0,595171.0,2015年01月01日至2015年06月30日,7312574,6212873,,-1099701,762755,255.0,-1817954,-1316101,,,3000000.0,2278347.0,-1485569,2022159,762755,,,-1363686,-1310341,-2674027,950677,22,2799231,,618508.0,4250,0.0,,,,,-61685,0.0,0.0,,-2078856,,6212873,-442693.0,93666,,,1179.0,,-283584.0,
