date,season,year,不影響現金流量之收益費損項目合計,保證責任準備淨變動,備供出售金融資產（增加）減少,償還金融債券,其他借款增加,其他借款減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,庫藏股票處分,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,購買承受擔保品,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加（減少）,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加
2013-05-24,1,2013,-4182436.0,-2613,-5150181,,2000000,-3783000,,,894,-205088,-9812.0,-66994,6601,-406820,3208901,-4242639,2995,-12195980,5349170,-651618,-438856,-5262751.0,,,-34689,-400000.0,1443952,967425,-5099,-27499968,58044,-4507,,,-21786567,10937858,,9123975.0,-8574617.0,-4438112,4248576,543887,241676,-176784,-1786,70355,-4757631,12415997,1361,,2013年01月01日至2013年03月31日,409269590,424734824,-366125,15465234,2856537,,9261988,1854404,,,7500000,361531855,4603587,6310977,2856537,,-1361,-18446213,21626516,3180303,360647,6305259.0,-219071,72183.0,-28955.0,2487.0,-740.0,-383025,,-1002133,42188385,58599382,,-252143,-6244336,6949551,965473,,,5799631,,-20831.0,
2013-08-28,2,2013,-8973141.0,6830,-5551318,-18200000.0,1400000,-4532000,,,9272,-86360,0.0,-3310,7533,27483,7927028,-9920179,-5679,-24286836,10740627,258564,-650235,-12556638.0,0.0,-11957.0,-122555,-1740000.0,2429557,1588685,8228,148748,22798,-6297,-93484.0,1988.0,-6850670,-12833120,365186.0,25218000.0,-23294000.0,-2860111,3838343,-3647854,483675,-675508,-3992,151288,-11552469,24175152,247880,,2013年01月01日至2013年06月30日,409269590,434384377,-418369,25114787,5522510,,40021118,28367449,,,7500000,368598949,2905304,-11517041,5522510,,-248058,-14485223,46303303,31818080,360479,11076919.0,-217841,80919.0,-33018.0,2487.0,-740.0,-632475,,22844939,52742385,62880124,,-1216894,-9950398,12698446,1513305,0.0,,3160762,,-45779.0,
2013-11-25,3,2013,-14435122.0,-4115,-7036443,-18200000.0,4504000,-7854000,,,0,-385771,-6190.0,-6984,7886,-494859,7195231,-25701446,-2264,-36558792,16154103,545129,-1299876,-13014613.0,0.0,-30298.0,-201460,-3416837.0,3619460,2064239,20940,10810114,8567,-49057,-163277.0,88526.0,-13953833,8764834,2464193.0,40293000.0,-38576000.0,-8086940,1912158,-5286637,726708,-280105,-6728,227092,-16440070,36883349,439245,,2013年01月01日至2013年09月30日,409269590,391983081,-215134,-17286509,8154640,,-2629514,-21770909,0.0,0.0,7500000,347957231,641046,-9915487,8154640,0.0,-420603,4823125,-20313552,-15490427,394886,11829918.0,-236538,123005.0,-45055.0,2487.0,-740.0,-610929,400000.0,-29925549,14392382,43384804,,-1741129,-12276119,10850858,927463,0.0,,-1219164,0.0,-55553.0,
2014-03-28,4,2013,-22042959.0,46778,-5929573,-25200000.0,7381000,-11014000,,0.0,0,-334739,-9044.0,-10008,7886,-62930,10475022,-35604149,8465,-49143883,21725000,751008,-1876543,-13615461.0,,-12636.0,-232671,-6611809.0,2007613,3429279,66411,9092260,126895,-13969,-196931.0,163059.0,469806,65032091,3695311.0,54144000.0,-48841000.0,-9183747,2441596,-6930955,980178,3943238,-11402,301385,-22390763,49928816,545086,,2013年01月01日至2013年12月31日,409269590,414607686,-339869,5338096,10014830,,21441309,-4631991,0.0,-3192459.0,13000000,373534799,417288,-9923266,10014830,0.0,-519546,60310323,-52914185,7396138,394899,13231322.0,-233524,131554.0,-53605.0,2487.0,-740.0,-609227,1712238.0,-14646821,-41594766,40655599,-18341.0,-2009839,-13897524,23414128,427438,6719.0,,-939451,0.0,-55553.0,
2014-05-26,1,2014,-8104788.0,-9351,-1349770,,1440000,-1310000,,,30774,59905,0.0,-5400,54,-337903,-4812030,-9729870,-508,-12817010,5776714,-846140,-683041,-1632216.0,,,-74133,-1844862.0,-1416402,2010580,-50254,5143695,1793,-36906,-57903.0,14483.0,-53921603,43006789,,24147000.0,-23501000.0,-2984431,1344355,1932059,257099,-3522469,-1574,70566,-5018171,12448418,684,,2014年01月01日至2014年03月31日,414607686,361954502,-366681,-52653184,2879995,,-54510764,-61835504,,,0,320909926,1601368,771661,2879995,,-243,25847259,-82457970,-56610711,863972,3389504.0,-657970,144.0,0.0,0.0,0.0,-327264,1961457.0,-64715499,-20159415,39443208,,-106191,-6865918,5219213,-646943,23835.0,,-7650497,,-144.0,
2014-08-25,2,2014,-16963674.0,-21085,-8766305,-4500000.0,2960000,-2860000,,,2567,48058,,-6354,54,-161913,-6454596,-20146379,-4995,-26083827,11688207,-553747,-1252704,-3225459.0,,-2285.0,-83079,-3032559.0,-3183948,2781946,-54739,-15686618,3275,-280685,-81280.0,65585.0,-81028983,57655746,0.0,46565000.0,-46606000.0,-3339432,-512268,2783384,512940,-7430081,-4843,138975,-11812712,25534166,259654,,2014年01月01日至2014年06月30日,414607686,329075417,-7962,-85532269,6300299,1660000.0,-92894359,-106162571,,,10000000,284671329,2078543,5132453,6300299,,-263515,16394616,-111893812,-95499196,863972,6861071.0,-655934,144.0,0.0,27733.0,-5830.0,-659264,988545.0,-112462870,5035782,42325545,,-712896,-7530690,1121330,-1223275,23885.0,,-8243113,-151704.0,-144.0,
2014-11-27,3,2014,-26035313.0,290246,-14163230,-11670000.0,5012618,-4710000,,,7980,-102837,0.0,-45372,54,-615303,-5667852,-23221818,-2135,-39600089,17515140,-204320,-2186201,-4655588.0,,-2285.0,-148604,-4442756.0,-5380338,5121195,-72288,-15733725,10927,-274914,-99918.0,93562.0,-43267154,26596862,0.0,65126000.0,-65297000.0,847966,349562,6217902,772399,-9826884,-9844,209961,-16851700,38848616,453962,,2014年01月01日至2014年09月30日,414607686,307797543,-352202,-106810143,9592145,2180000.0,-110877632,-132114814,,,10000000,266305188,1105558,-1946093,9592145,,-444823,-13248434,-102423212,-115671646,3346096,11168943.0,-2675025,144.0,0.0,27733.0,-5830.0,-715793,988545.0,-141706959,-22583378,40386797,-6451.0,-1213696,-9016740,10907128,-784006,23840.0,,-10099820,-151704.0,-144.0,
2015-03-23,4,2014,-35351680.0,231977,-17036525,-15770000.0,6969597,-6195975,,,1956,-24802,0.0,-14838,0,-3315683,-9862926,-17880864,-12868,-52927408,23156579,-177058,-3334729,-5303674.0,,-2286.0,-188907,-5425239.0,-6828543,6194477,-50091,-62720414,17875,-281902,-294539.0,150442.0,-56287178,57927860,0.0,107324000.0,-102264000.0,6101855,1086575,6124990,1034870,-11200751,-15018,275770,-23305164,52494017,516151,,2014年度,414607686,341517226,-929621,-73090460,12064336,2180000.0,-74381106,-102502477,,-4307133.0,10000000,294044871,2322745,-4657286,12064336,,-504774,-25941604,-53273529,-79215133,3346763,12355094.0,-2673545,144.0,0.0,35665.0,-10243.0,-755635,2648717.0,-114566813,38912561,45149610,-27623.0,-1583633,-13262075,12461204,-1621802,21380.0,,-4051011,-151704.0,-144.0,
2015-05-25,1,2015,,-75351,-5891681,-4000000.0,3479669,-2945000,281610.0,,12476,54952,,-5754,2417,2372514,1478106,9254177,10096,-13250986,5477784,934010,-269925,,,,-12436,,-732776,799544,-23984,43110576,38894,-1405,-381378.0,142855.0,-17876156,-3192012,,38640000.0,-38720000.0,-9293872,-1823451,-560971,256072,-5750944,-3013,71358,-5020569,13596199,4904,-6229552.0,2015年01月01日至2015年03月31日,341517226,379747759,218674,38230533,3327167,,6966860,-1359442,21870000.0,,12516000,331564914,3022652,30890634,3327167,330750.0,-4200,22463888,-20920945,1542943,0,,1543,0.0,,,,-327893,,-4686609,3719157,44878583,-36750.0,-254232,-5242676,-4934657,1007050,1892.0,,-4427202,,0.0,
2015-08-24,2,2015,,-91803,-11426238,-22500000.0,5502732,-5375000,278235.0,,70329,457719,,-15909,2416,2957763,-2605795,19833494,7905,-26448779,10853156,1234268,-380839,,,0.0,-66419,,-1325738,1269399,-137979,32977884,76408,-2063,-849430.0,378921.0,71179408,19465822,,69530000.0,-71418000.0,-16665842,4653727,-937820,512583,-13681242,-7345,143255,-11622710,26773289,247612,-14219457.0,2015年01月01日至2015年06月30日,341517226,423252128,486052,81734902,7275581,,71168048,55750469,21870000.0,,12516000,378551938,2457734,10270406,7275581,330750.0,-256424,21582809,41111536,62694345,0,,3199,2127.0,,28209.0,-15422.0,-604211,,48474888,-35224265,41964221,-36896.0,19388,-8850778,2810984,932127,1871.0,,-3058222,0.0,-2127.0,
