date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動
2013-04-30,1,2013,33584.0,-3316,-97940,11025,,-2144,,,,,-598,548,7356,-37060,0.0,0,,-193.0,,1059,-23932,57659,53446,-4284.0,-31928,35977,75007,,598.0,598.0,,2013年01月01日至2013年03月31日,403586,475938,72352,73082,,175503,170435,175503,,,-70002.0,,-73511,73082,,-44565,113402,68837,,4073,-2310,102421,475938,-5118,-5118.0,,-33,0.0,
2013-08-08,2,2014,73691.0,0,-46938,-6212,54659.0,5699,,1068.0,,,-3514,2572,-4656,-280094,0.0,0,,1295.0,,-1573,18039,-41397,1532,-12995.0,-213350,78390,39066,,,,,2014年01月01日至2014年06月30日,422029,431484,9455,133282,,163767,126156,163767,,,-149990.0,,101305,133282,,-101330,58124,-43206,250000.0,13658,-3729,30485,431484,-38598,-38598.0,,-1096,0.0,
2013-08-13,2,2013,60332.0,-18525,-74135,-4724,-101182.0,13549,,,,,-2554,1151,12187,-89044,0.0,-17504,,-326.0,,-532,77246,-132664,63781,-3622.0,-191933,72130,60567,,,,,2013年01月01日至2013年06月30日,403586,323820,-79766,153114,,213444,198838,213444,,,-80007.0,,-98858,153114,,-210421,210419,-2,,16329,-8805,60330,323820,-16009,-16009.0,,-1590,0.0,
2013-11-12,3,2013,104651.0,-19640,-9219,-37449,-115992.0,22932,0.0,,,,-4382,1553,9181,-201494,0.0,-19576,,-499.0,,475,41223,-141857,63838,-1931.0,-320710,110596,189997,,,,,2013年01月01日至2013年09月30日,403586,386852,-16734,258599,,490784,452437,490784,-167483.0,,29980.0,,-157642,258599,,-153007,280541,127534,,15877,-8470,232185,386852,-41176,-41176.0,,5,5349.0,
2014-03-27,4,2013,141029.0,-31515,17699,-3923,-122975.0,-23996,-19489.0,,-47082.0,,-5932,1982,14006,-282805,0.0,-20966,-5625.0,,-479.0,-5397,-26710,70863,16939,-249.0,-474399,150301,216977,,,,,2013年01月01日至2013年12月31日,403586,422029,18443,330239,,738868,698322,738868,-167483.0,,,-20009.0,-219486,330239,,88313,179287,267600,,24315,-5061,408629,422029,-44496,-44496.0,0.0,15,5349.0,
2014-05-12,1,2014,39535.0,0,-86667,-20652,51925.0,11145,,,,,-514,1097,-909,-149500,0.0,0,,182.0,,2956,5970,-49810,55121,-15282.0,-86219,39059,14996,,514.0,514.0,,2014年01月01日至2014年03月31日,422029,536153,114124,48786,,3142,1067,3142,,,3.0,,200185,48786,,-151759,66580,-85179,200000.0,8400,-91,-45644,536153,-1537,-1537.0,,-16,0.0,
2014-11-10,3,2014,113685.0,0,-11667,-5582,-29239.0,-8289,0.0,1364.0,,,-4847,4221,1085,-356688,0.0,-74718,,295.0,,-1674,50058,-165050,-42805,-10720.0,-442434,120630,-187505,,,,,2014年01月01日至2014年09月30日,422029,341752,-80277,231545,,-36330,-100214,-36330,-167483.0,,219729.0,,461286,231545,,-187437,-194123,-381560,395000.0,19885,-6032,-267875,341752,-64555,-64555.0,,-1651,0.0,13745.0
2015-03-30,4,2014,159065.0,0,42395,-18626,-49389.0,-11985,0.0,1520.0,-5758.0,,-7607,8993,8174,-398319,0.0,-132750,-144.0,,-582.0,16389,98829,-357728,48782,-8364.0,-546299,164339,-12641,,,,,2014年度,422029,592998,170969,305014,,244741,178402,244741,-167483.0,500000.0,,-209988.0,530692,305014,,-323697,104359,-219338,395000.0,23528,-5639,-60273,592998,-66594,-66594.0,0.0,-2397,0.0,13745.0
2015-05-06,1,2016,,-65239,-56172,9719,-3819.0,-6347,,,-38839.0,,-1401,5218,-1488,-27022,,0,510.0,-310.0,,-1244,-3561,-23861,37615,,-68563,50252,-19831,,1401.0,1401.0,52068.0,2016年01月01日至2016年03月31日,238418,272206,33788,76550,-12452.0,53728,49388,53728,,,0.0,,54451,76550,,-92485,17595,-74890,120000.0,2361,459,-22822,272206,-2916,-2916.0,,-2970,,
2015-05-12,1,2015,,0,-128747,6850,-31388.0,16968,,,,,-1820,4696,-2523,-61873,,-7133,794.0,149.0,,-1317,-28068,-24942,87757,,-97066,44701,8990,,1820.0,1820.0,47315.0,2015年01月01日至2015年03月31日,592998,473706,-119292,57030,-7289.0,35864,30148,35864,,,-50000.0,,-49851,57030,,-160978,92497,-68481,0.0,4645,-114,-21166,473706,-5097,-5097.0,,-942,0.0,
2015-08-12,2,2015,,0,-60466,-7511,-44643.0,23827,,0.0,,,-4212,9266,-6425,-187178,0.0,-12262,794.0,348.0,,-12819,2419,31549,6169,,-245020,91338,-6997,,,,93201.0,2015年01月01日至2015年06月30日,592998,456166,-136832,127519,-4031.0,205679,164265,205679,,,-50000.0,,-49652,127519,,-32948,17907,-15041,0.0,11882,-3842,78160,456166,-41011,-41011.0,,-143,0.0,
2015-11-12,3,2015,,0,-62041,-17,-64764.0,32828,-17279.0,0.0,,,-6616,13879,5669,-217029,0.0,-29580,794.0,154.0,,-17143,-9394,-187531,55957,,-328512,139078,117189,-6835.0,6616.0,19972.0,118013.0,2015年01月01日至2015年09月30日,592998,315841,-277157,201149,-11164.0,213015,213015,254989,-167483.0,,-50000.0,,-167329,201149,-19972.0,-260736,196563,-64173,50000.0,17283,-6827,53840,315841,-61727,,,-2323,0.0,0.0
2016-03-29,4,2015,,-6250,-26542,-6483,-68735.0,12161,,180.0,0.0,,-10525,18634,-5339,-316677,,-29580,794.0,,-28.0,-18936,13989,-252993,140210,,-412336,187019,-12635,,,,164400.0,2015年度,592998,238418,-354580,274456,-23906.0,282657,236856,282657,-167483.0,0.0,,-50000.0,-173761,274456,-19972.0,-303441,147242,-156199,50000.0,21592,-8193,8201,238418,-67238,-67238.0,,-3537,,0.0
2016-08-10,2,2016,,-257859,-20117,7628,5867.0,303,,,,-9094.0,-4556,9783,-8962,-154161,,0,1060.0,660.0,,6501,-16051,158548,-68325,,-145734,101781,-19662,,,,103477.0,2016年01月01日至2016年06月30日,238418,291562,53144,201987,-26391.0,321397,295043,321397,,,49996.0,,-87203,201987,,112040,-96107,15933,120000.0,5153,-788,119410,291562,-25813,-25813.0,,-3803,,
2016-11-10,3,2016,,-274290,-4887,-5478,-1980.0,271,-8418.0,,,,-7088,13718,-18620,-227700,,0,1060.0,649.0,,-9657,1196,39568,-116768,,-235277,154541,188585,-6918.0,7088.0,35536.0,118356.0,2016年01月01日至2016年09月30日,238418,253975,15557,325071,-45622.0,492697,492697,500292,-168794.0,,,0.0,-223243,325071,-35536.0,-10941,67806,56865,220000.0,12478,-3338,175221,253975,-43301,,,-5001,,-808.0
