date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加－處分資產
2013-05-02,1,2013,25598.0,,,-4712,292534,,-315,-151241,-914,38553,10999,1832,6095,,,,,-44976.0,-4271,0,,-2371,9219,-2586,-13116,,,,,,,,,2705,500.0,,0.0,1304,-104440,,,46564,3209,0,-39410,7269,45526,53326,5160,67.0,-228,26590,0.0,0.0,,-991,4359,-7382.0,1668,,,2013年01月01日至2013年03月31日,1545745,1583800,,38055,79794,,,260166,258073,,,,-223496,,-219297,79794,,,325877,-173196,152681,10893,753,,15102,136,,,,,,,-13236,,,,178279,-17157,1583800,425,-403,,,4900.0,,-410.0,,,,
2013-08-06,2,2013,-61721.0,,,-9482,138338,,-126,-217570,1750,93662,-5095,1461,-7664,,4900.0,-100629.0,,,-6631,321,,-6028,19421,-9891,-45688,,,0.0,,-574977.0,,0.0,,-2834,500.0,,-53973.0,8114,-103491,0.0,,-95638,-2084,49961,-27712,-377,-73347,9907,65008,163.0,-528801,52591,0.0,634.0,,10122,7114,-15715.0,4667,0.0,,2013年01月01日至2013年06月30日,1545745,1124144,,-421601,249330,,,-100941,-52988,,,,176975,,218032,249330,,0.0,89648,-330245,-240597,10893,484,,154178,136,,,,,,,-140924,,90000.0,,-302318,-18416,1124144,-52620,-1296,,,0.0,,-23.0,,,,
2013-11-06,3,2013,-66078.0,,,-18038,-140257,,445,-84976,264,66904,-24343,998,-7061,,39550.0,-128655.0,,,-6265,511,,-8583,30062,1940,-59176,,,0.0,0.0,-612177.0,-143.0,-120000.0,,-3629,400.0,,-56653.0,8531,-196385,0.0,,-30874,-4860,0,-29766,9390,-45503,178137,60388,202.0,-467866,80407,443.0,-147.0,,13147,10122,-17689.0,8602,19538.0,,2013年01月01日至2013年09月30日,1545745,1276736,,-269009,361684,,,-50506,23739,,,,312943,0.0,247423,361684,,-1827.0,-161631,-110236,-271867,20007,1303,,246026,4,,0.0,,,28790.0,2159.0,-194910,20504.0,190000.0,,-337945,-24866,1276736,-82847,734,6133.0,,-89750.0,103.0,0.0,,,0.0,
2014-03-12,4,2013,37726.0,,-410000.0,-25552,210801,,389,-356398,-7359,44691,19213,-1011,5974,,656401.0,-136510.0,0.0,,-16073,563,,-12194,41438,10983,-88062,,,0.0,0.0,-651851.0,-1176.0,-120000.0,,14325,400.0,,-123359.0,0,-144994,0.0,-62638.0,10696,-1838,49874,-21033,27763,-1555,154036,56175,6456.0,-538758,108853,-987.0,0.0,75556.0,24030,14369,-25605.0,12426,24631.0,,2013年01月01日至2013年12月31日,1545745,1508840,61762.0,-36905,414701,,,357477,435627,,-225905.0,,132975,,133393,414701,,-1978.0,230345,-247145,-16800,30358,329,,261469,113,7135.0,40197.0,,,28790.0,2159.0,-205277,,199800.0,,20926,-17819,1508840,-90576,987,6133.0,,-89750.0,45644.0,0.0,,,,
2014-05-06,1,2014,-26194.0,,,-7904,-111966,,-11,126457,-302,69451,3225,-253,-6392,,0.0,0.0,37462.0,,-546,677,,-3468,8621,-1039,-4571,,,,,,,-180000.0,,2714,0.0,,,82451,105044,,-10046.0,-208723,-9063,29947,-10219,-57002,21460,-6713,-6264,-532.0,30700,28028,,451.0,,-283,2286,-6739.0,3239,,,2014年01月01日至2014年03月31日,1508840,1602223,10493.0,93383,127841,,,18418,15570,,,,30000,,45304,127841,,,-266041,179964,-86077,0,0,,29346,0,7135.0,,38746.0,,,,-72428,,20000.0,,-112271,5275,1602223,-391,-1014,8513.0,,,390.0,0.0,,,,
2014-08-07,2,2014,-2121.0,,,-15839,105238,,-22,77316,3395,59373,56556,-505,-4770,,0.0,-159838.0,,,-8360,2727,-7900.0,-7081,16487,-8038,-21606,,,,,0.0,-39.0,-210200.0,,5877,0.0,,-3005.0,98952,185285,,-22106.0,-154954,-13356,29924,-60502,-34460,6485,-26358,-9229,-576.0,-463960,55640,-579.0,0.0,,-9663,4134,-12690.0,7028,3039.0,,2014年01月01日至2014年06月30日,1508840,1425516,22371.0,-83324,256822,,,424279,474130,,,,-37000,,-35605,256822,,,-34791,254220,219429,0,0,,29346,0,23882.0,,38746.0,,,,-72428,,110200.0,,217308,31092,1425516,-56879,835,8513.0,,,3200.0,0.0,-367804.0,,,
2014-11-06,3,2014,7018.0,,-320000.0,-22130,-208563,,141,13320,-751,20575,19024,-673,-453,,0.0,0.0,83490.0,,-8426,1759,-7900.0,-8911,23630,1372,-16145,,,,,-78945.0,-190.0,-210200.0,,8656,0.0,-9500.0,-6716.0,104412,31757,,-33919.0,-84398,-7523,29988,-14490,-20090,-20722,61723,-6538,-550.0,-41006,83923,34.0,0.0,24500.0,-29520,6017,-18932.0,8823,8414.0,,2014年01月01日至2014年09月30日,1508840,1106052,34721.0,-402788,379133,,,157741,246317,,-225905.0,,2000,,-520895,379133,,-5526.0,-216368,76534,-139834,15000,704,,33262,1670,23882.0,86078.0,38746.0,,0.0,0.0,-76564,7851.0,320400.0,,-132816,79079,1106052,-97399,30,8513.0,,-57494.0,2198.0,,-367804.0,-736.0,,
2015-03-12,4,2014,52935.0,,-320000.0,-28545,-231868,,5266,273687,-8138,101994,50645,-672,5042,,0.0,-241851.0,,,-11661,8253,,-15567,31838,19792,-29641,-136742.0,,,,-78945.0,-512.0,-384465.0,,30979,0.0,-9397.0,-6602.0,106077,38700,156701.0,-49538.0,27686,-651,50039,-88470,-8806,-11308,77468,-1301,148.0,-347658,113365,547.0,,24500.0,-38467,9689,,15603,9741.0,,2014年度,1508840,1973714,51324.0,464874,470414,,,736736,820645,,-225905.0,,494000,,56004,470414,6809.0,-6702.0,-117728,415024,297296,15000,4088,,70722,4750,23882.0,164643.0,38746.0,,0.0,0.0,-95196,7851.0,110200.0,,350231,68292,1973714,-99512,-438,8513.0,,-57494.0,1576.0,,-18000.0,-965.0,,
2015-05-07,1,2015,,0.0,,-5359,-54935,,-5808,-324918,-7994,20487,-52404,0,7773,,146839.0,,296657.0,,-637,5297,,-11585,8429,-12920,-13046,,,,,,-140.0,,-39263.0,6446,,,-11045.0,10210,94257,,-10113.0,-171059,-10698,94950,-591,-14490,-6138,45101,-129,,291733,29294,97.0,0.0,,-16575,3031,-5148.0,11504,,-10732.0,2015年01月01日至2015年03月31日,1973714,1908713,9773.0,-65001,121325,-1227.0,,-350096,-361217,,,300000.0,-540000,,6282,121325,,,-212622,-259188,-471810,15000,2546,,41154,-654,0.0,,0.0,,,,-29326,,,0.0,-482542,11112,1908713,-383,876,0.0,,,0.0,-328.0,,-246.0,,
2015-08-06,2,2015,,,,-9637,293738,,-5935,-406545,-7826,-2278,8856,0,14182,,146839.0,-8973.0,,,-938,5454,0.0,-23707,17069,-24491,-17615,,,,-3078.0,-76363.0,-147.0,,-414502.0,5009,79.0,,-16960.0,16460,154826,,-25068.0,-93838,-11320,99947,-1983,10248,-24500,18589,2559,,-99106,57742,-4291.0,-139.0,,-38730,6152,-9246.0,23689,3500.0,-28804.0,2015年01月01日至2015年06月30日,1973714,2321525,24552.0,347811,275610,9297.0,,222426,237895,,,300000.0,-294000,,248982,275610,,-2871.0,232039,-240950,-8911,15000,2430,,79351,-494,0.0,,0.0,,,,-56226,,,332275.0,-37715,48649,2321525,-39158,4210,4243.0,,,0.0,-685.0,0.0,-11200.0,,
