date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-06,1,2013,32771.0,,-200000.0,-139980,-46702,-144911,-24903,-437568.0,0.0,,-4410.0,0.0,,-20930,4965,24207,-75647,,,,-13282,8493,6112,0.0,-8955.0,0.0,94799,,,0.0,-79954,-52602,0.0,-99980.0,-182206,-62073,17737,1528.0,-437038,112643,-80000,,2692,-5174,20930,,,2013年01月01日至2013年03月31日,1461646,644335,1431,-817311,337987,,-369705,-328509,,259093.0,,-34775,337987,5218.0,,-415919,-283348,-699267,0.0,81894,,8140,,0,0,-89739.0,-666496,644335,-36022,-142,,,,
2013-08-07,2,2013,20934.0,,0.0,8677,-46462,-41366,-112714,-520241.0,,,-304.0,,,-41435,9563,50133,-101190,,,,-13944,27372,10230,,-7037.0,,-71120,,,0.0,57385,-11056,0.0,-249976.0,-348434,-9105,4870,3103.0,-498914,226288,-60000,-213897.0,5569,-9947,41435,,,2013年01月01日至2013年06月30日,1461646,1041830,7544,-419816,716133,,13293,110845,,255418.0,,15672,716133,5218.0,,16743,-642965,-626222,,32621,,13528,,-18531,69746,,-605288,1041830,-87605,-285,,,,
2013-11-12,3,2013,17062.0,,,10568,-52630,-12286,-114126,-771339.0,,3005.0,13419.0,,,-77025,16123,45467,-164756,,,-36765.0,-14648,39188,28382,,-7720.0,,-198582,,,0.0,79824,38168,49948.0,,-298441,2411,72550,4358.0,-582817,320655,19799,-305564.0,8349,-16177,77025,142164.0,,2013年01月01日至2013年09月30日,1461646,1088417,29036,-373229,1092753,,507865,664433,-930681.0,508607.0,,-343744,1092753,5218.0,-12816.0,120632,-566014,-445382,0.0,110057,,10921,,-18531,69746,,-428320,1088417,-140391,-312,,,,1820.0
2014-03-18,4,2013,89616.0,,-200000.0,193111,-49515,92652,-44009,-840243.0,,4554.0,7127.0,,,-113651,22350,76301,-183140,,-39377.0,-84806.0,-23834,21973,43665,,-5313.0,,-246988,,339179.0,0.0,188725,97752,0.0,-50003.0,-107053,17656,51800,8589.0,-791998,426039,-50201,-319090.0,11160,-22295,103481,142164.0,,2013年01月01日至2013年12月31日,1461646,1890973,45471,429327,1430962,,1510833,1677651,-930681.0,432031.0,0.0,-365809,1430962,5218.0,-12816.0,580829,-423756,157073,0.0,62197,,19700,0.0,-18531,69746,,246689,1890973,-144523,-403,,,,2196.0
2014-05-06,1,2014,21914.0,,0.0,-231262,-36841,2168,-16625,-978958.0,,684.0,0.0,-5108.0,,-46075,6432,11689,-5799,,,-200002.0,-806,-7176,7254,,0.0,-8411.0,92388,,,,-180357,-122230,,-199973.0,-148864,10343,25406,1756.0,-1040158,108161,20182,-4804.0,2993,-6133,28816,,,2014年01月01日至2014年03月31日,1890973,604637,10692,-1286336,340772,,-256136,-220566,,80988.0,,-1731,340772,0.0,,-529925,-53327,-583252,110000.0,2538,,4980,,-53195,127572,,-561338,604637,-29437,-94,,,,
2014-08-05,2,2014,67156.0,9232.0,,-64552,-30820,-170177,-51740,-718393.0,,-120.0,-27986.0,,,-93689,12901,-18030,-33051,,,-423153.0,-2754,3599,16820,,-831.0,,-18254,,,,-39379,-106507,,-100024.0,-250786,-4639,-6625,3490.0,-969152,210425,-44818,-36420.0,5955,-14463,54554,,,2014年01月01日至2014年06月30日,1890973,784558,30285,-1106415,713398,,-107912,-4373,,0.0,-128117.0,-11321,713398,0.0,,-377125,-407802,-784927,200000.0,4189,,9055,,-67303,169041,,-717771,784558,-89076,-151,-8306.0,,,805.0
2014-11-12,3,2014,21564.0,9232.0,,-38711,-20140,-163438,-50795,-1244655.0,,12313.0,-32443.0,0.0,,-139802,20166,-10114,-55954,,,-527399.0,-2750,1631,35612,,-13867.0,,-251382,,,,2364,-105055,149950.0,,-166051,-82154,6927,5104.0,-644325,311437,-19731,-126090.0,8903,-21290,85838,303481.0,,2014年01月01日至2014年09月30日,1890973,901212,51512,-989761,1106225,,108238,257040,-1042681.0,213559.0,,-443560,1106225,0.0,-12803.0,-299736,-571013,-870749,200000.0,6799,657399.0,17651,,-104318,169994,,-849185,901212,-127512,-290,-8306.0,,,1873.0
2015-03-17,4,2014,184864.0,9232.0,0.0,74142,-24501,112165,-29793,-2062407.0,,21683.0,-22048.0,,,-189430,27536,4668,-106325,,0.0,-637853.0,-3230,-3968,54886,,0.0,1759.0,-398771,-54343.0,0.0,,2178,-78976,299902.0,0.0,-22994,-10916,4181,7194.0,-1608461,412148,-109730,-94641.0,11899,-27514,125720,303481.0,,2014年度,1890973,1041662,66756,-849311,1321287,,885541,1052013,-1042681.0,318634.0,,-131059,1321287,0.0,-12803.0,116703,-570841,-454138,215700.0,10160,657399.0,24878,,-104318,169994,,-269274,1041662,-138958,-426,-8306.0,22500.0,48855.0,6684.0
2015-05-05,1,2015,,,-140000.0,-279642,-63749,-347709,63454,0.0,1037197.0,6030.0,7480.0,0.0,-68571.0,-53257,6312,4668,-45278,,,-326138.0,-946,8498,5499,,,-26509.0,43405,-42392.0,,,-252853,-23095,,-220029.0,-123758,-14998,31352,,765288,104336,165376,-36616.0,3068,-6919,158288,,-19442.0,2015年01月01日至2015年03月31日,1041662,753827,12457,-287835,361371,5685.0,-514813,-448573,,0.0,-188448.0,-542978,361371,,,-897614,107112,-790502,0.0,3586,,4460,,0,0,,-809944,753827,-59321,-129,,,,
2015-07-28,2,2015,,105.0,-60000.0,-253036,-28201,-336660,81246,0.0,1662685.0,8159.0,0.0,8261.0,-68571.0,-108000,12915,-11961,-63046,,,-326185.0,-1029,25477,14839,,-28916.0,,51673,-42392.0,,,-244439,20346,,-10184.0,-208528,-21566,19040,,1428770,208416,180395,-99057.0,6226,-14065,212638,,31316.0,2015年01月01日至2015年06月30日,1041662,1737485,45704,695823,737517,5292.0,-120761,42554,,,-544880.0,-600225,737517,,,-808497,82218,-726279,0.0,6649,,8459,,0,0,,-694963,1737485,-149250,-148,-105.0,,,
