date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,,276253.0,-16920,-141064,12500.0,50,4083,8440,-3155.0,150,,,,,,0.0,-7053,7697,-31664,-218387,,-48060,,-290,,,,2302,,,,,,,-26258,0.0,,61171,-259.0,,-12966,,,-2936.0,92306,-2230,2280,,-107945,283938,-33980,1592,-4520,7235,,2013年01月01日至2013年03月31日,2127410,2345072,217662,157464,,,408048,407200,,0.0,-130921,-50777,157464,,-79690,53173,-26517,100000,7917,-7890,150875.0,,249736,2345072,-1867,,-10022,,,5689,12415
2013-08-12,2,2013,985.0,547106.0,-248948,-54237,0.0,-439,-40305,7266,-15005.0,110,,,,-23209.0,,,-15285,13864,4907,-427560,-56250.0,-48880,,-9504,,,,3766,,,100.0,0.0,,2709.0,-17670,0.0,0.0,34511,8.0,,-12342,,,-1120.0,-5655,-1013,11632,,407210,558100,35648,3551,-13333,15169,,2013年01月01日至2013年06月30日,2127410,3247053,1119643,458580,,,848691,955736,,,-34947,-141165,458580,,-87370,37420,-49950,200000,45445,-25647,845000.0,,497156,3247053,-108881,,-3538,,,11310,30750
2013-11-12,3,2013,,827445.0,-396300,-140696,,-1166,11001,10617,-14173.0,200,,,,1231.0,,2791.0,-21551,17197,7834,-849692,-56250.0,-48330,,-5212,,,,3771,,,,-2552.0,,2709.0,-37573,0.0,0.0,76156,-259.0,,-15830,,,-1121.0,-97369,22108,7176,,291790,830468,35647,5434,-22094,21049,,2013年01月01日至2013年09月30日,2127410,3599059,1471649,777314,,,1383889,1494284,-755241.0,,-20400,-211864,777314,,-83801,-26674,-110475,1020000,48895,-20924,1143420.0,,716970,3599059,-109350,,-5864,,,16123,32455
2014-03-18,4,2013,0.0,1147899.0,-1046607,-19731,,-16292,-4717,6902,0.0,-2363,,,,-28283.0,0.0,0.0,-30782,25423,6810,-1094602,,-49190,,-6079,,,,11468,71107.0,0.0,0.0,-1722.0,2869.0,,-39375,0.0,,-1711,0.0,,-4110,,0.0,0.0,56584,6682,6414,-16667.0,194450,1111562,25798,7490,-32732,29569,,2013年01月01日至2013年12月31日,2127410,4147114,2019704,989654,,,2079877,2193083,-755241.0,,-172720,-261433,989654,29452.0,-46936,102466,55530,1700000,61932,-22694,1279520.0,,1203429,4147114,-110043,,-12788,0.0,-56250.0,28768,86399
2014-05-09,1,2014,,261351.0,-382580,-20017,0.0,-63918,5524,971,0.0,870,,,29514.0,,,201.0,-7097,8609,-460,-282006,,190,,0,-870.0,,,3933,,,,800.0,,,6352,,0.0,94696,,,-897,0.0,,0.0,-28666,-375,-740,853.0,-250704,261133,0,2022,-8979,7713,,2014年01月01日至2014年03月31日,4147114,4453368,306254,281582,,,535274,538318,,,43924,22144,281582,,80159,-84774,-4615,360000,2468,-1128,0.0,,256736,4453368,-1778,,-6322,,,0,732
2014-08-07,2,2014,,477464.0,-421121,57651,,-49783,3620,2276,0.0,987,,,,29514.0,,0.0,-14677,18131,-1996,-550763,,1080,,-9705,,,,7749,,0.0,0.0,690.0,0.0,,50314,0.0,0.0,11160,0.0,,-2970,,0.0,0.0,-141714,197,-2306,1713.0,-481835,519365,-79999,4259,-17747,14861,,2014年01月01日至2014年06月30日,4147114,4678080,530966,667633,,,871697,1014838,,,-96469,143100,667633,,71174,-201433,-130259,660000,75398,-73448,2155.0,,347205,4678080,-140255,,-9534,0.0,0.0,25619,-10919
2014-10-31,3,2014,,771139.0,-1104992,-53772,,11719,118455,3856,2149.0,169,,,,29514.0,,6260.0,-23851,28615,84,-1149748,,-150,,-10556,,,-12000.0,7609,,,0.0,691.0,876.0,,71202,0.0,,-28617,0.0,,-2970,,0.0,,-150131,-440,-4408,,-1088065,788407,-255000,8980,-28184,23970,,2014年01月01日至2014年09月30日,4147114,4086752,-60362,998660,,,1284621,1479025,-653556.0,,150855,-257002,998660,,35245,-326019,-290774,1350000,84133,-82157,-620.0,,480365,4086752,-190190,,-6056,,0.0,43332,-32500
2015-03-10,4,2014,,1047634.0,-1162805,24215,,23722,-5964,-5427,,232,-326778.0,,,29514.0,,4627.0,-34575,28513,3168,-1717339,,-1730,,-12493,-32090.0,,,14627,0.0,,,995.0,572.0,,112999,,,-2967,,,-51248,,,,-13486,870,-3296,2594.0,-1556829,1062373,-345916,10361,-39086,33708,,2014年度,4147114,3981222,-165892,1240348,,,1815455,2011791,-326778.0,,-162320,-427686,1240348,,-33370,-242821,-276191,1550000,206251,-87222,0.0,,771443,3981222,-190958,,-9694,,0.0,58624,-42033
2015-05-07,1,2015,0.0,,-312608,-107411,,-6770,-4497,7855,0.0,180,,0.0,,,,-4627.0,-8635,6115,-1274,-586058,,480,,-479,,0.0,,7862,,0.0,0.0,-1340.0,,,-5250,0.0,0.0,-3940,,,410,,0.0,0.0,112619,1493,2642,,-583988,272919,54282,2428,-10548,9379,270966.0,2015年01月01日至2015年03月31日,3981222,4194211,212989,183521,157.0,,506231,508243,,,205968,292020,183521,,-115281,169037,53756,400000,39,-39,,2030.0,324722,4194211,-843,,-5252,0.0,0.0,195,1986
2015-08-12,2,2015,,,-524870,-17833,,-22287,-4890,8489,0.0,-2802,,,,0.0,,-4627.0,-17025,21240,5138,-1461444,,1190,,1369,,,,4704,,0.0,0.0,-90.0,,,-22203,-76751.0,0.0,-17517,,,787,,0.0,0.0,-44989,2242,3603,,-1440937,569544,-12218,4214,-20413,17608,577657.0,2015年01月01日至2015年06月30日,3981222,3787287,-193935,452021,283.0,4582.0,729381,877599,,,564194,512483,452021,,-39170,-112909,-152079,550000,13366,-840,,,425578,3787287,-145413,,-3314,0.0,0.0,3761,-22744
