date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-07,1,2013,93074.0,,-11419,-2422,-807,-878,79.0,-633,3366.0,-4636,10330,5063,-80623,,,-2453,-6981,6,,,9624.0,5714,0.0,-138659,-21584,-1732,209120,24974,19409,,,-70277,109669,-29949,-8687,2591,-10188,3648,7880,,2013年01月01日至2013年03月31日,2882570,3380291,497721,118169,,244551,243447,,,-90054,318384,118169,,-7880,-172294,204498,32204,408432,28,3147.0,-16,,,-3198,,125278,1828,3380291,-236,871,0.0,,-2355.0,-20837
2013-08-13,2,2013,233619.0,0.0,32475,-10845,-25726,-1571,,-1466,,-10526,22032,8599,-142666,,,-3877,16752,9,,,8368.0,61764,0.0,-2444,-97694,-484,36885,-6434,5626,,517.0,-125241,222699,-150062,-17151,4892,-21829,7546,7880,,2013年01月01日至2013年06月30日,2882570,3646676,764106,240060,,252286,294813,,,-211865,628462,240060,7476.0,-7880,-93033,-85833,-178866,840318,9787,3147.0,-4187,,,-3085,,54753,323,3646676,-36124,1364,6000.0,,-4767.0,-19730
2013-11-12,3,2013,354743.0,-72353.0,4881,-4930,-8411,-6362,,3555,,-16477,35045,6695,-204441,-25533.0,,-9361,22377,7,,,9946.0,-18919,0.0,61504,-280170,-6322,130709,-62904,3914,,934.0,-216419,334409,-170834,-23087,7375,-34575,12240,27000,,2013年01月01日至2013年09月30日,2882570,3361131,478561,392455,,333357,381192,-245548.0,,-206272,354928,392455,11041.0,-7880,-224680,-141326,-366006,879094,9823,3147.0,-3859,,,-2313,,-11263,2904,3361131,-52500,-697,6000.0,,-7191.0,-15555
2014-03-25,4,2013,502757.0,-96471.0,17334,-4116,-19421,-380,,5128,,-20280,48236,9998,-249515,-25532.0,,-10007,29928,11,,,13459.0,52464,0.0,30293,-345685,7551,179324,-44005,6985,,1345.0,-258551,450393,-220834,-30697,9960,-47442,16958,27000,,2013年01月01日至2013年12月31日,2882570,3614203,731633,518202,,620363,677547,-245548.0,2066659.0,-2249092,359823,518202,13881.0,-7880,-305000,-38412,-343412,884264,9897,3147.0,-3695,,,-2313,,159345,3583,3614203,-53700,722,6000.0,8502.0,,-12978
2014-05-07,1,2014,104919.0,-96471.0,9091,-3875,71386,908,,-25600,,-6455,13971,-278,-34114,-68.0,-74429.0,-2496,2627,116,,,1010.0,-21309,,-76351,30318,-14641,-19334,46831,12090,,682.0,-110097,109261,-74675,-2795,2714,-13759,5427,14720,,2014年01月01日至2014年03月31日,3614203,3871335,257132,188321,,212181,206297,,1077306.0,-889488,155326,188321,2010.0,-14720,15850,-102793,-86943,63863,0,0.0,0,,,-27,,17976,-4635,3871335,-504,-1667,0.0,,0.0,-17829
2014-08-08,2,2014,216073.0,-66405.0,93937,2425,78937,1751,,-8998,,-11166,28653,-3612,-119241,-68.0,-74429.0,-3676,-5245,110,,,-746.0,49209,,-57495,-7338,-17737,-130563,47112,9462,,1197.0,-197881,216114,-199835,-4758,5351,-27847,11395,14720,,2014年01月01日至2014年06月30日,3614203,3840155,225952,364227,,402740,408489,,2052556.0,-1961556,24705,364227,4059.0,-14720,87624,-259435,-171811,0,279,0.0,-12,,,1131,,44262,-3877,3840155,-4017,-3334,0.0,,0.0,-29998
2014-11-12,3,2014,336749.0,-59763.0,77993,-7879,172067,2410,,-8864,,-17673,43098,-92,-209108,-18626.0,-74429.0,-9787,-10923,131,,,144.0,-50182,,61133,-51984,-18727,-39135,49521,-4115,,1691.0,-311514,319178,-159528,-15951,8655,-43082,24837,45187,,2014年01月01日至2014年09月30日,3614203,3887881,273678,542518,,909415,887006,-326732.0,1737053.0,-1674820,-324131,542518,5276.0,-14720,233323,-225584,7739,0,292,0.0,17,,,824,,344488,-8850,3887881,-4533,2192,16776.0,,0.0,-7812
2015-03-23,4,2014,533207.0,-200980.0,26297,120,14862,2021,,7499,,-24226,56670,5295,-288853,-18626.0,-74429.0,-11042,-12634,130,,,-1530.0,-3215,,2682,-31856,-18189,64502,44647,-5658,-252.0,2267.0,-394159,428171,-239680,-25835,11628,-56754,30789,45187,,2014年度,3614203,3840208,226005,667750,,1068577,1055256,-326732.0,2337053.0,-2263179,-453708,667750,5276.0,-14720,-12522,-133179,-145701,0,321,0.0,176,,,824,,387506,-8585,3840208,-5901,-808,16776.0,,91909.0,-3163
2015-05-12,1,2015,,-30768.0,63038,-6110,19734,-807,,-16894,,-5833,12340,-1042,-55461,0.0,0.0,-3063,7053,856,,-1463.0,,-7345,,-117433,-72492,-715,11572,35432,502,252.0,,-58735,103577,-70000,-4039,3178,-12503,5466,13020,126480.0,2015年01月01日至2015年03月31日,3840208,3769245,-70963,140222,633.0,91515,88686,,517161.0,-589950,-102701,140222,0.0,-13020,-114652,-63364,-178016,0,1252,,-1245,,,0,,-51536,-7417,3769245,-3154,-4341,,28945.0,-135.0,-9966
2015-08-11,2,2015,,-163246.0,105125,-5939,23094,1741,,-418,,-12447,24034,-4670,-181552,0.0,0.0,-5121,-2965,0,-10.0,-25395.0,,67373,,-125860,-118346,-2494,11275,27037,459,252.0,,132423,202448,-100000,-10123,6756,-24397,11056,13020,175164.0,2015年01月01日至2015年06月30日,3840208,4041356,201148,321003,1318.0,310212,324826,,924690.0,-998251,-236817,321003,0.0,-13020,-124566,-46775,-171341,0,1597,28019.0,-929,,-25385.0,-18466,314875.0,3823,-7403,4041356,-14293,-3415,,28945.0,-269.0,-48555
2015-11-10,3,2015,,-229174.0,53020,-9335,100131,1741,,-1683,,-19615,35265,8773,-325168,0.0,0.0,-10561,2217,1051,,-22052.0,0.0,-109070,,-76363,-159609,-2474,2226,28874,13041,252.0,,-1006,299381,-160000,-24382,10214,-35366,17793,33331,263796.0,2015年01月01日至2015年09月30日,3840208,3706724,-133484,510234,2053.0,379953,380238,-408417.0,1365927.0,-1349351,-521204,510234,0.0,-13020,-90735,-303057,-393792,98760,2444,39456.0,-1461,314875.0,-25385.0,-25597,,-129996,-7493,3706724,-16043,-2371,0.0,28945.0,-395.0,-69103
2016-03-25,4,2015,,-448781.0,94581,-3239,-8421,512,,1586,,-25502,46111,11857,-444085,0.0,0.0,-11026,13182,4,,-21481.0,,73857,,-158267,-136522,-3207,172305,48733,13156,252.0,,-86238,397431,-160000,-25998,13563,-46403,26500,33331,302738.0,2015年度,3840208,3919862,79654,709276,-52150.0,863668,866779,-408417.0,1539093.0,-1546167,-709633,709276,0.0,-13020,-263119,117884,-145235,154635,3270,72209.0,-1476,314875.0,-25385.0,-89582,,157503,867,3919862,-16539,-5541,756.0,28945.0,-10746.0,-29278
2016-05-12,1,2016,,-801281.0,-1715,19271,326414,-1075,,5884,,-4796,10329,102,-70184,,,-2623,-1566,2,,-3626.0,,-26789,,145,-42168,2373,-9395,-15627,3886,0.0,,-73100,95455,0,-3068,3323,-10784,4829,14230,81878.0,2016年01月01日至2016年03月31日,3919862,4015700,95838,140979,142.0,493586,488421,,645636.0,-906818,-324750,140979,,-14230,284318,-18754,265564,737711,3154,179.0,-124,,,-179,,347442,-873,4015700,-3110,-926,,0.0,-2340.0,5091
2016-08-11,2,2016,,-1731500.0,117635,16908,29000,-579,,4487,,-9392,19253,-2065,-142885,,,-4125,23543,1067,,-13532.0,,-144810,,191319,-75674,632,-239701,-21639,1330,0.0,,112322,190815,0,-12039,6426,-19990,9854,14230,40426.0,2016年01月01日至2016年06月30日,3919862,3840490,-79372,443817,244.0,272668,346863,,1046510.0,-1296005,-462297,443817,,-14230,261858,-399238,-137380,1517631,3003,63049.0,483,206812.0,-109939.0,-49809,,-96954,-1298,3840490,-78289,-1782,,0.0,-2903.0,-15234
2016-11-11,3,2016,,-2812232.0,29997,20140,30267,558,,2773,,-13952,27021,-4897,-223213,,,-11589,27316,1027,,-18640.0,,-171630,,91982,-55659,672,-287271,-49632,-3325,-252.0,,174543,287707,55290,-12039,9419,-28127,14680,51951,8894.0,2016年01月01日至2016年09月30日,3919862,2880443,-1039419,765659,489.0,347400,421627,-544554.0,1113133.0,-1374248,-1556465,765659,,-14230,96302,-449228,-352926,2060409,2946,63049.0,501,361990.0,-151637.0,-146256,,-344032,-1446,2880443,-112731,-2053,,0.0,-2903.0,-15879
