date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-04-26,1,2013,421364,,142036,-142156,45453,5383,11730,,-26871,2886,657588,-14919,0,-233234,-722,-94051,-215720,-2292,-467441,,-248875,51531,379581,-2886,26871,2013年01月01日至2013年03月31日,28861795,30319572,1457777,1286076,1049064,1026065,,,1286076,-18793,-662582,-681375,,,13985,,-260011,,30319572,-986,252,35683
2013-08-01,2,2013,778033,-130200.0,477207,-29565,-149199,5410,1436,,-121227,5465,823883,-38513,0,-537762,-428,-463246,291626,-4594,-248463,,-576363,100351,759486,-5465,121227,2013年01月01日至2013年06月30日,28861795,31836417,2974622,3037514,2857302,3666519,,-130200.0,3037514,616476,-765504,-149028,340.0,,28400,2360.0,629005,0.0,31836417,-924979,3198,-29640
2013-10-31,3,2013,1196143,-130200.0,432504,-251583,-147083,6241,531,-8398.0,-148845,7865,459252,-73483,0,-686867,1240,-780817,113563,1059,-573637,0.0,-758731,146806,1150919,-7865,148845,2013年01月01日至2013年09月30日,28861795,29046693,184898,4830320,3818630,4852808,-3195655.0,-3334253.0,4830320,400574,-1574229,-1173655,379.0,0.0,28852,2375.0,22488,,29046693,-1175158,8171,25567
