date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付設備款增加,預付設備款減少
2013-05-15,1,2013,6482.0,-9547,,3069,,,761,1111,-1765.0,,-707,20,43,-895,,195.0,,,181.0,5402,-2738,-4301,227,-45725,,-171,2951,3067.0,-68,686,,2013年01月01日至2013年03月31日,188051,151550,-36501,11210,-36500,-37118,0.0,,127,11210,-15598,-39212,-54810,19.0,,-19.0,-48328,151550,-68,1170.0,-780.0,
2013-08-07,2,2013,10319.0,10964,,596,,-1388.0,2132,1714,,,-1611,34,20,-2637,,,-111.0,,181.0,5380,15833,-1666,-353,-32359,,-4205,5836,4960.0,-148,1584,,2013年01月01日至2013年06月30日,188051,192351,4300,5355,18596,17319,-10000.0,,-10111,5355,26910,-25265,1645,19.0,-130.0,-19.0,11964,192351,-159,1249.0,-976.0,
2013-11-07,3,2013,14802.0,1468,,9026,,-4393.0,65,1407,,,-2528,44,64,-6428,,,-61.0,,181.0,5337,39496,254,14553,-133206,,-4199,8732,6898.0,-93,2509,,2013年01月01日至2013年09月30日,188051,160341,-27710,30144,-23514,-25680,0.0,,-61,30144,55836,-126462,-70626,38.0,-131.0,111.0,-55824,160341,-250,1676.0,-2623.0,
2014-03-21,4,2013,11767.0,2861,,9212,,466.0,828,-1431,,,-3486,120,87,-7694,,,273.0,-16047.0,,-10470,2459,-2803,-3566,-1568,-560.0,-16299,11653,,-174,3459,,2013年01月01日至2013年12月31日,188051,183474,-4577,20906,21362,18423,-10000.0,,-9727,20906,-221,-14029,-14250,52.0,-136.0,96.0,-2483,183474,-346,3520.0,-2288.0,
2014-05-07,1,2014,1997.0,-10441,,-2435,,-74.0,-609,1563,,,-952,46,4,-4419,,,-97.0,16178.0,,11394,-7698,225,6993,-41226,1080.0,9502,2911,,-30,953,,2014年01月01日至2014年03月31日,183474,173718,-9756,6663,-29165,-30059,10000.0,,9903,6663,-11530,-27189,-38719,0.0,-8.0,0.0,-36722,173718,-29,0.0,252.0,
2014-08-06,2,2014,3927.0,-7388,,584,,877.0,-441,1826,,,-1925,69,-1,-4718,,,37.0,16082.0,,13535,11589,1464,-5987,-30385,1080.0,12509,5779,,-69,1930,,2014年01月01日至2014年06月30日,183474,190197,6723,6509,-5822,-4271,0.0,,37,6509,-763,-13944,-14707,0.0,4.0,0.0,-10780,190197,-3412,0.0,-316.0,
2014-11-05,3,2014,5754.0,-5399,,3178,,-676.0,-333,1728,,,-2871,89,1016,-4953,,,113.0,16082.0,,10341,30885,3185,19012,-121574,1080.0,11636,8551,,-89,2875,,2014年01月01日至2014年09月30日,183474,173203,-10271,24335,-33036,-30986,10000.0,,10113,24335,47350,-108425,-61075,4.0,-11.0,-4.0,-55321,173203,-4836,0.0,-1999.0,
2015-03-20,4,2014,21799.0,-439,,3983,,-11863.0,-109,3262,,,-3901,107,8,-5215,,,-11.0,15831.0,,7621,-11837,-1002,3049,-7505,1080.0,-2073,11296,10774.0,-107,3897,,2014年度,183474,212693,29219,16526,31295,32445,,0.0,-11,16526,-10338,4458,-5880,4.0,-473.0,-4.0,15919,212693,-4940,4000.0,-4813.0,
2015-05-08,1,2015,,-1202,,829,1154.0,,702,717,-2352.0,,-1029,1,-2,-2655,,133.0,,,356.0,-865,16199,881,10752,-52955,0.0,-3822,2792,2923.0,-1,1029,4687.0,2015年01月01日至2015年03月31日,212693,203439,-9254,13595,-5563,-6335,0.0,,133,13595,27332,-51949,-24617,,0.0,,-19930,203439,-256,,,0.0
2015-08-04,2,2015,,2228,,1652,1153.0,,-645,-691,,11063.0,-2068,2,-5,-3486,-350.0,201.0,,-2616.0,,4731,20202,1398,-3207,-29121,0.0,6613,5411,6023.0,-2,2077,9018.0,2015年01月01日至2015年06月30日,212693,239638,26945,15147,20136,20213,,,201,15147,19976,-23928,-3952,,0.0,,5066,239638,-2152,,0.0,
