date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加
2013-05-03,1,2013,,34158.0,,-19743,17885,,-285,-55678,,,,,8683.0,-2,2354,226,-27628,0.0,2607,-91.0,,-37171,6126,11920,-31504,9300,-114.0,-27719,20040,,476,-2372.0,2,,,2013年01月01日至2013年03月31日,81332,39282,-42050,60419,,12686,15056,,0.0,-7500.0,-27243,60419,,35532,-115053,-79521,0.0,,,,-45363,39282,0.0,,
2013-08-07,2,2013,,47955.0,,-38694,22028,,417,-10,,,,,,-29,4718,277,-40409,-840.0,1868,-798.0,,-54892,-1570,11058,18070,6675,-241.0,-114768,40447,,934,-4717.0,29,,,2013年01月01日至2013年06月30日,81332,70621,-10711,113888,,127474,159534,,0.0,-15000.0,-23694,113888,,31692,-34001,-2309,30000.0,,17.0,,45646,70621,-27372.0,-3844.0,-72721.0
2013-11-13,3,2013,,77539.0,,-197359,3584,,679,-270,,,,,,-29,7205,154,-59878,-1200.0,4158,-804.0,,-48793,-1082,4986,-38251,5357,-352.0,-162153,63434,1313.0,1437,-7153.0,29,,,2013年01月01日至2013年09月30日,81332,62783,-18549,159806,,108309,160250,,12500.0,,35141,159806,,7815,-84910,-77095,220000.0,,21.0,,444,62783,-44817.0,-2953.0,-100271.0
2014-03-21,4,2013,,101205.0,,-252686,8612,,-985,403,,,,,,-52,9785,220,-78753,-1200.0,1727,0.0,416.0,-23350,3356,-8301,-48170,4295,-462.0,-182662,86812,1002.0,1918,-9752.0,52,7.0,,2013年01月01日至2013年12月31日,81332,68314,-13018,234063,,215157,270666,-23047.0,5000.0,0.0,-45733,234063,-7.0,2220,-66822,-64602,225000.0,,20.0,,36603,68314,-45816.0,,-103125.0
2014-05-08,1,2014,,35089,,-35160,625,,222,-2984,,0,,,0,-2,2325,178,-8729,,6096,-1271,,30613,-591,3633,-18446,-7773,-108,-37488,25800,392,478,-2342,2,,,2014年01月01日至2014年03月31日,68314,85923,17609,59639,,97579,99919,,,-7500,-42660,59639,,3781,1410,5191,,,,,40280,85923,,,-27488
2014-07-30,2,2014,242.0,71408.0,,-55364,-288,,498,-158,,0.0,,,,-45,4452,-10,-22107,-828.0,11253,-1580.0,,23961,7997,5719,45531,-18882,-194.0,-121810,53597,941.0,969,-4480.0,45,,,2014年01月01日至2014年06月30日,68314,77493,9179,96928,,201363,226594,,,-15000.0,-70364,96928,,13732,44526,58258,0.0,1.0,-1.0,,129666,77493,-20796.0,-5926.0,-97296.0
2014-11-05,3,2014,242.0,95378.0,,-77386,-10678,,1692,-1073,,,,-92560.0,,-46,6686,-93,-37779,-829.0,3720,-1566.0,,43187,2803,2304,-39097,-3612,-280.0,-132733,81802,1486.0,1489,-6629.0,46,,,2014年01月01日至2014年09月30日,68314,174005,105691,187572,,231438,274203,-30535.0,0.0,-20000.0,7079,187572,,-4159,-4588,-8747,135000.0,1.0,,-1.0,86631,174005,-36182.0,-3993.0,
2015-03-20,4,2014,242.0,121111.0,,-103005,10650,,495,-432,,,,,,-110,9220,534,-66502,-828.0,-3769,,76.0,32412,16165,38830,-41520,-5578,-369.0,-187245,110998,2532.0,2011,-9148.0,110,12.0,,2014年度,68314,329048,260734,320362,,438485,485782,-30535.0,7500.0,,8960,320362,-12.0,65771,-21462,44309,135000.0,1.0,-1.0,,165420,329048,-38271.0,-6344.0,-119992.0
2015-05-06,1,2015,,,,-25641,26731,,1129,-3975,-10037.0,,,,,-2,2477,-102,-9539,,377,-1657.0,,-6206,-3383,4880,-69914,-2396,,-119861,30374,712.0,516,-2496.0,2,,34454.0,2015年01月01日至2015年03月31日,329048,302520,-26528,160861,-128.0,126576,129070,,,-7500.0,-33141,160861,,29229,-95474,-66245,,,,,-31791,302520,,-2946.0,-108665.0
2015-08-05,2,2015,0.0,,,-51842,61687,,1370,-30304,-76950.0,0.0,,,,-74,4915,-229,-23769,0.0,3766,-5547.0,,-30849,3498,12325,-65102,-829,,-249406,60680,1227.0,1006,-4890.0,74,,71520.0,2015年01月01日至2015年06月30日,329048,338824,9776,332937,-257.0,226253,272380,,,-15000.0,33158,332937,,78623,-210700,-132077,100000.0,0.0,0.0,,-60557,338824,-41311.0,-6666.0,-220090.0
2015-11-06,3,2015,0.0,,,-79315,47786,,2483,-41074,-76950.0,0.0,,,,-76,7469,353,-189802,0.0,-184,-5319.0,,-54863,5206,9761,-128058,6004,,-396863,92949,1761.0,1473,-7467.0,76,,102697.0,2015年01月01日至2015年09月30日,329048,220894,-108154,538980,-376.0,336140,409594,-45969.0,,-22500.0,-47784,538980,,64860,-296943,-232083,100000.0,695.0,-695.0,,-129386,220894,-66063.0,-2002.0,-202437.0
2016-03-16,4,2015,0.0,,,-106845,107123,-23.0,499,-19117,,0.0,-76950.0,,,-141,9871,340,-441647,-1186.0,717,-5250.0,,-98469,18409,6534,-138347,3703,,-693604,129839,2342.0,1973,-9811.0,141,18.0,143623.0,2015年度,329048,336839,7791,723374,-495.0,651369,727090,-45969.0,2500.0,,49686,723374,-18.0,132070,-271977,-139907,200000.0,963.0,-960.0,,3716,336839,-66069.0,-19724.0,-169534.0
2016-05-11,1,2016,,,,-37970,2360,-34.0,1207,7268,,0.0,0.0,,,-2,3695,-184,-394966,,10480,-33707.0,,-10294,-19188,-27981,-61219,-4252,,-439687,41023,513.0,495,-3630.0,2,,56204.0,2016年01月01日至2016年03月31日,336839,390052,53213,291857,-127.0,238554,245031,,100000.0,-7500.0,254530,291857,,-43729,-59301,-103030,200000.0,,,,-46826,390052,-2849.0,9230.0,-11014.0
2016-08-05,2,2016,,,0.0,-76640,38880,-38.0,3420,12416,0.0,0.0,,,,-126,7212,-159,100,,6593,-34464.0,,-3471,-23616,-12576,21455,241,,-599852,90296,1030.0,986,,126,-7176.0,105891.0,2016年01月01日至2016年06月30日,336839,363864,27025,429927,-251.0,468676,581871,,35000.0,0.0,158360,429927,,5857,40196,46053,200000.0,-416513.0,-100.0,,151944,363864,-106145.0,9593.0,-148975.0
2016-11-07,3,2016,,,,-315238,-13657,2.0,13405,7637,0.0,0.0,,,,-130,10549,-424,-464148,,4311,-34412.0,,1858,-24727,17096,-48084,1088,,-798763,145707,1699.0,1476,-10404.0,130,,163519.0,2016年01月01日至2016年09月30日,336839,569700,232861,698945,-370.0,657489,835410,-54703.0,200000.0,-122500.0,374559,698945,,-8253,-18801,-27054,667000.0,100.0,-93.0,,136465,569700,-167647.0,18698.0,-300303.0
