date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,165232.0,-10789,-125825,-92124,59169,20336,6253.0,,-9441.0,,-5217.0,-16211,,-1427,21826,8739,-167156,-535,,0.0,920,,3358,0.0,-7301.0,0,26191,,27460,93198,,100000.0,,-3111,-242233,-57184,,-157538,122408,,2185,-13764,1427,,,2013年01月01日至2013年03月31日,807762,787847,8734,-19915,196206,,-172850,-152342,,,,-637.0,301734,196206,,,29684,-543464,-513780,178250,16151,17514,210,,18750,-1401,-348548,787847,-8171,,,11777,0.0,-198450,
2013-08-06,2,2013,304044.0,-22186,-99015,215388,-44094,-78164,,,0.0,,23361.0,-207975,,-3301,44213,-7752,-374363,-9521,,-300.0,2591,,5466,0.0,0.0,28867,-209228,,6660,208170,,0.0,-90000.0,-22911,170322,-55662,,-525653,248576,,3609,-41364,3301,,,2013年01月01日至2013年06月30日,807762,1199688,-4507,391926,270231,,484264,567168,,,324740.0,,441067,270231,,0.0,42150,-49257,-7107,175000,20123,17516,-1249,,18750,-1404,296937,1199688,-44841,,-724.0,15516,0.0,-91913,
2013-11-11,3,2013,458621.0,-1642089,-44347,297785,-57552,-72678,,0.0,0.0,,41679.0,-83524,,-6797,50897,-22900,-757138,-9521,,0.0,3193,,6368,0.0,0.0,30993,-351270,-192344.0,6660,345755,,,-190000.0,-18686,-44203,10746,,-1245845,358672,,5383,-47877,6797,,,2013年01月01日至2013年09月30日,807762,1146071,26410,338309,451103,,808548,907363,-266954.0,1194825.0,878921.0,,798506,451103,,1547.0,225170,-227531,-2361,750000,26457,17516,-1602,,18750,10359,456260,1146071,-57735,,346.0,10559,0.0,-67911,-278284.0
2014-03-21,4,2013,617981.0,-2159407,45849,283229,98735,-48551,,0.0,,,6554.0,118755,,-12510,76606,31099,-1177116,-9521,,0.0,5025,27460.0,9581,0.0,,20308,-737788,,0,176785,0.0,,-90000.0,3629,-36849,8681,34603.0,-1553201,499318,4798.0,3469,-74796,12510,,,2013年01月01日至2013年12月31日,807762,1129300,9536,321538,597712,,807882,1018519,-266954.0,1194825.0,456363.0,,1035758,597712,0.0,-1547.0,364399,-561573,-197174,1850000,29932,17516,3718,0.0,18750,7820,420807,1129300,-148351,,-11414.0,26546,,-30295,-553075.0
2014-05-07,1,2014,97152.0,-11555,-194094,-32141,91076,-58097,,,0.0,,1611.0,-48330,,-3349,25417,4654,-156609,-5900,,,600,,341,,0.0,8274,34553,,0,80444,,150000.0,,-20998,-637386,-38511,9884.0,-155049,137395,-720.0,1387,-27199,3349,,,2014年01月01日至2014年03月31日,1129300,885941,-31812,-243359,244640,,-500874,-473651,,,,-32487.0,407910,244640,,,-34408,-781035,-815443,300000,42006,5510,-22822,,0,-706,-718291,885941,-3373,,0.0,0,-8958.0,-49453,
2014-08-08,2,2014,309756.0,-244458,126511,17949,-53835,-29060,,,0.0,,4172.0,-103507,,-6883,52731,-16871,-323711,-5900,,0.0,4915,,425,,-1359.0,0,-67179,,0,167610,,0.0,-50000.0,5626,-437835,-17130,10895.0,-379180,277532,-3281.0,2827,-54524,6883,,,2014年01月01日至2014年06月30日,1129300,1055216,13596,-74084,386887,,155799,285637,,,43639.0,0.0,166168,386887,,-1135.0,253526,-664532,-411006,412390,43886,11411,-22817,,0,-1324,-101250,1055216,-82197,,0.0,0,-9686.0,-131277,
2014-11-10,3,2014,462732.0,-244909,-90298,-19914,30819,-45955,,0.0,0.0,,5259.0,-13415,,-9979,81099,-4217,-687786,-5900,,0.0,11729,,41,0.0,0.0,10605,-180665,0.0,0,293415,,100000.0,0.0,-16232,-128501,2636,10090.0,-912668,423273,-3096.0,1882,-82875,9979,,,2014年01月01日至2014年09月30日,1129300,1185939,-14506,56639,491837,,484215,680258,-266978.0,0.0,276847.0,,489309,491837,,-1171.0,224698,-499009,-274311,621702,43886,17342,-22772,,0,-2187,188421,1185939,-123147,,-2653.0,0,-4636.0,-126610,-277400.0
2015-03-20,4,2014,691071.0,-277590,-57928,-76225,23593,-5380,,0.0,,,-20085.0,-29537,,-16952,109135,43800,-975381,-8103,,0.0,6194,0.0,581,0.0,,-83612,-611993,,0,141469,0.0,,125000.0,53234,44287,21524,-2518.0,-1293288,630932,2324.0,-3042,-106691,16951,,,2014年度,1129300,1515806,-3606,386506,660898,,642142,872272,-266980.0,0.0,554374.0,,993852,660898,0.0,-1171.0,160174,-639871,-479697,880000,176111,19587,-22644,0.0,0,-2187,211374,1515806,-140390,,-1448.0,0,-5588.0,-12084,-392353.0
2015-05-08,1,2015,,-15317,-114437,41125,117657,-15730,,,0.0,,-7518.0,9026,,-5878,28969,-9390,-303238,-1005,,,1995,,535,,0.0,14632,315005,,0,-260745,,30000.0,,-17302,-666418,-25930,,-280334,166647,-1330.0,1732,-27426,5878,,145658.0,2015年01月01日至2015年03月31日,1515806,959583,-48707,-556223,-73317,2986.0,-653612,-642140,,,,-20587.0,387113,-73317,,,-273171,-441310,-714481,400000,251,0,900,,0,0,-568823,959583,10076,,0.0,0,0.0,-89362,
2015-08-11,2,2015,,-30688,3399,74171,-93366,-44414,,,,,20487.0,-58411,,-8010,60106,-55172,-552941,-1005,,0.0,2595,,1452,,0.0,69283,160304,,0,-6415,,0.0,-25000.0,-43249,-290857,974,,-542752,336654,-537.0,2988,-53225,8010,,439851.0,2015年01月01日至2015年06月30日,1515806,1462203,18197,-53603,133857,12025.0,262364,359376,,,-182128.0,0.0,281957,133857,,-1892.0,-128143,-86189,-214332,500000,322,0,1936,,0,0,225519,1462203,-51797,,-2166.0,27277,0.0,13633,
