date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付設備款增加
2013-04-26,1,2013,33579.0,513,-34102,-1625,,,,-2515,128,4194,-32732,-110000,-3468,0.0,3546,,,346,-6151,50338,51588,,-60854,11222,25273,-27,2532,,2013年01月01日至2013年03月31日,878420,965475,-426,87055,43707,,140169,137847,,0.0,3546,43707,16749,43812,60561,85000,1,-104,,94140,,965475,-183,
2013-08-08,2,2013,62723.0,24685,30926,-2104,0.0,,,-4809,228,6099,-55842,-230000,-7186,0.0,17492,,,-162,-4963,186568,-340581,0.0,-143569,29828,48436,-391,4918,,2013年01月01日至2013年06月30日,878420,913349,-10244,34929,206757,,154907,164011,,0.0,17492,206757,242179,-347648,-105469,149621,1,-717,,-42746,,913349,-13631,
2013-11-01,3,2013,122170.0,27964,50061,-10681,0.0,,0.0,-6739,355,1061,-69274,-230000,-28368,0.0,18798,,,-91,37764,6757,-191837,0.0,-356780,50899,71165,-391,6942,,2013年01月01日至2013年09月30日,878420,798606,7663,-79814,332747,,365923,374945,-108816.0,0.0,-90018,332747,84782,-164754,-79972,286826,1,-1174,,42198,,798606,-15573,-315873.0
2014-02-25,4,2013,151279.0,9379,80658,45,,0.0,,-10545,483,9134,-78833,-320000,-33221,0.0,17225,,,-129,74247,-128193,78510,0.0,-446850,74782,92521,-1304,9397,,2013年01月01日至2013年12月31日,878420,962793,-4757,84373,355466,,613680,621391,-108816.0,0.0,-91591,355466,-38156,152802,114646,306827,20,-1225,,265925,,962793,-15804,-321494.0
2014-04-29,1,2014,26028.0,-13747,-32304,-879,,,,-3757,106,-504,-7203,0,-3820,,-10299,,,-410,-38899,32580,12920,,-11433,22231,10533,-669,3533,,2014年01月01日至2014年03月31日,962793,956020,-3090,-6773,27184,,15463,12883,,,-10299,27184,-13471,-26858,-40329,0,5,0,,-14301,,956020,-284,
2014-08-05,2,2014,60026.0,-1106,7837,-7757,-1644.0,,,-7507,376,-3252,-34702,-328000,-21744,,0,-10509.0,,-873,-25019,184673,-310813,,-386963,41630,20996,-481,6856,,2014年01月01日至2014年06月30日,962793,825203,4518,-137590,175070,,42730,82911,,220404.0,209895,175070,191404,-343589,-152185,0,13,0,,-92159,,825203,-46556,
2014-10-28,3,2014,71617.0,49,17541,-5995,-80588.0,,,-11114,1040,1474,-43724,-328000,-24767,,29614,-37161.0,,-1715,-49205,146351,-181750,,-140642,61978,30685,-1148,11168,,2014年01月01日至2014年09月30日,962793,859024,-10176,-103769,287995,,231250,286603,-272039.0,83735.0,-195851,287995,163941,-236950,-73009,346736,13,-809,,-1392,,859024,-65373,-8584.0
2015-02-10,4,2014,93127.0,-9111,7409,3632,-83116.0,,,-15105,1200,11314,-69444,-328000,-29215,,68994,-78262.0,,-1807,-40381,42267,-77534,,-114846,80964,39300,-1181,14853,,2014年度,962793,907109,-12360,-55684,361735,,329155,381144,-272039.0,,-281307,361735,40565,-114283,-73718,396736,95,-967,,19409,,907109,-65661,0.0
2015-04-21,1,2015,,1714,-35429,-7149,,,,-3938,114,-571,-7231,-90000,-16286,,1416,-15538.0,0.0,2406,-36337,27164,24852,,-55200,19987,9504,-476,2998,30663.0,2015年01月01日至2015年03月31日,907109,898044,5249,-9065,53121,,60828,58599,,,-14122,53121,-6551,-18634,-25185,55911,0,-253,,5478,,898044,-293,
2015-08-04,2,2015,,3886,21463,-5122,0.0,,,-7896,449,-963,-20422,-416000,-16789,,7088,-21931.0,,2414,-50176,141946,-280425,,-394819,37225,19026,-500,6546,47279.0,2015年01月01日至2015年06月30日,907109,791295,-1272,-115814,205691,,69258,84542,,225553.0,210710,205691,167295,-335723,-168428,55911,0,-253,67.0,-121149,,791295,-21330,
2015-10-27,3,2015,,4397,28146,515,0.0,,,-11839,1047,898,-37421,-551000,-29190,,4679,-24424.0,,2391,4891,74694,-242111,,-130056,52681,25993,-1101,9471,49982.0,2015年01月01日至2015年09月30日,907109,917889,-17292,10780,363446,,251167,285390,-304684.0,213200.0,-111229,363446,108667,-236705,-128038,485097,0,-608,67.0,-78056,1430.0,917889,-42593,0.0
2016-02-26,4,2015,,858,32502,2552,0.0,,,-16043,1370,-1741,-61922,-600000,-30874,,4578,-24116.0,,1691,-45290,77196,-80166,,-165941,70415,32722,-1293,13187,82152.0,2015年度,907109,1022004,-5628,114895,452988,,491767,522792,-304684.0,115032.0,-209190,452988,110556,-122904,-12348,525097,0,-684,67.0,69804,,1022004,-42919,
2016-04-26,1,2016,,-15,-34366,1824,,,,-2945,125,-407,-2987,-200000,-14796,,6217,-8735.0,,-457,1044,-37604,47433,,-218240,18238,6941,-588,2396,16966.0,2016年01月01日至2016年03月31日,1022004,767122,-5394,-254882,88657,72.0,81232,79655,,-114949.0,-117467,88657,-76269,50301,-25968,0,1,0,,-9002,-4356.0,767122,-231,
2016-08-02,2,2016,,3858,39335,-17123,,,,-5450,453,-2325,-6360,-320000,-27835,,16608,-7997.0,,-989,-39287,141164,-275699,,-315184,34590,15007,-725,4422,46255.0,2016年01月01日至2016年06月30日,1022004,875003,1705,-147001,287161,-6356.0,144527,174952,,17370.0,25981,287161,173645,-332109,-158464,40000,22,-72,0.0,-112209,-4356.0,875003,-34122,
2016-11-02,3,2016,,1394,25886,-9861,,,,-8001,1041,-4812,-12663,-475000,-28920,,24275,-15967.0,,-3002,26294,-56370,-134682,,-106865,49500,22445,-1125,11964,61369.0,2016年01月01日至2016年09月30日,1022004,872210,-3031,-149794,404961,-6284.0,245791,308351,-348211.0,55995.0,-283908,404961,-39730,-118249,-157979,412720,23,-608,0.0,-96610,-4356.0,872210,-73399,
