date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付設備款減少,預收款項增加－處分資產
2013-05-10,1,2013,65906.0,-1005916,-19891,,0.0,25054,,47202.0,-896,,12922,9993,-486.0,-417.0,,0.0,52828.0,,,-73960.0,,,-2609,21357,98703,-61880,,-1148.0,,0.0,,-921.0,-153618,,-146442.0,17497,39882,110000.0,0.0,33255,-26851,-11024,37965,-5725,7354,134163,64104,,0,,-15779,1309,-18668,2609,,,2013年01月01日至2013年03月31日,1604252,1586825,-17427,125592,0.0,127094,156512,,,,0.0,-5029.0,-377387,125592,,56328,-91314,-34986,670000,301,,1115,,170820.0,,,,,,,30920,1586825,-13359,-2670,,,
2013-08-13,2,2013,90472.0,-1374376,6174,,0.0,16504,47202.0,,369,,3878,37840,-11252.0,-473.0,,,,,,-79486.0,34337.0,-24613.0,-6532,39696,171093,-155634,,,,0.0,,,-45182,,-146442.0,-2876,34260,,-50000.0,54205,1499,-165570,32308,-78194,8023,362331,127346,,0,-1148.0,-41162,2533,-24694,2609,80265.0,,2013年01月01日至2013年06月30日,1604252,1911576,307324,330186,0.0,346049,312171,,,,78669.0,,-572149,330186,,85888,-194375,-108487,920000,517060,,1313,,0.0,,,,0.0,,,-18015,1911576,-24302,-8109,,,
2013-11-11,3,2013,145691.0,-1402055,47335,,0.0,11093,0.0,45275.0,1355,,10011,-26495,-16638.0,156.0,,,43447.0,,,-1675.0,,-11369.0,-10571,58617,31582,-381423,,-1148.0,0.0,0.0,,-984.0,-172196,158244.0,-146442.0,88189,20150,0.0,-50000.0,60237,1151,-166030,34568,-118482,13264,221097,189738,,3661,,-56290,4305,-47446,10571,80732.0,,2013年01月01日至2013年09月30日,1604252,1740006,135754,469799,,391979,406819,,-16574.0,,0.0,-22077.0,-508904,469799,,210435,-419106,-208671,970000,516621,,2418,,0.0,,,,0.0,0.0,,-62980,1740006,-58697,-30173,,,
2014-03-21,4,2013,210506.0,-1735185,22675,,0.0,-12587,45275.0,,1899,14838.0,26262,-105992,-22230.0,-651.0,,,,,,-40787.0,,-13734.0,-13988,66644,220978,-636550,,-1148.0,0.0,-604182.0,,-482.0,-226278,,-146442.0,112804,73283,,-50000.0,40723,1037,-204886,44280,-139449,14711,-271798,259790,,22777,,-70691,5740,-50856,13988,113794.0,,2013年01月01日至2013年12月31日,1604252,1862808,258556,593658,,458959,452542,182709.0,-322678.0,700000.0,32190.0,,-149583,593658,6300.0,254554,-606176,-351622,1170000,517113,,2570,,,,,,-1383.0,433643.0,,-141116,1862808,-70509,-30260,19823.0,,
2014-05-09,1,2014,51660.0,-716972,-32875,,0.0,32726,-122363.0,,-562,-31794.0,-995,26784,880.0,-1433.0,,,,,,,-197212.0,0.0,-3293,17984,113897,-133939,,,0.0,-47966.0,,1147.0,-59772,,0.0,-29403,1859,70000.0,,56,0,-52952,-35321,58984,-1564,-288554,64217,,0,0.0,-5023,1312,-13434,3293,0.0,,2014年01月01日至2014年03月31日,1862808,1529532,-333276,151122,,62141,109194,0.0,0.0,0.0,,-157461.0,-220760,151122,,-60478,-33110,-93588,600000,1263,,379,-10840.0,33191.0,-15790.0,,,-5050.0,221106.0,,-41928,1529532,-36912,-4223,-16327.0,,
2014-08-13,2,2014,5544.0,-1319812,45054,,,28721,0.0,,-1983,,11399,22465,445.0,-2335.0,,,,,,-45754.0,0.0,0.0,-5117,36066,-69391,-345111,,-156942.0,0.0,-277989.0,,2818.0,-483,,0.0,-110629,-21325,0.0,,81800,0,-155990,-55959,125461,-8553,706481,130235,,438,,-30695,2980,-38410,5117,0.0,,2014年01月01日至2014年06月30日,1862808,1969341,106533,390154,,251097,354224,121791.0,,0.0,-167306.0,,-781654,390154,,6744,-48218,-41474,600000,984,,794,-10840.0,33959.0,-13763.0,1014140.0,-109275.0,-1986.0,384551.0,,-35930,1969341,-69834,-6513,-16327.0,-16864.0,126347.0
2014-11-13,3,2014,-139024.0,-718696,48381,,,-42466,,0.0,-3395,-6151.0,-18936,64883,1108.0,-49807.0,,,,,,,1503.0,,-11161,56646,61737,-526739,,-156676.0,,-524410.0,,4778.0,-96130,0.0,-287557.0,-173927,-19181,,0.0,-5831,0,-14523,11856,51579,-270,888131,197998,,153,,-51965,5265,-50728,11161,67502.0,,2014年01月01日至2014年09月30日,1862808,2090598,227790,807697,,288852,422167,121791.0,-474414.0,,,-330834.0,-1010930,807697,,-168386,-78120,-246506,700000,972,,3028,-10840.0,488781.0,-225040.0,1013762.0,-109347.0,-2473.0,624793.0,,-385530,2090598,-161250,-6753,-21220.0,-16864.0,
2015-03-26,4,2014,-75144.0,-1842160,65726,,11189.0,1495,,0.0,-4650,,8300,29728,,-66253.0,,,,,,-5441.0,,0.0,-11520,66900,104972,-640998,,-202451.0,0.0,-1080976.0,,7334.0,15950,0.0,-321881.0,-163458,47915,,0.0,-30249,907,-79967,36081,45375,-620,629995,267562,0.0,13472,,-63695,7429,-65469,11520,82327.0,,2014年度,1862808,1830039,-32769,900217,,578890,756014,121791.0,-474414.0,0.0,,-308742.0,-1346626,900217,0.0,-59670,-9389,-69059,1500000,965,,4671,-10840.0,488781.0,-225040.0,1013762.0,-109347.0,-2901.0,1083877.0,,-144203,1830039,-205502,-16537,-21220.0,-16684.0,
2015-05-14,1,2015,,0,-29885,,-8186.0,14027,0.0,,1925,,-9855,145811,701.0,9583.0,,,,,,-58042.0,,,-3142,16901,-46636,-155278,,-566652.0,,,-732702.0,681.0,74909,,,-86202,-92271,0.0,,-12457,-1556,164557,-11839,49525,-21435,-713228,76374,,24387,,35013,2150,-12580,3142,,125037.0,2015年01月01日至2015年03月31日,1830039,2113731,283692,95343,,409321,432119,0.0,,,295464.0,,634235,95343,,-239711,451450,211739,356570,14676,,1532,0.0,0.0,0.0,,,-1536.0,,784770.0,336776,2113731,-13360,-2936,-17799.0,0.0,
2015-08-13,2,2015,,-1153057,-15670,,9002.0,23531,-198900.0,,-1998,,-14077,157758,-9994.0,11136.0,,,,,,,-41302.0,0.0,-9587,39554,-131870,-267035,,-566652.0,0.0,,-952090.0,4591.0,93298,,,-146143,5968,150000.0,,37534,2755,217590,-79525,117503,-13042,-892310,153508,,24387,,27172,4104,-32857,9587,62913.0,217646.0,2015年01月01日至2015年06月30日,1830039,2606961,776922,163602,,802089,801261,0.0,,900000.0,361868.0,0.0,999013,163602,,-130625,550638,420013,758001,1468,,1604,0.0,0.0,0.0,0.0,0.0,-2097.0,,1132201.0,637659,2606961,-38815,-1203,-17799.0,0.0,0.0
2015-11-12,3,2015,,-1794853,-99260,-43163.0,61402.0,23404,-261250.0,,2367,-569570.0,-46142,-28734,-9015.0,9373.0,0.0,,,,,,-28188.0,0.0,-20182,106565,85308,-910805,,-168430.0,0.0,,-1089774.0,8949.0,86056,0.0,-42915.0,-19809,-956,300000.0,,54114,110,151533,54079,105491,-794,-1896601,293252,0.0,24388,,-14764,7223,-114629,20182,62913.0,371636.0,2015年01月01日至2015年09月30日,1989648,2280750,291102,281585,,934753,1020828,255500.0,-631914.0,900000.0,504599.0,,1167642,281585,,-59556,427163,367607,1738187,1259,,4521,0.0,0.0,0.0,0.0,0.0,-2106.0,,1130157.0,739243,2280750,-54541,-11822,-17799.0,0.0,
2016-03-29,4,2015,,-2333165,-9182,-51510.0,-19425.0,39502,-528443.0,,7857,-569570.0,74855,-61491,18101.0,0.0,0.0,,,,,,27705.0,0.0,-26089,147582,8244,-1021345,,-168430.0,0.0,,-1843176.0,11436.0,296276,0.0,-133283.0,-38207,-45526,,,-52291,-813,139513,56833,106066,-1850,-2083711,391802,0.0,24387,,9162,9565,-146483,26089,63227.0,555906.0,2015年度,1989648,2067240,77592,288447,,1237608,1378958,255500.0,-631914.0,900000.0,353549.0,,915451,288447,,-72488,607093,534605,2580633,112,,6054,0.0,0.0,0.0,0.0,0.0,-3841.0,,2019436.0,1090511,2067240,-84183,10235,-24359.0,0.0,
2016-05-12,1,2016,,-1198777,-18927,0.0,-1882.0,-5622,0.0,,-6063,3814.0,-10427,-111950,402.0,-8618.0,0.0,,,,,,1425.0,0.0,-11650,37696,-39453,-144652,,0.0,0.0,,-348463.0,1967.0,-39109,0.0,-30092.0,105455,2327,200000.0,,-44924,1289,145379,-14344,-52930,10368,-238109,110158,0.0,0,,13440,2480,-35900,11650,0.0,153634.0,2016年01月01日至2016年03月31日,2067240,2288764,221524,85534,,157918,189592,0.0,0.0,0.0,312462.0,,341168,85534,,33313,-82889,-49576,1057575,203,,2345,0.0,0.0,0.0,0.0,0.0,-473.0,,249564.0,104058,2288764,-7424,-2329,0.0,0.0,
2016-08-10,2,2016,,-1504023,-33127,-144122.0,0.0,-22121,-120000.0,,7970,0.0,-80935,-91306,,0.0,0.0,,,-8276.0,,,-204.0,0.0,-22263,77113,105895,-199321,-200056.0,0.0,0.0,,-510143.0,928.0,-84706,0.0,-103310.0,94727,10005,100000.0,,-8571,4359,31494,-60203,661,-2018,-418398,219464,,0,,34572,4480,-78041,22263,87501.0,305522.0,2016年01月01日至2016年06月30日,2067240,2184978,117738,134489,,159564,206240,0.0,-207447.0,0.0,367705.0,,270677,134489,,-13542,-220229,-233771,1792782,0,100028.0,2702,0.0,0.0,0.0,0.0,0.0,-1155.0,,511298.0,71751,2184978,-78399,-10319,-22632.0,0.0,
2016-11-10,3,2016,,-2340737,29791,-164632.0,19159.0,2391,-317073.0,,-1448,0.0,-92159,-146225,,,0.0,,,,-7801.0,,25871.0,,-33599,113217,-372147,-286934,-295098.0,0.0,0.0,,-530685.0,3653.0,-41913,0.0,-103310.0,62945,22277,100000.0,,-60753,1336,128764,-32218,12353,-4351,-576863,325637,,0,,53208,7042,-114544,33599,87501.0,606564.0,2016年01月01日至2016年09月30日,2067240,2204531,137291,-31471,,354337,475042,0.0,-207447.0,0.0,761292.0,,731964,-31471,,-17404,-82647,-100051,2717231,48965,245915.0,141501,0.0,0.0,,0.0,,-1491.0,,532176.0,506513,2204531,-127261,-2604,-22632.0,0.0,
