date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加－處分資產
2013-05-13,1,2013,0.0,119547.0,,,-1068368,-54694,0.0,-4618,-880.0,-34432.0,-617,196473,,,,,,71321.0,-16438.0,-5637,75468,126840,-925125,,,,0.0,0.0,,,-249057,,197835,,509294,9754,93114,-4353,,-767227,128046,-79924,-7791,2845,-53785,5637,,,2013年01月01日至2013年03月31日,2716017,3123266,407249,389281,0.0,307769,369276,,,,300000.0,28941.0,,739867,389281,,,152278,-291830,-139552,970000,680,,,1220,,103702.0,-45785.0,16627.0,-4602.0,,,,-20005,,3123266,-13359,-7779,,,0.0,-242585,
2013-08-13,2,2013,,413155.0,,-200.0,-1921512,-42469,0.0,17848,0.0,125822.0,-104224,6267,,,,,25191.0,,0.0,-13016,129664,247023,-1351099,,,,0.0,0.0,,16618.0,-22093,,36128,,50167,-105099,-263917,-77581,,-1044655,244526,-29774,-26153,5386,-123671,13016,80265.0,,2013年01月01日至2013年06月30日,2716017,3450027,734010,792342,,477946,592821,,,,300000.0,406274.0,,1053696,792342,,,-215664,-397012,-612676,2552900,1069,,,1474,1959.0,154362.0,73704.0,0.0,0.0,0.0,0.0,,-199521,,3450027,-84485,-19048,-335892.0,,0.0,-27762,
2013-11-11,3,2013,,418082.0,3150.0,-200.0,-2719141,103877,0.0,-17051,0.0,-23802.0,-197918,50957,,,,,193574.0,,,-20143,197520,80685,-2263010,,,,-397.0,0.0,,31725.0,-316643,,91253,,167,-65104,-131246,-94041,,-1918368,372652,-26293,-42730,9363,-171342,20143,80732.0,,2013年01月01日至2013年09月30日,2716017,3211266,495249,1014878,0.0,405572,609816,,,-16574.0,300000.0,457183.0,,1927360,1014878,,,-67892,-755252,-823144,4321191,1128,,,2340,,154362.0,-73704.0,16627.0,-4602.0,0.0,,,-405062,,3211266,-133777,-54339,-415266.0,0.0,0.0,-220935,
2014-03-28,4,2013,,611388.0,3150.0,-200.0,-3415052,251778,0.0,-32819,0.0,75958.0,54889,58422,108675.0,,,,-182471.0,,,-25835,257442,216687,-3301999,,,,-1092.0,-803659.0,,37845.0,-403517,,100253,,300167,-26932,-388500,-123772,,-3794548,512109,43145,-55821,12609,-292674,25835,113794.0,,2013年01月01日至2013年12月31日,2716017,2903826,187809,1170842,550377.0,656563,959940,0.0,,-349955.0,1000000.0,382886.0,,3109107,1170842,0.0,,379988,-1202278,-822290,5471984,2948,,,6449,,122862.0,-73704.0,16627.0,-4602.0,-2154.0,,,-210902,,2903826,-150332,-52950,-389398.0,0.0,-277249.0,-355237,
2014-05-12,1,2014,,162564.0,,,-855996,-57139,0.0,33147,-996.0,,39768,-42792,,,,-1562.0,-225421.0,,,-6125,61336,95797,-593385,,,-645057.0,0.0,-92017.0,,616.0,-322715,,-118108,,50000,35308,50183,56725,,-1215403,134859,0,-9080,3094,-81582,6125,0.0,,2014年01月01日至2014年03月31日,2903826,3745850,842024,155061,,-205606,-68347,,,-16327.0,0.0,,-1091.0,2167236,155061,,,-100171,-285801,-385972,2707309,1318,,,480,,33191.0,-15790.0,0.0,0.0,-2566.0,305968.0,,-223408,,3745850,-61802,-4260,284903.0,,,-59353,
2014-08-13,2,2014,,346613.0,0.0,0.0,-1618803,75129,0.0,-8765,0.0,,172474,-120606,,,,-13471.0,-352133.0,,,-12413,131685,-149202,-1143546,,,-649438.0,0.0,-398227.0,,2284.0,-997942,,-101502,,310000,53484,-74693,86812,,-1860215,273399,438,-30012,6539,-172368,12413,0.0,,2014年01月01日至2014年06月30日,2903826,3282861,379035,263849,,-712947,-443889,,,-16327.0,0.0,122247.0,,3101399,263849,,,199585,-1253936,-1054351,3911621,3971,,,-932,,39764.0,-13763.0,0.0,0.0,-3683.0,513047.0,,-707738,,3282861,-109103,-6491,406132.0,0.0,0.0,-139180,126347.0
2014-11-13,3,2014,,318377.0,7330.0,0.0,-1403818,59954,,-36205,,,273502,-99990,,,,-13161.0,-512665.0,,,-20752,209401,-28742,-1882347,,,-649438.0,0.0,-646583.0,,4707.0,-790810,,121965,,110000,11860,103536,-225932,,-2412402,402271,153,-53035,10471,-311278,20752,67502.0,,2014年01月01日至2014年09月30日,2903826,3375459,471633,627437,778204.0,-330979,109912,,,-452920.0,0.0,-31636.0,,3243756,627437,,,467281,-1303183,-835902,5029034,4316,,,1456,,488781.0,-225040.0,0.0,0.0,-4465.0,,,-517525,,3375459,-217867,-6637,6257.0,,,-253935,
2015-03-26,4,2014,,525176.0,7330.0,0.0,-2477680,-59299,,-117417,,,295620,-89843,,,0.0,-13111.0,-539451.0,,,-19043,273793,93073,-2554739,,,-649438.0,0.0,-1203926.0,,16479.0,-939238,,107008,,280000,57105,-4746,24790,,-3162711,543050,23472,-62495,14416,-422070,19043,83901.0,,2014年度,2903826,3523060,619234,659117,1284249.0,-410908,175716,,,-452746.0,200000.0,706588.0,,4099780,659117,,-1574.0,400434,-1409011,-1008577,5814192,4483,,,4887,,488781.0,-225040.0,0.0,0.0,-2901.0,,,-483401,,3523060,-267498,-16396,42537.0,,,-306029,
2015-05-14,1,2015,,,,,-396380,199700,,137540,,,52659,15655,,-111723.0,4321.0,,50792.0,,,-4130,68057,-20566,-377048,-68705.0,,0.0,,,-732702.0,1021.0,158705,-298.0,-430403,36255.0,30000,-172559,326617,15953,,-453874,147933,14423,-10584,3985,-114873,4130,2147.0,202308.0,2015年01月01日至2015年03月31日,3523060,3895923,372863,-64172,,479543,601573,,,-17799.0,,237495.0,,367760,-64172,,-2147.0,-314348,777785,463437,510421,742,,,2659,,0.0,0.0,,,-1536.0,,784770.0,665745,,3895923,-13434,-2950,0.0,,,108892,
2015-08-13,2,2015,,,0.0,0.0,-2961534,380763,0.0,126856,0.0,,118861,20936,,,-10795.0,,-36781.0,,,-16226,140934,-71214,-844016,-105573.0,,0.0,0.0,,-952090.0,5151.0,-510115,0.0,-394437,,-20000,-21422,196191,68858,,-348909,303897,14515,-25719,7796,-261648,16226,11321.0,74295.0,2015年01月01日至2015年06月30日,3523060,3832534,309474,401990,,255355,558817,,,-17799.0,900000.0,31376.0,,474242,401990,,-11321.0,83765,-1233,82532,2570511,2159,,,2780,,455191.0,-330390.0,0.0,0.0,-2097.0,,1132201.0,156827,,3832534,-69361,-510,-17517.0,0.0,0.0,81526,0.0
