date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,18543.0,,-15113.0,-30792,1754,13447.0,30793,-21105,3287,,,,,,,,-298,4816,3794,-6046,-57816,,,0.0,,,0,,0.0,-1451.0,,4550,,,,-2721,-580,26505,5679,-50542,16584,,,535,-1539,298,,,2013年01月01日至2013年03月31日,458799,529625,,70826,-26784,7387,9129,255300,,,-130000.0,,110187,-26784,,,-3300,20670,17370,0.0,1324,0.0,2058,,,,0.0,,,,,,35913,,529625,-501.0,-5152,0.0,0.0,,,,,
2013-08-12,2,2013,44161.0,,-55199.0,-29063,1990,12447.0,888,-24723,2657,,,,,,0.0,,-556,10777,6111,-14132,0,,,0.0,,,0,30.0,,-593.0,,-253789,,0.0,-57816.0,11151,-11957,18928,-13897,1146,32889,0.0,,304,-3336,556,,,2013年01月01日至2013年06月30日,458799,520309,,61510,-76420,-206579,-198918,255300,,0.0,-60147.0,,260832,-76420,,,102175,-268834,-166659,179880.0,3366,58.0,3836,,,,0.0,,,,,,-122498,,520309,-4881.0,-7903,0.0,-1216.0,,4814.0,,,131156.0
2013-11-12,3,2013,72617.0,,-10688.0,-6681,880,12154.0,6284,-24252,632,-194107.0,,,,1066.0,11154.0,,-681,15149,7618,-15626,-37816,,,0.0,8433.0,,1794,30.0,,-12587.0,,-316338,,,,12625,-2377,4185,8927,-19994,44585,,,436,-5654,681,0.0,,2013年01月01日至2013年09月30日,458799,569020,-2197.0,110221,-129598,-194850,-181327,255300,-1214.0,0.0,105987.0,0.0,317447,-129598,,0.0,201620,-325966,-124346,240740.0,13039,3.0,10141,11340.0,,,-1670.0,,,,0.0,,-51729,,569020,-8550.0,-10908,0.0,-78601.0,4814.0,,,,191769.0
2014-03-24,4,2013,147346.0,,-14229.0,36480,-384,12154.0,141,-4119,843,-194107.0,-30025.0,,-1821.0,,0.0,,-1088,26298,9711,-14137,-49110,,0.0,-11924.0,0.0,,-10,-200.0,,-22356.0,,-296927,,,,4907,3534,-11172,-10150,-76093,53688,,,579,-18375,1088,0.0,,2013年01月01日至2013年12月31日,458799,772306,-2311.0,313507,-206311,-140902,-113144,633300,-1214.0,0.0,-46013.0,,520791,-206311,,0.0,329166,-383345,-54179,240741.0,15581,5772.0,12328,,,,-3731.0,11340.0,,,8433.0,,93167,5647.0,772306,-10471.0,-11247,5199.0,-97487.0,61994.0,,,-61436.0,284104.0
2014-05-12,1,2014,-341.0,,-2689.0,-20673,646,0.0,694,5444,165,,,,,,,,-215,5488,7734,-96,0,,,,,,-96,,,892.0,,-32039,,,,37882,-11935,26943,8776,40048,5066,,,162,-4553,215,,,2014年01月01日至2014年03月31日,772306,842962,-2806.0,70656,-30136,-12615,-7594,0,,,39400.0,,35489,-30136,,,44116,-21233,22883,,160,35333.0,-92,,3759.0,-1321.0,-4218.0,,,,,,22542,,842962,-683.0,-2309,,-1222.0,,,,-31168.0,38148.0
2014-08-13,2,2014,17306.0,,-11850.0,-24445,-19723,,2064,6473,487,,,19458.0,,,,,-875,9513,-1067,-837,-53326,,,-133.0,,,2406,0.0,-30.0,0.0,148.0,-101810,,,0.0,-32730,-7598,90014,-17424,10304,9821,,,335,-7788,875,,,2014年01月01日至2014年06月30日,772306,680250,-131.0,-92056,-76955,-132591,-118878,0,,,44400.0,0.0,31298,-76955,,,16779,-76008,-59229,0.0,680,36019.0,63,,9495.0,-1100.0,-4284.0,,,,0.0,,-41923,,680250,-6800.0,-1905,,-1222.0,3463.0,,-1200.0,-34025.0,79488.0
2014-11-06,3,2014,27768.0,-18400.0,-11850.0,-14019,-23415,0.0,976,546,794,,,19458.0,-345.0,0.0,,-1200.0,-1110,13169,2107,-1404,-57457,,,-133.0,-60000.0,,1580,1970.0,,-1126.0,,-457275,,,,-28298,-24079,88261,-5126,-49107,14513,,,507,-13082,1110,,,2014年01月01日至2014年09月30日,772306,365830,266.0,-406476,-125094,-467130,-444141,0,-13951.0,,151107.0,,107654,-125094,,,43730,-390545,-346815,0.0,742,36019.0,85,0.0,16339.0,2028.0,-4284.0,,,,0.0,,-319047,0.0,365830,-11017.0,-2449,,-1222.0,3463.0,,,5670.0,109150.0
2015-02-25,4,2014,-136183.0,-18400.0,-11850.0,-7785,-1070,0.0,774,-5792,858,,19451.0,-120000.0,-1088.0,,,,-1508,16410,10520,-5643,-57458,,,-920.0,,,2498,1970.0,0.0,-6548.0,,-573607,,,,-20059,-26033,109600,7047,264880,18962,,,662,-17400,1508,,,2014年度,772306,792932,198.0,20626,6937,-563071,-536144,0,-13951.0,440750.0,-128400.0,,308297,6937,,,38536,-445434,-406898,39400.0,4880,36094.0,15276,,463678.0,-181866.0,-4294.0,0.0,700.0,178.0,0.0,,-543081,0.0,792932,,-4581,0.0,-1222.0,1882.0,,,17530.0,91639.0
2015-05-13,1,2015,,,0.0,-6084,145,,-369,-10752,221,,,,-526.0,,,,-538,5044,-2944,-1688,-73936,,,-70.0,,,-47,,,-597.0,0.0,-95216,,,,64095,61091,-43056,-4724,-76758,3444,,,84,-3325,538,,17306.0,2015年01月01日至2015年03月31日,792932,1089420,-244.0,296488,-46955,-6523,-3736,300000,,,0.0,-30587.0,382713,-46955,7425.0,,197783,-171870,25913,113300.0,59,0.0,7,,0.0,0.0,0.0,,,,,,43219,,1089420,0.0,2131,,0.0,,,,-18488.0,79050.0
2015-08-06,2,2015,,,0.0,-7801,282,,-239,-7120,437,,-7.0,0.0,-1780.0,,,,-1837,9373,-6135,-3643,-107061,,,-70.0,,,-74,,0.0,,11361.0,-93703,,,,48712,51837,-179772,-14795,-101141,6828,,,194,-6930,1837,,25957.0,2015年01月01日至2015年06月30日,792932,923507,-145.0,130575,-58072,-144862,-133546,300000,,,0.0,-30587.0,382713,-58072,10170.0,,218579,-320010,-101431,113300.0,59,0.0,-529,,0.0,0.0,0.0,,,,,,-75474,,923507,-6223.0,1977,,0.0,0.0,,0.0,-25339.0,126070.0
2015-11-12,3,2015,,0.0,-113000.0,-58895,2810,,-577,-14779,1683,,,10574.0,-3627.0,20000.0,,,-2497,13454,-1818,-4213,-108056,,,-70.0,,0.0,-75,0.0,,0.0,10062.0,-112771,-11254.0,,,-2276,47968,-130759,-3248,-55283,10187,,,291,-10832,2497,,37908.0,2015年01月01日至2015年09月30日,792932,756385,467.0,-36547,-83644,-213627,-197682,300000,-14400.0,,66000.0,-96587.0,234181,-83644,12774.0,,175827,-327773,-151946,113000.0,1301,0.0,-878,,0.0,0.0,0.0,,,,,30000.0,-114038,,756385,-7610.0,4185,,-20832.0,0.0,,0.0,-70709.0,189607.0
2016-03-23,4,2015,,0.0,-113300.0,-53246,-1840,,415,-19441,879,,-53435.0,0.0,-146.0,,,,-3091,16655,-2459,-5305,-121822,,,-70.0,,,-75,0.0,,0.0,10150.0,-429474,-11254.0,,,5454,58968,-78600,51134,-150191,13640,,,669,-13579,3091,,47291.0,2015年度,792932,623994,-3.0,-168938,-109407,-379817,-358051,300000,-14400.0,0.0,0.0,9413.0,363529,-109407,15378.0,,251668,-547603,-295935,211800.0,1691,0.0,-1269,,0.0,0.0,0.0,,0.0,0.0,,30000.0,-248644,,623994,,5387,,-29984.0,0.0,,,-70261.0,240077.0
2016-05-05,1,2016,,,,-17311,5068,,-765,-3273,226,,,,-913.0,,,,-110,3916,-8255,-446,-24943,,,-133.0,,,0,,,0.0,1287.0,-39148,,,,15862,-56440,88184,-75586,-24945,3405,,32.0,365,-3497,110,,9375.0,2016年01月01日至2016年03月31日,623994,467672,1607.0,-156322,-30860,-83122,-79735,0,,,,-40000.0,-40000,-30860,2603.0,,-16195,-42055,-58250,0.0,203,,-199,,,,,,,,,,-48875,,467672,,-2212,,,,,,-17558.0,42459.0
2016-08-10,2,2016,,,,-10340,4763,,921,-19062,446,,-27464.0,,-76.0,,,,-459,5101,-6678,-2470,-14634,-4247.0,,-133.0,,,0,,,,212.0,-234107,,,,124555,-51702,43432,-51434,-48380,6596,,32.0,737,-6902,459,,13430.0,2016年01月01日至2016年06月30日,623994,581562,244.0,-42432,-59512,-151218,-141575,0,,,,-1000.0,163844,-59512,5207.0,,150604,-246097,-95493,163000.0,432,,-288,,,,,,,,,,-82063,,581562,-3200.0,-3708,,1844.0,,,,9833.0,87170.0
