date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-06,1,2013,,14975.0,,7159,2490,-3266,-1212,-60.0,-4738,,-40,1495,-544,-1762,-59.0,,,-66.0,0.0,,-8083,65827,3680,-54140,105.0,-5046,10172,3348,-1410,40,,2013年01月01日至2013年03月31日,8379,9404,1025,-2990,17091,18237,,-9000.0,,-10476,-2990,74010,-67758,6252,,,,21227,670,9404,-1186,-2180,-3225.0,
2013-08-12,2,2013,,34227.0,,-529,-2450,-4000,-1211,-60.0,-3921,,-73,3186,-486,-18702,-59.0,1382.0,1369.0,,,0.0,-1744,56074,72252,-260104,221.0,-18779,22696,7036,-3017,73,,2013年01月01日至2013年06月30日,8379,14449,6070,23510,-87484,-81101,,111450.0,,112819,23510,123984,-262822,-138838,,1889.0,,-104611,247,14449,-3439,6387,-1907.0,
2013-11-11,3,2013,,54352.0,,13740,-3959,-267,-1153,-60.0,-3363,,-105,5032,-148,-30483,-59.0,1462.0,,2230.0,,566.0,-38933,135639,77493,-272334,102.0,-30762,37402,10561,-5034,105,,2013年01月01日至2013年09月30日,8379,12910,4531,1808,-35289,-27643,,68500.0,,70730,1808,226822,-310625,-83803,,1897.0,,-29451,277,12910,-2717,9015,-2683.0,
2014-03-24,4,2013,,76156.0,,10065,-2746,3554,-3178,-60.0,-6690,,-143,6937,-475,-31110,-59.0,-41.0,,-66.0,,682.0,-87336,148444,84936,-247886,375.0,-21818,51540,17889,-6911,143,,2013年01月01日至2013年12月31日,8379,23277,14898,-36266,-58843,-50145,,96100.0,,96034,-36266,249479,-339514,-90035,,22737.0,-26.0,-13879,2540,23277,-1930,7947,-14068.0,
2014-05-12,1,2014,,17560.0,,451,-120,3253,852,0.0,-115,,-45,1861,586,-19784,0.0,0.0,,0.0,-884.0,,35005,-8773,23400,-186861,60.0,-17279,11308,4436,-1872,45,,2014年01月01日至2014年03月31日,23277,15080,-8197,47294,-73904,-72061,,82400.0,,82400,47294,20118,-157033,-136915,,,,-119355,1787,15080,-16,-5854,3389.0,
2014-08-12,2,2014,,35416.0,,8414,-1001,12290,-722,0.0,-555,,-59,4089,-1255,-20675,0.0,379.0,0.0,,-1909.0,,-34778,-5881,109745,-234904,51.0,-19857,22145,8862,-4067,59,,2014年01月01日至2014年06月30日,23277,17477,-5800,57082,-64988,-60976,,80300.0,,80300,57082,126846,-280320,-153474,,0.0,,-118058,2278,17477,-4,-8411,,2727.0
2014-11-11,3,2014,,52683.0,,11383,-3549,-5243,203,0.0,-2987,,-89,6364,134,-18116,-191.0,1352.0,,0.0,-2192.0,0.0,-32467,-27640,126972,-315524,76.0,-17165,31673,13383,-6293,89,,2014年01月01日至2014年09月30日,23277,11845,-11432,116092,-79401,-73250,,85000.0,,85000,116092,108982,-351007,-242025,,0.0,,-189342,3510,11845,53,3241,3334.0,
2015-03-23,4,2014,,62830.0,,28467,-6031,-29,1633,0.0,-2244,,-153,8599,4070,-23663,-532.0,-5505.0,,0.0,,158.0,-16036,-42822,83690,-349225,76.0,-26997,41882,18007,-8552,153,,2014年度,23277,23946,669,195450,-51174,-41493,,74770.0,,74770,195450,73039,-372812,-299773,,0.0,0.0,-236943,3733,23946,-1282,-985,-2960.0,
2015-05-11,1,2015,,,,-5516,5092,3783,-2100,,-108,,-44,1889,-749,-2108,,,,,0.0,,-12562,11955,-26147,59246,0.0,-5076,10405,4675,-1931,45,16925.0,2015年01月01日至2015年03月31日,23946,18685,-5261,41173,88694,90686,,0.0,-88130.0,-88130,41173,-16579,49167,32588,,,,49513,-654,18685,-106,-401,0.0,-2968.0
2015-08-11,2,2015,,,,718,6210,5112,-445,,-214,,-60,3662,-2368,-3908,,0.0,,,0.0,,-28620,25682,-10647,104366,-721.0,-8376,20167,9289,-3690,60,33058.0,2015年01月01日至2015年06月30日,23946,58370,34424,90453,214538,217923,,0.0,-169370.0,-169370,90453,21591,72821,94412,,,,127470,726,58370,245,-7755,-4468.0,0.0
