date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-04-23,1,2013,78786.0,,,97534,,-20966.0,-109298,3155,51671.0,-5124,0.0,,-11273,,-2099,10337,13750,-34761,,,,,-313.0,7859.0,82100,-36774,,1120,219707,,,-43784,41498,-960.0,,,-3385,14307,-11161,2099,,,2013年01月01日至2013年03月31日,1700389,1889739,189350,182442,,,531119,545263,,0.0,,-264941.0,-311735,182442,0.0,3293,280742,284035,-46154.0,4084,,,-44,,,,362821,1889739,-5082,29758,,-640.0,,-19096.0,
2013-08-08,2,2013,178804.0,5000.0,,29490,7287.0,721.0,5706,-15741,0.0,-20843,,,3863,-1655.0,-3735,19390,106372,-52746,,,-1100.0,,,6837.0,6178,337423,-2947.0,1697,-36323,12427.0,-422.0,-18756,84861,,-30000.0,20000.0,-9574,30798,-19714,3735,0.0,,2013年01月01日至2013年06月30日,1700389,1962132,261743,405045,,,690317,809321,,0.0,,-427659.0,-516190,405045,,370947,-145475,225472,-92184.0,4187,,,428,,,,404276,1962132,-103025,52773,,3653.0,,-68460.0,
2013-10-25,3,2013,123056.0,5000.0,-129142.0,39344,23934.0,,20659,-23025,,-13394,,382.0,5722,-923.0,-4825,27951,72055,-77033,,,-2521.0,,,8411.0,46415,319874,-8970.0,1648,-147606,-45077.0,-633.0,-24601,128122,,-30000.0,20000.0,-17366,34586,-27280,4825,13177.0,,2013年01月01日至2013年09月30日,1700389,1844333,143944,698192,,,785111,970533,-415342.0,0.0,,-153664.0,-688621,698192,,371922,-222637,149285,,9288,,,2237,,,,272341,1844333,-162967,-53371,,9145.0,,,-33884.0
2014-03-21,4,2013,222122.0,5000.0,-175901.0,90343,-25833.0,,-14723,-13829,,-41423,,-410.0,-6433,,6754,37075,108135,-92543,-19789.0,,-2450.0,,-16896.0,0.0,-47667,304375,-13908.0,519,-88582,-59592.0,-857.0,-6101,169643,,-4000.0,20000.0,-22725,66077,-38035,-6754,13177.0,,2013年01月01日至2013年12月31日,1700389,1879453,179064,867044,,,879288,1141001,-415342.0,0.0,,-208052.0,-802258,867044,,365749,-313914,51835,,26061,,44443.0,4243,,,,273957,1879453,-216924,-86647,17155.0,-2553.0,53876.0,,-32988.0
2014-04-25,1,2014,41383.0,,-245689.0,-138183,27319.0,,35860,9596,,9377,,-102.0,2915,,-1619,8562,-14246,-53510,,,-1256.0,,0.0,,-1161,31543,-104.0,616,-52487,14770.0,0.0,62591,41888,,4020.0,,-954,10920,-6974,1619,,,2014年01月01日至2014年03月31日,1879453,2248436,368983,275043,,,257317,285497,,,309112.0,,63321,275043,,-70268,39339,-30929,,9690,,107667.0,281,,-14076.0,,10454,2248436,-22825,-6534,,,,,27905.0
2014-07-25,2,2014,97379.0,5000.0,-291822.0,-79505,14466.0,,50297,5480,,-17385,,-200.0,-2090,,-4681,16926,-69782,-69963,,,-2294.0,,,,73563,182392,0.0,27362,-336824,45374.0,0.0,73830,83799,,-25980.0,20000.0,-4986,21682,-14365,4681,,,2014年01月01日至2014年06月30日,1879453,2585533,706080,589788,,,347567,466623,,300000.0,,346487.0,354465,589788,,180546,-401090,-220544,,13420,,107667.0,5553,,-14076.0,,-123165,2585533,-109372,-5091,343.0,,,-159784.0,
2014-10-31,3,2014,154513.0,5000.0,-514677.0,-100040,23968.0,,39108,3408,,-38493,,-305.0,-2668,0.0,-4681,25753,-10524,-137512,,,-2426.0,,,0.0,-60600,172298,,43334,-419358,63449.0,0.0,39713,130856,,-27371.0,20000.0,-25260,29827,-19287,4681,21083.0,,2014年01月01日至2014年09月30日,1879453,1979520,100067,879853,,,438703,632238,-519177.0,300000.0,366334.0,,-367825,879853,,154700,-556828,-402128,,25901,,107667.0,15526,,-14076.0,,-247615,1979520,-178929,-1107,343.0,,,-101831.0,
2015-03-13,4,2014,244522.0,5893.0,-516294.0,71419,3894.0,,8833,4368,,-72532,,-423.0,-14284,,15051,40581,138261,-165117,0.0,,-4366.0,,-2250.0,0.0,-292800,174310,,23517,-143704,-67353.0,18.0,3455,167884,,-27304.0,20000.0,-30992,60009,-30721,-15051,21083.0,,2014年度,1879453,2412474,533021,1043522,,,615562,876785,-519177.0,300000.0,,511637.0,-224257,1043522,,278097,-689356,-411259,,18295,,107667.0,22663,,-13469.0,,-166737,2412474,-215451,-1014,343.0,0.0,0.0,,-93925.0
2015-04-24,1,2015,,,-1140.0,138440,26757.0,,9146,2205,,-92760,,-106.0,37003,,-3949,9473,-25786,-25566,-7598.0,,-1475.0,-94778.0,,,30189,-54358,,-21897,-98616,-15610.0,,-259736,40259,,-2632.0,,-3277,7162,-8423,3949,,79682.0,2015年01月01日至2015年03月31日,2412474,2512508,100034,319775,,,251116,297748,,,135686.0,,134440,319775,,71331,-173040,-101709,,2114,,0.0,332,-132433.0,-733.0,,-22027,2512508,-42158,-6588,,,,-22573.0,
2015-07-31,2,2015,,31423.0,-2369.0,126355,-8470.0,,62185,8164,,-95454,0.0,-211.0,47971,,-8323,18739,-57789,-45838,-86201.0,,-2759.0,-93869.0,,,99524,49288,0.0,7845,-354756,191999.0,,-291524,81753,,-2632.0,23680.0,-1989,15526,-16551,8323,,151915.0,2015年01月01日至2015年06月30日,2412474,3034124,621650,670882,0.0,,675308,877633,,0.0,298235.0,,295655,670882,,245673,-190837,54836,,1913,,0.0,3210,-119873.0,-733.0,,206751,3034124,-194097,-4239,0.0,,,-29212.0,
