date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-14,1,2013,64244.0,,116,-12495,7717,,3828,-200628.0,,40.0,0.0,-3320.0,-1203,700,13851,-35184,,,12676,-43724,26628,-459,-135805,-239132,45326,,6733,-622,710,,,2013年01月01日至2013年03月31日,477394,343643,-133751,-14873,-109339,-108701,200829.0,,200869,-14873,,34002,-192074,-158072,0.0,,,12.0,,,-93828,343643,-726,,,,,-3878
2013-08-14,2,2013,115077.0,,-10282,-10774,-7224,,4630,-62278.0,,62.0,,-3671.0,-2440,1644,24522,-81884,,,14306,31020,-45089,-526,-225776,-142132,91516,1015.0,14730,-1619,1603,,,2013年01月01日至2013年06月30日,477394,314028,-163366,25920,-135818,-130862,90000.0,,90062,25920,,-63121,-208738,-271859,5701.0,,,-5591.0,,,-156782,314028,-4940,912.0,0.0,,,-8853
2013-11-13,3,2013,164642.0,0.0,-21072,8157,-9932,,4831,-61289.0,,47.0,,-9054.0,-3464,2613,13149,-110898,,,12228,113875,-402591,-221,189605,-165619,137522,1015.0,21643,-2527,2149,,,2013年01月01日至2013年09月30日,477394,456437,-20957,5824,41466,50732,90000.0,,90047,5824,,-433816,314082,-119734,15622.0,,0.0,-5462.0,0.0,,44908,456437,-8888,-438.0,0.0,,,-3401
2014-03-27,4,2013,219980.0,0.0,-7609,13269,-8903,,4605,-61119.0,,75.0,,-13769.0,-5261,3507,33418,-141735,,,15833,165559,-535178,-513,512157,-200410,183113,,28108,-3501,3434,,,2013年01月01日至2013年12月31日,477394,734746,257352,34803,399269,409368,25000.0,,25075,34803,,-552203,706788,154585,16213.0,,0.0,-5320.0,0.0,,374565,734746,-10032,,0.0,,,11198
2014-05-14,1,2014,52126.0,0.0,-24124,379,-278,-364.0,10,59562.0,,,-7.0,-9365.0,-1744,1074,-3756,-5053,,,1098,-26400,19240,3860,11927,45050,45481,,6296,-993,3346,,,2014年01月01日至2014年03月31日,734746,879522,144776,-45425,-26511,-28379,130000.0,,129993,-45425,,-1302,-33778,-35080,-94.0,,0.0,-79.0,0.0,,17046,879522,-485,0.0,,,,-19330
2014-08-12,2,2014,88688.0,0.0,-28948,2494,-727,,25,58291.0,,-33.0,,-10100.0,-3893,2111,-17744,-32370,,,-11444,-2183,105654,4,-131256,17872,88483,0.0,11935,-2199,5540,,,2014年01月01日至2014年06月30日,734746,527798,-206948,-62943,-57043,-59426,-150000.0,,-150033,-62943,,75983,-161154,-85171,2051.0,0.0,,1496.0,0.0,,3517,527798,-958,0.0,,,,-30234
2014-11-12,3,2014,115871.0,0.0,-26968,3206,-168,,-17,-3627.0,,0.0,,-15347.0,-5744,2324,5502,-42118,,-17786.0,-13412,36630,107888,-42,-153972,-59883,130320,0.0,16954,-2333,7385,402.0,,2014年01月01日至2014年09月30日,734746,763052,28306,-55928,22687,18741,60000.0,,60000,-55928,-402.0,80710,-121912,-41202,18995.0,0.0,,-14169.0,0.0,0.0,74669,763052,-1508,0.0,,,,-7759
2015-03-26,4,2014,155017.0,0.0,-22392,-7203,1298,,24,-4191.0,,0.0,,-17852.0,-7173,3288,24251,-71491,,-17786.0,-21511,108867,-158668,127,138496,-90654,173292,,21684,-3307,8807,402.0,,2014年度,734746,755436,20690,-69194,147093,143337,-60000.0,,-60000,-69194,-402.0,-179635,237149,57514,20666.0,,0.0,-14161.0,0.0,0.0,212531,755436,-2146,,,,,-3035
2015-05-13,1,2015,,0.0,-16538,18511,-731,0.0,0,-41644.0,,-12.0,,0.0,-2318,690,-7476,-276,,0.0,-2483,16299,-160235,-562,212853,-41920,40258,,3878,-572,2202,0.0,40025.0,2015年01月01日至2015年03月31日,755436,809386,53950,-84748,18358,19853,85000.0,,84988,-84748,0.0,-178066,242642,64576,0.0,0.0,,0.0,0.0,0.0,104601,809386,-3125,,,,,-5021
2015-08-13,2,2015,,0.0,-22987,16144,5306,,-13,-40934.0,,1995.0,,0.0,-4531,823,-11188,-6200,,0.0,-6516,76166,-243878,-137,280356,-47134,78509,,7079,-863,3118,0.0,75368.0,2015年01月01日至2015年06月30日,755436,633169,-122267,-190107,-5940,-4429,-60000.0,,-58005,-190107,0.0,-261696,372006,110310,0.0,0.0,,4.0,0.0,0.0,185678,633169,-3766,,,,,-647
2015-11-12,3,2015,,0.0,-11301,8161,8110,,18,-93761.0,,2038.0,,0.0,-5925,1128,6218,-6582,,0.0,2596,102568,-204681,-439,236947,-100343,116698,,10245,-1236,5851,8734.0,116012.0,2015年01月01日至2015年09月30日,755436,532725,-222711,-234469,19376,9924,0.0,-150000.0,-147962,-234469,-8734.0,-208311,336692,128381,0.0,0.0,,4.0,0.0,0.0,244393,532725,-3897,,,,,-11002
2016-03-25,4,2015,,,-14883,-19855,-14687,,-853,31006.0,,2048.0,,-32880.0,-6491,1166,11130,-9585,,0.0,-2469,144543,-218515,-294,310627,-5003,154217,,13014,-1274,6716,8734.0,212371.0,2015年度,755436,695928,-59508,-366946,32317,22226,,-100000.0,-97952,-366946,-8734.0,-248379,425180,176801,6456.0,,,-5846.0,,,389172,695928,-4085,,,67514.0,,-9282
2016-05-12,1,2016,,,-7975,36539,375,,-7826,507.0,,340.0,,,-370,7,-14426,-1356,,,8249,-15918,-2682,-228,25269,-20849,31612,,2615,-7,355,,42113.0,2016年01月01日至2016年03月31日,695928,591375,-104553,-87943,-19618,-19771,0.0,-50000.0,-49660,-87943,,-10510,36569,26059,,,,,,,68172,591375,-195,,,,-20000.0,-1495
2016-08-11,2,2016,,0.0,-875,27354,21882,,-7813,,3628.0,176.0,,0.0,-987,10,-26448,-3459,-70000.0,0.0,8377,-24280,-23685,-134,8199,-66455,61588,,5078,-7,972,0.0,70695.0,2016年01月01日至2016年06月30日,695928,506785,-189143,-160423,-96416,-96408,0.0,0.0,176,-160423,0.0,-2812,-3868,-6680,3376.0,0.0,,-3371.0,0.0,0.0,64015,506785,-973,,,,,-7328
2016-11-10,3,2016,,,-1261,33232,22363,,-8750,,5187.0,176.0,,,-1403,187,-44603,-9499,-70000.0,,2760,-6805,-24508,-128,-33587,-69002,90269,,7249,-174,1334,4768.0,90817.0,2016年01月01日至2016年09月30日,695928,411089,-284839,-248707,-171410,-176365,,0.0,176,-248707,-4768.0,-3534,-14941,-18475,5310.0,,,-3477.0,,,72342,411089,-973,,,,,969
