date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失
2013-05-14,1,2013,151533.0,-1330932,-23326,,-9963,21913,-14403,58128,-24204.0,-273,11521,41934,-33247,,,,423,1126,-1828,-28,104,-90103,13113,24568,1198735,-899001,9442,-71386,-168031,-8293,25994,,2015.0,-56798,134160,387.0,-10107,273,,,2013年01月01日至2013年03月31日,443363,411846,,-31517,75161,,-13472,-3638,,2334404,-2005556,-3181,75161,,-69940,-160392,-230332,699871,577,,496,,,-78799,411846,,4819
2013-08-13,2,2013,306050.0,-1462212,-6480,,15905,44573,1088,40084,-29484.0,-490,21707,26943,-65080,,,,-433,3163,-1828,-29,134,-201079,90902,63080,2547346,-2247841,-27660,-23207,-129083,-3118,15702,-1045.0,987.0,-93883,269981,488.0,-21415,521,,,2013年01月01日至2013年06月30日,443363,262936,,-180427,121044,,286838,307743,,3281379,-3220203,-400325,121044,,114615,-233966,-119351,699871,576,0.0,621,-643.0,,186699,262936,-11.0,14819
2013-11-12,3,2013,448973.0,-1793492,-6291,,-21515,28361,8673,33061,-72433.0,-506,30863,-5861,-114622,,,,2,3354,-1909,-543,264,-253431,70827,72055,3795930,-3396472,-102847,-69881,-217467,-13486,18873,,2919.0,-186159,402717,488.0,-30382,537,,,2013年01月01日至2013年09月30日,443363,218959,,-224404,144372,,113340,143196,,3848975,-3801981,-145724,144372,,-46060,-404089,-450149,1199871,1175,0.0,1233,-643.0,,-1176,218959,-11.0,14819
2014-03-20,4,2013,601083.0,-2476151,-29959,,33554,34421,1845,-5582,,-756,39840,-7275,-266589,,,,-1090,3754,-2309,-2007,388,-182991,161298,34494,4994741,-4595151,-77114,-70059,-199617,-7669,41922,,4809.0,-238351,531948,488.0,-40000,787,2710.0,,2013年01月01日至2013年12月31日,443363,389006,,-54357,229911,,531078,570346,,5370801,-5445494,-339809,229911,-2710.0,58868,-319516,-260648,1810000,1237,25910.0,2555,-1460.0,,340435,389006,-55.0,32268
2014-05-14,1,2014,154973.0,-485030,-58991,,-13811,-37178,4301,49210,,-53,9197,17020,-92059,,,,-2400,901,-451,-6092,25,-95335,-52173,-31128,599130,-799067,-7060,-2028,-21119,-4066,-15986,,-2264.0,-92934,128285,0.0,-10174,20,,,2014年01月01日至2014年03月31日,389006,355595,,-33411,87980,,-54829,-44675,,2831575,-2799726,97332,87980,,-163154,-124474,-287628,750000,2310,2882.0,-1081,-1840.0,,-132655,355595,,22865
2014-08-13,2,2014,297596.0,-747530,10220,,-64639,-8674,1800,32712,,-369,17995,78,-195767,,,,-2400,1001,-1195,-6495,325,-111172,-101545,-20649,1048411,-1398115,11025,2193,58701,6202,-30742,-697.0,139.0,-157215,252854,0.0,-18041,370,,,2014年01月01日至2014年06月30日,389006,262003,,-127003,163724,,228227,246194,,5998914,-5949579,-198093,163724,,-161456,-53670,-215126,850000,5958,38764.0,-1774,-12172.0,,82470,262003,-296.0,43462
2014-11-13,3,2014,440258.0,-918363,56110,,-49896,-17948,-4837,43476,,-452,26650,16217,-352230,-99388.0,,,-1913,2575,-3930,-7860,4588,-174476,-98731,-42317,2096882,-2097038,16253,2820,-101670,-1684,-18491,-606.0,2364.0,-407644,376106,0.0,-26294,453,,,2014年01月01日至2014年09月30日,389006,308359,,-80647,252624,,277110,303249,-87497.0,9739676,-9698635,33670,252624,,-118234,-271399,-389633,1000000,8482,38764.0,3819,-12172.0,,50625,308359,-298.0,48220
2015-03-15,4,2015,,-400000,5177,151650.0,15266,20535,-5708,-9915,,-785,37018,-13730,-804872,-72217.0,,0.0,0,3560,-3108,-1251,2839,-40694,9801,34809,4543979,-4444067,19607,968,-67410,-89,6249,,,-517475,483197,,-36696,773,6522.0,522740.0,2015年度,251616,939835,1238.0,688219,517873,5622.0,996350,1034831,-306238.0,3568119,-3480821,223074,517873,-6522.0,85542,-91324,-5782,590000,44209,277355.0,7327,-6498.0,29940.0,516958,939835,-2558.0,7765
2015-03-20,4,2014,590586.0,-1093363,55845,,-39089,-22342,5077,55139,,-690,34894,49456,-716443,-99388.0,-29940.0,,-1001,3324,-4605,-14553,4383,-154001,-65897,-33904,2895673,-2895694,-33857,12130,-157666,9527,-21802,,4815.0,-802688,494648,0.0,-34580,669,6511.0,,2014年度,389006,251616,,-137390,439507,,609753,644068,-87497.0,1572585,-1534334,6089,439507,-6511.0,-94880,-291145,-386025,1150000,7978,38764.0,5462,-12172.0,,204561,251616,-404.0,75956
2015-04-30,1,2015,,-25000,-56437,,-58165,31120,5933,986,,-214,8369,-10916,-180971,,,,0,110,-1023,-251,938,111145,-56184,7581,1098546,-1048569,826,-9452,-93383,1416,17262,,,-142690,122004,,-8278,214,,125288.0,2015年01月01日至2015年03月31日,251616,357099,330.0,105483,126538,2700.0,149110,157174,,461355,-425440,109979,126538,,-163198,68546,-94652,50000,2490,35104.0,2418,-10560.0,,30636,357099,,2941
