date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,除列按攤銷後成本衡量金融資產淨損失（利益）,預付費用（增加）減少
2013-05-06,1,2013,,78887.0,-3138.0,-52896,593,-2819,-8135,,,5,-37,3388,-4574,-60806,,-209,124.0,,-194,898,-53461,165594,2327,0.0,57,-22479,203210,-650,-60311,73350,0.0,2100,-3387,37,,,2013年01月01日至2013年03月31日,413096,210296,-202800,-68929,235629,241241,0.0,-370530.0,,-373544,-68929,0.0,112263,119020,231283,,0,,81,,310170,210296,-2262,,-58
2013-08-08,2,2013,,158622.0,-9719.0,-25939,694,-2134,38031,,,10,-158,6379,-1507,-94640,,-8312,,-224.0,-182,2427,-123317,425309,6192,0.0,0,-911798,706261,-873,-100707,147932,0.0,4374,-6421,158,0.0,,2013年01月01日至2013年06月30日,413096,117557,-295539,-142013,117357,128919,0.0,-300739.0,,-310682,-142013,0.0,403428,-291118,112310,0.0,0,,85,,270932,117557,-5299,,-116
2013-11-06,3,2013,,240966.0,-11869.0,48550,691,-4517,17812,,,17,-188,9138,-577,-159800,,-14839,,-222.0,-157,2438,-77747,333542,3543,0.0,57,-831061,646749,2,-169414,222447,0.0,7211,-9161,188,0.0,,2013年01月01日至2013年09月30日,413096,194712,-218384,-203358,160485,175053,0.0,-196787.0,,-208878,-203358,0.0,381175,-243730,137445,0.0,2944,,2341,,378411,194712,-5595,,-176
2014-03-21,4,2013,0.0,319799.0,-10695.0,3461,48,2939,54897,,,22,-349,13184,-2405,-206382,,-23107,,-240.0,-238,2450,-103534,715174,7815,-20000.0,0,-1016316,851684,-361,-213864,294853,0.0,10287,-13199,349,0.0,,2013年01月01日至2013年12月31日,413096,298082,-115014,-268835,547394,566535,0.0,0.0,-415204.0,-446139,-268835,0.0,729389,-213818,515571,0.0,2944,10469.0,2275,-473.0,835370,298082,-6291,,-236
2014-05-05,1,2014,,86274.0,0.0,-52361,9,3647,9719,-39622.0,,6,-71,2590,7334,-13470,,-2800,15.0,,-225,76,12968,-353303,-16781,,57,459548,24838,317,-51459,74909,0.0,2996,-2578,71,,,2014年01月01日至2014年03月31日,298082,136372,-161710,-92273,80083,82596,0.0,,-197683.0,-197668,-92273,0.0,-418741,507336,88595,,4582,,5844,,174869,136372,-6,,-63
2014-08-06,2,2014,,165201.0,0.0,-45705,-499,-42,10027,-39622.0,,11,-248,5285,4645,-39450,,-3680,15.0,0.0,-254,2338,255176,-470646,-23948,-80000.0,114,650651,-11935,268,-73659,148128,,5851,-5263,248,,,2014年01月01日至2014年06月30日,298082,250177,-47905,-435619,83855,92918,,17239.0,,-62746,-435619,,-540227,903563,363336,,7009,,6174,,528537,250177,-4048,,-125
2014-11-04,3,2014,,226974.0,0.0,-17035,-346,-1970,-12969,-39622.0,39622.0,17,-1151,7692,6192,-75081,,-3680,114.0,0.0,-645,2877,45084,42429,-1923,-80000.0,57,420202,-167817,611,-37329,222191,,8537,-7670,1151,0.0,,2014年01月01日至2014年09月30日,298082,598968,300886,-411171,111372,121939,0.0,300537.0,,220651,-411171,,21558,284578,306136,0.0,7280,31920.0,6705,,533110,598968,-4048,-17017.0,-187
2015-03-16,4,2014,0.0,312822.0,-149024.0,-11492,752,-576,23664,-39622.0,39622.0,23,-1629,14043,641,-90913,,-5280,580.0,0.0,-645,3060,307336,-478800,-24132,-80000.0,0,426254,-5467,-1191,-54206,296888,0.0,11321,-14021,1629,0.0,,2014年度,298082,352505,54423,-534424,-5191,14495,0.0,0.0,341623.0,113179,-534424,0.0,-515000,751097,236097,0.0,7652,31920.0,9193,-17017.0,548919,352505,-7294,,-251
2015-05-06,1,2015,,,,-9457,-2612,944,-14420,0,,6,-15,2674,18254,-27163,,0,0,,-23859,2097,48524,-179046,60,,6335,278709,58735,484,-48911,77264,0,3066,-2674,15,,82986,2015年01月01日至2015年03月31日,352505,429292,76787,-78588,189966,192589,,,-82522,-82522,-78588,0,-181164,369355,188191,,14,,-9,,271177,429292,36,,-65
2015-08-06,2,2015,,,,13717,-150,-2419,-10991,0.0,,12,-136,5872,2959,-54850,-10000.0,0,0.0,,-1500,906,-35746,218682,1255,0.0,315,-42966,-27189,704,-65430,151483,,5972,-5872,136,,163220.0,2015年01月01日至2015年06月30日,352505,291038,-61467,-101803,168903,176500,,-167899.0,,-167899,-101803,,231550,-116467,115083,,14,,17,,278303,291038,-1861,,-129
2015-11-03,3,2015,,,,46679,-2115,-389,-9606,0.0,0.0,18,-150,9429,1240,-195020,-10000.0,-435,0.0,,-1500,1069,-276615,818828,16801,0.0,237,-862872,-190981,1505,-205162,229518,868.0,9033,-9429,150,,248391.0,2015年01月01日至2015年09月30日,352505,325477,-27028,-23031,-244451,-233311,,421345.0,,421345,-23031,,882156,-1340827,-458671,,724,0.0,-325,,-210280,325477,-1861,0.0,-143
2016-03-14,4,2015,0.0,,0.0,40954,-1837,3086,-10197,0.0,0.0,24,-262,14187,3120,-259607,-10000.0,-507,0.0,-565.0,-3349,10358,137593,172342,20753,0.0,163,-176416,-51102,1757,-261123,310202,2036.0,12145,-14187,262,,338262.0,2015年度,352505,418026,65521,44549,502890,519721,,-178801.0,,-179366,44549,,237298,-100388,136910,,1982,0.0,-70,0.0,475172,418026,-2906,,-186
2016-04-27,1,2016,,,,-14459,94,623,607,0.0,,6,-9,2138,18431,-66938,,0,0.0,,-16,0,-19259,-97193,-14687,,-66,329163,-22040,13,-66954,77372,1466.0,2939,-2138,9,,83974.0,2016年01月01日至2016年03月31日,418026,397477,-20549,14897,259524,261653,,,-231550.0,-231550,14897,0.0,-125782,288564,162782,,0,,62,,246756,397477,0,,-14
2016-08-08,2,2016,,,,-45959,49,-2649,8809,0.0,,12,-221,4583,20308,-141800,0.0,0,0.0,,-12082,675,-21715,-32341,-17223,0.0,-100,253313,145968,28,-153168,151243,2630.0,5864,-4583,221,,164536.0,2016年01月01日至2016年06月30日,418026,423511,5485,17677,466002,470364,,,-327657.0,-327657,17677,,-98272,386423,288151,,39,,425,,452687,423511,0,,-29
2016-11-07,3,2016,,,,-21777,-1826,-6267,-20354,0.0,0.0,17,-259,5956,12962,-211278,0.0,-256,0.0,,-12082,1028,86956,113191,-9750,0.0,-51,-67285,-55850,191,-222352,215963,3241.0,8692,-5956,259,,235102.0,2016年01月01日至2016年09月30日,418026,186442,-231584,63496,310036,315733,,0.0,-332230.0,-332230,63496,,75346,-58211,17135,,236,0.0,1492,,252237,186442,0,0.0,-43
