date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,20.0,908639.0,-1364695.0,19417,-1075,0.0,-27847.0,185687.0,-2228.0,100114.0,,,,,37550.0,,,-578632,,-1133,86763,,,,,,-106988,,-360844,-52729,3402,-35953,3787,-616,5174.0,,-579765,579739,1006230,,0,197000,-6416,,,2013年01月01日至2013年03月31日,10611421,10814437,203016,658623,,2147476,2154887,,,-1364695,658623,,-419965,1007590,587625,,355.0,10666,,1496264,864.0,10814437,-995,-3454,,-148770,
2013-08-09,2,2013,55.0,1892249.0,-1423853.0,-288082,34563,-1000.0,,,-3514.0,151946.0,0.0,161781.0,,,,-42756.0,5777.0,-893030,,-1838,125636,,0.0,-1169.0,-989830.0,,41123,,-284864,-205394,3816,120959,3473,4750,5174.0,-3973.0,-1700889,1186449,806230,,0,392699,-6598,40836.0,,2013年01月01日至2013年06月30日,10611421,10871042,259621,1270123,,3392130,3397202,,,-1431620,1270123,,-820572,1055402,234830,12192.0,,229392,355.0,2127079,23148.0,10871042,-5072,-5358,-30000.0,-112816,-61709.0
2013-11-08,3,2013,55.0,2778934.0,-1423853.0,-335176,27775,-1000.0,,,-5271.0,243429.0,0.0,235747.0,,,,-60032.0,5780.0,-1714088,,-2339,167398,,,757.0,-990488.0,,59700,,-151228,-182425,1323,183306,3303,9805,5174.0,-5920.0,-2433888,1838075,832496,,0,588331,-6601,56090.0,,2013年01月01日至2013年09月30日,10611421,9499505,-1111916,1643062,,4784457,4787438,266012.0,-2298800.0,-3462485,1643062,6166.0,-841517,1206959,365442,12190.0,,240415,355.0,3144376,-79748.0,9499505,-2981,-7609,-30000.0,-158029,-83072.0
2014-03-14,4,2013,12283.0,4267149.0,-1423853.0,-352338,49684,-1000.0,,,-22680.0,-253013.0,214300.0,,,,,-74519.0,5880.0,-2087099,-30000.0,-6417655,207661,,2864.0,,2890.0,,58090,,-387440,-203461,-2312,370364,1482,10270,5174.0,7826.0,-8224376,2498469,1580618,0.0,0,1369527,-6601,81996.0,,2013年01月01日至2013年12月31日,10611421,5863626,-4747795,1855462,,6936959,6942508,266012.0,-2298800.0,-3460378,1855462,6166.0,-1000586,1820483,819897,12192.0,,251005,355.0,5087046,56814.0,5863626,-5549,-9678,,-2186,-96995.0
2014-05-09,1,2014,0.0,1077606.0,0.0,-8305,10706,,-1043.0,,,,,20612.0,-18348.0,,,-9868.0,2.0,-542505,,-25003,46667,,6596.0,-10873.0,-16449.0,21529.0,-25215,,-102272,-50660,2936,87655,1683,1516,0.0,-3098.0,-551864,673354,0,,2770,360163,-2,8300.0,,2014年01月01日至2014年03月31日,5863626,6548816,685190,377852,,1241333,1242154,,,-4279,377852,,-170053,-43251,-213304,0.0,,5167,0.0,864302,1296.0,6548816,-821,-649,,-119596,-8907.0
2014-08-08,2,2014,0.0,2180620.0,0.0,203359,23627,,,,-2087.0,,,20233.0,-40465.0,,,-22614.0,3.0,-1156276,,-52065,102345,,13640.0,-22687.0,-36555.0,33003.0,43491,,-67010,-66442,4320,39838,1768,-761,0.0,-4861.0,-1214314,1362594,0,,4929,724304,-3,17800.0,,2014年01月01日至2014年06月30日,5863626,7342191,1478565,460205,,2701929,2703697,,,-9050,460205,,59461,3411,62872,11.0,,10334,0.0,2243492,2592.0,7342191,-1768,-1275,0.0,-104552,-10410.0
2014-11-07,3,2014,0.0,3299051.0,0.0,-45249,38133,,,,-3131.0,,,39922.0,-152476.0,,,-50624.0,4.0,-1753496,,-89947,157078,,25449.0,-28388.0,-45430.0,41783.0,101552,,232509,-250598,3434,63264,2672,836,0.0,-6599.0,-1923064,2071981,-1499733,,7269,1093087,-4,36569.0,,2014年01月01日至2014年09月30日,5863626,16328532,10464906,494530,,2253732,2257374,11657770.0,-1520589.0,10134238,494530,0.0,-76976,-1459231,-1536207,11.0,,23949,0.0,1762844,3888.0,16328532,-3642,-3693,0.0,-165955,-11230.0
2015-03-20,4,2014,762,14858790,0,-240483,30553,,,,-4174,,,39538,-177702,,10366226,-82797,7,-2477970,0,-110361,190846,,33068,-33352,-60844,52524,-385722,-46220,1005706,-250060,1392,57141,2674,2399,0,-8317,-2681637,2802445,-1499733,,8815,1501498,-7,53167,,2014年度,5863626,16663946,10800320,-10206189,,3391287,3396570,11657770,-1520589,10090670,-10206189,0,541587,-1797618,-1256031,11,,77402,0,13602759,47274,16663946,-5283,-6414,,-4930,-9751
2015-05-07,1,2015,,,,278820,-6957,,,,-1043.0,,,616.0,-34510.0,,,-31535.0,1.0,-910221,,-5528,36051,,45882.0,-9256.0,-41194.0,9452.0,288222,,-754631,596,2336,61505,-26923,-1729,0.0,,-964738,537837,800887,,2384,325710,-1,16647.0,877151.0,2015年01月01日至2015年03月31日,16663946,16761476,97530,-394306,-1804.0,1025643,1027304,,,36625,-394306,,-421862,966321,544459,,,8724,,1421610,1295.0,16761476,-1661,-2021,,-148684,52569.0
2015-08-04,2,2015,,,,626855,5055,,,,-2087.0,0.0,230.0,,-39652.0,,,-62046.0,4.0,-1612454,,-6025,74409,114132.0,93959.0,-91850.0,-57847.0,21682.0,247026,,-297328,2574,1929,89787,-44853,-5907,0.0,,-1517355,1102319,250887,,4464,652669,-4,62560.0,1792207.0,2015年01月01日至2015年06月30日,16663946,16409589,-254357,-1357315,-3426.0,1260893,1267144,,,2105,-1357315,,405232,427020,832252,19.0,,24313,,2624459,2591.0,16409589,-6251,-3925,,-114975,74124.0
