date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-10,1,2013,88814.0,,,-1093248.0,-105393,19584,-7379,-4273,10693,,-38682.0,,-21069,5323,104306,-7315,,,-5291,,,84,0.0,-185.0,0.0,-60358,,-23765,-1812,-4724,115693,167157,1783,1208.0,-51424,92959,-438,,,515,8663,-6275,20758,,,2013年01月01日至2013年03月31日,4771348,5036442,265094,141887,,300376,339836,,,0.0,-88164,141887,,-109093,218228,109135,1005000.0,49,,,192,,,,,197949,-4446,5036442,-53943,3890,,0.0,-1659.0,5605,
2013-08-09,2,2013,179884.0,1172.0,,-1093826.0,-41698,5671,-25050,6988,13363,-16653.0,-88.0,,-45587,11233,149223,-136283,-4441.0,,-5749,,,137,0.0,-78.0,0.0,-54846,,38292,-7215,-40093,20685,250197,2275,1890.0,-143887,188592,-455,,,-173,16392,-11451,42864,1041.0,,2013年01月01日至2013年06月30日,4771348,5424519,653171,302213,,616136,644851,,120388.0,0.0,31699,302213,-545.0,-34034,196788,162754,1005000.0,1580,,,59,,,,,342638,-3789,5424519,-61169,4164,,5749.0,,13192,
2013-11-11,3,2013,269902.0,1177.0,,-1213145.0,-202308,-9112,4422,11692,8675,-18046.0,-89.0,,-69170,18088,114862,-211733,-4460.0,-1350000.0,-6191,,,108,0.0,-116.0,0.0,-33474,,-237948,-11658,-37914,272246,260661,424,2278.0,-219005,287396,-439,0.0,,-2296,23832,-18782,66482,1005.0,,2013年01月01日至2013年09月30日,4771348,4814794,43446,357489,,429465,633367,-627519.0,118680.0,0.0,-281876,357489,-545.0,-489598,495574,5976,1440000.0,1656,0.0,1350751.0,71,0.0,,-751.0,,275878,-1172,4814794,-252607,-2353,,15630.0,,-2351,
2014-03-26,4,2013,351707.0,2481.0,0.0,-1213054.0,-243620,-15946,-13190,11089,-11327,,-89.0,13391.0,-92032,25392,145020,-19856,-7529.0,-2150000.0,-7197,,,145,0.0,,462.0,-36447,,-410519,-16419,-56616,517356,280923,5429,17638.0,-292149,386315,-438,,,-3743,30058,-26028,89454,2066.0,,2013年01月01日至2013年12月31日,4771348,4904288,132940,359851,,561385,764070,-627519.0,119112.0,0.0,-281316,359851,-1606.0,-740718,793230,52512,1440000.0,19281,,2151687.0,1341,0.0,,-1687.0,,404219,-3471,4904288,-268177,558,,0.0,-6280.0,28070,-281389.0
2014-05-12,1,2014,85459.0,,0.0,0.0,-133255,1519,24052,28410,32030,,-101.0,,-22172,8071,14786,-129658,,-700000.0,-8901,,,1,,-15.0,,2968,,-189629,-2552,-15085,100325,101303,-4424,-4449.0,-136645,100620,-820,279.0,,-23,4902,-8151,23945,,,2014年01月01日至2014年03月31日,4904288,4576164,-328124,-65206,,-87154,-67479,,,-119112.0,-119111,-65206,,-311616,223884,-87732,0.0,1325,,700705.0,-1082,,,-705.0,,-2273,625,4576164,-35469,2642,,,-6794.0,-29029,
2014-08-11,2,2014,211104.0,0.0,,0.0,-153046,-3974,20778,38982,19567,0.0,-97.0,,-41954,14209,-34361,-200701,-2725.0,-1250000.0,-9837,,,0,-54.0,0.0,122.0,36532,,-264100,-3007,-20050,-46226,142302,-2710,-3803.0,-206925,201068,-820,284.0,,-614,9696,-14344,43879,726.0,,2014年01月01日至2014年06月30日,4904288,4312163,-592125,-157295,,-231673,-206166,,0.0,-119112.0,-119166,-157295,0.0,-428457,168482,-259975,0.0,4997,,1251316.0,2067,,,-1316.0,,-48871,776,4312163,-55768,-328,,,28276.0,-21460,
2014-11-10,3,2014,1330791.0,0.0,,0.0,-52971,-1005,7069,39917,26429,0.0,-432.0,,-61558,20373,26896,-281789,-4678.0,-1750000.0,-9846,,,0,-1880.0,0.0,17.0,36379,,-185140,-2469,-24890,64302,175738,-3357,-3089.0,-284105,302114,-821,285.0,,-2060,15794,-20508,64767,726.0,,2014年01月01日至2014年09月30日,4904288,4248913,-655375,-1472321,,-89468,-64961,-187706.0,0.0,-119112.0,-308698,-1472321,0.0,-242217,318786,76569,0.0,10864,,1751759.0,7834,,,-1759.0,,1407360,1739,4248913,-69492,970,,972172.0,76911.0,-1547,
2015-03-24,4,2014,1422953.0,0.0,,0.0,-169116,-116,15834,17456,48401,,-433.0,52849.0,-81058,26410,71955,-346404,-5585.0,-2200000.0,-10585,,96783.0,0,-1853.0,-132.0,0.0,48860,,-121053,-712,-18269,183969,137994,-5827,-11399.0,-309723,371691,-851,285.0,,-3502,19764,-26473,80840,726.0,,2014年度,4904288,4487472,-416816,-1440167,,129623,170499,-187706.0,0.0,-119112.0,-308671,-1440167,0.0,-267801,455514,187713,0.0,51283,,2202133.0,13984,,,-2133.0,,1610666,5314,4487472,-95969,1200,49162.0,864486.0,13317.0,56943,
2015-05-12,1,2015,,,,,-59152,-817,8003,-458,-47252,,0.0,1583.0,-23239,5939,-29877,-47555,,-600000.0,-952,,-50428.0,-91,,-448.0,,-6261,,-155785,-1347,-8150,206060,-13168,6082,,88342,52676,-1193,0.0,768.0,-782,2791,-5945,21406,,-27628.0,2015年01月01日至2015年03月31日,4487472,4478595,-8877,45599,-5141.0,-67251,-50012,,,0.0,-91,45599,,-282025,214042,-67983,,6341,,600683.0,-6296,,129505.0,-683.0,,-95611,-3188,4478595,-32700,707,,,-9896.0,13784,
2015-07-30,2,2015,,,,,-76505,-1600,7747,2970,-33213,,0.0,3955.0,-45139,11920,-49963,-70931,-863.0,-1120000.0,-943,,-55664.0,5,0.0,,231.0,-44102,-144346.0,-199291,-3685,-2253,193407,40889,5960,,74205,105521,-1205,0.0,768.0,-1502,5533,-11993,45849,2599.0,3651.0,2015年01月01日至2015年06月30日,4487472,4349457,-138015,121737,-4478.0,-17916,-7083,,,0.0,-144341,121737,-2599.0,-325394,192923,-132471,,15362,,1121076.0,-4815,,129505.0,-1076.0,,-128820,-3164,4349457,-47288,799,,,-13282.0,-13948,
