date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-13,1,2013,58343.0,,-81.0,33351,-1916,-16791,-5,24.0,14994,,1106.0,,,,-9326.0,,-6259.0,8309.0,,-17344,542,88621,-82813,,-8648.0,0.0,-475.0,,,966,,,-57.0,-711.0,,-23709,-4755,-1,,-719,102594,102,33077,924.0,11811,74465,,,-14378.0,8662,-720,23283,,,2013年01月01日至2013年03月31日,1597069,1905114,-2304,308045,88688,,260265,262121,,,,-49589.0,-52652,88688,1693,,41878,73212,115090,,2614,282,,,-2293,4280.0,,100000.0,,173433,1905114,-24419,-257,-2925,,3799.0,-13836.0,,
2013-08-13,2,2013,77818.0,,-167.0,70833,-1045,-4905,-16,7983.0,31120,,12343.0,,-4639.0,,-149032.0,-29291.0,,6321.0,,-34244,745,156224,-145041,-7043.0,,,-460.0,,,3903,,6313.0,,-1515.0,0.0,-30175,91810,34,,4015,-99851,76,30174,1267.0,-58858,104781,,,-23843.0,25093,-999,25173,,,2013年01月01日至2013年06月30日,1597069,1778238,-3633,181169,236715,,155535,225993,,,,-67387.0,-71732,236715,3405,,198034,-286574,-88540,949.0,8500,340,,,-4458,7900.0,,100000.0,,-10722,1778238,-94632,-592,-10491,0.0,3799.0,-45188.0,,
2013-11-13,3,2013,119408.0,,,53057,-392,-13016,-17,8018.0,32298,,-7548.0,,-8792.0,0.0,80076.0,-39124.0,,,,-50466,959,83651,-161357,-111855.0,,,-460.0,,,7444,,24499.0,,-2292.0,0.0,-9502,86113,-4,-226.0,-452,-86676,78,32608,2443.0,-60723,154567,17.0,,-30480.0,34300,-1214,47058,37476.0,,2013年01月01日至2013年09月30日,1597069,1799946,1413,202877,396530,,535541,612542,,-244305.0,,-77387.0,-355592,396530,5136,,173080,-76476,96604,3934.0,102030,247,,,-4525,7900.0,,100000.0,,216012,1799946,-122845,813,-58173,0.0,3799.0,-72479.0,,
2014-03-18,4,2013,154510.0,,,144505,265,2110,-10,8033.0,29379,,56239.0,,-9790.0,,-501850.0,-84412.0,,,,-68061,1302,142997,-194413,-128782.0,,0.0,-460.0,0.0,,6456,,42752.0,,-3908.0,0.0,-25838,-16846,-15,-226.0,-640,-134907,-347,40539,3759.0,-172236,210048,,,-37184.0,49938,-1488,61194,37475.0,,2013年01月01日至2013年12月31日,1597069,1495045,-7105,-102024,567730,,153292,298197,,-244305.0,37613.0,0.0,-226077,567730,6866,,160407,-584450,-424043,4618.0,122348,1009,,,-4660,7906.0,,65350.0,,-269533,1495045,-204611,-4099,-61911,0.0,3799.0,-20386.0,,
2014-05-08,1,2014,41505.0,0.0,0.0,-93888,-2389,-6641,2,,7457,,9809.0,,,403.0,-71440.0,-5982.0,,0.0,,-19317,471,-9332,-16745,-25796.0,,,0.0,-49819.0,,-549,,1047.0,0.0,-822.0,,7512,35383,1,,-127,54064,144,-3268,1004.0,-37861,53089,,,-5599.0,13495,-534,30002,,,2014年01月01日至2014年03月31日,1495045,1485364,-1213,-9681,149094,,134771,128453,,,,-45000.0,-97259,149094,1313,,-52559,-9587,-62146,1137.0,32970,-391,,,-309,0.0,,34650.0,,-20641,1485364,-23150,515,-53306,,0.0,231.0,-7857.0,0.0
2014-08-05,2,2014,95154.0,0.0,,-88679,-1770,-18817,8,0.0,-9880,,-83191.0,,-8741.0,,238221.0,-12331.0,,,,-36858,767,-86751,-22486,-80178.0,,,0.0,-48200.0,,-906,,856.0,,0.0,3030.0,2917,84136,19,0.0,286,-3745,432,-7015,2013.0,-78463,104791,,,-14599.0,26760,-836,44088,98.0,,2014年01月01日至2014年06月30日,1495045,1645967,13439,150922,320347,,489242,530983,,,,-115000.0,-173106,320347,2641,,-13875,129357,115482,1170.0,69175,-208,,,-728,842.0,,34230.0,,210636,1645967,-84993,55,-58962,,0.0,547.0,-15072.0,
2014-11-10,3,2014,127119.0,,,-64137,-1154,-16110,2,0.0,-6835,,,,0.0,603.0,643490.0,-24095.0,,,,-49657,903,-4519,-49726,-129817.0,,,0.0,-79896.0,,-798,,1318.0,,0.0,3341.0,-1129,109485,25,0.0,-114,-23316,-86,-5200,3008.0,-140145,157371,0.0,-216533.0,-17534.0,42154,-972,55814,32146.0,,2014年01月01日至2014年09月30日,1495045,1664455,-7593,169410,501310,,898660,945124,,-312710.0,,-115000.0,-584586,501310,3983,,40278,276417,316695,1478.0,77674,-317,,,-2047,2963.0,,34251.0,,443814,1664455,-101306,654,-158194,0.0,0.0,-104701.0,-9067.0,0.0
2015-03-18,4,2014,155079.0,,,17327,-538,-9634,-12,-1036.0,-3180,,,,0.0,8207.0,186608.0,-32688.0,,,,-61775,1487,98007,-88988,-218419.0,,,-9.0,-104432.0,,-1778,,0.0,-110.0,0.0,2504.0,-33128,13503,702,0.0,-107,24819,-338,-2541,3882.0,-91728,210916,,-77911.0,-24271.0,49334,-1096,68333,,,2014年度,1495045,1212288,-13632,-282757,662826,,760705,933622,-642520.0,-312710.0,102794.0,,-1049741,662826,5326,-7277.0,31589,84128,115717,1775.0,233012,-497,,,-3251,2963.0,,83861.0,,270796,1212288,-242628,497,-197195,,0.0,-3735.0,-10624.0,0.0
2015-05-08,1,2015,,0.0,0.0,-122499,6,-5343,8,,7905,,12915.0,,,-87697.0,0.0,-8390.0,,0.0,,-14232,782,-37805,-14877,-26486.0,,,0.0,,-25250.0,-556,,-2322.0,0.0,-75.0,,19937,23435,-256,,-47,15790,178,7090,,-126015,50682,,,-2628.0,12465,-80,10573,,44587.0,2015年01月01日至2015年03月31日,1212288,1149963,-4046,-62325,115403,1023.0,108048,122105,,,,-4231.0,-6553,115403,616,,-90433,52548,-37885,1954.0,13801,1237,,,-32,0.0,,,25467.0,6702,1149963,-24550,299,0,,0.0,1973.0,-4462.0,0.0
2015-08-12,2,2015,,0.0,,-119164,-675,-5681,-9,0.0,5187,,39041.0,,58171.0,,,-12607.0,,,,-27552,1626,-88428,-49506,-17549.0,,,-290.0,,-50170.0,-821,,0.0,-3856.0,491.0,,37093,55388,119,0.0,-4,-46910,588,-3459,,45975,100020,,,-3927.0,24417,-1858,19600,0.0,90899.0,2015年01月01日至2015年06月30日,1212288,1345476,-5312,133188,271220,-178.0,221142,345115,,,,-4231.0,-45501,271220,1240,,-59327,42323,-17004,5024.0,13579,382,,,-318,4.0,,,96176.0,73895,1345476,-141715,1144,-37414,,0.0,21660.0,2652.0,
2015-11-02,3,2015,,,,-98296,-217,3375,-2,,8363,-3766.0,,,,177935.0,,-26302.0,,,,-39954,2431,-1722,-76994,-87005.0,,-8968.0,-409.0,,-86591.0,-368,,0.0,-5617.0,-590.0,0.0,42846,77035,-137,,-69,-85614,558,-4735,,87452,149695,,,-7143.0,34439,-1954,28920,,110874.0,2015年01月01日至2015年09月30日,1212288,1311639,-26432,99351,511013,-636.0,380225,510363,,-270079.0,,-4232.0,-366604,511013,2773,-4160.0,-13957,-97567,-111524,6724.0,76376,461,,,-1453,4.0,,,96962.0,-650,1311639,-166067,585,-86676,,,-50229.0,-2440.0,
