date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,,13998.0,-69542,2709,,-48128.0,-911.0,193.0,,,-120.0,,,-8332,,672,1423.0,-11271,0,123,,,,,848349,6822,63557,,-275004.0,8907,-5872,50769,,-11271,41009,0.0,208,-842,,,2013年01月01日至2013年03月31日,428540,987665,-1423.0,559125,259595,,1131804,1132646,,,-287621.0,-562831,259595,-48202,907255,859053,0,,855,,873051,987665,0.0,-19114.0,,-86,2200,
2013-08-01,2,2013,,54607.0,-26851,8308,,-29885.0,-1083.0,,,0.0,-120.0,,1345.0,-25647,,1333,3605.0,-25301,-370,98,,,,,-214324,623,-16099,,-85035.0,-64731,14236,50871,,-24269,81164,-17258.0,419,-1534,,,2013年01月01日至2013年06月30日,428540,199522,-3605.0,-229018,472521,,134913,186214,,,-256546.0,-343267,472521,-73295,-267619,-340914,57,,845,,-286307,199522,-49767.0,,,-1566,-44721,
2013-10-31,3,2013,,97214.0,-21264,-458,,-41213.0,,,,0.0,,,,-26547,,2965,4423.0,-38963,-908,-2539,,-120.0,-6993.0,,2002,-89840,-37031,,-300000.0,-68055,-12515,95012,-1246.0,-46807,121608,,652,-3043,,,2013年01月01日至2013年09月30日,428540,281040,-4423.0,-147500,599540,,396212,499546,-447930.0,248288.0,,-501328,599540,-190594,-6614,-197208,57,,900,,-99994,281040,-100291.0,4598.0,,-1566,-22600,
2014-03-18,4,2013,,118206.0,66085,-4674,,-57167.0,,0.0,,,,,,-25744,,3703,4870.0,-55215,-1622,-2424,-70.0,,129.0,,1095012,-5504,-38373,-300000.0,,-125046,-22595,119153,-1990.0,-56612,161815,,926,-3832,,,2013年01月01日至2013年12月31日,428540,1345484,-4870.0,916944,852218,,1889640,1996657,-447930.0,-171388.0,,-920954,852218,-36949,1063182,1026233,96,0.0,911,,1144439,1345484,-103185.0,-16111.0,0.0,-1566,1332,
2014-04-29,1,2014,,43464.0,-85410,9956,,41412.0,,,500.0,,,,,-450,,810,1328.0,-13600,0,-177,,-50.0,,616.0,-768887,-95956,3849,9999.0,,-58220,13429,-8228,-107.0,-12484,40131,,311,-852,,,2014年01月01日至2014年03月31日,1345484,661951,-1328.0,-683533,350919,,-566235,-565383,,-116091.0,,-106142,350919,-136212,-823554,-959766,0,,0,,-916302,661951,0.0,4167.0,,0,-11604,
2014-07-29,2,2014,,100411.0,-38137,14640,,74.0,,,500.0,,,,,16827,-1832.0,1872,2315.0,-24976,0,-1043,,-50.0,-8613.0,,-1504688,-43251,22722,259943.0,,-164762,23296,68631,-10290.0,-33087,66846,,618,-1914,1832.0,,2014年01月01日至2014年06月30日,1345484,337366,-2315.0,-1008118,535964,,-1111224,-1025517,,,-120095.0,133878,535964,-68882,-1593010,-1661892,2,,-2,,-1561481,337366,-85625.0,19440.0,,-5920,-30127,
2014-10-28,3,2014,,136046.0,-36547,10604,,-10287.0,,,500.0,,,,,50548,-1866.0,3236,3797.0,-52215,0,-1043,,-50.0,-14170.0,,-794430,-86204,48498,35992.0,,-161231,18768,37596,-10450.0,-65681,91123,,917,-3278,1866.0,,2014年01月01日至2014年09月30日,1345484,255524,-3797.0,-1089960,715196,,-344961,-193042,-607905.0,,-105233.0,-683115,715196,-94990,-949294,-1044284,204,,108,,-908238,255524,-150507.0,-3180.0,,-5919,-60601,
2015-03-19,4,2014,,122222.0,39002,2307,,9480.0,,,500.0,,,,,21813,-3020.0,3831,5082.0,-74255,0,-661,350.0,,-7489.0,,-983348,-42818,10427,10997.0,,-9958,-62867,13795,-10599.0,-78170,114458,,1194,-3818,3020.0,,2014年度,1345484,981164,-5082.0,-364320,1204164,,86572,241752,-607905.0,224673.0,,-377804,1204164,5492,-1090126,-1084634,1499,1575.0,-1013,-15.0,-962412,981164,-154382.0,-9283.0,,-5919,-50055,
2015-05-07,1,2015,1177.0,,-124849,5204,,-13115.0,,,0.0,,,,,-13012,-1139.0,641,,-10654,-276,63,,-180.0,,1252.0,-43477,-20005,50260,9000.0,,-30615,84015,54654,,8923,23764,,282,-669,1139.0,37051.0,2015年01月01日至2015年03月31日,981164,1006790,,25626,293744,-2697.0,273969,273499,,,-266086.0,-257266,293744,-110406,53110,-57296,373,18228.0,-355,-897.0,-20245,1006790,,26527.0,,0,-16671,
2015-07-28,2,2015,2018.0,,-88217,11534,,26834.0,,,,,,,0.0,-21222,-2586.0,923,0.0,-38037,-571,23,,-180.0,7159.0,,436034,-19135,-3148,,-10997.0,67580,88719,16884,,-12394,46710,,551,-981,2586.0,45427.0,2015年01月01日至2015年06月30日,981164,1570282,0.0,589118,521053,-2858.0,939377,1078422,,,-320769.0,-337865,521053,-86524,598466,511942,827,18228.0,-645,-897.0,557369,1570282,-140650.0,20552.0,,-5919,-22285,
