date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,員工執行認股權,存貨（增加）減少,應付帳款增加（減少）,應付租賃款減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加－處分資產
2013-05-07,1,2013,0.0,2225316.0,,,-11366667,,4115386,-75719,,-1076653.0,,1214,251008.0,,-49609,4750.0,-66437,385728,12343,-1730073,,,,,,,-2060139,-178752,-1708,-809039,-20579.0,-1671222,1512295,0.0,,245863,171847,-306433,77029,,,2013年01月01日至2013年03月31日,11308381,2528871,-52891,-8779510,509461,,-1467588,-1233882,,,700000,,-5653043,509461,24877,,-1274770,-2693889,-3968659,750000.0,1129,,-716,,,,-1743343,2528871,-4302,,0.0,107331,149946.0,,,
2013-08-07,2,2013,,3797903.0,,0.0,-11700000,,6139371,190510,,-1358147.0,,15642,221657.0,,-43108,9500.0,-131494,760516,6360,-4718911,,,-1999998.0,,,10214.0,1360820,471134,-3441,-2484358,-11121.0,-6492058,3014556,,0.0,-351416,343642,-771004,131864,,,2013年01月01日至2013年06月30日,11308381,4685326,-65877,-6623055,2203992,,3764546,4408032,,,551700,,-3901903,2203992,33359,,-882492,-711371,-1593863,950000.0,55295,,68408,,,,2204040,4685326,-4346,0.0,,214664,150253.0,,116709.0,
2013-11-12,3,2013,,4096438.0,,0.0,-17750000,,8356403,276044,,-1684382.0,,55894,239024.0,,-40517,13416.0,-195318,1136868,-45325,-5580003,,,-1999998.0,,,10830.0,3625187,-348803,-5827,-1293072,-16056.0,-7243030,4513967,,0.0,-2176265,515332,-1147740,195796,,,2013年01月01日至2013年09月30日,11308381,3050144,43869,-8258237,4185122,,8178332,9135396,0.0,,90000,,-9148214,4185122,41841,,-1993347,2847183,853836,,55491,,68166,,,,4950274,3050144,-5120,0.0,,321997,150380.0,,134562.0,
2014-03-14,4,2013,,3094336.0,,0.0,-18083334,,4495238,400523,,-1771435.0,,29081,-162503.0,,2759,15667.0,-260458,1484285,39133,-5877523,,,-1999998.0,-29406.0,,10829.0,6990593,-341136,-7199,-1787828,-20967.0,-7336790,6064107,,0.0,-5045424,687022,-1488107,260259,,,2013年01月01日至2013年12月31日,11308381,3995502,-98467,-7312879,8149796,,13335308,14580460,150000.0,,90000,,-13350530,8149796,50831,,-2104457,5440785,3336328,,138048,,44797,,,,6430664,3995502,-17304,0.0,,429330,-6064.0,,151976.0,
2014-05-09,1,2014,,-867051.0,-743958.0,,-3650000,,-6790719,63460,-69750.0,156353.0,353556.0,16978,,,-8160,3500.0,-65724,326909,45197,-127634,,,,-190509.0,,863.0,924377,-547190,-2030,1206209,343.0,39429,1418160,,,-2972136,81063,-335843,65382,,,2014年01月01日至2014年03月31日,3995502,7109086,-77761,3113584,6071859,,7095844,7378894,0.0,,0,,-4066886,6815817,8032,,-373516,2547602,2174086,6375000.0,3150,,-863,,,,1307035,7109086,-12589,,,107332,,411769.0,,325000.0
2014-08-08,2,2014,19.0,-1873660.0,-1077863.0,,-3650000,,-11706464,112894,-69750.0,652151.0,202902.0,309124,,,-199453,7000.0,-135898,642206,-33377,-612588,,,0.0,-213451.0,,10428.0,1836916,-743481,-4089,925254,-611.0,-506798,2762588,,,-5688939,116242,-662333,133618,,,2014年01月01日至2014年06月30日,3995502,7421752,48690,3426250,12158776,,13030950,13580265,0.0,,-89400,,-9064525,13236639,11449,,217183,3077966,3295149,6375000.0,48779,,-48767,,,,1421489,7421752,-20600,,,214665,,411750.0,,325000.0
2014-11-10,3,2014,13005.0,-3295738.0,-1073424.0,,-7300000,,-19469916,37700,-69750.0,-249816.0,1047022.0,-23840,,,-310955,10500.0,-200676,934813,43403,-4545314,,,0.0,-236393.0,,576577.0,2581227,-958388,-6179,792960,-142095.0,-3084507,4091109,,,-8547780,151556,-964129,200324,,,2014年01月01日至2014年09月30日,3995502,4166833,-103014,171331,20497944,,19491832,20286976,0.0,-14879.0,0,-90000.0,-16279397,21571368,14862,,-1374139,4458909,3084770,10025000.0,55908,,111500,,1700000.0,,-210968,4166833,-31339,,,321997,,228387.0,,
2015-03-12,4,2014,13005.0,-6527842.0,-1056131.0,,-7300000,,-25373682,239897,-69750.0,939046.0,234812.0,-23798,,,-361681,14000.0,-262270,1207899,86189,-5795646,,,0.0,-291163.0,,1282281.0,2568251,-692932,-7404,759103,-144766.0,-4310934,5416077,,,-13294580,191434,-1242110,261069,,,2014年度,3995502,7267855,-173335,3272353,30675775,,27010903,28027546,0.0,-22104.0,-90000,,-19513805,31731906,18278,,77550,3802063,3879613,11975000.0,77976,,-53604,22104.0,1700000.0,,-2648229,7267855,-35602,,,429330,,395254.0,,
2015-05-11,1,2015,,,0.0,,-3650000,,-4493467,22722,0.0,-809266.0,66536.0,4337,,,-4958,,-59523,242966,-52581,-964406,,,,-58498.0,,366297.0,-30943,145146,-1920,-28563,,-920222,1361774,,,-1772544,36196,-249661,59352,,-124793.0,2015年01月01日至2015年03月31日,7267855,7428590,63638,160735,6303920,-1241.0,5310628,5547855,,,3602000,0.0,-4177090,6303920,3052,,-661024,29752,-631272,0.0,308,,356,,0.0,,-756065,7428590,-46918,,,107332,,-708.0,,
2015-08-10,2,2015,0.0,,0.0,,-3650000,-723351.0,-8486863,97360,0.0,73919.0,-541155.0,13152,,,-27185,,-121472,448901,-20131,-1746753,,,,-84874.0,,393633.0,-315308,24902,-3870,184756,,-1642819,2780380,,,-2890498,72162,-463078,122318,,247839.0,2015年01月01日至2015年06月30日,7267855,7188552,-45901,-79303,11058794,-1656.0,9728747,10119252,,,3602000,0.0,-8145100,11058794,3177,,-613034,-574347,-1187381,0.0,1328,,-668,,,,-939542,7188552,-49745,,,214665,,,1758.0,0.0
