date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-06,1,2013,6984.0,,,-22817,457,-2750,-397,,,12135.0,,,-986,,-428,-11313,,-241200,,0,,,2891,0.0,,-9986.0,,-12245,291,-8417,-3628,,-5198,7948,211,118.0,,,986,,,2013年01月01日至2013年03月31日,223631,270677,3268,47046,77721,,48964,49271,,3708,77721,,77821,-113255,-35434,,2000,120,243046.0,-1227,-1926,0,,-28450,270677,-1293,-211,,817,,,,-101481,115342
2013-05-09,1,2014,1120.0,,-568.0,-10901,779,14723,0,,,207.0,,,-55,290.0,-1791,-462,,-50000,,0,,,0,-2021.0,,163.0,,9178,-2161,-34592,17270,-19.0,113622,7036,0,-1626.0,-290.0,,55,,,2014年01月01日至2014年03月31日,221398,287278,688,65880,18379,,-43362,-43112,,-2589,18379,,34566,-97177,-62611,,10,0,163704.0,-10,-5203,0,,-61491,287278,-15,0,,0,,,,-80634,23746
2013-08-09,2,2013,10693.0,,,-13931,825,33345,-3,0.0,,11691.0,,,-1287,,1102,-15589,0.0,-521155,0.0,0,,0.0,2819,0.0,-1158.0,,,96987,5088,-81687,-38024,-46.0,-139728,16048,-1025,,,,1287,,,2013年01月01日至2013年06月30日,223631,257424,4734,33793,117625,,169718,193941,,2701,117625,,312129,-246506,65623,,2000,120,384363.0,-1227,-6138,0,-2462.0,76316,257424,-25510,1025,,-118,,,,-126592,190686
2013-11-05,3,2013,-6376.0,,,-16885,-14966,-4677,-970,0.0,,11933.0,,,-1431,,770,-24776,0.0,-686697,0.0,0,,0.0,1781,-183181.0,-11147.0,,,62856,-20574,-1136,15393,-80.0,44931,24030,-1025,,,,1431,9187.0,,2013年01月01日至2013年09月30日,223631,277237,4596,53606,208322,,191489,224599,,-183584,208322,-8099.0,2657,19996,22653,,15197,120,737301.0,-2120,-7308,3000,-17301.0,16277,277237,-43728,1257,,-2184,,,,22700,-17983
2014-03-20,4,2013,-3244.0,879658.0,,-11107,-17245,11582,0,0.0,,14375.0,,,-1684,122.0,1548,-62602,0.0,-861634,,0,,18077.0,2402,,-8585.0,,,1515,-19027,26405,-28997,-1675.0,-20471,31450,-1259,-15382.0,-122.0,,1684,22581.0,,2013年01月01日至2013年12月31日,223631,221398,3749,-2233,224274,,181135,201874,-183181.0,-164445,224274,-8115.0,-33283,14127,-19156,18518.0,15197,120,,-2254,-10735,3000,,-22400,221398,-44882,1259,,-2184,,-19731.0,0.0,35223,-14571
2014-08-08,2,2014,10227.0,,,-6645,2006,42179,-2,0.0,,269.0,,,-253,689.0,-493,-674,0.0,-239830,0.0,0,,0.0,-2754,0.0,-143.0,,-306.0,131716,14000,-84710,6036,-30.0,-48475,14224,0,,-689.0,,253,,,2014年01月01日至2014年06月30日,221398,313294,1200,91896,62019,,145362,161790,,-4498,62019,,323527,-233983,89544,-1331.0,10,0,191893.0,-10,-5363,0,-260.0,99771,313294,-15992,0,,-107,,,,-157313,142307
2014-11-10,3,2014,-1934.0,,-1334.0,-7746,2118,922,-340,0.0,,-482.0,,,-305,917.0,-895,-1642,0.0,-395715,0.0,0,,0.0,-2569,,-195.0,,-28862.0,41857,13488,-16770,8904,-31.0,84639,19675,0,,-917.0,0.0,305,5006.0,,2014年01月01日至2014年09月30日,221398,230357,-553,8959,135315,,143335,170661,-183181.0,-218120,135315,-5006.0,75831,-38551,37280,,5027,0,477646.0,45,-11036,0,-5671.0,35346,230357,-31720,0,,-2174,,,,-32463,27341
2015-03-20,4,2014,5733.0,545336.0,-1227.0,-4639,-573,-6484,0,0.0,,-1363.0,,,-503,1371.0,-104,-9209,0.0,-407159,,0,,516.0,-4772,,205.0,,-69194.0,-5054,10861,14055,10128,-4655.0,141206,27849,0,-13242.0,-1371.0,,503,20152.0,,2014年度,221398,223756,6297,2358,150701,,121803,134829,-183181.0,-260547,150701,-5019.0,4142,-25747,-21605,0.0,13396,0,,-965,-12865,0,,-15872,223756,-32310,0,2294.0,-2173,,0.0,0.0,-49357,14113
2015-05-08,1,2015,,,-17291.0,-12616,18,-15569,0,,,26800.0,,,-755,116.0,-2834,-2199,,-147845,,-1000,,,1021,0.0,,771.0,,23233,-4264,52930,-6516,,720,6466,0,8265.0,-116.0,,755,,4511.0,2015年01月01日至2015年03月31日,223756,274751,-2284,50995,37058,8.0,69379,68857,,-16270,37058,,27435,-147,27288,,0,0,124193.0,0,-7297,0,,31799,274751,-117,0,,0,,,,-46579,36643
2015-08-11,2,2015,,,,-2525,114,50225,-5,0.0,-1153.0,26552.0,,,-1014,116.0,-3860,-3608,0.0,-371019,0.0,-1862,,3213.0,962,0.0,1025.0,,0.0,92306,-11561,-7095,6410,,-130154,12632,0,,-116.0,,1014,,-5257.0,2015年01月01日至2015年06月30日,223756,359318,-228,135562,121459,18.0,285971,291616,,-16395,121459,,200763,-25349,175414,-17291.0,8600,87,211224.0,-5996,-18782,0,4802.0,170157,359318,-6543,0,,-66,,,,-24773,72300
2015-11-09,3,2015,,,-17291.0,-1962,-2208,14985,-561,0.0,,,0.0,26482.0,-1130,116.0,-1432,-5061,0.0,-661818,0.0,-1862,,3213.0,1132,0.0,0.0,1108.0,-27846.0,45264,-12641,25208,27425,,-79282,17831,0,,-116.0,0.0,1130,7570.0,-29139.0,2015年01月01日至2015年09月30日,223756,316342,-482,92586,218350,32.0,306743,315371,-89372.0,-133443,218350,-7570.0,75968,50192,126160,,28456,87,533326.0,-13482,-20262,0,-7373.0,97021,316342,-17212,0,,-66,,,,328,30290
