date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-14,1,2013,,51458.0,-36346,-113101,-769,1831,,1398,76.0,,-62956.0,0.0,,,,,,,-82020,,,,-2563,,9,,,52025,422405,,-363748.0,,-1.0,-72829,-165843,-67935,-286306,-76903,583599,-142813,47653,,4274.0,-10956,,,,2013年01月01日至2013年03月31日,860117,962686,102569,254899,181729,192884,,100000.0,,63653,254899,,-124044,10571,-113473,,4726.0,,,,,-62015,962686,-199,,,-478.0,,-27373.0,
2013-08-12,2,2013,,104191.0,-169916,-29368,-944,85429,,11459,22538.0,,-52559.0,,,,,,,,-222049,,,,-5440,,-964,,,-12298,637159,,-477536.0,,-48.0,208350,-336767,-700334,-461378,-289443,484192,-275304,97561,,8550.0,-21801,,,,2013年01月01日至2013年06月30日,860117,558614,-301503,541526,-216235,-163713,0.0,360000.0,,190036,541526,,435493,-1244923,-809430,,4744.0,,,,,-705239,558614,-30721,,,-956.0,,49511.0,
2013-11-14,3,2013,,77013.0,-481362,20308,-3013,50800,,2184,6693.0,,-43434.0,,,,,-7409.0,33032.0,,-398578,,,,-5488,,-1024,,,98671,811679,,133472.0,50052.0,,261583,-136453,-596527,199606,-310983,-244251,-447460,144838,,10851.0,-32969,7409.0,101841.0,,2013年01月01日至2013年09月30日,860117,1703074,842957,904996,1368227,1352027,-256500.0,610000.0,,-77810,904996,-101841.0,1280026,-910008,370018,,40.0,,,,,447031,1703074,-60081,,,-1434.0,,76249.0,
2014-03-17,4,2013,,89591.0,-508761,66819,-6932,20300,,3031,2533.0,,-46047.0,,,,,-14545.0,44183.0,,-423660,0.0,-300387.0,,-4309,,-1200,300.0,,133843,897912,,-329876.0,49807.0,,505041,-311680,-1087128,81471,-381746,651674,-722353,193654,,12334.0,-44148,14545.0,101841.0,,2013年01月01日至2013年12月31日,860117,1883180,1023063,1330480,1820570,1811163,-256500.0,640000.0,,-75154,1330480,-101841.0,1163227,-772135,391092,,153.0,51897.0,,-41083.0,,480683,1883180,-62831,,,-1911.0,,145830.0,
2014-05-14,1,2014,,52552.0,-24658,-164355,-5380,-14253,,1537,,,,25988.0,-59448.0,,,-11126.0,10852.0,-12.0,-33424,,-133065.0,,-2451,,201,0.0,,-42226,1130,249035.0,,70086.0,,-597646,74955,477616,81432,267132,-392033,-202379,53103,,,-10907,11126.0,,,2014年01月01日至2014年03月31日,1905461,1882792,-22669,259778,214294,214620,,,-80000.0,-34572,259778,,-524552,426842,-97710,,21.0,,,,,-45158,1882792,-545,,,-478.0,,-34654.0,
2014-08-12,2,2014,,100242.0,-49426,-140496,870,36817,,4142,,,27481.0,,5125.0,,,-22732.0,20447.0,-170.0,-34975,-70818.0,-133065.0,,-9099,,-259,,-831.0,-37388,143065,561091.0,,122.0,,-489021,37888,266791,29525,206060,-55814,-215299,103742,,,-20629,22732.0,,,2014年01月01日至2014年06月30日,1905461,2639481,734020,569871,1048207,1214495,0.0,,-980000.0,-98718,569871,,115598,428784,544382,300000.0,52.0,,,,,644624,2639481,-168391,,631417.0,-956.0,,-19148.0,
2014-11-13,3,2014,,-44346.0,-556194,-40597,440,10934,,3862,,,,55984.0,,5453.0,,-32220.0,28616.0,115.0,-47410,-70818.0,-133064.0,,-13368,,-188,,,-25252,152958,-67040.0,,,-139777.0,-470423,41765,301570,21595,216759,-283728,-203109,157354,,,-28603,32220.0,196793.0,,2014年01月01日至2014年09月30日,1905461,1420076,-485385,1100708,832118,893184,-931500.0,,-1230000.0,-1114509,1100708,-196793.0,-410306,247128,-163178,1080000.0,114.0,,,,,-207524,1420076,-261476,,662962.0,-1115.0,,-26021.0,
2015-03-24,4,2014,86.0,2934.0,-564991,52111,41,4932,,11380,,-8783.0,,142686.0,,5249.0,,-40172.0,36201.0,557.0,-215885,-70818.0,-133064.0,-45819.0,-14973,,306,3738.0,,28641,345796,-346799.0,,,-169758.0,-517375,85756,1724,-20552,193800,-305855,-332283,204285,119.0,,-36427,43103.0,196793.0,,2014年度,1905461,1265487,-639974,1455034,941301,1005955,-931500.0,,-1550000.0,-1249549,1455034,-196793.0,-449955,-2058,-452013,1300000.0,12.0,0.0,17.0,0.0,329.0,-449079,1265487,-268123,,671745.0,-1115.0,,14387.0,
2015-05-13,1,2015,28.0,,-104960,-221318,-161,43166,,5262,,,,57259.0,,1147.0,,-6134.0,7156.0,-489.0,-35538,,0.0,,-1859,,-629,2345.0,,14341,-253018,199805.0,,,-9984.0,-305159,-361883,-17975,179740,118303,-1002,21009,44214,4223.0,1879.0,-7227,6777.0,,56020.0,2015年01月01日至2015年03月31日,1265487,914610,-350877,204549,-338798,-337671,,,0.0,-32599,204549,,-531262,-66978,-598240,80000.0,,,5283.0,,0.0,-542220,914610,-677,,,0.0,,,1659.0
2015-08-12,2,2015,29.0,,-90341,-178851,-101,65646,387.0,6829,,,,119922.0,,-135.0,651.0,-12139.0,14729.0,-1242.0,-44398,0.0,0.0,,-15555,,741,3519.0,,12546,-342071,238952.0,,19999.0,,-325846,-97333,146177,123933,84982,349711,59834,88852,4374.0,4217.0,-14079,15375.0,,106777.0,2015年01月01日至2015年06月30日,1265487,1896898,631411,385187,532483,612232,,,0.0,40336,385187,,-535341,655609,120268,270000.0,,,5323.0,,,227045,1896898,-81045,,-162841.0,0.0,,,35307.0
