date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-07,1,2013,178488.0,,-46508,,8324,-55,-332.0,0.0,,,,-2506,5103,74568,-6853,0,,-90395.0,,4462,,-4.0,-52.0,0,-193246,,-102542,99,516091.0,,-72397,143180,-928.0,-2091.0,1216.0,-4750,894.0,,,2013年01月01日至2013年03月31日,875764,1303908,,428144,19556,367886,376856,,,448129,-390038,58087,19556,,,-141555,320367,178812,0.0,9439,,40014,-1592,,-14,,,357300,1303908,-5114,2145,,26494,,-24550
2013-08-06,2,2013,347232.0,-240000.0,59228,,10929,-33378,-653.0,,,0.0,2462.0,-7179,10678,94104,-11215,-180000,,,,6601,493.0,,-18739.0,0,-207112,,66033,-1374,385788.0,,-81581,282552,-928.0,-3035.0,,-11078,,6245.0,,2013年01月01日至2013年06月30日,875764,1444398,,568634,205830,800227,828560,,,899393,-904002,-244116,205830,,-1192.0,133888,141610,275498,0.0,11981,,185065,-2197,,-65,-5224.0,,622730,1444398,-23500,2874,,57922,,-68673
2013-11-06,3,2013,545495.0,-240000.0,61876,,13401,64642,-950.0,,,0.0,3716.0,-12862,15377,125568,-25186,-420000,,-149101.0,,3840,429.0,,-19036.0,0,-327571,,341075,-4897,321937.0,,-322736,418196,-928.0,-4517.0,,-14555,11146.0,1192.0,,2013年01月01日至2013年09月30日,875764,1699483,,823719,309870,1283239,1319433,,,1135953,-992712,-262352,309870,,-1192.0,410527,53541,464068,0.0,28915,,460173,5198,,-173,-5224.0,,1009563,1699483,-32785,-2793,-166022.0,121412,,-199693
2014-03-25,4,2013,698915.0,-476880.0,68726,-1225.0,4541,-118410,,,,0.0,5067.0,-16866,20598,159354,-42874,-460000,,0.0,,14530,2302.0,,-19040.0,0,-208272,,393854,-7915,-430245.0,,-167698,551115,-928.0,,,-19761,,,,2013年01月01日至2013年12月31日,875764,1263314,,387550,442675,762204,841716,-166022.0,,1644623,-1370333,-366310,442675,,-1192.0,458278,-758152,-299874,0.0,60082,,500180,58782,15307.0,-179,-32344.0,,399041,1263314,-75372,-20719,,120123,,-222545
2014-04-29,1,2014,196206.0,,-42630,,46310,88517,-113.0,,,,,-8683,6690,31233,-9044,-275000,,-305886.0,,143,107.0,0.0,0.0,14557,44544,,-58131,4916,,-4958.0,-400586,137040,0.0,0.0,2065.0,-3748,4926.0,,,2014年01月01日至2014年03月31日,1263314,2062822,,799508,264954,524113,539615,,,1156844,-512203,644748,264954,,,-49535,127990,78455,,9270,,240092,-784,,-92,,,274661,2062822,-16680,33060,,26767,,-74575
2014-08-07,2,2014,328349.0,0.0,3158,,1201,99572,-183.0,,,,2548.0,-19700,14392,-9168,-24017,-430000,,-229729.0,,12888,1603.0,,0.0,14082,92188,,4870,3712,-420552.0,,30252,273478,0.0,0.0,,-14160,14484.0,358.0,,2014年01月01日至2014年06月30日,1263314,2293325,,1030011,789487,780310,901802,,,2338177,-2111163,228617,789487,,-358.0,12941,-228975,-216034,,43551,58.0,475404,28466,327541.0,-201,-137230.0,,112315,2293325,-121816,11960,,142106,,-146996
2014-11-10,3,2014,552290.0,0.0,18371,,4,85765,-242.0,,80000.0,,,-30750,22244,13298,-47507,-1240000,,-496623.0,,84866,1751.0,,0.0,13626,93224,,53627,3720,-469554.0,,-923106,410201,0.0,0.0,3810.0,-18490,24801.0,358.0,,2014年01月01日至2014年09月30日,1263314,2964832,,1701518,1098452,1267424,1435657,-199226.0,2000000.0,2851085,-3389708,1343902,1098452,28462.0,-358.0,75722,-290807,-215085,,65886,58.0,650261,46198,327541.0,-4777,-137230.0,,337205,2964832,-174544,7245,,122379,,-196706
2015-03-12,4,2014,707356.0,0.0,171511,,16499,-2472,-272.0,,86600.0,,,-53233,34880,220236,-65564,-1848620,,-1459310.0,,57316,2343.0,,0.0,9552,63399,,-113662,4453,-434786.0,,-1851614,563771,0.0,,6066.0,-34955,42470.0,358.0,,2014年度,1263314,2525422,,1262108,1333548,1527133,1745574,-199226.0,2000000.0,5952765,-6476129,1366353,1333548,72550.0,-358.0,78801,-374131,-295330,,75440,58.0,1413851,73127,327541.0,-5292,-137230.0,,412026,2525422,-225956,4358,,91401,,-304920
2015-05-11,1,2015,,,-129204,,-4098,72523,-232.0,,12900.0,,,-32004,13636,-27509,-15357,-458000,,,-543630.0,3706,171.0,,,2292,32859,,-443735,-4059,,939625.0,-544715,128379,,,1330.0,-12947,22109.0,,140714.0,2015年01月01日至2015年03月31日,2525422,3046483,,521061,-85978,528592,518415,,,1916505,-1364883,564693,-85978,46263.0,,-581096,1044775,463679,,1048,,489522,10868,,-4760,,,604393,3046483,1015,-20315,,-6389,,-20590
2015-08-12,2,2015,,,-135840,,-21482,-47668,-461.0,,10400.0,,,-71616,27861,-45607,-31058,-746000,,,-1201954.0,1195,0.0,-161.0,,2185,72941,-159620.0,-613171,-4214,,1198675.0,-840291,252852,,,2634.0,-27920,48547.0,0.0,280318.0,2015年01月01日至2015年06月30日,2525422,2731843,,206421,1611,681714,730709,,,4729305,-4169319,410605,1611,94414.0,0.0,-774707,1223487,448780,,44639,16048.0,1207302,9106,0.0,-2835,0.0,,729098,2731843,-69622,-42180,,8887,,-131453
2015-11-10,3,2015,,,-173053,,-11166,-28472,-679.0,,8600.0,,,-109894,42665,82228,-77339,-2213700,,,-1441133.0,3657,1391.0,,,2011,27740,-264227.0,-396210,-9334,,911283.0,-1719058,378424,,,3956.0,-42003,55255.0,0.0,452307.0,2015年01月01日至2015年09月30日,2525422,1515572,,-1009850,31636,712089,804052,-683986.0,0.0,8714821,-7861708,-85109,31636,125830.0,0.0,-589763,909872,320109,,51406,16048.0,2192136,12257,0.0,-3314,0.0,,772416,1515572,-105215,10275,,-11549,,-248487
2016-03-18,4,2015,,,-229694,,-60424,38687,-871.0,,2810.0,,,-139453,56891,47461,-92379,-2721933,,,0.0,11797,962.0,,,2487,136630,-390698.0,-613647,-9334,1407479.0,,-276963,501950,,,5280.0,-15345,110691.0,1.0,535333.0,2015年度,2525422,2165452,,-359970,54426,1248837,1258585,-683986.0,0.0,10636019,-10944412,-1379305,54426,82349.0,-1.0,-913099,1581925,668826,,51489,16048.0,2616639,26498,0.0,-3981,0.0,313052.0,1204159,2165452,-105094,-9371,,3374,,-462367
2016-05-06,1,2016,,,-50640,,2752,12237,-200.0,,-5600.0,,,-13461,11234,-64745,-36607,-78278,,,0.0,3597,0.0,-1578.0,-1565.0,0,71434,-148997.0,-368672,0,,552468.0,1447620,123017,,,1315.0,-730,47152.0,,84410.0,2016年01月01日至2016年03月31日,2165452,3273472,,1108020,-80077,295851,223712,,,2269,-416800,-570706,-80077,3857.0,,-416560,635939,219379,,3015,,673426,12096,,-1372,,915788.0,303789,3273472,25717,-1309,,-35040,-19524.0,-28159
2016-08-08,2,2016,,,-8126,,7437,23981,-357.0,,-28385.0,,,-24519,22003,-113095,-85065,-88413,-59379.0,,-656567.0,12192,947.0,-1578.0,-1565.0,915,-35494,-148997.0,-268059,0,455829.0,,686547,237645,,,2602.0,-761,60456.0,,242801.0,2016年01月01日至2016年06月30日,2165452,2445690,1447.0,280238,-124066,299762,293946,,,4106,-419069,-592976,-124066,11089.0,,-268748,443959,175211,,6454,0.0,744517,-4577,,-1531,,915788.0,418012,2445690,-53879,-17239,,3689,,-90138
2016-11-11,3,2016,,,7770,,10494,-4249,-428.0,,-28835.0,,,-37633,32831,-238293,-145335,-127180,-78538.0,,-775554.0,17695,947.0,-1849.0,-1565.0,2560,-101043,-148997.0,-86597,0,,156487.0,537127,359593,,,3834.0,-791,66396.0,4266.0,353498.0,2016年01月01日至2016年09月30日,2165452,2112906,,-52546,-92867,249489,243065,0.0,,5352,-427487,-600869,-92867,15086.0,-4266.0,-68333,50767,-17566,,9407,0.0,896535,-4740,,-7657,,915788.0,335932,2112906,-59181,-26461,,5216,,-163257
