date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-13,1,2013,2230,2440980.0,1168,,-2495724,-156657,,,-90016.0,,-168444,110134,-54007.0,-263491,,,,94713.0,,-35836,279182,969225,-5166050,,193,5441.0,,24119.0,,-421623,-689617,,,99039,-1316396,-19086,-422372,-6666.0,-4741445,2151420,730.0,-5017,-289272,35954,,,2013年01月01日至2013年03月31日,15611781,19807351,4195570,5266370,,3123648,4219838,,,8785518,-5292137,4844142,5266370,-976352,-2511160,-3487512,3841044,304605,0,0.0,1171,0,-1046532,19807351,-842872,47637,-89040
2013-08-12,2,2013,3428,4827031.0,1168,,-5690569,238813,,,-95405.0,-54676.0,-373977,26870,178492.0,-156950,,,,47458.0,0.0,-86427,613226,1566395,-8942938,,317,19260.0,,-10794.0,,2226355,-208364,,,28449,-2516845,-41818,-395658,-3488.0,-8358837,4364330,-7995.0,-9093,-577446,59580,,,2013年01月01日至2013年06月30日,15611781,23636906,8025125,11521078,,12869777,15321048,,,15798023,-10354525,1947790,11521078,-140075,-886986,-1027061,2175601,600945,0,,-45776,0,3799970,23636906,-1933405,-12974,74460
2013-11-12,3,2013,14778,7388099.0,1168,,-11338370,224757,,,0.0,-42808.0,16806,-268290,280830.0,-141177,,,,0.0,0.0,-151244,896306,762929,-11888440,0.0,325,21349.0,,3680.0,,3983687,-241157,,,-17952,-1424964,-12378,-799762,-3323.0,-10957464,6682906,,-10274,-935009,137816,15000.0,,2013年01月01日至2013年09月30日,15611781,19639786,4028005,17151557,,22179846,26377631,-4227933.0,,19542794,-20281804,-7957306,17151557,259961,1578014,1837975,8326658,968936,0,,-31167,0,9226074,19639786,-3415592,-13531,240898
2014-03-25,4,2013,95219,10330173.0,4050,-1500000.0,-14784782,225328,,,0.0,-92233.0,-441976,-590715,632191.0,-294613,,,,,74049.0,-201417,1196800,479447,-14505968,,1490,33352.0,,292379.0,,3617602,21762,0.0,-499800.0,-45291,-1951112,-28076,-671472,-7851.0,-12737109,9088178,0.0,-24716,-1237748,186094,15000.0,,2013年01月01日至2013年12月31日,15611781,19814425,4202644,23261041,,28813962,33944368,-4227933.0,3800000.0,23470798,-25312643,-12353656,23261041,384163,-31009,353154,6667352,1564663,0,,80053,0,10683327,19814425,-4093752,20517,-112623
2014-05-13,1,2014,4680,2779976.0,0,0.0,-2236433,-233033,,,0.0,-9841.0,-5093,-336399,421254.0,42842,,,,,21962.0,-46978,331916,271332,-4130781,,-244,-1800.0,,-11058.0,,181218,-508077,0.0,0.0,10136,-1239509,12389,-265251,-2516.0,-3849243,2477740,1250.0,-10355,-255899,46315,0.0,,2014年01月01日至2014年03月31日,19814425,20715288,900863,4835767,,4428001,5643054,0.0,0.0,6366296,-4442319,50773,4835767,-317329,-1655360,-1972689,365029,302437,0,,8148,0,807287,20715288,-1005469,-6893,-51900
2014-08-12,2,2014,51503,5579479.0,0,0.0,-5763092,-614726,,,0.0,-16356.0,111116,141964,779629.0,96312,,,,,42782.0,-108300,597243,823155,-7049720,-2652.0,-717,-6666.0,,-324860.0,,536439,374461,0.0,0.0,29341,-1480614,-21144,-608980,-6448.0,-7271335,5006124,1250.0,-24188,-526016,111067,0.0,,2014年01月01日至2014年06月30日,19814425,26179938,6365513,9994414,,11885075,15150868,,0.0,13338484,-8034120,928618,9994414,673373,-1096398,-423025,1394012,122253,0,,25366,0,5156454,26179938,-2850844,-10334,238375
2014-11-11,3,2014,79704,8482340.0,150,-3500000.0,-11592389,-270086,,,0.0,-98857.0,385252,285852,510416.0,1083,,,,,63611.0,-165736,817188,802461,-10010760,-2652.0,-213,47.0,,-323890.0,,1798987,200356,0.0,0.0,-25600,-1960498,-45768,-382794,-6177.0,-10260670,7690668,1250.0,-30604,-964066,165798,17000.0,,2014年01月01日至2014年09月30日,19814425,19710930,-103495,15866160,,19567719,25057994,-9724246.0,4800000.0,17152203,-13493201,-10213005,15866160,794161,-84667,709494,6144581,155339,20000,,41600,7485,9191834,19710930,-4709007,-21363,217221
2015-03-24,4,2014,129914,11582275.0,150,-3500000.0,-14823204,290076,,,0.0,855428.0,68976,-123627,,-7929,,,,,92562.0,-214634,1129829,1652994,-12687332,-2652.0,6309,10551.0,,-311658.0,,786517,-214643,0.0,0.0,-6380,-1249544,-12620,-721901,-7800.0,-11830426,10461883,1250.0,-40060,-1147641,220760,17000.0,,2014年度,19814425,21166079,1351654,21270796,,25601227,31998396,-9724246.0,4800000.0,19401174,-17703198,-14072141,21270796,130229,-984904,-854675,7466782,295638,20000,,36488,7485,10727600,21166079,-5487288,-27501,342950
2015-05-12,1,2015,14344,,0,0.0,-1738529,-382819,,,0.0,-1605821.0,122911,65834,,642,,,,,22144.0,-37537,235631,-185877,-2733702,0.0,189,,-7485.0,,278475.0,1339090,-1392630,0.0,0.0,30999,-784056,7829,421354,,-4055228,2715349,0.0,-5799,-217390,36405,0.0,2955467.0,2015年01月01日至2015年03月31日,21166079,22694220,1528141,4241852,3003.0,5796351,6602481,,0.0,5559720,-4117993,-27105,4241852,-1618536,1023698,-594838,277182,5820,0,,16149,0,2360629,22694220,-625145,-5003,-26995
2015-08-11,2,2015,105011,,0,0.0,-5449725,-469439,,,0.0,-1528054.0,35981,120011,,-14646,,,,,43928.0,-87803,472692,-449587,-4640426,0.0,156,-8832.0,,239028.0,,2970764,-865839,0.0,0.0,-20922,202879,-25673,-159075,,-5857240,5456965,0.0,-13834,-396205,81761,6389.0,5984866.0,2015年01月01日至2015年06月30日,21166079,28193969,7027890,9242076,3555.0,13453040,16670121,,0.0,10943561,-8572460,-118323,9242076,-1316664,2759843,1443179,2969133,72212,0,,20001,0,7428045,28193969,-2909026,-12250,-334417
