date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分持有至到期日金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項減少－處分資產
2013-05-15,1,2013,45852.0,-7000,,-196.0,-30114.0,8714.0,,,,1311,1393,-542,5715,1408,-8934,,,,,,,43524,,,0.0,-71744.0,,,325440.0,,,-9130,37930,,1356,-5583,399,,2013年01月01日至2013年03月31日,272866,489466,216600,-7000,316155,315983,,0,-79250.0,-91833,-7000,,-101858,378989,277131,,,,,322983,489466,-227.0,,,,,
2013-08-07,2,2013,113538.0,-114000,,-240.0,-27035.0,,220.0,,25562.0,2069,7968,-1293,10400,1761,-43398,,,,,,,22361,,,-62350.0,,,-70471.0,,,380125.0,-23565,76081,,2701,-10252,1285,,2013年01月01日至2013年06月30日,272866,357247,84381,12056,427143,426650,,-134576,,-320958,12056,,-97506,398562,301056,0.0,0.0,17681.0,,414594,357247,-792.0,,-5993.0,,,-5489.0
2013-10-31,3,2013,169482.0,-131000,,-280.0,7668.0,-41096.0,-353.0,34450.0,,-605,2627,-1694,15315,903,-51725,-1925.0,,,,,,-11600,,,-62350.0,,,9306.0,,,210251.0,-13869,106209,,4229,-15013,1859,,2013年01月01日至2013年09月30日,272866,292129,19263,69759,414402,413165,,-173457,,-382173,69759,,16974,156950,173924,0.0,0.0,24293.0,7260.0,343406,292129,-622.0,18503.0,,,-1649.0,
2014-03-19,4,2013,241508.0,-138000,,-3737.0,10183.0,-16776.0,-437.0,34450.0,,-1529,4382,-2402,19657,1360,-58038,-1925.0,,,,,,-110636,,,-62350.0,118382.0,,,84222.0,,,-21990,146622,,5644,-19258,2611,,2013年01月01日至2013年12月31日,272866,264969,-7897,118218,445991,443572,,-213213,,-433258,118218,,128565,-44719,83846,0.0,,28074.0,7260.0,325354,264969,-192.0,39531.0,,,,
2014-05-07,1,2014,52714.0,-7000,,281.0,-15173.0,14648.0,,,,2116,1468,-413,4463,-535,-27815,-1500.0,,,3308.0,,,4630,,,,-164871.0,,,29829.0,,,-43742,45764,,1432,-4183,420,,2014年01月01日至2014年03月31日,264969,225265,-39704,39025,-36689,-37082,,49137,,41262,39025,,-180044,51223,-128821,,,,,-76107,225265,-27.0,,,-14708.0,,
2014-08-13,2,2014,108837.0,-34000,,49.0,-5213.0,,,,20050.0,3529,2920,-1039,8836,-1869,-79062,-1794.0,,,3558.0,,-6728.0,48581,,,0.0,,,-179801.0,,,40312.0,-75133,92950,,2954,-8513,1055,,2014年01月01日至2014年06月30日,264969,205704,-59265,1956,7555,19965,,49137,,10182,1956,,-185014,94186,-90828,,,2216.0,,18009,205704,-13465.0,,1764.0,,-7648.0,
2014-11-12,3,2014,176071.0,-90892,-7775.0,656.0,,-9019.0,258.0,35050.0,,2332,4691,-1411,13032,-893,-115594,-3720.0,,22383.0,,,,-6026,,,0.0,,-108622.0,,67855.0,,,-97171,144864,,4035,-12656,1434,,2014年01月01日至2014年09月30日,264969,235848,-29121,-21642,80713,93174,,39137,,-11770,-21642,7662.0,-116397,55142,-61255,30000.0,,3198.0,0.0,114816,235848,-13895.0,0.0,,-13563.0,,
2015-02-16,4,2014,73113.0,-228000,,-9873.0,8204.0,-3920.0,261.0,92150.0,,3834,-159742,-1978,16856,11521,-140949,-4720.0,,22383.0,,,,-20260,,,0.0,-59558.0,,,-17141.0,,,153276,199968,,5124,-16399,1990,,2014年度,264969,305207,40238,165397,128059,149669,,-30863,,-252618,165397,7662.0,-51354,-37487,-88841,,245528.0,5223.0,0.0,-15728,305207,,0.0,,,,
2015-05-08,1,2015,,-9500,,0.0,-22462.0,4489.0,,,,2348,2451,-112,2633,0,-18106,0.0,,,0.0,,,-74943,,,,-89779.0,,,139889.0,,,-69206,55406,,932,-2456,214,61310.0,2015年01月01日至2015年03月31日,305207,230120,-75087,-14975,6075,5877,,0,,-11956,-14975,,-112241,71783,-40458,,,,,20852,230120,-16.0,,,-51100.0,,
2015-08-05,2,2015,,-119000,,0.0,-22584.0,29660.0,,,21000.0,3805,2553,-635,5586,0,-93986,-135.0,,,0.0,,114.0,91556,,0.0,-36019.0,,,-179550.0,,,89672.0,-73675,114845,,1826,-5332,782,125391.0,2015年01月01日至2015年06月30日,305207,323281,18074,13432,152100,151382,,-80000,,-60351,13432,,-202134,214693,12559,180000.0,,1216.0,,137950,323281,-64.0,,,,-668.0,
