date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,,28722.0,-12299,-11069,-50769,-70229,-73635,,109146,31641.0,,,0,-7191,9969,-59138,-50000,0,0,605.0,,-221.0,,-570,,-112004,,-221945.0,108995,-124033,99175,-40127,-342.0,147107,30058,0.0,399,-10077,2160,,2013年01月01日至2013年03月31日,315577,159566,-156011,463,,-50859.0,,-377811,-369894,,,54746.0,,74693,463,-306594,-92485,-399079,,57180,250145,-4372,-141.0,,-370357,159566,,,,-11672
2013-08-12,2,2013,,56736.0,-24691,-78291,2642,3890,-65114,,156332,23449.0,,-1.0,0,-13832,20309,-77715,-50000,-85,6441,1422.0,,-216.0,,-228,,-173842,,-387759.0,8675,-183336,142400,-14657,-669.0,330928,59266,0.0,964,-20323,14946,,2013年01月01日至2013年06月30日,315311,96418,-218893,1702,,133925.0,,-526888,-521511,,,-23113.0,,-22933,1702,-627996,48047,-579949,,74875,250145,-16271,-141.0,0.0,-523213,96418,,,,10008
2013-11-13,3,2013,141.0,77919.0,-17697,-87458,7599,8324,-343066,,-26130,15136.0,,0.0,0,-19610,30288,-94551,-50000,-85,6441,148278.0,,0.0,460.0,-1979,,-159757,,-478594.0,-77849,-40033,218842,-475,-995.0,617847,85941,0.0,1354,-30459,17450,,2013年01月01日至2013年09月30日,315311,150351,-164960,43314,,422509.0,,-855664,-842655,,,0.0,-72860.0,72857,43314,-796329,-167559,-963888,,89369,250145,-26495,-141.0,0.0,-885969,150351,,,,17683
2014-03-26,4,2013,141.0,77752.0,-31007,-72531,-1005,156738,-315799,-9840.0,-25086,0.0,,0.0,280,-38846,39446,-129045,-20000,-85,-6443,0.0,,-38396.0,0.0,56699,,-84714,,-874307.0,143342,-100833,194181,6331,-1235.0,737369,110955,0.0,690,-39473,40990,,2013年01月01日至2013年12月31日,315311,274250,-41061,254516,,631533.0,,-575043,-573858,,,,-172380.0,-203387,254516,-732707,-173419,-906126,,93217,200145,-28330,-141.0,0.0,-828374,274250,-2702.0,,,21933
2014-05-13,1,2014,,23009.0,-9905,-19916,54291,87,34296,,18385,-8560.0,,,0,-4894,8112,-38890,0,-159,0,1788.0,,-10460.0,,-155,,-39374,-72738.0,,105503,-118541,-187098,-7631,-261.0,-5157,25693,0.0,167,-8379,1185,,2014年01月01日至2014年03月31日,274250,68967,-205283,24692,,17440.0,,-202345,-195037,,,18896.0,,2219,24692,-26699,-216039,-242738,,6902,20010,-6059,-10.0,,-219729,68967,-114.0,,,-9586
2014-08-12,2,2014,,51986.0,0,-40085,33808,1051,30092,,6311,-17246.0,,0.0,0,-9470,17186,-65133,-20000,-159,0,3738.0,,-10463.0,,-1056,,74222,-72738.0,,-213066,-111903,-574181,8207,-511.0,227572,50473,0.0,346,-17242,10708,,2014年01月01日至2014年06月30日,274250,59823,-214427,80668,,274753.0,,-759305,-747392,447930.0,,0.0,-124303.0,317306,80668,-251127,-628919,-880046,7187.0,8559,40015,-6534,-15.0,,-828060,59823,-5379.0,,,-20197
2014-11-13,3,2014,0.0,75684.0,-6161,-27360,62690,1247,34116,,-39084,-26061.0,,0.0,0,-16441,23836,-85219,-40000,-198,4281,5712.0,,-10283.0,,2246,,171308,-72738.0,,133067,-489079,-835136,8781,-748.0,424573,72903,0.0,527,-24030,15072,,2014年01月01日至2014年09月30日,274250,206084,-68166,214778,,486667.0,,-818752,-800643,447930.0,,0.0,-95407.0,326013,214778,204776,-1295881,-1091105,0.0,13585,60021,-9401,-21.0,,-1015421,206084,-9151.0,,,-40415
2015-03-30,4,2014,0.0,99743.0,-17279,-17076,60989,6128,40907,1606.0,-313340,0.0,-33502.0,,0,-19238,30887,-115597,-60000,-473,4281,5105.0,,-10253.0,,-787,,300666,-52879.0,,16666,-348124,-1111632,7037,-790.0,982848,94859,,711,-43215,22063,,2014年度,274250,344573,70323,349772,,1072925.0,,-1011041,-981889,447930.0,,,-303738.0,98516,349772,252715,-1684119,-1431404,,16220,80026,-11731,,,-1331661,344573,-8000.0,-26.0,,-20775
2015-05-12,1,2015,,,-20841,-17332,10340,-3912,-4301,,60134,-4524.0,,,0,-2158,5825,-10874,-20000,0,-9624,-2367.0,,0.0,,1856,,-106196,16073.0,,-3181,-234673,-151980,-2987,,3057,21723,0.0,235,-5754,597,14742.0,2015年01月01日至2015年03月31日,344573,86130,-258443,67412,514.0,,10250.0,-367921,-362721,,,134153.0,,106421,67412,-114034,-330841,-444875,,3678,20003,-1256,-3.0,,-430133,86130,-43.0,,,-9230
2015-08-12,2,2015,,,-18382,2155,-83264,-4450,79130,,181632,0.0,-6048.0,0.0,0,-10796,11980,-37323,-190000,0,50469,-7708.0,,4.0,,5186,,-177197,0.0,,-59522,-252709,-356231,13908,,175902,43165,0.0,406,-11803,12212,91043.0,2015年01月01日至2015年06月30日,344573,71132,-273441,108366,278.0,,225280.0,-508928,-470802,0.0,,91723.0,0.0,59585,108366,-238736,-431475,-670211,0.0,7927,170014,-4167,-14.0,,-579168,71132,-38535.0,,,-19127
2015-11-12,3,2015,0.0,,0,2858,-76419,-5391,72881,,87790,0.0,-6048.0,0.0,0,-12145,17573,-47268,-190000,0,50469,-5455.0,,-1253.0,,4567,,-92251,0.0,,-159694,-236781,-458999,5503,,185180,63194,0.0,578,-17466,5603,112575.0,2015年01月01日至2015年09月30日,344573,77055,-267518,174282,-3178.0,,222376.0,-642171,-569923,0.0,,227798.0,0.0,189473,174282,-257656,-599124,-856780,-26822.0,11299,190026,-7068,-26.0,,-744205,77055,-60385.0,,,2334
2016-03-29,4,2015,0.0,,-33572,39915,-83638,-3522,64325,10959.0,-433411,0.0,-6048.0,,0,-14596,23447,-57925,-210000,-700,32064,-7568.0,,-935.0,,4780,,-95182,543552.0,,-119823,88654,-581753,11535,,291284,81820,,773,-23370,15599,116107.0,2015年度,344573,317392,-27181,169683,-2969.0,,359176.0,-309684,-241327,,0.0,,38407.0,-8781,169683,361971,-889088,-527117,,11642,190026,-7375,,,-411010,317392,-60586.0,-26.0,,29461
2016-05-12,1,2016,,,-6797,-45907,35646,25618,215188,,227743,,0.0,,0,-9814,4006,-5191,-15000,-38,-21789,,-35100.0,,126.0,-213,-375.0,7801,-21326.0,,8370,-202978,-249890,844,,-37532,17781,0.0,222,-4065,9519,-9600.0,2016年01月01日至2016年03月31日,317392,164646,-152746,43538,-306.0,,-37435.0,22642,17195,,,-95584.0,,-137856,43538,-25750,9007,-16743,,0,20006,0,-6.0,,-26343,164646,-7.0,0.0,,-17333
2016-08-11,2,2016,,,-13630,-42813,4935,-875,215006,,364637,,0.0,,0,-16657,7788,-16320,-15000,-267,-21490,,-35562.0,,276.0,-144,-36264.0,98873,-89728.0,,-3977,-173494,-411528,3386,,-19278,36914,0.0,453,-7998,16889,5486.0,2016年01月01日至2016年06月30日,317392,83982,-233410,89867,-596.0,,-25965.0,-38040,-36108,,,0.0,-90636.0,-176092,89867,-39116,-92345,-131461,,2983,35015,-1507,-15.0,,-125975,83982,-10823.0,,,-95143
2016-11-10,3,2016,,,6723,-31681,33521,-246,212041,,423607,64279.0,0.0,,0,-17134,11867,-20436,-31000,-728,-70827,,-35567.0,-44726.0,0.0,-726,-44386.0,338702,-338165.0,,-33847,-436764,-115025,4521,,-139150,54633,0.0,719,-12198,17123,-23213.0,2016年01月01日至2016年09月30日,317392,97759,-219633,105069,-906.0,,-98419.0,11573,34100,,,0.0,-78351.0,-92056,105069,-66143,18387,-47756,,5142,51017,-2454,-17.0,,-70969,97759,-27452.0,,-4754.0,-102788
