date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,,-20356.0,-143734,-55381,0.0,73625,-749,43621,1815,,0.0,0.0,,,-3637,5544,16745,-148556,0.0,,-780,,,12333.0,29726.0,44.0,,-344.0,,-93586,,-377871,1984,-49980.0,0.0,45658,422924,26541,,-12096,40433,,-487,1927,-7175,3637,,,2013年01月01日至2013年03月31日,1089843,1525719,435876,196126,,319522,336809,,75649.0,,111705,196126,,-321388,482427,161039,200000,137584,-76469,,,140683,1525719,-13749,0.0,,,0.0,,6199.0,66259.0
2013-08-05,2,2013,,24062.0,-183731,9379,0.0,71724,-664,42874,277,,,,,,-7848,10803,36364,-214349,0.0,,-3799,,,12694.0,29726.0,,-90.0,-330.0,,127003,,-52288,-2837,-49960.0,,-241595,423056,-219653,0.0,-79048,81723,-9815.0,-3735,3923,-12104,7848,,,2013年01月01日至2013年06月30日,1089843,1427920,338077,323183,,496711,566968,,,-111895.0,-115950,323183,,70721,149002,219723,200000,139430,-73044,-780.0,,243785,1427920,-66001,0.0,326.0,,,,-1331.0,73593.0
2013-11-09,3,2013,,34900.0,-227620,-101505,0.0,89062,40,7756,-40570,,,,,,-12077,15879,30601,-275568,-25816.0,,-4455,,,11527.0,29726.0,,-580.0,-10.0,,238561,,-789808,-8637,-40000.0,,465885,422772,34159,0.0,-166993,123186,,-5204,5973,-17042,12077,,,2013年01月01日至2013年09月30日,1089843,1458296,368453,406094,,772736,885027,-246286.0,,-73131.0,-267891,406094,,-782710,1226743,444033,290000,138856,-109810,-780.0,,478933,1458296,-107326,0.0,6206.0,,,,16834.0,109484.0
2014-03-21,4,2013,,76756.0,-351509,-25655,0.0,89358,1269,19233,-5844,2136.0,,,-34675.0,38235.0,-15802,21082,53158,-381871,0.0,-28133.0,-4985,,,7473.0,29726.0,,-580.0,-3411.0,,405585,,-547580,-7435,-70000.0,,342450,423033,-56299,-1206.0,-307277,164093,,1829,7927,-21971,15802,,,2013年01月01日至2013年12月31日,1089843,1583909,494066,465005,,1162874,1266197,-246286.0,,-116040.0,-414689,465005,,-486970,1211406,724436,340000,107563,-115544,-508.0,,801192,1583909,-97154,0.0,6206.0,,,,9718.0,75673.0
2014-05-08,1,2014,,55370.0,-116962,-110267,,-352,2146,16378,-2247,858.0,,,,,-3299,6087,-23690,-54307,,-605.0,0,,,0.0,0.0,,0.0,619.0,,272839,,-786351,-5300,0.0,,791482,-114,20059,,-54293,44371,,5694,1868,-6909,3299,,,2014年01月01日至2014年03月31日,1583909,1477270,-106639,-36515,,178122,212290,,,-156483.0,-206778,-36515,,-913438,1106873,193435,66667,0,649,,,248805,1477270,-30558,,,,,,22202.0,-27898.0
2014-08-12,2,2014,,107625.0,-280012,-121472,-321.0,-3637,3371,-6859,-1950,1401.0,,,,,-5947,9886,-27053,-110983,,-605.0,-1490,,,0.0,0.0,,0.0,944.0,,539854,,-1046451,-8156,0.0,,1039401,-547,52947,,-112105,89851,0.0,9389,3793,-10739,5947,,,2014年01月01日至2014年06月30日,1583909,1470024,-113885,-105326,,313006,376946,,,-233149.0,-287733,-105326,,-1230716,1605363,374647,225428,29,653,0.0,,482272,1470024,-59148,,0.0,,,,-25477.0,-47457.0
2014-11-12,3,2014,,159757.0,-419940,-167661,-321.0,1182,9877,-2547,-63962,2100.0,,,,,-8222,13715,-10602,-165792,0.0,,-2816,-9915.0,,0.0,0.0,,0.0,0.0,543.0,379980,,-781906,-9054,0.0,,1012774,-8213,164511,,-170413,134223,,19243,5806,-14622,8222,806.0,,2014年01月01日至2014年09月30日,1583909,1367866,-216043,-229473,,307478,373117,-259399.0,,-38611.0,-342506,-229473,-806.0,-1028815,1471648,442833,375428,7567,-4202,0.0,,602590,1367866,-60045,,0.0,16.0,,,-26601.0,-67326.0
2015-03-18,4,2014,,226088.0,-380844,-142727,-321.0,-4258,32892,11852,-10873,2779.0,,,0.0,0.0,-10564,18159,-13523,-269079,,0.0,-3860,,,9979.0,0.0,,0.0,-3076.0,,246256,-28903.0,-116933,-10865,0.0,,189085,-114,74528,0.0,-264769,178748,,27158,7818,-18928,10564,807.0,,2014年度,1583909,1099674,-484235,-314187,,7140,77173,-259399.0,,176693.0,-213083,-314187,-807.0,-323838,489110,165272,279348,10746,-3791,-612.0,500.0,391360,1099674,-62476,,0.0,22.0,,-41185.0,,-64844.0
2015-05-13,1,2015,,,-46249,-48098,,-35639,350,-6719,-7482,731.0,,,,,-1781,4251,863,-11230,,0.0,-1363,,,,,,,3872.0,,-140013,-11581.0,32909,0,,,559826,602,-164492,,-8677,48743,,3122,1543,-3695,1781,,55991.0,2015年01月01日至2015年03月31日,1099674,1162259,62585,-141872,,50448,62614,,,27781.0,19951,-141872,,-2726,151221,148495,50000,44,113,,,204486,1162259,-10252,,,,,-62662.0,,19182.0
2015-08-12,2,2015,,,-97311,-40743,0.0,-24602,6072,-59706,-13605,1453.0,,,,,-3608,8989,35624,-49725,,0.0,-1349,,,-1419.0,,,,,10384.0,69747,-11581.0,-269714,2294,,,240578,513,12411,,-39399,97489,,6654,2628,-8926,3608,,111618.0,2015年01月01日至2015年06月30日,1099674,1197751,98077,-246278,-387.0,-195140,-179468,,282693.0,,296992,-246278,,-362323,317515,-44808,123191,1291,885,,,66810,1197751,-10354,,,,,24948.0,,5933.0
