date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加,其他金融資產增加,其他非流動負債增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-13,1,2013,26932.0,,,,-940000,-144632,15535,,86256,,,6806,1991.0,-4991,,959,-1098,16973,6764,-17410,0.0,0.0,0,,334025,,,107913,440000,-635000.0,-69781,42362,87262,62639,26585,-5416.0,-12866,33384,39499.0,-56000,-23043,515,-16973,1098,,,2013年01月01日至2013年03月31日,323661,622698,,299037,-624,,532798,548941,-3683,,,1132397,-1217047,-227659,-624,,13839,508794,522633,990000,0,,9896.0,5851,-530.0,,,549565,622698,-268,-6079,,0.0,,-6737.0,-361,
2013-08-13,2,2013,-46534.0,,,,-850000,-12596,7964,,47102,42989.0,443.0,3962,,-2866,,-18166,-2337,34088,11566,-36499,0.0,0.0,0,347.0,636023,,-17.0,208164,987000,-1209000.0,-77581,-103958,112430,139203,22204,-20347.0,54527,68154,2095.0,-71732,-100202,845,-33363,2337,,,2013年01月01日至2013年06月30日,323661,677314,328.0,353653,29520,,880747,913805,-2441,,491346.0,3860294,-4361350,-593187,29520,,147280,783539,930819,488523,4856,0.0,50710.0,606,-2539.0,39470.0,-28848.0,884285,677314,-2032,1207,,0.0,,-3105.0,-1144,
2013-11-11,3,2013,-70977.0,,,,-1550000,1277,-21200,,59917,-52700.0,1852.0,-3093,,-10223,,866,-3075,49695,8421,-122653,0.0,0.0,-575,2467.0,634233,,-17.0,123642,1452000,-1599000.0,140191,-241995,129788,123846,48267,-17559.0,131193,113094,4280.0,-46909,-191876,1324,-46793,3075,163118.0,,2013年01月01日至2013年09月30日,323661,772709,37.0,449048,90709,,914477,960060,-5436,0.0,491345.0,4480962,-5069380,-605043,90709,,313600,626728,940328,1189051,9164,0.0,50711.0,-662,-2539.0,59214.0,-43988.0,869351,772709,-1865,3697,,-21.0,,24128.0,-17563,37799.0
2014-03-26,4,2013,-54436.0,5637.0,,,-1670000,-34333,37459,,97513,-23463.0,,-3760,,-2417,8905.0,1157,-5290,67479,12359,-120942,0.0,0.0,-63879,5865.0,667997,0.0,16.0,-34223,1852000,-2024000.0,2652,150416,-24799,190197,35898,-35490.0,95275,149344,0.0,-13256,-243874,4337,-62400,5290,164273.0,,2013年01月01日至2013年12月31日,323661,614191,410.0,290530,-105538,,774251,833467,-4846,0.0,491345.0,5457563,-6017390,-591355,-105538,-1157.0,-3881,997322,993441,1308598,14423,,50711.0,10817,-3706.0,71181.0,-53191.0,939005,614191,-2106,1562,11795.0,1624.0,,-14521.0,-23712,
2014-05-09,1,2014,13401.0,,,,-152000,-6749,-5213,,-39371,-22596.0,,-5721,,-3148,524.0,297,-1246,16165,-979,-10511,,,-16540,6183.0,5682,,-410.0,141231,10000,,-71608,-36137,-2195,7254,56235,-5719.0,-30992,36156,,-553,-46223,3841,-13989,1246,,,2014年01月01日至2014年03月31日,614191,559184,1107.0,-55007,26116,,-192489,-177860,-344,,,107142,-66213,169453,26116,,17784,-235161,-217377,270000,4144,,0.0,395,0.0,,,-203976,559184,-1886,-2864,,,,-231573.0,-4937,
2014-08-11,2,2014,-17632.0,500.0,,,-220040,60239,-8236,,17369,12225.0,,-3879,,-912,822.0,586,-2616,36886,-11119,-93775,,,-17502,3528.0,-212599,,-410.0,155667,2169000,-1995000.0,11091,-144381,-68042,-112,57255,-10301.0,-109323,76205,1670.0,-21566,-136960,8282,-32534,2616,,,2014年01月01日至2014年06月30日,614191,930409,610.0,316218,4805,,-518445,-486347,936,,0.0,4758119,-4531735,955105,4805,,235735,-709255,-473520,773939,8361,,0.0,-1884,0.0,0.0,0.0,-491152,930409,-2180,-1859,,,,-320856.0,-5995,
2014-11-11,3,2014,-9967.0,500.0,,,-495799,70234,-9284,,63289,34266.0,,-3879,,-1279,723.0,47057,-3111,58825,5649,-103427,,,-17498,4664.0,-94340,,-410.0,117190,3573000,-3599000.0,109843,-311535,-83117,-40511,62098,-14137.0,104377,110673,587.0,-20704,-235808,12463,-52297,3111,223555.0,,2014年01月01日至2014年09月30日,614191,1018575,192.0,404384,82551,,-104079,-52393,1379,,0.0,7841143,-7693366,398437,82551,,347006,-471983,-124977,771736,8509,,0.0,-1445,0.0,0.0,0.0,-134944,1018575,-2500,-3067,,0.0,,-6356.0,-5983,0.0
2015-03-27,4,2014,6504.0,,,,-1469284,58406,-2716,1994.0,-16512,30182.0,,16,,-354,-606.0,60809,-6116,70410,10612,-141365,,,-20682,5705.0,34089,,-410.0,-391,4558000,-4558000.0,-96596,-30951,5893,9646,62929,-18342.0,67524,143290,,-14726,-284392,16668,-61706,6116,225061.0,,2014年度,614191,486887,182.0,-127304,74747,,-115002,-55364,-49,,0.0,10958878,-10749400,-90438,74747,-1506.0,-73435,-63180,-136615,1169974,10338,,0.0,2299,0.0,0.0,0.0,-130111,486887,-4048,-435,0.0,0.0,,-157493.0,-7468,
2015-05-11,1,2015,,,,,-79748,-79647,-7801,,16485,1838.0,,3607,,62,6705.0,8320,-902,16745,-2914,-8114,,,-88,720.0,31213,,-182.0,66661,1170000,-960000.0,33628,-51520,-28250,12995,-11312,,-5648,35904,620.0,-706,-33065,4246,-14569,902,,32149.0,2015年01月01日至2015年03月31日,486887,676887,820.0,190000,-9255,-1280.0,245200,259105,-1131,,,2873944,-3057539,-46638,-9255,,36467,199744,236211,0,2492,,,838,,,,268360,676887,-238,-1295,,,,250811.0,0,
2015-08-12,2,2015,,600.0,,-446900.0,-159850,-48386,-10759,,40399,493.0,,3960,,1939,3404.0,549,-1805,48686,-10027,-16036,,,-285,1534.0,-54081,,-182.0,119629,3885000,-3550000.0,86802,-157045,18761,-4307,-4963,,23791,70870,2246.0,7555,-102664,8521,-37202,1805,,10680.0,2015年01月01日至2015年06月30日,486887,592743,570.0,105856,-19026,-5273.0,-66891,-31168,-5153,,,6262254,-6334925,158983,-19026,,195417,-218239,-22822,500000,3991,,34238.0,5774,-14830.0,,,-12142,592743,-326,-6343,,,,-12700.0,-656,
2015-11-11,3,2015,,600.0,,-446900.0,-89244,18233,-19404,,29246,12232.0,,7487,,5737,-809.0,56356,-2233,63652,6751,-27193,,,-2520,1171.0,-39129,,-182.0,60072,5255000,-5255000.0,104286,-375892,23698,-73655,-5420,,293298,103351,2522.0,-2569,-200109,12867,-51937,2233,245850.0,4367.0,2015年01月01日至2015年09月30日,486887,682313,533.0,195426,87533,-8542.0,-222162,-172044,-7481,,,9028698,-8815133,117539,87533,,205817,-469761,-263944,440927,5592,,68225.0,9197,-29266.0,,,-259577,682313,-414,-10970,,,,10372.0,-2993,
2016-03-30,4,2015,,,100.0,-446900.0,-258992,-34229,95,600.0,-36279,4264.0,,13816,,6682,348.0,21372,-4284,72081,-2746,-45172,,,-2521,4922.0,-35133,,-182.0,-49079,5895000,-5895000.0,52061,-37282,45968,-31892,-1663,,348761,137870,3845.0,23165,-273815,17232,-60135,4284,246890.0,-56189.0,2015年度,486887,726095,208.0,239208,104282,-13477.0,-65555,-5233,-8056,,,12604218,-12589657,-41252,104282,-1040.0,-77158,23832,-53326,649731,15831,,71026.0,26058,-29224.0,57651.0,-47135.0,-109515,726095,-4471,-13079,4163.0,,28664.0,,-2326,50550.0
2016-05-10,1,2016,,,,,-201894,-43819,-3004,,-8138,370.0,,180,,-134021,520.0,5679,-628,13986,-7255,-12613,,-33421.0,0,810.0,205771,,-208.0,94630,280000,-250000.0,-71854,-49546,13852,41900,137,,-122279,27591,2798.0,-5071,-36115,4340,-13755,628,,-27422.0,2016年01月01日至2016年03月31日,726095,993922,366.0,267827,55917,-198812.0,-32071,-18892,-626,,,1716672,-1175866,429432,55917,,-225195,177808,-47387,60000,2836,,,-1035,,55758.0,-45429.0,-74809,993922,-52,3221,,,,-26155.0,-818,
2016-08-09,2,2016,,0.0,,-53100.0,-211313,40266,1025,,6873,1432.0,,351,,-130141,-1248.0,548,-1356,29540,-16034,-28612,,-33421.0,-950,12612.0,-103103,,-208.0,120450,390000,-450000.0,-33987,-171222,-90715,37348,-7072,,-129985,56814,223.0,-8182,-134522,8883,-29155,1356,5500.0,-65898.0,2016年01月01日至2016年06月30日,726095,835297,1201.0,109202,142668,-201436.0,-234588,-202313,-92,,,4754146,-4019486,489809,142668,,-67611,-211472,-279083,80810,2995,,0.0,6565,0.0,55758.0,-45429.0,-344981,835297,-4476,-674,128.0,,,128758.0,-1114,
2016-11-11,3,2016,,0.0,,-53100.0,-210843,34194,1078,,40420,5689.0,,512,,-225285,-1394.0,34465,-2068,44700,-23709,-38688,,-33421.0,-268,13821.0,-55516,,-208.0,140295,1280000,-1300000.0,-52912,-303869,-74848,-12644,-4206,,-20180,84648,2646.0,-25578,-246855,13565,-44315,2068,216367.0,-97114.0,2016年01月01日至2016年09月30日,726095,516914,676.0,-209181,298379,-203612.0,-177408,-130566,273,,,6789542,-6575506,12116,298379,-2304.0,-38969,-292862,-331831,83417,6451,,0.0,6098,-45429.0,55758.0,,-428945,516914,-4595,1649,128.0,,,176247.0,-1094,
