date,season,year,不影響現金流量之收益費損項目合計,保證責任準備淨變動,備供出售金融資產（增加）減少,償還金融債券,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他負債增加（減少）,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加（減少）,非金融資產減損迴轉利益
2013-05-10,1,2013,-4908871.0,,-4121687,,,,-63907,-876,220.0,-392455,51289.0,3208901,-4249040,-11574692,5302012,-660954,-430448,-27277,840753,-5099,-27779968,,0.0,,,-21786567,9457317,-4295171,4359507,-25551,226442,-176784,-1786,66000,-4707884,11403592,,,2013年01月01日至2013年03月31日,403946833,416857526,12910693,2644189,6045909,-451282,,,7500000,359531855,,7551289,2644189,,,-21103737,22917137,1813400,360647.0,-219287,72183.0,-28955.0,-156241,-3095471,42194563,57325671,-198517,-6242869,7089600,657714,,,4617059,-20831.0
2013-08-28,2,2013,-10058510.0,-597.0,-4449630,-18200000.0,,365186.0,-83055,-3310,,-3229,,7927028,-9920309,-23189481,10648578,256934,-612392,-118618,1468048,8228,-1491252,14974.0,0.0,-23636.0,0.0,-6850670,-14193751,-3129628,4521404,-296284,452359,-675508,-3992,141402,-11456324,22865310,207235.0,,2013年01月01日至2013年06月30日,403946833,426010072,22063239,5123490,34415609,23980310,,-1993180.0,7500000,365298949,,-12313020,5123490,,-207413.0,-18983390,47898720,28915330,360479.0,-218291,101193.0,-33018.0,-259088,18856820,52773732,60711123,-1180922,-10142740,12502930,1188762,0.0,,2121780,-45779.0
2013-10-25,3,2013,-16288134.0,-6489.0,-6993217,-18200000.0,,2464193.0,-79554,-5758,,-216970,,7195232,-25696662,-34973470,16018554,560735,-1276530,-167031,1891874,20940,6370114,0.0,-41041.0,-25368.0,0.0,-13953833,5794886,-8116242,2067631,-956799,679200,-280105,-6728,210496,-16299187,34827600,361566.0,,2013年01月01日至2013年09月30日,403946833,384183746,-19763087,7698007,-9096995,-26284683,0.0,-1993180.0,7500000,344357231,,-10270028,7698007,0.0,-358999.0,321023,-18015579,-17694556,394883.0,-236997,123005.0,-45055.0,-233730,-33982690,14418148,39826515,-1702291,-12257680,12639429,828763,0.0,,1393327,-55553.0
2014-03-28,4,2013,-21736086.0,30824.0,-6099843,-25200000.0,,3740798.0,-101843,-8795,,-20698,,10475022,-35599365,-47055185,21540589,742227,-1843530,-194983,3206299,66411,5452260,116280.0,0.0,-31153.0,0.0,369806,62078917,-9685373,3184797,-1552024,916792,4040997,-11402,278570,-22198465,47261354,373799.0,,2013年01月01日至2013年12月31日,403946833,408649611,4702778,9415339,15848677,-7621339,0.0,-1993180.0,13000000,370234799,,-10336102,9415339,0.0,-367750.0,55557333,-50857925,4699408,394883.0,-233969,131554.0,-53605.0,-270691,-17036678,-41614296,38414812,-1966672,-13934302,24880677,332276,6719.0,,1206241,-55553.0
2014-04-28,1,2014,-6200166.0,6945.0,-2197677,,,,-73679,-941,,-475261,,-4812030,-9576869,-12366123,5733486,-843298,-662873,-73965,1994517,-50254,4943695,0.0,-36906.0,-890.0,0.0,-53921603,42915049,-3062870,1637149,1069655,240118,-3422492,-1574,64013,-4973276,11684216,,,2014年01月01日至2014年03月31日,408649611,358432427,-50217184,2778027,-50406635,-56942939,,,0,319409926,1714221.0,-36906,2778027,,,25685178,-79205978,-53520800,1808180.0,-735374,144.0,0.0,-130985,-59720966,-20153130,37308280,-174636,-6811779,8903905,-1028880,23835.0,,-7362954,-144.0
2014-08-25,2,2014,-12864227.0,6628.0,-8809670,-4500000.0,,0.0,-105924,-1892,,-178222,,-6454596,-20035679,-25138445,11597478,-515778,-1231031,-80179,2773874,-54739,-15536618,0.0,-276522.0,-731.0,,-81128983,57345728,-3381972,273919,494491,478597,-7330104,-4843,125924,-11722197,24324854,208809.0,,2014年01月01日至2014年06月30日,408649611,326147042,-82502569,6072380,-86404760,-98388794,4300000.0,-5600000.0,10000000,282971329,3107105.0,3923478,6072380,,-213592.0,14933703,-106530650,-91596947,1808180.0,-849454,144.0,0.0,-352381,-104461174,5092943,40068608,-827432,-7477110,5585146,-1311754,23885.0,,-9401066,-144.0
2014-10-27,3,2014,-19348486.0,341149.0,-14135313,-11670000.0,,0.0,-82354,-40012,,-313648,,-5667852,-22856318,-38014747,17372023,-235627,-2155160,-135062,4983501,-72288,-15113725,,-269434.0,-7072.0,,-43367154,25760961,614757,1372518,1952616,720687,-8625530,-9844,190528,-16711251,36898504,371798.0,,2014年01月01日至2014年09月30日,408649611,304813377,-103836234,9296024,-102313789,-121572903,4300000.0,-5600000.0,10000000,265105188,935289.0,-3239434,9296024,,-369111.0,-14883842,-96636599,-111520441,4289778.0,-2984654,144.0,0.0,-428245,-130868927,-22449337,38772900,-1299937,-9220158,13738183,-1173469,23840.0,,-11103183,-144.0
2015-03-23,4,2014,-26888055.0,298311.0,-16454642,-15770000.0,,0.0,-86278,-9436,,-3109590,,-9862926,-17411864,-50720752,22952550,-194355,-3199379,-167931,5950042,-50091,-63370414,0.0,-273905.0,-30582.0,,-56387178,57009967,5791783,2077290,883259,964768,-9293235,-15018,249958,-23100503,49665730,377136.0,,2014年度,408649611,337215239,-71434372,11677405,-66779386,-92093136,6300015.0,-5600000.0,10000000,291244871,1851763.0,-5343890,11677405,,-372030.0,-33532544,-43349942,-76882486,4290443.0,-3099277,144.0,0.0,-454757,-103770541,39195860,44118605,-1628613,-13777822,18033417,-2663086,21380.0,,-9186763,-144.0
2015-04-27,1,2015,,-74551.0,-8460858,-4000000.0,281610.0,,-23592,-4254,,2543782,,1478106,9514193,-12595664,5408911,959245,-267419,-11677,724842,-23984,40910576,34910.0,0.0,-112415.0,,-17876156,-2914561,-9690777,-1052601,-395765,237555,-5350837,-3013,64934,-4950575,12704899,58.0,-4946181.0,2015年01月01日至2015年03月31日,337215239,376337484,39122245,3007062,8657839,1125467,21350016.0,,12516000,330464914,2643115.0,29900926,3007062,308700.0,-58.0,22880467,-19815881,3064586,0.0,-114542,0.0,,-125066,-1881595,3709178,42947845,-222010,-5072758,-2842582,1219879,1892.0,,-1782543,0.0
2015-08-24,2,2015,,-80103.0,-14379280,-22500000.0,278235.0,,132549,-8409,,2824395,,-2605795,21602646,-25232192,10714099,1266934,-309250,-63626,1144766,-137979,32777884,68875.0,0.0,-580831.0,,71179408,19998622,-10629776,-925891,-959989,475621,-12684937,-7345,130340,-11485851,25378656,189451.0,-11718666.0,2015年01月01日至2015年06月30日,337215239,421450507,84235268,6540885,73973504,59706204,21350016.0,-1480072.0,12516000,377551938,2857349.0,9954819,6540885,308700.0,-199642.0,27617932,37266053,64883985,0.0,-151580,2127.0,,-227415,53165319,-35161374,40762985,185044,-8524852,4811086,1406341,1871.0,,-3392721,-2127.0
