date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-03,1,2013,33310.0,-6549,-2582,9851.0,-1941,-201,0.0,,,,,0.0,,-825.0,-286,4931,8641,-27817,-38337,,,,,,,260,,-528,35000.0,,-3,65,277,,-52228,27826,1235,-4965,286,,2013年01月01日至2013年03月31日,340945,364519,23574,21274,51710,58954,,,-13000.0,15451,21274,-5054,9424,4370,,14751,,-396,37680,364519,-2565,-828,,
2013-08-02,2,2013,78108.0,-13182,-4932,8873.0,103,-265,0.0,,,,,20.0,-2676.0,,-527,9985,12498,-56169,-261356,,,,,,,-32,,-2408,35000.0,,-1735,-1573,771,,-82582,56906,2487,-10088,527,,2013年01月01日至2013年06月30日,340945,397584,56639,37257,98885,113678,,6000.0,,27838,37257,-8972,7285,-1687,,237619,19470.0,-10213,76421,397584,-5232,-489,,
2013-11-04,3,2013,114417.0,-19813,-4984,-3768.0,-709,61,,,,,-14785.0,32.0,-267.0,,-754,15089,5240,-83288,-203720,,,,,-484.0,,286,,-2480,19000.0,,25,940,271,0.0,-109809,85776,3738,-15131,754,,2013年01月01日至2013年09月30日,340945,374667,33722,54416,92072,143330,,,-33000.0,46219,54416,-7745,-17758,-25503,80000.0,179936,21340.0,-10772,88914,374667,-36881,-763,-1986.0,403.0
2014-03-14,4,2013,148095.0,-29240,5768,-4934.0,-17,49,,-18.0,,,-14905.0,,-201.0,,-1242,20414,8386,-177692,-295393,0.0,,80.0,,,-757.0,-91,,-775,24000.0,,-28,1726,-175,0.0,-204388,114648,4977,-20384,1242,,2013年01月01日至2013年12月31日,340945,406341,65396,63936,140059,201717,-16501.0,660000.0,-647000.0,121339,63936,8664,-18978,-10314,130000.0,271641,21338.0,-12040,137781,406341,-42516,-630,-1986.0,3716.0
2014-05-05,1,2014,35537.0,-9582,-4437,-27279.0,-608,-68,,,,,-390.0,,15.0,,-591,5463,9403,-10424,-93376,0.0,,0.0,,,-602.0,303,,821,35000.0,,450,-3817,1307,,52880,29575,1268,-5488,591,,2014年01月01日至2014年03月31日,406341,470834,64493,21812,11792,19988,0.0,105000.0,-140000.0,-9582,21812,-6444,-30917,-37361,0.0,157267,0.0,-178,-1824,470834,-3299,-973,0.0,-2670.0
2014-08-01,2,2014,70723.0,-178332,-6878,-4779.0,-591,-962,,,,,-32946.0,,4.0,,-1394,10699,-179,-15102,-72212,0.0,,0.0,,,-1008.0,46,,997,40000.0,,420,-5571,947,,4808,59065,2530,-10998,1394,,2014年01月01日至2014年06月30日,406341,447914,41573,54444,51215,76759,,-38000.0,,-14271,54444,-4501,-43907,-48408,162061.0,93126,0.0,-177,22315,447914,-15940,-642,0.0,1551.0
2014-11-05,3,2014,102412.0,-184998,-3397,-5164.0,-147,-157,,,,,-33897.0,,17.0,,-2295,16026,9019,-24038,-206377,0.0,,25.0,,,-1037.0,334,,-166,-25000.0,,387,2841,1096,,-4186,88503,3788,-16097,2295,,2014年01月01日至2014年09月30日,406341,480811,74470,75762,92549,139676,,25000.0,,-22912,75762,-3176,-35322,-38498,162061.0,227249,0.0,-3610,63914,480811,-33325,-375,0.0,147.0
2015-03-12,4,2014,138010.0,-191852,816,16401.0,716,-96,,1349.0,-37227.0,,,,-5.0,,-3072,21409,30570,-42053,-231451,0.0,,,-25.0,-1110.0,,-183,,1087,,-17000.0,284,3766,867,,-59397,118238,5080,-21551,3072,,2014年度,406341,540537,134196,96873,193585,261033,-8746.0,249300.0,-224300.0,-30562,96873,4050,22100,26150,162061.0,252449,0.0,-3645,164160,540537,-48969,-4,0.0,1147.0
2015-05-05,1,2015,,-7002,-7517,0.0,-533,56,,0.0,0.0,34678.0,,,-3.0,,-686,5332,-5267,-17663,-200450,0.0,,0.0,,,17.0,496,,61,22000.0,,299,-5512,491,,-77531,30819,1321,-5350,686,34739.0,2015年01月01日至2015年03月31日,540537,475648,-64889,22084,37911,42666,0.0,0.0,-35000.0,-20002,22084,-8960,-5197,-14157,0.0,105890,0.0,-2047,20582,475648,-91,-728,0.0,-1270.0
2015-08-06,2,2015,,-20335,-13525,-31180.0,36,93,,0.0,34821.0,,,,3.0,,-1249,10531,-12722,-33704,-337559,0.0,,0.0,,-38.0,,68,,-1956,-2000.0,,253,-6152,304,,-92458,60934,2613,-10609,1249,70698.0,2015年01月01日至2015年06月30日,540537,452118,-88419,49236,54096,64830,,0.0,-85000.0,-37335,49236,-17033,-38071,-55104,70000.0,244019,928.0,-3059,15594,452118,-1374,-1204,0.0,-1841.0
2015-11-06,3,2015,,-33917,20847,-32870.0,-913,63,,0.0,0.0,36072.0,0.0,,-24.0,,-1801,17796,-29533,-1406824,-340374,-343455.0,,0.0,,-1989.0,,479,,-4220,4000.0,,107,-15101,12,,-1609766,94557,5860,-17455,1801,123012.0,2015年01月01日至2015年09月30日,540537,290847,-249690,81323,151493,168482,-13512.0,827977.0,,1238116,81323,13993,-49846,-35853,453568.0,446828,2254.0,4346,87159,290847,-1335,-2429,0.0,-1828.0
2016-03-21,4,2015,,-54751,24099,0.0,-125,109,,0.0,0.0,3168.0,,,-16.0,,-1927,30942,34647,-36731,-372079,-10580.0,,0.0,,-1196.0,,-185,-1761435.0,-145,4000.0,,103,-20015,317,,-1699320,159232,12454,-29532,1927,207327.0,2015年度,540537,318137,-222400,74121,221331,281840,-13512.0,1152977.0,-325000.0,1220942,74121,23502,-23110,392,457228.0,479549,2255.0,4371,207719,318137,-32904,-3336,0.0,-430.0
2016-05-10,1,2016,,-601344,-7440,0.0,-545,18,,0.0,-34.0,,,,9.0,,-69,11642,-7857,0,-39804,0.0,,0.0,,-994.0,,905,,-551,15000.0,,187,-1217,-313,,-1019,65456,6975,-12889,69,85107.0,2016年01月01日至2016年03月31日,318137,411590,93453,37523,88839,101656,,0.0,0.0,13490,37523,-12302,-8672,-20974,599834.0,39804,0.0,1103,64133,411590,3,-8065,0.0,-3953.0
2016-08-08,2,2016,,-611342,-8207,,-92,58,,0.0,-3507.0,0.0,,,-35129.0,,-185,24588,-24364,-129,-39371,0.0,-82.0,0.0,,-438.0,,164,,-4161,31000.0,,52,894,-319,,-39203,129381,13799,-25899,185,168592.0,2016年01月01日至2016年06月30日,318137,1607546,1289409,84583,213563,239274,,7000.0,0.0,1139413,84583,-15246,1345,-13901,1712755.0,39371,0.0,1091,154691,1607546,3,548,,-2838.0
2016-11-03,3,2016,,-648844,19708,,-922,58,,0.0,-144.0,,,,,20.0,-269,46439,-31697,-129,-53942,-3720.0,-82.0,0.0,,-1484.0,,971,-1072593.0,-6006,58000.0,,-193,2191,-369,,-1078050,209060,23898,-47712,269,279675.0,2016年01月01日至2016年09月30日,318137,673994,355857,102446,346330,395354,-11350.0,7000.0,0.0,1119274,102446,8951,4282,13233,1714468.0,53942,0.0,629,292908,673994,-1581,1431,,-3636.0
