date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-07,1,2013,68141.0,,,-101727,9704,602,-851,-41717.0,-211049,,,6190.0,,14023.0,-2870.0,,-2837,12925,48743,-107446,0.0,,-365750.0,,,318,-2952.0,,,2200.0,-98649,391494,,12678.0,494973.0,,142761,-171522.0,,-22340,30631,2995.0,-478313,71800,-21235,,-12312,3186,,,2013年01月01日至2013年03月31日,957733,676207,-281526,113623,,43309,52438,,,-405361.0,104735,113623,,404985,-534311,-129326,1686,,,-1617,,,,-61185,1499,676207,-3,-5795,559.0,,18075,-76425,-6133.0,,-3600
2013-08-09,2,2013,200042.0,,,-54110,-23213,1047,-5090,27274.0,221745,,,54934.0,,24526.0,-22964.0,,-8091,26456,75001,-277182,0.0,,-475631.0,,0.0,7129,0.0,-6729.0,,947.0,180928,96874,,19508.0,112930.0,,92774,-299473.0,,-353257,16145,4785.0,-782520,143666,7717,,-20046,7017,,,2013年01月01日至2013年06月30日,957733,589084,-368649,213238,,324221,360954,,,-113499.0,14649,213238,,201728,-254054,-52326,970,,,-1773,0.0,,,147716,-3210,589084,-23704,-3384,3796.0,,21947,-46773,-8660.0,,16786
2013-11-08,3,2013,255315.0,,,-40071,833,1124,-48680,28635.0,221444,,,40613.0,,34345.0,-36361.0,,-14597,38554,81080,-393326,0.0,,-535081.0,0.0,3.0,590,,-9070.0,,-3549.0,23364,275230,,39547.0,2.0,,122235,-278034.0,,-92973,136319,-22164.0,-979309,216004,2096,,-41385,14096,17458.0,,2013年01月01日至2013年09月30日,957733,375173,-582560,349310,,910780,992792,-323757.0,,-273773.0,-595111,349310,-17458.0,420955,-32788,388167,5439,,,-3829,-3.0,,,643482,4318,375173,-72181,-4183,3796.0,,11487,-35674,-16434.0,,12101
2014-03-19,4,2013,307873.0,0.0,,21470,-61482,944,-13470,104673.0,273448,,,-77982.0,,39796.0,-30168.0,,-26030,51996,40483,-605368,-6000.0,,-108581.0,0.0,,8789,0.0,-10394.0,0.0,-1072.0,4728,64814,,39049.0,,-136995.0,58372,-217526.0,,-245308,107410,-19020.0,-760881,293436,-34407,,-52060,26031,17458.0,,2013年01月01日至2013年12月31日,957733,664494,-293239,532476,,835773,916571,-323757.0,46052.0,0.0,-408614,532476,-17458.0,286728,-210506,76222,5829,,,-4182,505.0,,3.0,384095,-606,664494,-72227,-7937,3365.0,,16480,19676,-15524.0,,17032
2014-05-07,1,2014,97812.0,,,-77254,9243,2696,-2724,303291.0,159211,,,-266745.0,,13181.0,,-7282.0,-5570,15350,-27530,-45446,,,66275.0,,,4459,,-983.0,0.0,-3964.0,-504234,241467,25903.0,,0.0,-62997.0,69071,-97549.0,,-130661,17006,3446.0,1154,77473,-9297,,-13792,3706,,,2014年01月01日至2014年03月31日,664494,652142,-12352,103556,,-49446,-9395,,,111036.0,63470,103556,,570902,-781665,-210763,2610,,,-1103,,,,-112951,1744,652142,-29965,3319,0.0,,16414,34788,,-11039.0,538
2014-08-08,2,2014,236454.0,,,10708,13980,-877,-4239,440529.0,457373,,,-199952.0,,25153.0,-14580.0,,-10721,32210,-57530,-96819,,,34315.0,,,13450,,-1347.0,,-5559.0,-380280,84492,30055.0,,-62997.0,,-17983,-442790.0,,-865213,-22738,6754.0,-96117,161423,22276,,-30950,5957,,,2014年01月01日至2014年06月30日,664494,458074,-206420,231764,,-442761,-362148,,,451946.0,389988,231764,,571270,-1401636,-830366,10589,3643.0,,-5689,17785.0,,,-593912,2864,458074,-55620,1996,0.0,-21429.0,2386,42223,-27706.0,,14728
2014-11-05,3,2014,307944.0,,,-5924,5431,15636,-7948,342433.0,841174,,,-199008.0,,41952.0,-27398.0,,-13947,50701,-13039,-150688,,,-25500.0,,,12961,,-1848.0,-5388.0,,-243455,-14573,-7830.0,,136981.0,,-182281,-163479.0,,-641053,-257597,-41855.0,-205624,242935,4814,,-49274,12825,18889.0,,2014年01月01日至2014年09月30日,664494,567096,-97398,381161,,29750,136002,-777143.0,,724538.0,91515,381161,-18889.0,104568,-657671,-553103,12506,3643.0,,-6693,-3644.0,,825.0,-245159,3303,567096,-88692,-2246,0.0,,8987,8264,-13624.0,,-4341
2015-03-18,4,2014,371172.0,5000.0,,10838,39887,-1949,-660,455291.0,784162,,,-400125.0,,54276.0,-57129.0,,-19413,68655,-47445,-199452,0.0,,159375.0,,,6260,,-7283.0,-3876.0,,102895,-236934,19988.0,,,-62997.0,-156118,-27408.0,,-170874,-212911,42536.0,-103289,328028,-73250,43533.0,-66483,15971,18889.0,,2014年度,664494,890269,225775,532505,,1103142,1228643,-777186.0,83961.0,,-726633,532505,-18889.0,150818,174148,324966,16621,3643.0,826.0,-8522,-3643.0,,,696138,789,890269,-93878,-5863,0.0,,36872,59182,-28297.0,,16377
2015-05-06,1,2015,,,,-106288,-27,3582,10229,-141159.0,65046,-274541.0,,0.0,-5988.0,,,,-5296,14577,-12944,-18168,,,,,,-30922,,-694.0,0.0,7256.0,210194,140960,-21497.0,,,0.0,-38341,76157.0,,479337,69794,,-295151,81701,-16242,12327.0,-15385,6688,,49074.0,2015年01月01日至2015年03月31日,890269,667029,-223240,109496,1148.0,933719,948623,,0.0,-840717.0,-848864,109496,,-30633,820686,790053,2705,,2.0,-2683,-2.0,0.0,,839127,2196,667029,-6207,-4386,,,-7453,-90044,-6417.0,,128766
2015-08-05,2,2015,,,,-84144,-1761,-672,4639,-225123.0,-252825,-255553.0,,0.0,-15497.0,54064.0,,,-23972,27129,-34854,-124048,,,,,,-8507,,-574.0,0.0,7672.0,415347,162319,-29181.0,,,0.0,-59809,,142731.0,381175,226374,,-386402,161744,-48141,25716.0,-29538,23015,,177515.0,2015年01月01日至2015年06月30日,890269,468588,-421681,216922,1569.0,1094054,1169625,,0.0,-1077288.0,-1094479,216922,,-76244,851432,775188,3030,0.0,2.0,-2732,-2.0,0.0,,952703,3214,468588,-69048,-7784,,,-16617,-64248,-2008.0,,155583
