date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產
2013-05-03,1,2013,35976.0,-25166,-28920,2775,,3283,281,0.0,0.0,0.0,-31904,0.0,3402.0,-577,1424,23303,-14368,,0.0,1115,0,,-1428.0,0,38878,,16650,,,0.0,,1127,1723,0.0,-54,91.0,-10354,33569,,589,-1431,489,,,2013年01月01日至2013年03月31日,412791,443012,30221,18386,,12438,17295,,40000,-10000,4834,18386,,-8539,-28528,-37067,0.0,2040,,-144,,-1091,-770,443012,-3915,,0.0,,0.0,-40227,,,
2013-08-06,2,2013,72033.0,-73333,-34059,-37232,,13135,2160,0.0,0.0,0.0,-105,0.0,7790.0,-1438,2567,37910,-31122,,0.0,1115,108,-506.0,-1659.0,2941,68769,,-13907,,,0.0,,1147,-8461,0.0,-61,181.0,-28621,68722,,1162,-2687,1387,,,2013年01月01日至2013年06月30日,381089,389809,8720,29674,,83162,87766,,40000,-50000,-83731,29674,,-34822,20881,-13941,0.0,2623,,-95,,58092,-1319,389809,-3304,,0.0,,0.0,-4189,-10303.0,1109.0,
2013-11-08,3,2013,107510.0,-97500,-11406,-24740,,23096,-4549,,,,-25425,0.0,6220.0,-2345,3490,27425,-45421,,-350.0,1564,108,-596.0,-2000.0,3405,75046,,40094,,,,,669,21205,0.0,-225,272.0,-47514,103521,,1741,-3647,2270,,,2013年01月01日至2013年09月30日,381089,492039,110950,61233,,270013,275559,-30986.0,40000,-50000,-138974,61233,,51037,55779,106816,0.0,3628,,-72,,214326,-1688,492039,-4169,-389.0,,,0.0,14467,-14105.0,1109.0,
2014-03-26,4,2013,138048.0,-121667,-24949,-16184,,11680,-4193,,,,-39739,0.0,6836.0,-4276,4873,42233,-70337,-68141.0,-1783.0,1176,0,-428.0,-2000.0,3423,15313,,166817,,,,,994,-25162,0.0,-756,362.0,-140524,137447,-947.0,2330,-5058,4153,1410.0,,2013年01月01日至2013年12月31日,381089,407321,26232,60430,,287604,290617,-30986.0,80000,-90000,-163081,60430,-1410.0,153145,-61006,92139,0.0,4474,,-528,,230187,-1759,407321,-3518,-617.0,,,0.0,9715,-14105.0,1109.0,
2014-05-07,1,2014,40163.0,-24166,18439,-11938,,34805,7876,0.0,0.0,0.0,-21385,-1512.0,0.0,-1257,606,18410,-17442,,0.0,289,72,,0.0,320,-25924,,85794,,0.0,,,677,-106640,0.0,-883,96.0,-19833,35904,-1961.0,641,-640,1655,,,2014年01月01日至2014年03月31日,407321,396031,-11290,74329,,14227,18921,,40000,-40000,-24094,74329,,139590,-235161,-95571,,281,,122,,-55408,-221,396031,-5709,5819.0,0.0,,,-76267,-1480.0,,
2014-08-07,2,2014,74915.0,-48333,48673,-27615,,19120,5334,0.0,0.0,0.0,8317,-1381.0,0.0,-2228,1103,-5205,-47815,,0.0,748,69,0.0,-3.0,320,-60224,,128787,,0.0,,,791,-146608,0.0,-743,192.0,-59708,71717,1135.0,1278,-1177,2770,,,2014年01月01日至2014年06月30日,407321,403253,-4068,156298,,109109,125852,,30000,-30000,-48264,156298,,197409,-302770,-105361,0.0,664,,380,,-30446,-154,403253,-18336,782.0,0.0,,0.0,-81231,-11493.0,0.0,
2014-11-11,3,2014,111064.0,-72500,62985,4349,,25257,-1113,,,,2382,-1570.0,0.0,-3127,1540,8395,-94911,,-940.0,-18,112,0.0,-3.0,323,-22953,,18772,,,,,364,-225642,,-5289,288.0,-126941,107695,5978.0,1936,-1625,3669,2493.0,,2014年01月01日至2014年09月30日,407321,342449,-64872,206591,,147705,171824,-51643.0,90000,-60000,-94031,206591,-2493.0,107542,-253373,-145831,,1369,,-197,,-34767,-124,342449,-28656,-250.0,,,,-5107,-31209.0,0.0,
2015-03-10,4,2014,155677.0,-101667,65687,-47412,,44280,6205,,,,-2354,,808.0,-4047,1939,54475,-131043,0.0,-940.0,2585,699,-521.0,-247.0,323,-22816,,114314,,,,,-775,-321267,,-152,-929.0,-153350,145830,5978.0,2624,-2061,3581,2493.0,,2014年度,407321,385218,-22103,260562,,206905,227089,-58644.0,120000,-90000,-130133,260562,-2493.0,224812,-413962,-189150,,1442,,18,,-33473,2235,385218,-24197,2581.0,,,662.0,-26166,-23693.0,0.0,
2015-05-11,1,2015,,-4166,3688,-6392,,-3523,-5091,,,,-10002,-1582.0,,-822,291,-23725,-30694,,,72,54,-26.0,,1194,-4707,,-40555,,,,,547,12120,,347,,-33548,36711,0.0,688,-313,1146,,37563.0,2015年01月01日至2015年03月31日,385218,300316,-84902,73196,34.0,-23491,-16205,,85000,-85000,-4138,73196,,-43017,-83947,-126964,,3,,15,,-89401,-3208,300316,-8119,-3285.0,,,3893.0,-70222,-2469.0,,
2015-08-06,2,2015,,-4166,-290,6860,,-4935,-847,0.0,0.0,0.0,-8565,-1836.0,0.0,-1678,566,-33825,-46243,,0.0,72,107,-26.0,-3.0,1194,-33861,,-106682,,0.0,,,870,115148,0.0,-2332,,-61171,73247,0.0,1365,-589,1637,,73006.0,2015年01月01日至2015年06月30日,385218,349787,-35431,111461,34.0,38650,78455,,230000,-205000,20915,111461,,-114770,8758,-106012,0.0,89,,-69,,-33006,-3767,349787,-40853,-2624.0,0.0,,2127.0,-67645,-14372.0,0.0,
2015-11-10,3,2015,,-4166,16915,19078,,8851,675,,,,-18345,-2625.0,0.0,-2544,1437,9331,-68761,,0.0,3714,160,-26.0,-3.0,1196,-31027,,109726,,,,100000.0,267,-166972,,-2427,,-86284,106863,0.0,2036,-1460,2502,3633.0,107970.0,2015年01月01日至2015年09月30日,385218,391996,6778,216520,34.0,79335,139600,-206572.0,400000,-285000,4396,216520,-3633.0,132115,-317005,-184890,,1749,,-1615,,-76920,-3678,391996,-64940,-113.0,,,1825.0,-117987,-17840.0,0.0,
2016-03-15,4,2015,,-4166,61014,5103,,4181,-12280,,,,-48553,-1543.0,0.0,-3504,2112,-12388,-94289,0.0,-884.0,9045,1196,-26.0,-3.0,1196,-129003,,280590,,,,100000.0,371,-264917,,399,,-114688,142156,0.0,2719,-2077,2004,3633.0,172186.0,2015年度,385218,384782,-436,326231,34.0,186208,244153,-206572.0,465000,-415000,-59568,326231,-3633.0,341525,-595789,-254264,,1818,,-812,,-82078,-4665,384782,-61505,3134.0,,,20969.0,-146538,-20983.0,0.0,
2016-05-10,1,2016,,0,-31942,-12078,,-13841,15372,,,,-176137,-5086.0,,-2515,862,-14877,-58853,-106681.0,,0,0,0.0,,0,108963,,-250095,,,,-84.0,664,98720,,-876,,531023,36676,0.0,707,-840,2245,,29612.0,2016年01月01日至2016年03月31日,384782,969452,584670,111239,-4430.0,-33392,-17814,,182000,-80000,101916,111239,,-299542,140877,-158665,,901,,-72,,-129053,102,969452,-16983,-6046.0,,,0.0,106913,-6736.0,,707478.0
2016-08-04,2,2016,,0,-31523,-5792,-4000.0,1150,11884,0.0,,0.0,-169007,-4307.0,0.0,-6013,3768,-34313,-97155,,-460.0,238,105,-1568.0,-944.0,420,166437,24750.0,-371338,19618.0,0.0,,99941.0,48620,219252,1570.0,2168,,680562,78112,-2926.0,1456,-3274,3634,,66900.0,2016年01月01日至2016年06月30日,384782,2206422,1821640,204226,-4430.0,212913,288789,,1304000,-440000,962478,204226,,-337797,355460,17663,0.0,2879,,90,,84563,106,2206422,-76236,-7825.0,,,0.0,132948,-22135.0,0.0,777514.0
2016-11-08,3,2016,,-9167,-17353,22247,,30437,-3313,,,,-294594,-2145.0,0.0,-11676,7902,-115520,-121638,,-460.0,477,4672,-7119.0,-2112.0,423,255490,24750.0,-337716,,,,99921.0,19748,178499,,851,,799415,137356,-4511.0,2816,-5932,10317,21022.0,119604.0,2016年01月01日至2016年09月30日,384782,2148219,1763437,327457,-4430.0,325171,398528,-206572.0,1707605,-1569000,754371,327457,-1816.0,-308896,260363,-48533,746850.0,4755,180093.0,353,-47.0,71071,418,2148219,-98764,-11250.0,,-12819.0,0.0,101183,-34212.0,0.0,749961.0
