date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,177772.0,-5000,72820,130276,-3775,19996,-10270.0,0.0,,,-108882.0,,-730.0,-1567,-21043,8669,36150,-13106,-260134,0.0,-10472.0,,-181184,135934,-61725,-147764,-6748,-14983.0,-380644,201869,246.0,0.0,0.0,0.0,-10161,22099,,,2013年01月01日至2013年03月31日,2482937,2746798,263861,565471,,533039,536815,,,,80316.0,75316,565471,,128517,-334945,-206428,,56,6595,316,,,-28656,,2746798,-15714,,,-30369,-113325
2013-08-14,2,2013,387089.0,-10000,167328,342567,-3411,-45681,,,,-437877.0,,-422.0,,-6184,-45971,15386,37577,-77187,-530060,-73201.0,12506.0,0.0,-299899,242279,184721,-321344,-16568,-1130.0,-1155102,410274,67.0,0.0,52744.0,0.0,-16795,45890,,,2013年01月01日至2013年06月30日,2482937,2614976,132039,1171721,,1560661,1786420,,,,-288942.0,-311097,1171721,,589854,-362244,227610,,61,126345,1078,,0.0,614699,,2614976,-254854,-12155.0,,-21319,-215505
2013-11-14,3,2013,593335.0,-20000,309539,313583,7898,-101440,,,-318847.0,,,-103.0,0.0,-33899,-71992,22420,14745,-121690,-530060,0.0,60473.0,0.0,-417445,324683,-81381,-491551,-4853,76.0,-602846,618868,,0.0,31818.0,0.0,-26358,70440,4351.0,,2013年01月01日至2013年09月30日,2482937,2338131,-144806,1743701,,1746799,2142265,-874490.0,,,-396859.0,-1303504,1743701,-4351.0,560815,-755586,-194771,,3833,586219,1816,,0.0,398564,,2338131,-443899,-12155.0,,-53880,-254016
2014-03-20,4,2013,708969.0,-25000,444081,342696,-8810,-75084,,,,-674982.0,,,-63480.0,1612,-100713,32892,15353,-206016,-830060,-108407.0,0.0,0.0,-595272,507980,28021,-393149,-4072,-22887.0,-1548922,824822,,-1240.0,156679.0,0.0,-34003,96763,4351.0,,2013年01月01日至2013年12月31日,2482937,2269877,-213060,2270446,,2739911,3159304,-874490.0,,,-507757.0,-1419402,2270446,-4351.0,948385,-768496,179889,,4168,594623,2563,-47856.0,0.0,888858,,2269877,-482153,-12155.0,,-42375,-425798
2014-05-13,1,2014,168414.0,-5000,-217835,1827,-12055,7684,,,,434676.0,,,-2131.0,4795,-31095,6991,27906,-53158,0,,206.0,,-161281,51122,-46282,-313299,-3591,0.0,1207977,205097,4212.0,,,,-9754,29396,,,2014年01月01日至2014年03月31日,2269877,3563340,1293463,633363,,132667,137443,,,,-70087.0,-75087,633363,,-220838,-443496,-664334,,7935,937097,2489,-20069.0,,-495920,,3563340,-24418,,,25164,-116442
2014-08-13,2,2014,357693.0,-5000,-164309,-5739,-5969,12995,,,,539017.0,,,61802.0,20638,-66510,14982,-7002,-150211,0,0.0,206.0,,-202850,84749,58943,-246341,-15432,0.0,1161072,405589,0.0,1240.0,0.0,,-17709,60498,,,2014年01月01日至2014年06月30日,2269877,3880653,1610776,1101752,,698253,953387,,,,-225202.0,-241547,1101752,,-26586,-479472,-506058,,7636,937096,2857,-20069.0,,-148365,,3880653,-297923,-11345.0,,-23345,-234268
2014-11-12,3,2014,524738.0,-5000,-104720,-14810,11488,-7104,,-14292.0,,420008.0,,,61721.0,-5784,-104971,23527,37026,-486853,-74311,,206.0,,-368079,163309,128527,-163837,-5307,0.0,831584,609559,,1240.0,0.0,,-22092,91215,860.0,,2014年01月01日至2014年09月30日,2269877,4036055,1766178,1688388,,1373950,1815662,-1033488.0,143591.0,444152.0,,-476382,1688388,-860.0,198604,-596068,-397464,,8145,1177542,3061,,,127274,,4036055,-511695,-11345.0,,-38171,-274668
2015-03-20,4,2014,697775.0,-5000,-68955,-16454,57547,-14589,,-23573.0,,117514.0,,,63559.0,1643,-134334,39196,228504,-725024,-200000,0.0,,,-380596,336894,120979,-912046,-9198,3182.0,-193697,816688,,1240.0,0.0,,-39844,119641,860.0,,2014年度,2269877,3488190,1218313,2344901,,1863898,2320091,-1033488.0,147744.0,,155748.0,-680392,2344901,-860.0,621346,-1343931,-722585,89522.0,8666,1179595,5119,-29677.0,,-24810,171699.0,3488190,-535990,-11345.0,,-12288,-638867
2015-05-13,1,2015,,0,-237537,18105,-63630,-1414,,,,728054.0,,0.0,,422,-23633,11559,-38349,-423669,-262289,,0.0,,123345,-116867,9429,-98758,-11462,,60681,207617,0.0,,,,-9190,29423,,191155.0,2015年01月01日至2015年03月31日,3488190,3781703,293513,492106,,351121,360630,,,,-79940.0,-79940,492106,,-378656,56025,-322631,,263,400000,3345,-8155.0,,-131476,29949.0,3781703,-29742,,,26209,-381678
2015-08-13,2,2015,,0,-22709,-9906,-9386,-27679,,,,222241.0,,,66.0,837,-51366,17829,-105249,-674098,-259783,,0.0,,63004,-33018,-35586,-114679,-4311,,-328749,415152,,0.0,,,-18608,61419,,360837.0,2015年01月01日至2015年06月30日,3488190,3829191,341001,912581,,895542,1130452,,,,-178192.0,-120543,912581,,-44288,-98678,-142966,68808.0,16249,1059459,3314,-24929.0,,217871,56411.0,3829191,-277721,-11159.0,,-5107,-692883
