date,season,year,不影響現金流量之收益費損項目合計,代收款項增加（減少）,以成本衡量之金融資產減資退回股款,借券保證金－存入增加（減少）,借券保證金－存出（增加）減少,借券擔保價款（增加）減少,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入（含財務收入）,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳提列（轉列收入）數,客戶保證金專戶（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付商業本票增加,應付商業本票減少,應付帳款增加（減少）,應付融券擔保價款增加（減少）,應收帳款（增加）減少,應收期貨交易保證金（增加）減少,應收票據（增加）減少,應收證券借貸款項（增加）減少,應收證券融資款（增加）減少,應收轉融通擔保價款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,期貨交易人權益增加（減少）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業外金融商品按公允價值衡量之損失（利益）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,融券保證金增加（減少）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,轉融通保證金（增加）減少,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產重分類淨損失（利益）,附買回債券負債增加（減少）,附賣回債券投資（增加）減少,附賣回票券投資（增加）減少,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付退休金（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,-208842.0,-29478,,-1009201,10116,12314,0.0,111666,-155544,4714,-53,1173663,,37899,,-1304.0,0.0,-21786.0,-229560,34943,47238,-4941,,,-1058,-114,152876,,,0.0,-250000.0,1278874,-535520,-350345,,1134,,-119990,7701,-27785,26954,-15932,2367,-32290,258972,1486,,2013年01月01日至2013年03月31日,4933426,4891847,-152876,-41579,332997,-4348,-22587,-277326,,245149,,-38445,332997,,-1486,-1378590,977109,-401481,,392,,,-348734,-610323,-9014.0,4891847,-2319,-5719,1126921,1201022,-22058,,,-1575012,,-1202807.0,,-17572,,,-5064.0,-6852
2013-08-06,2,2013,-350223.0,-22886,6600.0,-773489,7596,8402,0.0,216916,-140671,-6391,2176,1030725,,79088,321.0,,-72628.0,0.0,-467158,69448,58628,-6153,-713.0,,-2231,-122,161763,,,2250000.0,,-78906,-881418,-864011,,712,,-503408,8357,-90424,53370,-28479,4910,-71764,507860,17677,,2013年01月01日至2013年06月30日,4933426,5016369,-161763,82943,535544,8982,-1514921,-2018400,,0,-548897.0,1629660,535544,,-23737,-7500242,5296521,-2203721,,393,,,-657898,-2553944,-11161.0,5016369,374,-22058,362076,5708491,26570,5600.0,,-5209644,,-460285.0,0.0,6313,-15299.0,,-19033.0,-5746
2013-11-05,3,2013,-836306.0,885865,6600.0,-621298,-8159,-8723,0.0,100617,-87330,-215944,2000,-275475,0.0,126794,0.0,-1687.0,,5181.0,-683884,94014,31680,-9003,-715.0,,-5954,13142,384959,,,3950000.0,,4238182,-300869,-7209580,,-23,,-502173,2535,-24100,78927,-38280,7824,-93470,737202,203069,,2013年01月01日至2013年09月30日,4933426,5403630,-384958,470204,993834,6130,-3748347,-4612504,-688022.0,1046320,,4210971,993834,,-139972,-589781,-4180251,-4770032,,398,0.0,,-189778,-5606338,-11161.0,5403630,-397,-76114,1409584,4159879,-180205,5600.0,,-5651888,-605313.0,,-2170.0,-2454,-20209.0,,,-4924
2014-03-26,4,2013,-1171810.0,168198,6600.0,-614980,-8235,15810,0.0,-105204,51016,5809,-420,354082,,-28199,,-7605.0,,3708.0,-932506,126838,46966,-17629,-715.0,,-11867,12334,720228,,,4950000.0,,2863349,-6971,-2917055,,-1686,,-1744158,-46733,-61267,103752,-55919,10795,-123757,942208,219408,,2013年01月01日至2013年12月31日,4933426,5287484,-720228,354058,1489487,3850,-3423012,-4496912,-688022.0,0,-337076.0,3791371,1489487,,-143868,771479,-5586068,-4814589,,402,0.0,,-9174,-5986399,,5287484,-24321,-87716,783198,-1624152,-303088,5600.0,,-1707598,-184897.0,,-2169.0,-25556,-41364.0,,,-6712
2014-05-09,1,2014,-272821.0,-143956,,-367483,45664,25618,0.0,294484,-149316,-11313,4584,636758,,74191,,-919.0,-24693.0,,-293022,42215,42929,-3429,,-45805.0,-39098,2087,-254547,,,,-350000.0,4946769,-559281,-4427773,,2298,,-1026370,55918,-127546,24952,-14914,3511,-42785,259604,1434,,2014年01月01日至2014年03月31日,5287484,5447753,245661,160269,529634,-292,-210939,-466776,,849529,,455825,529634,,-1435,6141537,-6865126,-723589,,0,,448.0,-356249,-996410,,5447753,24695,-5201,1953664,509314,-36371,,,492981,-2768090.0,,,28218,-14521.0,,,-28
2014-08-07,2,2014,-827758.0,45207,14947.0,-365406,30056,17817,0.0,254996,20316,-10345,8142,738423,0.0,146096,905.0,0.0,-53428.0,,-592841,84707,4370,-11089,0.0,-45416.0,-41350,2038,-232919,,0.0,0.0,-1550000.0,1704176,-736768,-3184191,0.0,2172,0.0,-1139143,55391,-160451,49897,-30524,7351,-85312,567790,18127,,2014年01月01日至2014年06月30日,5287484,4975096,217336,-312388,1250418,-4278,-2573353,-3106409,,4051453,0.0,2417046,1250418,0.0,-30571,3347019,-6876088,-3529069,,0,,448.0,-485152,-4356827,,4975096,24446,-52861,1984451,-1230749,-313985,0.0,0.0,806592,-2237159.0,,,35117,-24115.0,,0.0,2029
2014-11-05,3,2014,-841075.0,966191,21903.0,-364280,18107,5461,0.0,322120,310399,-553650,2853,-190096,,44494,,-30.0,-142085.0,0.0,-982714,127581,77072,-23404,0.0,-45417.0,-45655,1808,-540678,,,0.0,-2500000.0,2832765,-47958,-4004187,,1568,,-904191,57648,-263927,74722,-48975,10765,-117970,904565,283866,,2014年01月01日至2014年09月30日,5287484,6659803,547384,1372319,1380083,217,2778347,1666056,-979109.0,2380402,,-1219173,1380083,,-260836,5617743,-4490695,1127048,,2,,448.0,46341,285973,,6659803,22451,-76140,1828896,3403721,235907,0.0,,-550816,-2149997.0,,-2466.0,21028,-29269.0,,,1474
2015-03-24,4,2014,-1456609.0,-158136,21903.0,406262,38575,17769,,322120,307120,-288473,532,190899,,201187,2402.0,0.0,-146510.0,0.0,-1300487,178055,130855,-36025,0.0,-45416.0,-143252,2285,-651794,,,0.0,-3200000.0,-2169058,242585,1548437,,2366,,-1895243,57964,-380734,99490,-71854,18091,-167729,1233955,310042,,2014年度,5287484,6355219,635715,1067735,1791363,-4531,382799,-1078239,-979109.0,5281717,0.0,934815,1791363,,-266970,3397901,-4810894,-1412993,56.0,2,,448.0,283209,-2869602,,6355219,24476,-82959,836096,-2887007,-111138,0.0,,2812355,-1317467.0,,-2466.0,26484,-31490.0,0.0,,34
2015-05-08,1,2015,,1007642,,-650057,11042,12224,,0,854535,-981546,28810,-448768,0.0,-59994,654.0,0.0,0.0,193567.0,-351057,76887,-27523,-1999,,0.0,-375,-438,-436008,,,6600000.0,0.0,6026067,-1207731,-8599591,,-169,,-810751,-6032,183590,23611,-28120,6931,-68041,297950,3670,-230227.0,2015年01月01日至2015年03月31日,6355219,5481229,425003,-873990,645816,-25230,-10454361,-10746750,,2891691,,9424304,645816,,-3959,9798309,-20960648,-11162339,,1,,0.0,-946725,-11392566,,5481229,219,-9231,228951,-9662406,71147,,,4091784,-17120.0,,,-21742,-7603.0,,,24
2015-08-06,2,2015,,61267,0.0,-888885,-13112,-14508,,0,477532,-563922,28764,890201,0.0,-75395,869.0,,0.0,137534.0,-759111,176923,-59469,-10463,,0.0,-625,145417,-738324,,,750000.0,0.0,3476309,-771686,-6308064,,-531,,504422,-37324,108093,47056,-50465,14130,-173415,707057,72010,-156258.0,2015年01月01日至2015年06月30日,6355219,8178280,727641,1823061,1083707,-3510,-136490,-787097,,1333473,,1910927,1083707,,-58765,11426909,-13141455,-1714546,183.0,1212,,0.0,-652865,-1870804,,8178280,-10320,-128460,1916639,-5507263,330855,,,7127419,-1349766.0,,,7056,-18536.0,,,169
