date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務工具投資到期還本,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-15,1,2013,21800.0,,,-10313,,,,,644,145,-11,,2428,-582,10185,795,-4147,,,-2500.0,,,,,,,,,1333.0,-101157,,,-3174,,-1447,121139,,0.0,-3907,10050,,52,-10357,582,,2013年01月01日至2013年03月31日,184335,249901,65566,19501,,63359.0,63359,73772,,,1516.0,,5319,19501,,-15162,47633,32471,3803.0,203,622.0,-107,,935,,,,54271,-872,,249901,-56,-1161,,27517,,0.0
2013-08-13,2,2013,44069.0,,,-5904,,,,,625,-1591,1108,,4855,-1046,20592,874,-5470,,,-2500.0,,,,,,239.0,,,1782.0,-56753,,,-13,,-1949,15160,,,-3719,20037,,104,-20828,1046,,2013年01月01日至2013年06月30日,184335,193452,9117,44687,,,48513,70199,,,-6031.0,,-36551,44687,,-8190,-10367,-18557,-30759.0,203,622.0,-107,,935,,,,25512,-949,,193452,-858,-1301,,31709,,598.0
2013-11-11,3,2013,66835.0,,,-11511,,,,,-505,-3752,1116,,7081,-1522,31495,-536,-5946,,,,,-1829.0,,,,239.0,,,1826.0,-81627,,,36862,,-2477,87817,,,27149,29741,,217,-24934,1522,,2013年01月01日至2013年09月30日,184335,257915,73580,69943,,,155021,180857,,,-43502.0,,-108054,69943,,21063,23016,44079,-64791.0,2856,622.0,280,,935,,27500.0,,110914,-1306,,257915,-902,-1392,,19462,,598.0
2014-02-14,4,2013,101353.0,-17200.0,,-6960,,,,,-1336,-10004,-12,,22204,-1943,39969,397,-15510,,,,,-1829.0,,817.0,,655.0,,,1241.0,13084,,,97916,,-4240,-51731,,,206823,39408,0.0,361,-40296,1943,,2013年01月01日至2013年12月31日,184335,415169,230834,90245,,,218965,260202,,,12245.0,,-195351,90245,,83871,-15267,68604,-191051.0,2856,622.0,540,,935,0.0,217500.0,,169957,-1509,469.0,415169,-941,-1407,,33396,,
2014-05-13,1,2014,19001.0,,,-8074,,,,,1885,5238,-42154,,0,-137,9233,1525,-21225,,,,,-90.0,,,,1013.0,,,-428.0,34183,,,-120227,,-1555,238208,,,-14663,9941,,145,-9351,137,,2014年01月01日至2014年03月31日,415169,568316,153147,61118,,,225164,234524,,,-19434.0,,-58879,61118,,-127965,282370,154405,-40458.0,347,0.0,-181,,0,,7500.0,,173406,6,,568316,-9,0,,46895,-904.0,
2014-08-08,2,2014,45281.0,,-1190629.0,-3828,,,,,4909,-73753,-42154,,0,-469,18363,30520,-26817,,,,,-90.0,,,,1134.0,,,-429.0,-16706,-6093.0,,-75785,,564,191432,,,-417071,21037,,295,-19723,469,,2014年01月01日至2014年06月30日,415169,354375,-60794,58385,,,62956,83612,652500.0,,799796.0,0.0,262801,58385,6260.0,-74222,54168,-20054,,347,-10000.0,-181,,0,,-370500.0,,25227,-82,,354375,-933,-24,,-4651,,-3958.0
2014-11-12,3,2014,75197.0,,-1198165.0,-39768,27565.0,,,,5370,-45235,-479,,0,-525,43850,600,-30247,-10000.0,,,,-90.0,,-6244.0,,1152.0,,,-6239.0,-43019,-6093.0,,-99710,,-1148,168173,,,-466843,31806,,443,-45164,525,,2014年01月01日至2014年09月30日,415169,295831,-119338,62474,,,15028,61679,652500.0,,826325.0,0.0,331877,62474,6260.0,-135298,59306,-75992,,386,10173.0,-220,,-173,,-425256.0,,-795,-42,,295831,-1487,0,22500.0,-20134,,-2.0
2015-03-19,4,2014,64387.0,0.0,,-19578,,,,,-19,-39128,3153,-31645.0,821,-920,39003,956,-32931,,,,,-204.0,,-23653.0,,1160.0,,,-4299.0,63259,-6093.0,,-92161,,-188,114072,,,-502371,42668,0.0,601,-40062,920,,2014年度,415169,330520,-84649,62619,,,97710,139315,652500.0,,849852.0,,319056,62619,6260.0,-111957,124266,12309,-1206956.0,386,-29827.0,-220,,-173,,-427470.0,,76696,-11,0.0,330520,-1543,0,22500.0,14555,-2853.0,
2015-05-11,1,2015,,,-6822.0,-4023,2287.0,,,,26327,18957,0,,6721,-69,10928,-2498,-2246,,,,-79992.0,0.0,,9405.0,,43.0,,0.0,50.0,-33012,,,43840,,-1792,-45940,,,151427,11123,1236.0,203,-3425,69,39821.0,2015年01月01日至2015年03月31日,330520,438705,108185,-55138,,,-71002,-64083,,957285.0,,-922535.0,30258,-55138,,64412,-113178,-48766,,62,30003.0,-20,,-3,,,200630.0,-8945,60,,438705,-3494,297,,-53183,0.0,2851.0
2015-08-11,2,2015,,,-14592.0,-12864,,,31645.0,-3816.0,4946,24423,-1327,,15651,-739,23282,-616,-4598,-15000.0,-170000.0,,-79992.0,0.0,,12333.0,,130.0,,,50.0,-41077,0.0,,101799,,-324,-20444,,,-66064,22078,3372.0,495,-5186,739,77184.0,2015年01月01日至2015年06月30日,330520,462295,131775,-110595,,,-82241,-41326,0.0,957285.0,0.0,-662127.0,280696,-110595,0.0,93645,-101560,-7915,,575,30003.0,-461,,-3,,,169308.0,69269,88,,462295,-35729,1176,,-90964,,2851.0
