date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,47607.0,-172439,,-470,,,-11842,-4072,,,,-3038,6192,-308,,,-195000.0,-3408,-208,,0.0,0.0,127,-64649,0.0,-17219,43322,0.0,45551,-27732.0,4051.0,-195288,8578,,28044,14216,3215.0,,,,2013年01月01日至2013年03月31日,1808540,1318640,-489900,-145242,-300804,-303995,0,-145242,0,,-158178,-48182,-206360,3301.0,,,0.0,15.0,0.0,0.0,-158753,1318640,-24.0,,,0.0,,,-861,
2013-08-05,2,2013,42204.0,-166731,,-1664,,,-5301,-5805,,,,-5797,289,-1032,,,-195000.0,-4195,-235,,0.0,,2046,-40058,0.0,-12971,-39861,,64735,-56237.0,4023.0,-53264,16218,,57881,26187,,6018.0,,,2013年01月01日至2013年06月30日,1808540,1330885,-477655,-213207,-424680,-430674,0,-213207,0,,-224864,-34807,-259671,12031.0,,12987.0,0.0,-993.0,119899.0,-51057.0,-217467,1330885,-24.0,,,0.0,,,199,
2013-11-12,3,2013,-46202.0,-161708,,-895,,,4878,-9899,,,,-8694,112,-2367,,,-195000.0,-25163,285,0.0,,,1988,-3823,0.0,-13404,-42487,,46410,-76551.0,4095.0,52547,23459,,84651,34319,,8908.0,128170.0,,2013年01月01日至2013年09月30日,1808540,1390294,-418246,-178902,-470905,-479672,0,-178902,0,-128170.0,-212721,-41847,-254568,12033.0,,12987.0,0.0,-995.0,119899.0,-51057.0,-300770,1390294,-141.0,,,0.0,,,-1184,
2014-03-10,4,2013,907.0,-161197,,-1033,-647.0,,-23985,-9902,-2975.0,,32000.0,-11729,437,-2766,-14000.0,,-195000.0,-25169,-4532,7.0,,,2950,73868,0.0,-30762,-58165,,30092,-43899.0,4095.0,72767,30553,,110285,43022,,11905.0,128170.0,,2013年01月01日至2013年12月31日,1808540,1394194,-414346,-276166,-487557,-499439,7,-276166,0,-128170.0,-274109,49929,-224180,12584.0,,12987.0,0.0,-522.0,121011.0,-51061.0,-223273,1394194,-23.0,345.0,12716.0,0.0,0.0,,330,
2014-04-29,1,2014,37146.0,-37420,,2314,69.0,,-1327,668,,,,-2980,128,-9833,,,0.0,-8748,6,349.0,,,0,84,,-2725,33932,,-2392,42470.0,-401.0,-18575,6617,,20988,11691,,2959.0,,,2014年01月01日至2014年03月31日,1394194,1362824,-31370,-85273,-13272,-16231,349,-85273,1190,,-7540,39436,31896,6.0,,,,-6.0,,,69042,1362824,0.0,-360.0,,,,,-3376,
2014-08-06,2,2014,-18557.0,15399,1393.0,3881,647.0,,-800,146,,,,-5947,-144,-711,,,0.0,-8748,1,349.0,,,-11,-34209,,34908,72641,,-62611,43899.0,0.0,148111,13059,,58929,15160,,5965.0,,,2014年01月01日至2014年06月30日,1394194,1485217,91023,-118374,-57293,-63258,349,-118374,1642,,123541,-49868,73673,6.0,,157575.0,,-6.0,0.0,-102733.0,55116,1485217,0.0,-345.0,,,1683.0,,-1621,
2014-11-07,3,2014,-137878.0,18242,1203.0,3525,647.0,,-818,-976,,,2000.0,-9141,-275,-1791,,,0.0,-8748,6,1331.0,,,-188,-63049,,15816,41806,,-51356,43899.0,0.0,306971,19381,,90673,18431,,8948.0,157690.0,,2014年01月01日至2014年09月30日,1394194,1539716,145522,-39808,-162505,-171453,1331,-39808,2289,-157690.0,76249,-70016,6233,6.0,,157576.0,,-6.0,426.0,-103159.0,-131645,1539716,0.0,-345.0,,,1683.0,,-2706,
2015-03-25,4,2014,-106245.0,18575,,3198,647.0,,-3113,496,-964.0,,2000.0,-12518,93,-15182,0.0,,0.0,-8825,43,1331.0,,,-526,-57721,,-10349,15513,,-7837,43899.0,0.0,293196,25347,,110535,21710,,12507.0,157690.0,,2014年度,1394194,1482300,88106,-115009,-206514,-219021,1331,-115009,2882,-157690.0,20626,-18393,2233,37.0,,157576.0,,-9.0,426.0,-103159.0,-104012,1482300,0.0,-345.0,5277.0,,1682.0,,-111,
2015-05-06,1,2015,,-27953,,-560,0.0,,72,2116,,-2000.0,,-3141,-732,-2253,,,,0,-4,0.0,,,85,16072,,2816,-16862,,18752,0.0,0.0,-4168,5190,,-3424,3281,,3151.0,,2505.0,2015年01月01日至2015年03月31日,1482300,1419122,-63178,-55047,-58278,-61429,0,-55047,603,,-41927,33040,-8887,0.0,,,,0.0,,,-6382,1419122,,0.0,,,,,-3340,
2015-08-05,2,2015,,-48517,0.0,286,0.0,,-73,250,,-4300.0,,-5812,-1161,-3101,,,,0,-8,-348.0,,,-1421,26193,,3440,-16676,,16212,0.0,,-8822,10053,,14981,6561,,6086.0,,26964.0,2015年01月01日至2015年06月30日,1482300,1355189,-127111,-127714,-116780,-122866,-348,-127714,1189,,-61826,39710,-22116,0.0,,0.0,,0.0,,0.0,4848,1355189,,0.0,,,0.0,,-3231,
