date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付費用（增加）減少
2013-05-13,1,2013,283282.0,,-12463,-324573,9004,54232,-27861.0,2367,,,,17926.0,421,-9981,11475,78477,-201568,,,-3213,973,0.0,,,,,195714,,-482614,592,,,-35125,649022,3576,-1458,-170076,307767,,-33579,9641,-12061,8882,,,2013年01月01日至2013年03月31日,3924298,4175890,251592,142057,410242,443381,,,-159956.0,-67051,142057,,-770024,788066,18042,105100,16779,0.0,54,,,0.0,,,,301324,15097,4175890,-29960,-3489,,268,,-39931
2013-08-09,2,2013,644044.0,39841.0,-41973,-150663,85387,109091,,906,-186557.0,,-433.0,,20393,-24114,23179,104791,-415278,,,-7292,1203,0.0,2905.0,,,9320.0,162210,,-661499,-5191,,-40000.0,-36049,753461,-37892,-4912,-496710,620373,,-42028,19009,-22895,17511,,,2013年01月01日至2013年06月30日,3924298,5118900,1194602,281008,1005519,1103812,,,502664.0,581002,281008,,-714072,892832,178760,155100,63689,0.0,27928,,,,,0.0,,822804,29333,5118900,-92909,-1899,,2306,,-65422
2013-11-12,3,2013,993568.0,39841.0,-88101,-207529,62970,17094,,1371,,7248.0,-325.0,0.0,76851,-44367,34728,78494,-612947,,-60000.0,-11212,2960,0.0,,-307.0,0.0,8086.0,215386,,-441256,-5344,,-80000.0,-35537,931879,-59972,-11553,-534489,907425,,-19039,27091,-37798,31745,18894.0,,2013年01月01日至2013年09月30日,3924298,4496704,572406,386805,1696463,1799576,-291018.0,,-580211.0,-668062,386805,-13443.0,-628063,1047266,419203,390610,94820,0.0,21244,,,,,0.0,,1412771,43138,4496704,-115954,118,,-19035,,-91444
2014-03-28,4,2013,1275216.0,39840.0,-142114,-111200,55531,22293,,1170,-693834.0,0.0,-416.0,0.0,22653,-61763,45962,113174,-746103,-25000.0,-60000.0,-12741,3462,0.0,,-2322.0,0.0,7414.0,39367,,-131946,6499,0.0,-80000.0,-36287,689755,-47806,-23231,-1307455,1153075,,-35196,34640,-46494,46123,18892.0,,2013年01月01日至2013年12月31日,3924298,4269731,345433,608409,2255663,2360575,-291018.0,,-572372.0,-715949,608409,-13441.0,-219093,696043,476950,390610,183385,0.0,123477,,,,,0.0,,1752166,30378,4269731,-123433,2347,0.0,-18733,,-17573
2014-05-13,1,2014,278188.0,,-206854,-295314,1721,6475,,-1443,-14758.0,,,-91.0,29847,-20766,13497,39882,-189503,,,-1023,-1139,,,-3630.0,,9597.0,65206,,-227959,-8377,60000.0,,-2699,110169,78992,14762,-158932,257316,,36,6641,-13711,26023,,,2014年01月01日至2014年03月31日,4269731,4272179,2448,90009,91734,96334,,100448.0,0.0,29764,90009,,-512646,240783,-271863,79800,27100,,-3670,,,,,,9746.0,6325,16671,4272179,-16912,-3574,,0,,-30067
2014-08-13,2,2014,541828.0,0.0,-351731,-343097,-13489,51954,,-1334,-343020.0,,,-939.0,59073,-41134,25922,-10111,-366567,-25000.0,,-8640,1647,,0.0,-369.0,,4664.0,150374,,-518408,-6872,60000.0,0.0,-1818,107836,87789,23665,-628344,509882,,-10053,14773,-26916,45140,,,2014年01月01日至2014年06月30日,4269731,4245032,-24699,364173,473605,531765,,175045.0,,140151,364173,,-824782,450546,-374236,167800,101412,,-11807,84922.0,,,,,9746.0,167592,-5207,4245032,-76384,-6475,,4484,,94371
2014-11-12,3,2014,774997.0,0.0,-439716,-74462,10613,94440,,-1451,,42020.0,,-971.0,103159,-62955,37480,42743,-533749,-25000.0,0.0,-14139,-1782,,8396.0,0.0,,4803.0,-168396,,-120691,-5421,0.0,,-1644,1871,70887,23235,-390460,751030,,-56483,20847,-39476,67024,33132.0,,2014年01月01日至2014年09月30日,4269731,4870994,601263,404893,1250926,1311687,-582036.0,251531.0,,-301946,404893,-10448.0,108066,23731,131797,317800,126830,,-2841,161902.0,,,,,9746.0,906794,217295,4870994,-121441,-3010,,-19823,,85521
2015-03-17,4,2014,562521.0,0.0,-554343,262078,-42884,278170,,150837,0.0,39321.0,-10917.0,,107599,-86083,47884,212680,-721845,-25000.0,0.0,-15648,-453,,,-4894.0,,4348.0,-300615,,410903,-8997,50000.0,0.0,90316,-947147,84427,20968,-543008,1040515,,-48270,26987,-49738,92409,33142.0,,2014年度,4269731,5583026,1313295,1202939,1827728,1896316,-582036.0,362754.0,0.0,-184105,1202939,-10458.0,1200645,-1069789,130856,400595,176987,,-1173,161902.0,,-509900.0,,,9746.0,693377,17338,5583026,-144401,-4127,,-18083,,115462
2015-05-13,1,2015,,,-524751,-258039,41296,-59472,,448,0.0,104389.0,0.0,711.0,44600,-27924,9222,-45475,-95957,,,-468,184,,2003.0,0.0,-11165.0,0.0,41163,,-512214,-4060,60000.0,-50000.0,-91213,700978,19619,2375,902772,270614,,-13342,6239,-9411,24927,,43752.0,2015年01月01日至2015年03月31日,5583026,6639625,1056599,524995,454697,474939,,-198507.0,,-255395,524995,,-907076,813268,-93808,219000,13568,,-1859,,891694.0,-231497.0,,,0.0,-50056,17474,6639625,-35758,-12485,,236860,,7837
2015-08-06,2,2015,,,-669551,-25274,51078,-126427,,-48005,-83358.0,,-91881.0,16713.0,60212,-62925,17011,-19999,-281831,0.0,,-2953,-1162,,3510.0,0.0,-11848.0,0.0,-6271,,-770736,-4799,60000.0,-50000.0,-89721,766124,1975,2708,472862,522638,17199.0,-20317,12945,-17419,66033,109154.0,303841.0,2015年01月01日至2015年06月30日,5583026,6586647,1003621,909810,844924,953840,,-213985.0,,-294166,909810,,-1067508,807697,-259811,339000,19127,,1269,0.0,891694.0,-231497.0,,,0.0,44030,-2546,6586647,-266684,5667,,236860,,-7917
