date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付設備款增加
2013-05-07,1,2013,188890,211403,-20131,28843,-150918,58,-19322,1507,27193,-51331,-7923,-609,,432,0.0,,1842,-66587,-2904705,3492447,-38687,177412,,13295,-1578,19716,2013年01月01日至2013年03月31日,9415439,8613214,-802225,-173518,631797,613659,,0.0,-1422960,-1422528,-173518,45763,-2656524,3254811,598287,22435,-29214,787177,7935,8613214,0,,-3710
2013-08-07,2,2013,351992,20016,-67074,42807,53664,169,-36153,71,22084,-71750,-18250,-625,,468,,,9109,724584,-2539154,3569343,-56707,309799,-260.0,25820,-142,36662,2013年01月01日至2013年06月30日,9415439,9734383,318944,-342378,1776059,1825473,,,-1422960,-1422492,-342378,73364,-2464658,4280517,1815859,25039,-28605,2167851,11673,9734383,-85934,8412.0,-855
2013-11-08,3,2013,403144,354814,-46774,20084,-57571,151,-56956,373,-6869,-153361,-25137,-14948,278.0,532,,0.0,48567,-2426063,4627171,-2509845,-361527,442596,-401.0,39835,-388,57264,2013年01月01日至2013年09月30日,9415439,8188265,-1227174,-67239,253922,283264,-725500.0,,-388010,-1112700,-67239,13933,4987612,-5040253,-52641,27236,-29851,350503,-14457,8188265,-86218,8412.0,-258832
