date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失
2013-05-07,1,2013,66375.0,-20000.0,-5952,1962,3919,3005,,,,-905,161.0,-515,7543,4559,-24687,-84000,,,1103,0.0,,12.0,-34951,,4439,0.0,0.0,-348,-76301,-10489,785.0,-101226,57525,0.0,4308,-7218,,,2013年01月01日至2013年03月31日,441025,365771,-5022,-75254,86846,,6781,39290,,256042,-221410,14632,86846,,2843,-116774,-113931,,217,7982,1311,-39,-47556,365771,-25651,,0.0
2013-05-07,1,2014,62904.0,-4167.0,-37977,12474,8058,1864,,-15853.0,,-4910,,-1532,7031,5225,-41548,-8094,,,768,0.0,,0.0,40836,,-52333,,0.0,-4216,-298,-2997,886.0,-69966,56647,0.0,5256,-7254,,,2014年01月01日至2014年03月31日,609620,542345,-5449,-67275,104655,,75199,133856,,82636,-156202,-77733,104655,,-85582,51879,-33703,,439,0,183,0,29201,542345,-52935,,0.0
2013-08-06,2,2013,134191.0,-120000.0,2324,-4638,1371,-12841,-22659.0,-3641.0,0.0,-26093,326.0,-889,13945,14506,-48399,-94954,,0.0,-48,,9.0,,-4385,,-9764,0.0,,-1931,-46165,-5243,1371.0,-44040,115747,0.0,8192,-13953,,,2013年01月01日至2013年06月30日,441025,436652,-2214,-4373,208993,,211294,263283,,373791,-417265,-186133,208993,,-6629,-73272,-79901,,14826,114057,-339,-529,54290,436652,-38770,,0.0
2013-11-07,3,2013,201913.0,-120000.0,21036,-263,5161,-4861,-22659.0,-32465.0,0.0,-32895,,-1253,19962,14003,-89261,-116954,,,-613,0.0,13.0,,-10253,,20405,9992.0,0.0,-927,-52835,2318,1994.0,-109086,174438,0.0,13205,-19536,,,2013年01月01日至2013年09月30日,441025,533643,-3167,92618,317255,,436186,500943,-57704.0,615539,-673653,-248485,317255,,47669,-65894,-18225,0.0,18208,144113,-84,-575,183688,533643,-46319,,0.0
2014-03-19,4,2013,270297.0,-220000.0,51956,-10171,2753,-533,,-75773.0,0.0,-18486,656.0,-1982,26099,21361,-143354,-152382,,,-773,0.0,,7.0,-55634,,62578,9992.0,-10000.0,-4456,-21895,-6202,2628.0,-220577,231494,0.0,17887,-25137,,,2013年01月01日至2013年12月31日,441025,609620,-1180,168595,441949,,663621,733270,-57704.0,715355,-810794,-295810,441949,,115459,-94435,21024,100000.0,21560,147696,-1257,-647,291321,609620,-46339,-22659.0,0.0
2014-08-07,2,2014,135861.0,-58333.0,-33643,8850,15728,-8645,-56647.0,-28877.0,,-16026,337.0,-2840,13482,-2275,-120749,-39596,,,1306,,0.0,-1000.0,56713,,-61426,,,-3453,3851,1849,1795.0,-169776,114351,,10617,-13117,,,2014年01月01日至2014年06月30日,609620,516508,-1131,-93112,210961,,210066,328441,,244506,-310653,-131127,210961,,-80999,62618,-18381,50000.0,19109,17363,149,-410,117480,516508,-108098,,
2014-11-05,3,2014,203246.0,-650000.0,-2944,1622,9642,-2008,-56647.0,-103366.0,,-20892,504.0,-4423,19488,8302,-160003,-119596,,,1499,,-1000.0,0.0,37671,,-35875,0.0,,-3049,-43059,-26166,2452.0,-275868,171956,,17062,-21611,,,2014年01月01日至2014年09月30日,609620,562500,-1634,-47120,343262,,330494,484794,-85785.0,549093,-576709,-110048,343262,-770.0,-29774,-31940,-61714,710000.0,20134,108855,327,-982,141532,562500,-137112,,219.0
2015-02-25,4,2014,261807.0,-650000.0,29533,708,7370,-4050,,-204337.0,,-24278,676.0,-6731,25876,34214,-222982,-128596,,,2043,,-1000.0,0.0,27832,,-56577,0.0,0.0,-2985,-45878,-26118,3657.0,-430569,224056,,21995,-24806,,,2014年度,609620,549005,-3690,-60615,480636,,520759,675935,-85785.0,568647,-668484,-185019,480636,-770.0,-19002,-47506,-66508,707250.0,22476,128142,-459,-1189,195299,549005,-137095,-56647.0,
2015-05-07,1,2015,,0.0,-57696,8416,-1611,-2742,,-94775.0,,-3168,,-2741,5961,-10386,-83839,-37000,,,-954,0.0,,-1000.0,86995,-75.0,-23522,,,6454,131888,9457,,-191597,55781,,3751,-5751,2741.0,64062.0,2015年01月01日至2015年03月31日,549005,609170,2674,60165,85869,668.0,265106,308238,,43339,-51297,-2958,85869,,-75707,234014,158307,5000.0,761,27499,89,-499,222369,609170,-40122,,
2015-08-06,2,2015,,0.0,-62530,2959,-5997,1390,-56647.0,-81066.0,,-7508,,-6058,11333,-16804,-135536,-47000,,,-1510,,,-625.0,93936,-75.0,-17250,,,-93,107897,-2756,,-234570,119319,,8468,-11067,6058.0,133991.0,2015年01月01日至2015年06月30日,549005,576695,1722,27690,159155,1314.0,334159,412016,,116536,-125984,-55095,159155,,-84556,203426,118870,11000.0,1494,35746,454,-746,252861,576695,-72848,,1009.0
