date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-13,1,2013,,189749.0,,,0.0,-131688,,20499,,,-1581,-1848,,,333.0,,6099,0.0,-12014,18011,90129,-337075,,475.0,-15652,-16102.0,,4395,1918,0.0,-1806.0,-2800.0,,-49358,0.0,-1891,,-51136.0,55354,-22783,,-4.0,-1965.0,5013,16902,-754,-185.0,-485757,171041,-539.0,840,,,8427,3609,-17965,11994,0.0,,2013年01月01日至2013年03月31日,1839103,1501973,-20923,1709,-337130,36995,,,78505,114651,,,,30546.0,,-20007,36995,8135,0.0,-103387,-8706,-112093,0.0,1326,,,-48,,,,,-311,,,77656,,1501973,-18181,114,0.0,,3396,0.0,,-127781.0
2013-08-08,2,2013,,364509.0,3953.0,0.0,0.0,9496,,8364,,,5178,-25591,,,655.0,,7723,-4562.0,-25424,36180,160964,-446906,-1418.0,-501.0,-18760,-19638.0,,6759,4032,3109.0,0.0,11493.0,,-167728,0.0,-1891,,-51135.0,240170,174,,-16.0,-2677.0,-228249,-62925,-2196,-434.0,-819263,346493,-1122.0,5692,,,-40012,8049,-35984,28657,466.0,,2013年01月01日至2013年06月30日,1839103,1897254,-12082,1731,58151,240700,,,304832,383361,,,,456129.0,,411618,240700,15983,0.0,250785,-472633,-221848,0.0,4111,,,-2575,,,,,2215,,,142661,,1897254,-42545,-7954,11007.0,,18307,0.0,,-377314.0
2013-11-08,3,2013,0.0,545872.0,5020.0,,0.0,-738,,1948,1278.0,,36944,-15188,,,997.0,,15873,-4766.0,-40480,55586,130753,-992342,-76418.0,-535.0,-20383,11493.0,,11164,16657,3046.0,,11854.0,,-251885,0.0,-1891,,-51135.0,263590,-2885,,-8.0,-2941.0,-209681,-117710,-2642,-3499.0,-1004040,526861,-1122.0,6950,,,-113831,12608,-55521,42709,13622.0,,2013年01月01日至2013年09月30日,1839103,1971423,8788,1880,132320,487894,,,591337,736185,,,-133319.0,683948.0,,414270,487894,24317,-13156.0,289349,-586930,-297581,0.0,4174,,0.0,-2668,,,,,2626,,,248291,,1971423,-89327,-11068,11007.0,-104384.0,58256,0.0,,
2014-03-25,4,2013,0.0,678755.0,6078.0,0.0,-125000.0,131555,,-22548,,0.0,66801,1706,,,0.0,4876.0,13281,-5231.0,-58483,78178,195587,-639771,-79328.0,-535.0,-23758,-234251.0,,2291,1434,0.0,-1755.0,0.0,14051.0,-399345,0.0,-1891,,,197115,-10241,0.0,-99982.0,-1714.0,-74704,-61322,866,-12572.0,-1398038,705667,-1122.0,9413,,,-148851,16971,-77044,60710,16532.0,,2013年01月01日至2013年12月31日,1839103,2056584,-19517,2030,217481,610173,,,937367,1112816,,,-133319.0,651269.0,0.0,482565,610173,30471,-16066.0,369822,-545934,-176112,0.0,15191,,,-3855,,329315.0,-2177.0,,5047,0.0,,502643,,2056584,-98405,-15955,11007.0,-138862.0,80607,0.0,0.0,-533137.0
2014-05-09,1,2014,,162328.0,,,,-146134,,-26106,,,29711,-17828,,,0.0,,2653,,-20927,19634,56558,-89416,,0.0,-1145,0.0,,827,4370,,-1882.0,574.0,,-182381,,-2030,,0.0,58450,-15119,,50025.0,-1224.0,-57801,58844,-624,-463.0,6054,185477,3336.0,2480,0.0,,-57527,4359,-19352,22414,,,2014年01月01日至2014年03月31日,2056584,2591935,1183,1916,535351,212440,,,2722,79909,7765.0,,,-420659.0,,470017,212440,5295,,-71443,-223416,-294859,,345,,2810.0,-287,,830398.0,-1795.0,11740.0,-3107,108389.0,,-132531,,2591935,-57835,4874,,,21783,,,-49657.0
2014-08-08,2,2014,,306706.0,1709.0,,-805000.0,-57075,,-14795,,,-10014,895,,,,0.0,9724,-62.0,-41673,36794,-16698,-144515,,0.0,-8155,0.0,,1503,46515,0.0,-1882.0,,813.0,-188526,,-2030,58473.0,0.0,87933,-5249,,-99865.0,-1225.0,-288004,15764,-1090,-10930.0,-101883,368591,0.0,3156,,,-149991,9332,-37778,39547,3386.0,,2014年01月01日至2014年06月30日,2056584,2407273,19511,958,350689,548599,,,258085,388436,13514.0,,,0.0,-1042197.0,211185,548599,10318,-2661.0,5731,-472600,-466869,600000.0,2183,,8978.0,-2126,,1441627.0,-3184.0,17833.0,-2816,79477.0,,-160163,2291.0,2407273,-92573,828,0.0,,53628,,0.0,-103077.0
2014-11-13,3,2014,,308755.0,1709.0,,-805000.0,-13513,,-2698,0.0,,-25505,-2312,,,,0.0,52469,-3124.0,-60635,53087,50728,-303235,0.0,0.0,-8664,,,-3717,88771,0.0,-1882.0,,594.0,-220152,,-2030,143716.0,0.0,142385,11489,55.0,0.0,-1226.0,-192474,-42646,2060,-12718.0,-95375,553908,0.0,8283,,,-257275,14390,-53763,60670,24059.0,,2014年01月01日至2014年09月30日,2056584,2877987,-12100,1044,821403,930627,,731968.0,731968,893200,,,-359628.0,0.0,-973577.0,134082,930627,13986,-23334.0,103757,-449939,-346182,600000.0,6952,,8978.0,-2542,,1441627.0,-3184.0,248247.0,-82181,73391.0,,-37427,2845.0,2877987,-107469,-4050,0.0,,70919,,,-204952.0
2015-03-25,4,2014,30593.0,397141.0,1709.0,,-1010000.0,61041,,10487,,,-29441,-564,0.0,,,0.0,55038,-721.0,-82665,71933,229166,-351943,0.0,0.0,-14006,-396020.0,,-15619,59452,,-1882.0,,9.0,-107261,,-2030,143716.0,0.0,-70101,-11266,113.0,0.0,-1227.0,-15307,7091,2609,-11981.0,-650644,738355,0.0,12977,,,-344589,19292,-71590,82050,24059.0,,2014年度,2056584,2576863,-31602,979,520279,1083510,,,1115101,1327708,31543.0,-1344231.0,-133423.0,194009.0,,-173344,1083510,17211,-23334.0,-62975,-89968,-152943,600000.0,13522,,8978.0,-3650,,1513564.0,-23255.0,273901.0,-96791,,,244198,,2576863,-141017,-8595,0.0,-226205.0,95870,,,-292182.0
2015-05-07,1,2015,,,,,,-139469,,1062,,,-41507,-7652,,,0.0,,1559,,-27471,19068,-56095,-74397,,0.0,-768,,0.0,-543,19672,,-5000.0,,2805.0,37020,,-979,,0.0,-111050,-6340,,20.0,9.0,42864,91502,-2170,,263997,186731,0.0,7059,0.0,,-64184,3694,-19201,26288,573.0,77317.0,2015年01月01日至2015年03月31日,2576863,2941266,41717,782,364403,229683,-13.0,,106380,178315,12691.0,,,-69420.0,,50121,229683,2582,-573.0,-298370,169685,-128685,,937,95071.0,0.0,-32,,92158.0,0.0,105969.0,-98788,,136464.0,-51368,,2941266,-52734,-6526,,,20280,,,-28945.0
2015-08-12,2,2015,,,0.0,,-205000.0,37980,,-18257,,,-51674,-22600,,,,0.0,-478125,0.0,-54582,38088,-142335,-143350,,0.0,-5999,,-4641.0,1938,19809,0.0,-5000.0,,3842.0,60891,,-979,0.0,0.0,113730,17767,,-28.0,0.0,-85168,10049,-2983,,315442,409153,0.0,12089,,,-140353,7280,-37798,48702,1341.0,-218717.0,2015年01月01日至2015年06月30日,2576863,2944435,43360,542,367572,828269,543.0,,403594,684362,19395.0,,,0.0,-130877.0,-209129,828269,5259,-573.0,120789,-45979,74810,0.0,1558,95071.0,0.0,-415,238762.0,92572.0,0.0,177106.0,-118948,,0.0,-143907,2443.0,2944435,-242970,-14647,,,84285,,0.0,-96950.0
