date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-30,1,2013,8170.0,-1280000,-83742,-4188,33892,63818,,,-234850,,12034.0,,,8206,34409,-716,,,,-63224,4017340,-502487,,-199900.0,74392,,-90805,701.0,-51906,946,0,,-672,785,-28448.0,,,,2013年01月01日至2013年03月31日,1127216,687006,-440210,3179059,4534920,4573417,,,-3488097.0,-4957633,3179059,,-1885244,3271432,1386188,,,,,55,,,1394358,687006,-10049,-1150,10364,-479883.0,,-1408000
2013-08-07,2,2013,20024.0,-1280000,-5063,-5368,12316,-50909,55072.0,-1388000.0,-737477,-4946.0,,,,19150,55236,-3139,,,,-46261,-1379757,-592307,399075.0,,30308,,-22910,,-54346,1965,0,0.0,-722,1549,-76099.0,,,,2013年01月01日至2013年06月30日,1127216,622110,-505106,3093663,-1718454,-1562455,,2076756.0,,1212458,3093663,3200.0,-1021293,-3654849,-4676142,,,,,-7,,,-4656118,622110,-79900,-5111,16627,-70428.0,0.0,-521619
2013-11-06,3,2013,34571.0,-185000,7159,-24305,23797,-112518,63113.0,0.0,-993022,7514.0,,,,31528,41500,-5226,,,,-132130,-3543282,-571302,359152.0,,62114,,-121400,,-129842,2938,-405728,0.0,-899,2220,-145000.0,,3200.0,,2013年01月01日至2013年09月30日,1127216,382484,-744732,3006498,-2884434,-2661561,-1384064.0,3425456.0,,2228044,3006498,,-160348,-5542282,-5702630,,,,,-7,,,-5668059,382484,-81073,-1209,12500,-342027.0,0.0,254771
2014-03-12,4,2013,46926.0,-1580000,104605,-4970,8434,-329119,1957.0,0.0,-2081784,22790.0,,,,47976,68378,-13377,,69411.0,,-126796,-3475257,-183586,399185.0,,-15393,,-49011,,-117383,4537,-630131,0.0,-4205,2840,,,3200.0,,2013年01月01日至2013年12月31日,1127216,260639,-866577,3325195,-3612539,-3221105,-1384064.0,4024839.0,,2794967,3325195,,199010,-6792236,-6593226,1245000.0,,,,26,,,-6546300,260639,-177805,-4248,20596,-221964.0,0.0,282993
2014-04-30,1,2014,15709.0,-225000,-182934,-691,-20771,-101565,6484.0,,-115328,,684.0,,-1903.0,21610,-7413,-348,,,,-33698,-445291,-366557,,-199789.0,89048,,3120,,-33362,1743,113181,0.0,1,616,-73448.0,1903.0,,,2014年01月01日至2014年03月31日,260639,599932,339293,-38235,-364028,-292483,,1171117.0,,744096,-38235,0.0,276617,-546574,-269957,,,,,1,,,-254248,599932,0,-6359,-2232,,0.0,751347
2014-08-06,2,2014,38255.0,-450000,-100575,-5964,-10956,-198748,12968.0,0.0,-2209746,,19379.0,,-5210.0,41549,-35043,-923,,,,-26476,-1058257,-385268,709460.0,,90728,,40594,,-4880,3509,-219492,0.0,300,1311,-152168.0,5210.0,3200.0,,2014年01月01日至2014年06月30日,260639,510024,249385,-127464,-2859912,-2689697,,2900315.0,,3149220,-127464,,1261131,-3861619,-2600488,,,801.0,-1.0,4,2624.0,2339.0,-2562233,510024,-26457,-5831,-10555,-210006.0,0.0,1654234
2014-11-05,3,2014,56015.0,197500,-25856,-13902,155264,-300057,-72775.0,,-1467683,,18934.0,-109.0,-13713.0,54406,4162,-1153,-5000.0,,,-83558,-1525235,-348608,,1099280.0,181727,,47696,,-43186,5214,11407,0.0,-617,1876,-234399.0,13713.0,4243.0,,2014年01月01日至2014年09月30日,260639,1985572,1724933,42008,-1240655,-997583,-1522469.0,,3342529.0,3004612,42008,,2408480,-3504086,-1095606,,,9959.0,,21,39588.0,17632.0,-1039591,1985572,-26629,-30651,-112228,-256312.0,0.0,2518728
2015-03-11,4,2014,13217.0,-1449000,34753,2256,-3052,-247593,3730.0,,-1112254,,1000.0,,-23564.0,73273,40752,-3364,-5000.0,,-73960.0,-158361,73990,116316,,-269083.0,13290,0.0,-21909,,-155766,7029,-106001,0.0,-1913,2351,-311595.0,23564.0,4243.0,,2014年度,260639,926000,665361,1714486,1662697,1972662,-1522469.0,1011362.0,,-882322,1714486,,1839380,-1594421,244959,1522000.0,,9959.0,,1346,-109.0,,258176,926000,-26177,-45196,-101172,-182910.0,0.0,1674343
2015-05-06,1,2015,,-186750,-100732,3146,41451,54711,632.0,,121894,,463.0,,-4807.0,12487,-14722,-2078,0.0,,1800.0,-9494,-1180049,-397336,,-200116.0,162731,,9126,,-10998,1585,298191,111.0,-382,440,-65932.0,4807.0,,9323.0,2015年01月01日至2015年03月31日,926000,1226659,300659,1204173,408733,479043,0.0,302712.0,,-82354,1204173,0.0,-41472,-692981,-734453,0.0,,0.0,,0,0.0,,-725130,1226659,-9185,0,0,0.0,0.0,251782
2015-08-05,2,2015,,-373500,-55322,-8920,-15516,25175,1248.0,,324073,,1290.0,,-25135.0,28282,-28087,-2357,0.0,,3690.0,-11027,-2268611,-297263,,19904.0,179657,,-17723,,-11983,3236,122419,111.0,-1129,878,-164389.0,25135.0,2400.0,6144.0,2015年01月01日至2015年06月30日,926000,516556,-409444,1944631,-374351,-17651,0.0,363355.0,,4977,1944631,,-131897,-1836529,-1968426,0.0,,0.0,,12,0.0,0.0,-1962282,516556,-219846,0,-8472,-12942.0,0.0,55299
