date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-14,1,2013,241395.0,,,-737050,-127235,-70.0,-13040,-4159,1727.0,-473,-14054,142539.0,-18934,53204,,-3571,12128,128011,-239008,-4359.0,,,,-2778,,192,0.0,1138,-1109,-25964,0.0,-167400,1373,,0.0,1349,,214112,-2532,37,-17.0,456.0,-263118,174152,,-3681,5459,-11617,3571,,,2013年01月01日至2013年03月31日,3321544,4093434,771890,32675,,56489,87668,,899911,,850508,32675,,-292000,105598,-186402,686509,1343,,,3497,,,54993,,4093434,-23133,15.0,,,,-191324
2013-08-08,2,2013,444382.0,,0.0,-1721908,11975,-377.0,-100614,-4500,,-9578,-141794,,-100116,66397,,-10310,28432,211247,-526014,-28794.0,20000.0,-35385.0,,-1903,96117.0,-4083,0.0,193,-4300,-603276,0.0,623449,11284,80000.0,,-5924,276.0,757523,-6943,-156445,,913.0,-542132,349877,,-691,10652,-27101,10310,,,2013年01月01日至2013年06月30日,3449747,5412539,1962792,161637,,908630,968397,,981171,,1385047,161637,,632018,-269640,362378,2080976,2878,,,4108,,,806760,0.0,5412539,-42976,0.0,,,,-13591
2013-11-13,3,2013,715627.0,,0.0,-2322253,80311,-157.0,-120581,-11067,,103708,-104477,,-137094,107533,,-15815,48989,205015,-693336,-252677.0,-45000.0,-35385.0,,-14813,96929.0,-6780,0.0,176,14758,-556771,0.0,450307,20990,-45000.0,,-64101,115.0,314610,-6836,-220369,,1369.0,-965293,522670,,-1358,22762,-46106,15815,,,2013年01月01日至2013年09月30日,3449747,5282598,1832851,263717,,703780,807014,,5545142,-3981859.0,1889349,263717,,592542,-764872,-172330,2728528,5853,,60087.0,2896,-87.0,,543297,0.0,5282598,-72943,22.0,,34795.0,,-59381
2014-03-19,4,2013,1135570.0,,-23900.0,-4030690,239224,544.0,-50469,-16054,0.0,63807,-114077,,-170046,248017,,-25858,71860,213755,-909776,-252677.0,-47571.0,-35385.0,-14856.0,-17938,-71423.0,56686,0.0,-151,16275,-1086749,0.0,1384982,29585,-50000.0,,58714,218.0,-482133,-6,-100495,,2110.0,-1368827,696621,,9119,31016,-61243,25858,,,2013年01月01日至2013年12月31日,3449747,6057919,2608172,369363,,1373398,1501381,,7881950,-6156896.0,2389846,369363,,1779184,-1782736,-3552,4804918,29515,,65110.0,12718,396.0,4560.0,1132018,72.0,6057919,-92598,128.0,,34795.0,,67247
2014-05-13,1,2014,224327.0,,,-1033735,-318381,-917.0,184398,-1633,0.0,62458,-14478,-124198.0,98471,44641,,-7634,25992,37483,-319419,,-178641.0,,,-5431,,-16457,,-453,-351,102930,,199083,-3020,80000.0,,84065,-218.0,658915,-6225,-423108,0.0,-12.0,-250077,163259,,5441,8028,-29494,7634,,,2014年01月01日至2014年03月31日,6057919,6171281,113362,93152,,498553,549499,,2665447,-2753856.0,-172597,93152,,23058,208962,232020,870000,2400,0.0,152894.0,1074,-7.0,,456347,,6171281,-29086,-10.0,,,,-167639
2014-08-06,2,2014,484871.0,4616.0,,-2117903,-245862,2993.0,130746,-17962,,-30672,49487,-22502.0,117842,92390,,-15556,51758,-61080,-472545,-8300.0,-217836.0,0.0,,-6743,,6545,,-468,46,-92150,,306071,114,130000.0,,-31518,-218.0,81550,-4223,-198790,,-13.0,-394802,337741,,-5235,16668,-56466,15556,,,2014年01月01日至2014年06月30日,6057919,5931407,-126512,308782,,541445,708203,,5365669,-5359373.0,-212075,308782,,895,-86345,-85450,1770000,3366,,184752.0,821,-226.0,,399421,,5931407,-125848,-51.0,16.0,,,-12501
2014-11-12,3,2014,1034937.0,4616.0,,-3032642,13488,-898.0,164718,-50759,,-28245,-44840,-49893.0,-8425,182442,-552158.0,-22358,76620,126439,-858085,-8492.0,-261861.0,0.0,,-7249,,5240,,6150,-4333,-362324,131307.0,734981,45256,0.0,,37548,-218.0,128581,1,-211198,,-7.0,-1326847,507028,,-22858,25133,-82727,22358,1350.0,,2014年01月01日至2014年09月30日,6057919,6109685,51766,725662,,1789149,2046229,,8097733,-8578216.0,-536975,725662,,801905,-516275,285630,2970000,4108,,232375.0,1853,-659.0,,1320567,,6109685,-196711,0.0,270486.0,12010.0,,-90561
2015-03-23,4,2014,1426447.0,4616.0,0.0,-3966284,269459,-898.0,-65407,-45806,228104.0,-46357,-124911,-130224.0,-104523,384366,-552158.0,-30673,101091,290780,-1348537,-8492.0,-317302.0,0.0,0.0,-22418,,5614,,6377,-4662,-862713,131307.0,741812,45457,0.0,,-1,-218.0,123126,168,-53286,,-387.0,-1708413,683705,,-36516,35544,-106902,30673,,,2014年度,6057919,5592249,-465670,965938,,1961757,2268887,-141324.0,10148997,-10877560.0,-1009794,965938,,1008867,-1132365,-123498,3820000,4155,,281497.0,1883,-1063.0,0.0,1302949,0.0,5592249,-230901,0.0,270486.0,12010.0,,26688
2015-05-13,1,2015,,,,-928583,-139874,0.0,66139,7333,,5138,51104,15414.0,-55294,131256,,-5783,25961,-67747,-464099,,-143848.0,,-15300.0,-593,,-12737,,-59,1680,18344,,-455398,-5,0.0,,192092,0.0,678214,-622,-189042,,,-542780,175056,,-4020,10792,-25761,5783,,320726.0,2015年01月01日至2015年03月31日,5592249,6353936,761687,242463,-1.0,570974,605522,,2705479,-2265597.0,801240,242463,,-398048,440381,42333,1290000,41,3216.0,131417.0,291,-90.0,,363059,,6353936,-14570,0.0,,,,-206503
2015-08-11,2,2015,,,,-1950071,-93632,0.0,71573,5324,221766.0,65495,109146,24340.0,-94363,159767,,-12979,51573,-167589,-738189,0.0,-198550.0,,-15300.0,-7983,,-17451,,-337,4001,450959,,-805031,-383,0.0,,119295,0.0,414816,632,-542073,,,-603162,349087,0.0,-7938,20936,-51130,12979,,540024.0,2015年01月01日至2015年06月30日,5592249,5800262,208013,429230,0.0,478007,608934,,4405458,-3904293.0,500757,429230,,-714256,353936,-360320,1950000,30841,3268.0,221347.0,-2187,-784.0,,179704,,5800262,-92776,0.0,0.0,,-30000.0,-180781
