date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-13,1,2013,48764.0,-83351,-178417,-19791,-4760,-60096,-9039,,-5667,454,,-3679,12345,39194,-63545,,9011,0.0,-12.0,-14423,-118599,28,362739,17020,-69224,84932,3868.0,-11905,3626,1430.0,,2013年01月01日至2013年03月31日,1508660,1607835,-29267,99175,199629,194320,223055,,,18236.0,,-65115,199629,,-1430,-310787,285449,-25338,,0,,431,,23426,1607835,-21886,-5728,0.0,0.0,-22173.0,
2013-08-12,2,2013,150787.0,-173375,-186349,-6132,-1004,-93021,-9938,0.0,-12729,1867,,-5135,21420,6622,-164304,,879,0.0,,-102635,-135515,91,281437,15464,-176910,185037,1645.0,-20920,5048,1448.0,,2013年01月01日至2013年06月30日,1508660,1580600,-5919,71940,434820,267969,348005,,,,147634.0,-25741,434820,,-1448,-332715,95113,-237602,,123,,1628,,-86815,1580600,-65612,-4252,0.0,-44935.0,,
2013-11-11,3,2013,238270.0,-265078,-172018,-21069,4021,-196513,-7084,0.0,-1727,4097,,-7965,30977,1074,-276049,,-4335,19.0,862.0,-46588,-44822,-73,114638,23953,-276350,270726,2441.0,-30149,8051,1458.0,,2013年01月01日至2013年09月30日,1508660,1604994,4736,96334,659251,419527,551966,,-245700.0,,462842.0,-47917,659251,,-1458,-219976,-125579,-345555,,564,,1929,,-107285,1604994,-111799,-11694,0.0,-51184.0,,
2014-03-20,4,2013,325950.0,-116941,-106539,-27669,-67176,-122993,-10046,0.0,-2577,0,,-10292,36927,89468,-485621,,-1812,-26.0,190.0,-76282,-21803,-39,132837,27344,-486917,356017,8836.0,-36927,10378,1459.0,,2013年01月01日至2013年12月31日,1508660,1774406,-5983,265746,822078,700552,875662,1177440.0,-245700.0,,-852130.0,-37357,822078,1862.0,-1459,-205603,-66763,-272366,0.0,1091,,5655,,53584,1774406,-150020,-19501,0.0,,-44300.0,
2014-05-12,1,2014,149125.0,-72280,-93885,13107,-5632,-27624,1052,,-1657,761,,-2866,6935,9733,-117929,-29640.0,5922,0.0,0.0,-7295,-110135,1134,188410,4095,-148729,86010,822.0,-7258,2161,1593.0,,2014年01月01日至2014年03月31日,1774406,1905421,-1965,131015,81245,175656,193597,,,89419.0,,94355,81245,,-1593,-207466,170693,-36773,77216.0,497,,1257,,112352,1905421,-14437,54054,0.0,-212.0,,
2014-08-12,2,2014,254805.0,-88469,58986,-133007,8479,-10103,-509,,-9610,942,,-4330,12767,2930,-223320,-29640.0,7021,,,15248,38558,1280,-166242,4975,-427165,172521,1612.0,-13090,4670,1571.0,,2014年01月01日至2014年06月30日,1774406,1720643,3706,-53763,259393,245890,331863,,,973082.0,-850113.0,124582,259393,,-1571,106794,-289129,-182335,90082.0,433,,2999,,72470,1720643,-79124,55505,,3633.0,,-165028.0
2014-11-03,3,2014,310646.0,-100702,10061,-220704,27962,-92242,-2722,,-28112,1456,,-8101,18617,5115,-342967,-29640.0,-2905,0.0,0.0,25144,58779,-48,-149940,5239,-490289,259060,2428.0,-18940,7947,1568.0,,2014年01月01日至2014年09月30日,1774406,1564188,2819,-210218,518125,363011,490300,,-454100.0,1760462.0,-1383612.0,-88055,518125,,-1571,94032,-432503,-338471,89897.0,487,,3667,,-27825,1564188,-117864,32519,,2657.0,,-90057.0
2015-03-09,4,2014,433477.0,-117417,91661,-212489,39467,15278,1935,0.0,-3014,6520,,-16619,31482,30814,-531066,-29640.0,-1082,-473.0,-38793.0,-7261,-61229,49,-131929,-12,-694398,352561,3258.0,-31805,16591,,,2014年度,1774406,1820710,2973,46304,737797,745784,906744,0.0,-454100.0,,447587.0,-35896,737797,0.0,-1578,71883,-336413,-264530,90483.0,604,,10303,,168947,1820710,-145746,42909,-1976.0,,2750.0,-94067.0
2015-05-08,1,2015,,-4904,-186459,5132,-13456,-11219,-5933,,-272,1559,,-1655,6635,7576,-182387,0.0,7710,-1497.0,-11473.0,27327,-9555,1187,422390,-1746,-266877,103529,837.0,-7008,1655,3379.0,108246.0,2015年01月01日至2015年03月31日,1820710,1838244,-2108,17534,80432,389717,416346,,,,-106481.0,-112882,80432,,-3379,-214216,441884,227668,0.0,36,,4506,,335914,1838244,-21276,-9326,,-62.0,,-76160.0
2015-08-13,2,2015,,-14629,-132106,-17484,-14929,-20234,-8033,,-2170,1663,,-5810,12923,2363,-439138,0.0,5165,-1487.0,-5361.0,7013,29528,1096,137766,5392,-465653,209384,3613.0,-12698,5830,1705.0,216004.0,2015年01月01日至2015年06月30日,1820710,1858749,-3920,38039,295733,445493,499746,,,71952.0,,55836,295733,,-1705,-124444,112453,-11991,0.0,52,,8778,,204013,1858749,-47385,-13798,,-289.0,,-20741.0
2015-11-12,3,2015,,-26565,-111273,11562,234,-27608,96,,-17041,2507,,-8079,20061,52324,-537504,0.0,2042,-1494.0,-4623.0,118807,11643,-123,29213,5420,-571486,323516,5489.0,-20353,7945,1705.0,341879.0,2015年01月01日至2015年09月30日,1820710,1963650,-5868,142940,616842,800837,996692,,-408690.0,298014.0,,-138735,616842,,-1705,-99423,137394,37971,0.0,2516,30881.0,12031,1307.0,379850,1963650,-185152,-7542,,-1880.0,,-45715.0
2016-03-10,4,2015,,-38583,-83661,24427,-10613,-17400,5478,,-25561,11097,,-16533,54807,43382,-624051,0.0,7774,-1501.0,-5164.0,56547,-15783,-175,232381,1888,-688293,432420,,-53991,16633,1705.0,502441.0,2015年度,1820710,2267917,-6781,447207,766481,1211399,1462011,,-408690.0,4932993.0,-4603500.0,-119281,766481,,-1705,-104754,297843,193089,0.0,10542,30881.0,16359,1307.0,695530,2267917,-213254,-6457,0.0,,10153.0,-76645.0
2016-05-12,1,2016,,-11964,-124004,-389989,23095,2268,-8060,,28506,3886,,-4145,8123,-22759,-112984,,31834,-568.0,395.0,-134831,-5684,12,285655,510,14513,106997,,-8615,3233,1728.0,54157.0,2016年01月01日至2016年03月31日,2267917,2255984,-7028,-11933,234009,-86746,-62862,,,1843531.0,-1747940.0,83059,234009,,-1728,-114641,-236387,-351028,,151619,,-78978,,-296871,2255984,-18502,-9454,,4650.0,,-54751.0
2016-08-05,2,2016,,-24238,-57366,-322727,29021,5486,-14882,,17354,8254,10469.0,-7652,14609,-46236,-189139,,38482,-560.0,1364.0,-5718,32815,1005,-58768,503,-66645,211224,,-15259,7074,1728.0,177993.0,2016年01月01日至2016年06月30日,2267917,2521616,-14257,253699,471085,193181,258447,,,3937217.0,-3739020.0,173399,471085,,-1728,-9407,-381224,-390631,,151300,,-67712,,-212638,2521616,-57081,-9332,,6105.0,,-59721.0
2016-11-10,3,2016,,-35830,-53444,-267482,42396,-23380,5646,,16468,12022,10278.0,-17046,25323,-126717,-258850,,39024,-550.0,715.0,181911,-5740,-6,-217307,3459,-134391,313492,,-25717,15987,1728.0,321880.0,2016年01月01日至2016年09月30日,2267917,2945609,17594,677692,703903,558954,691836,,-454100.0,1120384.0,-250058.0,379846,703903,,-1728,-11148,-322799,-333947,,148876,0.0,-64197,0.0,-12067,2945609,-123152,0,,-2604.0,,-53606.0
