date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,41531.0,,,-1111.0,,,27350,-6748,-24,-587,,-15660.0,0.0,0.0,-6944,0.0,,-85,6640,-3462,,,,,,,5141.0,,-50756,,129753,,-185000.0,14332,-111169,79875,546.0,-25666,34277,-2160,-4958.0,437,-1420,85,,2013年01月01日至2013年03月31日,188874,273738,,84864,24438,,131975,133317,,,294970.0,,-135445.0,-21445,24438,169797,-102449,67348,,400,262,,108879,,,273738,-7,,-8106,
2013-08-12,2,2013,90070.0,,-277569.0,,,,57278,-3543,-11784,-11701,,,7359.0,0.0,-17322,0.0,,-426,14882,-20858,,,-46.0,-4941.0,,,5141.0,,-100878,,184090,,-185000.0,1984,-76973,18822,304.0,-35170,67845,1005,,869,-5690,426,,2013年01月01日至2013年06月30日,188874,13493,,-175381,52086,,172714,187701,,,294970.0,,-148244.0,-312925,52086,232657,-187112,45545,-2223.0,638,68,,135615,-220.0,6832.0,13493,-9723,,-12839,
2013-11-11,3,2013,126480.0,0.0,-277570.0,,0.0,-3334.0,41293,-4300,-9775,-5392,,-4431.0,,0.0,-67399,0.0,,-465,18258,-30854,,,-46.0,,,,5141.0,,-139082,,168437,,-85000.0,-17637,-14830,45124,475.0,-102092,100673,-1877,,1114,-7258,465,,2013年01月01日至2013年09月30日,188874,44956,,-143918,94959,,235150,255954,,-95261.0,294970.0,0.0,-115922.0,-276976,94959,180696,-146181,34515,,638,68,,160995,-220.0,6832.0,44956,-14011,,-27701,
2014-03-12,4,2013,162785.0,0.0,-277569.0,,5254.0,,50151,-4120,-20062,884,,-3166.0,,33.0,-77274,,,-587,21432,-52984,,,-46.0,,0.0,,5141.0,,-125982,,217220,,-85000.0,-28877,-33278,-19534,-8488.0,-132832,133811,-2247,,1228,-9221,587,,2013年01月01日至2013年12月31日,188874,43996,,-144878,111848,,257235,279890,,-95170.0,294970.0,0.0,-116940.0,-269281,111848,206077,-200820,5257,,638,69,,168042,-1620.0,6832.0,43996,-14021,,-18790,
2014-05-14,1,2014,36145.0,0.0,,,43389.0,0.0,-38300,-565,-6691,1391,,0.0,3469.0,,-27922,,,-51,3473,-40727,,,,,,,0.0,-90.0,-18721,504.0,-6575,,0.0,26303,-24746,84848,42.0,-65105,32538,128,0.0,116,-1769,51,,2014年01月01日至2014年03月31日,43996,51411,,7415,21123,,62882,64603,,,0.0,,-34165.0,9638,21123,-25093,32428,7335,,75,69,,43480,,,51411,-3,,-9779,
2014-08-13,2,2014,62603.0,0.0,-22600.0,,52277.0,0.0,4232,-2130,-131,3342,,,4645.0,,9276,0.0,-4681.0,-164,5824,-97500,0.0,,0.0,,-3942.0,,0.0,-90.0,-89034,2371.0,-15066,90000.0,0.0,8834,564,67345,-2881.0,-83504,65302,-1935,,160,-2051,164,,2014年01月01日至2014年06月30日,43996,202169,,158173,34382,,51234,54640,,,0.0,68485.0,0.0,190443,34382,-17936,-24409,-42345,,75,104,,20258,0.0,0.0,202169,-1519,,-4496,-10989.0
2014-11-11,3,2014,96491.0,,-22600.0,,61166.0,0.0,-15868,-1282,3061,-1800,,0.0,4800.0,,-103275,,-4681.0,209,8776,-130406,,,0.0,,-6202.0,,0.0,-90.0,-45162,2371.0,48013,,-100000.0,37249,-54395,32705,-775.0,-228806,97934,-736,,204,-2958,-209,,2014年01月01日至2014年09月30日,43996,191920,,147924,35700,,101576,112105,,-49894.0,395960.0,,-11759.0,275154,35700,70944,-91030,-20086,,75,251,,76405,0.0,0.0,191920,-7362,,-21096,
2015-03-09,4,2014,129955.0,0.0,-22600.0,,112255.0,,-6241,2066,-20263,2526,,-35388.0,,0.0,-3991,,,338,11442,-275634,,,0.0,-94456.0,-5935.0,712.0,0.0,-90.0,19199,2371.0,-30719,,-100000.0,30107,-36443,19558,-625.0,-407994,132377,1459,,249,-3070,-338,,2014年度,43996,209623,-7259.0,165627,64685,,143149,154930,100000.0,-49894.0,395960.0,,-8242.0,430472,64685,-23962,-15748,-39710,,1475,-776,,90245,2320.0,0.0,209623,-8373,-481.0,-22654,
2015-05-13,1,2015,,,,,68072.0,,-3633,2517,1716,-1375,,,30375.0,,-70126,,,287,3441,-50126,,,,-1312.0,-2523.0,,,-4641.0,2277,0.0,-69716,30000.0,,-24259,52827,10052,,-90979,36383,-2733,,44,-906,-287,42099.0,2015年01月01日至2015年03月31日,209623,316431,,106808,-149,151.0,20713,21935,,,,83643.0,0.0,177074,-149,-98474,78459,-20015,,210,-203,,22084,,,316431,-29,4670.0,12161,
2015-08-11,2,2015,,,0.0,,348470.0,,-31877,2623,5202,-1646,0.0,,15465.0,,0,-377064.0,0.0,927,7525,-73481,,,-1534.0,-1550.0,-1607.0,,,-4641.0,51537,0.0,-149288,110000.0,,-29904,49121,32934,,-437176,72844,-52,,197,-2594,-927,89653.0,2015年01月01日至2015年06月30日,209623,176221,,-33402,-11528,298.0,-15275,-7934,,,,0.0,-34780.0,419049,-11528,-205621,119562,-86059,,988,1253,,3594,,,176221,-3820,8514.0,-15007,0.0
