date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債減少,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-10,1,2013,82785.0,,,,-19651,-7740,16702,,,,-105.0,51640,-401,19212,4903,-3527,0.0,,0.0,,,,,,,-6311.0,,,6116,,172751.0,,,-752412,2558.0,-9886,1434,7513,-1509,1071,-18375,401,,,2013年01月01日至2013年03月31日,680268,516200,-8243,-164068,44058,-483104,-464719,,,338918.0,,312699,44058,,145360,-736922,-591562,,6,,,4659.0,0.0,,,,,,-508777,,516200,-10,2670,,-19908.0,10832,,
2013-08-09,2,2013,232516.0,,,,42581,-1678,55869,0.0,,,-60.0,164249,-923,37553,2533,-7425,0.0,,-229.0,,,-95.0,,4925.0,0.0,-6064.0,,,-924341,,362813.0,,,178841,4516.0,-22549,2796,14099,-2906,1995,-37229,599,,,2013年01月01日至2013年06月30日,680268,544179,-6229,-136089,86875,-58488,15443,,,-26966.0,,-82930,86875,,403716,-707664,-303948,,6,,,,0.0,,,,10000.0,,-71432,,544179,-36702,4467,0.0,-49900.0,15286,,
2013-11-08,3,2013,132194.0,,0.0,,242,-309,24091,,0.0,,-12633.0,-664,-1267,60406,3774,-9717,0.0,,-2591.0,,,-95.0,,26759.0,0.0,-6084.0,,,-1287588,,972264.0,,,-700805,3314.0,-34077,-13753,20253,-5908,2571,-58853,1252,,,2013年01月01日至2013年09月30日,680268,565619,-3949,-114649,156284,-714504,-599051,,,665818.0,,609834,156284,,1107536,-1995065,-887529,,31,,,,0.0,,,,10000.0,,-755335,135339.0,565619,-56600,8949,,-49900.0,25044,,
2014-03-14,4,2013,247096.0,20924.0,0.0,-160000.0,99672,-5674,18104,,,,-1927.0,-900,-2099,91211,-2195,-17684,-14727.0,,,,0.0,-533.0,,60137.0,,-5913.0,-4464.0,,-981928,,-27788.0,,,322902,3850.0,-57157,-3730,26187,-10824,1959,-87202,2089,864.0,,2013年01月01日至2013年12月31日,684927,671442,2888,-13485,243954,-253259,-109401,-78550.0,,380062.0,,245699,243954,-864.0,93778,-694229,-600451,160000.0,280,,,,48.0,,,,13000.0,,-353355,27568.0,671442,-56656,12100,,-49900.0,67253,,-1552.0
2014-05-08,1,2014,61749.0,,,,-58014,-574,-4219,,,,-2829.0,-186,-446,44001,-9946,-27219,,,,,,-465.0,,,,-97.0,,18.0,-1265097,,1038725.0,,,-463496,-128.0,45379,-29780,6642,-1660,296,-40077,469,246.0,,2014年01月01日至2014年03月31日,671442,620890,3942,-50552,63755,-526412,-486327,,,515683.0,,515586,63755,-246.0,1075730,-1687561,-611831,,0,,,0.0,,,,,,,-550082,95593.0,620890,-8,5477,,0.0,3929,,
2014-08-06,2,2014,158363.0,,,-160000.0,48529,498,-27559,,,-2620.0,,2749,-1169,91226,-5767,-33385,,,,,,-459.0,,-2545.0,,-139.0,-177.0,,-1257154,,2004448.0,,,-807314,2987.0,-31535,57952,14023,-3226,599,-93878,1192,246.0,,2014年01月01日至2014年06月30日,671442,432771,8489,-238671,199746,108264,230303,,,,-398981.0,-399120,199746,-246.0,1992769,-2120575,-127806,160000.0,0,,,,,,93155.0,26.0,0.0,,30557,-60706.0,432771,-28161,12543,,0.0,35894,,
2014-11-07,3,2014,231640.0,,,,48212,2883,-57268,,4858101.0,,-2202.0,5184,-1640,139921,4346,-34893,,,,,,-478.0,,1985.0,,-127.0,,-508.0,-3839440,,,,0.0,-2860968,3938.0,40317,57344,21219,-5238,903,-135562,1662,246.0,,2014年01月01日至2014年09月30日,671442,651143,-69,-20299,376807,-1235291,-1049225,,294791.0,858638.0,,1153302,376807,-246.0,197648,-1855320,-1657672,,0,362.0,,,,1383.0,93155.0,26.0,0.0,,-1426032,146553.0,651143,-50504,27509,,,40703,,
2015-03-16,4,2014,412730.0,0.0,,-320000.0,178365,2329,-69083,,,,2729.0,172,-2865,201382,-17352,-38855,0.0,-5000.0,,-71.0,,-560.0,,29983.0,,-2388.0,-831.0,,-4224268,,4203874.0,,,-2325008,2991.0,-115480,62541,31414,-7418,1192,-193541,2865,808.0,,2014年度,671442,758687,-50101,87245,561026,-1347127,-1102041,-78550.0,294791.0,1175401.0,,1389183,561026,-808.0,4655051,-6730848,-2075797,320000.0,101,362.0,,20000.0,44.0,1383.0,93155.0,26.0,0.0,,-1663067,270483.0,758687,-51545,50680,,0.0,157646,,-12233.0
2015-05-13,1,2015,,,,,-118028,-1202,-37680,,,,301.0,-431,-445,71585,24612,-12200,,,,,,0.0,0.0,,,35.0,,16.0,273727,,-1642380.0,,,-227365,0.0,169622,-4740,7584,-4509,259,-69264,445,0.0,72053.0,2015年01月01日至2015年03月31日,758687,648708,-11866,-109979,128309,-1517856,-1446882,,,1387970.0,,1388005,128309,0.0,-1825548,178304,-1647244,,998,,5110.0,,-998.0,-110.0,,,,590.0,-1575191,-63938.0,648708,-1710,3243,,,7741,,
2015-07-31,2,2015,,,,0.0,-65375,54,67,,,,-2269.0,-6618,-1111,136441,4430,-14630,,-5000.0,,,,-455.0,-30781.0,0.0,,12464.0,,-1816.0,1897268,,-1915792.0,,,1397128,0.0,-34077,-42013,15225,-5135,481,-139028,1111,0.0,159728.0,2015年01月01日至2015年06月30日,758687,569766,2166,-188921,255142,1336531,1556951,,,-1500333.0,,-1487869,255142,0.0,-2118305,3260386,1142081,0.0,1729,,10098.0,,-876.0,-98.0,0.0,0.0,,0.0,1301809,-137192.0,569766,-81392,6646,,,12607,,
