date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,43571.0,43571,433896,30552,499200,14510.0,,14510.0,,63650,4561,13865,57156,13585,33769,,63658.0,,215135,13574,13574.0,303451,1024,-645.0,11657,454724,,,,131130,0.0,,13739,350504,4469.0,28346,0.0,31999,790600,2013年03月31日,423071,,,1812858,1667847,0,65548,353032,1706520,63658,,10581,,794474.0,48644.0,38713,790600,,,,794312.0,364182,0.0,2258.0,1544.0,360380.0,360380.0,,2607170.0,0.0,,2706,22584,425000,2858,145011,441280,900650,35673,72777,,0
2013-07-26,2,2013,,45571.0,45571,581862,30552,464744,13710.0,,13710.0,,173262,2372,14600,62086,16515,32041,,193916.0,,215396,14014,14014.0,262581,29254,890.0,12121,496128,,,,222642,0.0,,5960,387617,4469.0,14388,0.0,31820,790600,2013年06月30日,369151,,,2044755,1652953,0,85012,792760,2136020,193916,,10581,,1160391.0,37339.0,291471,790600,,,,1231902.0,383009,,,,,383009.0,,3276657.0,0.0,,3021,26196,422107,2770,391802,439142,1140637,38614,3040,,0
2013-11-08,3,2013,,86344.0,86344,649658,30552,507047,17550.0,,17550.0,,90695,8449,15981,97221,10877,7566,,258642.0,,215596,14846,14846.0,264381,30030,-1569.0,12803,435688,,,,135755,0.0,,15571,402665,4625.0,23678,0.0,31641,790600,2013年09月30日,411454,,,2073121,1696637,0,85012,745231,2081806,258642,,10581,,1101835.0,23295.0,382694,790600,,,,1283035.0,383009,,,,,383009.0,,3356156.0,0.0,,2517,21926,520441,2602,376484,537804,1274350,97300,3350,,0
2014-03-19,4,2013,,102060.0,102060,720625,30552,551647,15450.0,,15450.0,,106738,2999,15103,105761,3701,127656,26691.0,425565.0,100965.0,117000,23486,23486.0,244801,31592,-347.0,13819,424868,,,,397562,0.0,,16334,568922,14929.0,5952,0.0,31462,790600,2013年12月31日,456054,,,2366163,1736469,0,85012,851286,2246076,425565,,10581,,991993.0,36122.0,188769,790600,,,,1369713.0,379119,,,,,379119.0,,3735876.0,0.0,,2983,21345,491958,2520,629694,518427,1489800,108757,79870,,0
2014-04-28,1,2014,,120685.0,120685,812148,30552,647676,14300.0,,14300.0,,77818,1498,14279,123023,2338,98654,40522.0,483673.0,58132.0,217992,25061,25061.0,376540,33047,-21.0,12185,507707,,0.0,256193.0,415144,,,6741,516886,0.0,10914,,23626,790600,2014年03月31日,552083,,,2517130,1903958,0,85012,799549,2470702,483673,,10581,1175050.0,,50704.0,126119,838697,,,,1713824.0,403306,,,,,403306.0,,4230954.0,,3007.0,3222,19413,629799,2378,613172,914275,1760252,156986,110938,48097.0,1435731
2014-08-12,2,2014,,134560.0,134560,941663,30552,562109,17950.0,,17950.0,53084.0,243683,18197,16177,141966,7406,36274,22455.0,576969.0,13819.0,191000,27322,27322.0,448966,46609,-1773.0,15398,380789,,0.0,67751.0,307996,,,3816,501813,0.0,1969,,23489,870600,2014年06月30日,449952,,,3085302,2212962,0,101576,895726,2778239,576969,,10581,1709625.0,,38012.0,160253,923684,,,,1753992.0,710992,,,,,710992.0,,4839294.0,,2076.0,2504,21466,760689,2208,872340,858266,2061055,127496,193751,,0
2014-11-05,3,2014,,203962.0,203962,1125453,30552,553181,17700.0,,17700.0,12340.0,82774,7521,17826,207962,4000,23080,4044.0,679490.0,19036.0,253001,29503,29503.0,436021,45427,126.0,12980,361530,,0.0,23680.0,271607,,,6506,369725,0.0,2226,,23352,923684,2014年09月30日,441024,,,3095353,2250079,0,101576,802105,2566086,679490,,10581,1658011.0,,33256.0,200000,936024,,,,1818223.0,743048,,,,,743048.0,,4913576.0,,244.0,3097,34922,959838,2129,845274,1016118,2347490,143749,122484,,0
2015-03-10,4,2014,,266682.0,266682,1231029,30552,512795,0.0,,0.0,919.0,99953,36540,2614,271044,4362,34124,3085.0,814210.0,31039.0,293450,32018,32018.0,470315,45281,2614.0,14936,360152,,0.0,20582.0,250240,,149519.0,3429,264789,0.0,2423,,23215,936024,2014年12月31日,400638,,,3181476,2197752,0,101576,970526,2672225,814210,,10581,1820751.0,,46341.0,150000,936943,,,,2100374.0,745400,,,,,745400.0,,5281850.0,,139.0,3418,40304,1073830,2064,983724,1129848,2609625,153307,114584,,0
2015-05-05,1,2015,14326.0,282988.0,297314,1244894,30552,549897,0.0,,0.0,1803.0,74029,23095,3466,302323,5009,40691,4656.0,1001629.0,36035.0,322025,34460,34460.0,490423,44213,3466.0,14419,399447,,,0.0,220340,,179294.0,6721,277414,,4494,,23078,1036943,2015年03月31日,437740,60760.0,,3589053,2626683,0,101576,993532,2876367,1001629,,10581,,1964649.0,,150000,1038746,5716175.0,,2127122.0,,1034574,,,,,1034574.0,5716175.0,,65.0,0.0,3615,49232,1095515,1903,962370,1133590,2839808,166577,107863,0.0,0
2015-08-07,2,2015,,309968.0,309968,1233665,29452,399239,-57.0,1907.0,0.0,0.0,179303,18558,2384,332143,22175,26046,2655.0,1172718.0,23391.0,299956,34391,34391.0,502052,53169,2441.0,15577,378849,49357.0,,0.0,190766,,49044.0,896,300799,,6097,,22941,1038772,2015年06月30日,274977,27494.0,,3555701,2425680,1700000,113681,896392,2513845,1172718,35500.0,10581,,1543692.0,,116746,1038772,5522335.0,,1966634.0,,1034642,,,,,1034642.0,5522335.0,,,0.0,3621,47662,1032230,1741,1130021,1070242,3008490,202397,131609,,0
