date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,995266,10218113,311911,4771340,2392319,3337040,411568,,3431459,1053535,58269,852644,729296,539250,123348,13619,227866,8279,795319,125190,497635,4008767,290088,138705.0,,,1292123,161165,27437,,3837170,20632,221094,219587.0,169658,5492241,2013年03月31日,2503526,,,18499833,17146977,10357462,1343436,8550766,15427879,,1036885,924378,,3275403.0,485681.0,239888.0,5117880,5492241,,,2948,,13081103.0,3742025,,31580936.0,1377.0,435695,572018,284131,3727505,217874,1352856,4530337,16153057,5562,5562,438636,,0
2013-08-13,2,2013,1536255,10122215,311967,3639280,2405218,3261568,1783178,590342.0,3394956,1572810,36555,786162,681156,526854,105006,13130,214228,8855,870441,117386,500504,3719229,290088,127239.0,,,1148593,104439,28935,1192836.0,3956191,24723,295382,205373.0,169491,5492241,2013年06月30日,1220253,,,17282791,16001200,10357462,1494649,10311474,15674684,,1027358,924378,,3598316.0,417744.0,255166.0,5252673,5492241,,,2970,,14425241.0,3764811,,31708032.0,3102.0,501381,654452,270308,3242117,220933,1281591,4113767,16033348,5677,5677,518992,,0
2013-11-12,3,2013,1496694,10559323,311829,4045146,2803622,3767736,695502,695502.0,4195388,1529703,33009,1047051,882262,514621,164789,14620,217764,14510,343036,69603,493455,3385427,290088,0.0,,,996440,171926,49979,,3660577,21473,318551,203254.0,169324,5492241,2013年09月30日,1626119,,,18413081,17207498,10357462,1494649,8720812,14617717,,1008076,924378,,3073738.0,346788.0,301655.0,4930474,5492241,,,2970,,12618422.0,3764811,,31031503.0,0.0,0,622896,254462,3053980,217448,1205583,3897610,16413786,5623,5623,41365,,0
2014-03-27,4,2013,521076,10640295,311905,4196358,2747095,4045618,565689,565689.0,4490303,556571,35495,843206,681875,502468,161331,15118,166189,16430,422615,71678,412583,3394289,290088,0.0,,,1105488,174871,169854,,3396530,32504,366086,149759.0,169158,5492241,2013年12月31日,1777331,,,18844805,17653625,10357462,1494649,7415839,14215976,,915051,924378,,3162678.0,396671.0,267873.0,4446695,5492241,,,2586,,12024227.0,3764811,,30869032.0,,0,491326,148414,3948287,249910,1191180,4608388,16653056,5715,5715,85909,,0
2014-05-09,1,2014,533190,10611475,312119,4395599,2877960,4117133,576165,576165.0,4801435,582926,49736,747009,664319,490316,82690,15211,171160,17521,441713,77030,421595,3393887,290088,0.0,,0.0,1221383,159076,169725,,3902926,24619,330817,153639.0,168991,5492241,2014年03月31日,1976572,,,19360346,18163998,10357462,1494649,7447798,14831736,,911911,924378,3040294.0,,433223.0,270061.0,4305300,5492241,,,2622,,12186062.0,3764811,,31546408.0,0.0,240270,574394,151330,3990088,255426,1196348,4738264,16714672,3893,3893,94046,,0
2014-08-13,2,2014,535778,9775205,311924,3953437,3075404,3964503,1242290,618529.0,4720756,1889580,48802,1073810,821127,478164,252683,15340,183324,27967,455650,75703,413396,3511974,290088,654690.0,,0.0,1259283,180781,171859,623761.0,3928139,43179,187870,155357.0,168825,5492241,2014年06月30日,1453371,,,18835901,17653068,10357462,1575688,9324407,16851948,,891560,924378,3850459.0,,365333.0,279561.0,4215281,5492241,,,2655,,13731805.0,3776722,,32567706.0,0.0,240585,661844,148091,3559575,246208,1182833,4407398,15715758,6277,6277,118399,1305000.0,0
2014-11-13,3,2014,544821,9551945,312103,6067490,2900787,3974679,624991,624991.0,4669971,581857,37036,2582476,682219,457798,1900257,16075,178535,28192,417228,55404,351821,3344822,290088,,,0.0,1268486,149780,149925,,3879122,34333,174980,150343.0,168658,5492241,2014年09月30日,3842873,,,20928242,19716336,10357462,1575688,7899831,17124958,,809619,648929,3629676.0,,202516.0,281465.0,4922276,5492241,,,2693,,11559739.0,3776722,,32487981.0,,290919,559607,128791,2919073,248216,1211906,3659908,15363023,6378,6378,97533,,0
2015-03-27,4,2014,661946,9726432,312190,6086338,2590819,3814384,757496,757496.0,4458065,733312,71366,922435,609855,445830,312580,17385,234118,19861,475365,150211,367039,3290436,290088,5728.0,,0.0,1041199,128360,114972,,3675270,31523,150610,214257.0,168491,5492241,2014年12月31日,3861721,,,20689444,19523278,10357462,1575688,8626441,17505783,,812869,648929,6266604.0,,268573.0,274392.0,5570365,5492241,12164.0,,2732,,12241433.0,3776722,,32930877.0,,291313,648323,115363,2729819,257202,1166166,3614992,15425094,6653,6653,50567,,0
2015-05-13,1,2015,526162,9513110,312081,6299937,2526775,3890059,804360,804360.0,4392976,615277,89115,1113749,767454,433861,346295,17390,234382,18790,474965,145306,362709,2728206,290088,327.0,,,935785,123834,132957,,3518334,20691,142469,,168325,5492241,2015年03月31日,4075320,487111.0,255732.0,20797287,19671788,10357462,1575688,9004152,17899923,215592.0,796570,648929,,7325523.0,,,5895578,5492241,9250.0,33169488.0,2770,12372201.0,,3776722,33169488.0,,,261533,737946,114455,2392951,253221,1125499,3368049,15269565,6584,6584,59048,,0
2015-08-12,2,2015,535227,9310520,332944,4587622,2323911,3447233,2156537,771997.0,3667158,623510,88283,1004613,731577,421999,273036,21076,223606,13381,451623,122456,357265,2446166,290088,846.0,494302.0,0.0,852121,110130,142970,1384540.0,3179422,18238,101860,,168158,5492241,2015年06月30日,2106460,343524.0,278774.0,18776069,17752815,10357462,1832233,9694583,17064334,210225.0,779264,648929,,7262983.0,,,5456697,5986543,9094.0,31675854.0,2808,12899785.0,,3801580,31675854.0,,,441028,830417,121778,2148371,247535,1023254,3205202,14611520,6493,6493,60556,0.0,0
