date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,庫藏股票,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,66276,4500,33201,409867,201647,74390,81087,2848,357656,7874,349782,31752,9629,4938,31752,0.0,,1117086,582265,100000.0,255553,1019930,321500,607804,0,464348,4691.0,105693,6555,1060357,2013年03月31日,,2066742,2066623,0,2226808,3907401,,,,918956.0,24666.0,70000.0,1060357,,33201,,2269638.0,515312,,4336380.0,120462,12556,119,42830,428979,96745,,0
2013-08-12,2,2013,66085,4500,34705,354649,276348,169496,155772,2512,357669,6016,351653,2081,9629,4938,2081,0.0,,1212901,360386,50000.0,206059,598431,564669,725235,40247,203605,4691.0,105576,6801,1060357,2013年06月30日,,2086227,2086090,0,2063227,3723401,,,,982775.0,11873.0,50000.0,1060357,,34705,,2107561.0,515312,,4193788.0,154008,8996,137,44334,470387,96762,,0
2013-11-12,3,2013,65893,4500,39326,398437,263899,85505,143325,20913,333154,7391,325763,3028,10591,5906,3028,0.0,,1221002,231460,0.0,279195,579335,362607,669299,4828,465934,4685.0,105460,7960,1060357,2013年09月30日,,2117569,2117431,0,1849752,3557007,,,,892961.0,11677.0,0.0,1060357,,39326,,1899669.0,515312,,4017238.0,152736,9491,138,49917,460231,96153,,0
2014-03-26,4,2013,65701,4500,45723,432998,272609,132394,125889,18303,201627,3679,197948,3962,4987,1733,3962,0.0,,1407622,301291,0.0,320667,631088,718400,504365,115271,465649,3254.0,105343,5049,1060357,2013年12月31日,,2134689,2134556,0,2204485,3918390,,,,1083257.0,24208.0,0.0,1060357,,45723,,2255195.0,515312,,4389884.0,144798,14330,133,50710,471494,53935,,0
2014-05-13,1,2014,65510,4500,49219,509139,265703,68260,106780,3120,226753,5408,221345,5153,4985,1733,5153,0.0,0.0,1601167,180167,0.0,342379,604288,690798,597594,148324,508984,3252.0,105226,6162,1060357,2014年03月31日,,2191716,2191588,0,2235651,4015392,,,1076755.0,,40558.0,0.0,1060357,,49219,,2289855.0,515312,,4481571.0,130974,13925,128,54204,466179,30922,,0
2014-08-12,2,2014,65318,222,51319,455550,245926,185291,80681,4296,268273,6429,261844,9883,4981,1733,9883,0.0,0.0,1479292,212928,0.0,455708,816078,604204,493232,214413,373848,3248.0,105109,6068,1060357,2014年06月30日,,2112020,2111900,0,2374545,4097393,,,1154889.0,,37030.0,0.0,1060357,,51319,,2430845.0,515312,,4542865.0,124138,12946,120,56300,445472,48318,,0
2014-11-12,3,2014,65126,222,49660,491359,237276,81580,69197,3929,182099,7426,174673,55564,4975,1730,55564,,0.0,1390210,107713,,290745,729223,446479,459814,218753,255127,3245.0,104993,7252,1060357,2014年09月30日,,2136346,2136225,0,1900875,3609428,,,1155569.0,,26698.0,,1060357,,49660,,1955510.0,515312,,4091856.0,117453,11995,121,54635,482428,44911,,0
2015-03-19,4,2014,64934,222,50120,508911,241961,142445,73881,16680,186996,3883,183113,11246,2265,2265,14217,0.0,0.0,1642628,111206,,328474,714971,593913,545065,207843,336365,0.0,104876,5841,1060357,2014年12月31日,,2158582,2158461,0,2324028,4087734,,,1337250.0,,32595.0,50000.0,1060357,,50120,,2376413.0,515312,,4534995.0,111864,15210,121,52385,447261,53467,2971.0,0
2015-05-12,1,2015,64810,222,50113,531139,248350,71171,80268,3134,174980,12292,162688,11457,3763,3763,14101,0.0,0.0,1626961,267486,,249138,818318,525180,629194,227634,293416,,104759,8685,1060357,2015年03月31日,35336.0,2187201,2187076,0,2253226,4038341,0.0,2644.0,,1162723.0,,0.0,1060357,4494303.0,50113,2307102.0,,515312,4494303.0,,129425,15035,125,53876,455962,77471,,0
2015-08-11,2,2015,64708,222,49055,402609,186591,240036,18523,3010,166459,7329,159130,10670,4923,4923,13316,0.0,0.0,1694516,320289,,201504,802967,480121,774171,127713,204435,,104642,7925,1060357,2015年06月30日,6909.0,1996910,1996801,0,2466264,4129324,0.0,2646.0,,1346750.0,,0.0,1060357,4517152.0,49055,2520242.0,,515312,4517152.0,,115482,10424,109,53978,387828,111226,,0
